,Physical/,2002-02-01 00:00:00,,2002-03-01 00:00:00,,2002-04-01 00:00:00,,2002-05-01 00:00:00,,2002-06-01 00:00:00,,2002-07-01 00:00:00,,2002-08-01 00:00:00,,2002-09-01 00:00:00,,2002-10-01 00:00:00,,2002-11-01 00:00:00,,2002-12-01 00:00:00,,2003-01-01 00:00:00,,2003-02-01 00:00:00,,2003-03-01 00:00:00,,2003-04-01 00:00:00,,2003-05-01 00:00:00,,2003-06-01 00:00:00,,2003-07-01 00:00:00,,2003-08-01 00:00:00,,2003-09-01 00:00:00,,2003-10-01 00:00:00,,2003-11-01 00:00:00,,2003-12-01 00:00:00,,2004-01-01 00:00:00,,2004-02-01 00:00:00,,2004-03-01 00:00:00,,2004-04-01 00:00:00,,2004-05-01 00:00:00,,2004-06-01 00:00:00,,2004-07-01 00:00:00,,2004-08-01 00:00:00,,2004-09-01 00:00:00,,2004-10-01 00:00:00,,2004-11-01 00:00:00,,2004-12-01 00:00:00,,2005-01-01 00:00:00,,2005-02-01 00:00:00,,2005-03-01 00:00:00,,2005-04-01 00:00:00,,2005-05-01 00:00:00,,2005-06-01 00:00:00,,2005-07-01 00:00:00,,2005-08-01 00:00:00,,2005-09-01 00:00:00,,2005-10-01 00:00:00,,2005-11-01 00:00:00,,2005-12-01 00:00:00,,2006-01-01 00:00:00,,2006-02-01 00:00:00,,2006-03-01 00:00:00,,2006-04-01 00:00:00,,2006-05-01 00:00:00,,2006-06-01 00:00:00,,2006-07-01 00:00:00,,2006-08-01 00:00:00,,2006-09-01 00:00:00,,2006-10-01 00:00:00,,2006-11-01 00:00:00,,2006-12-01 00:00:00,,2007-01-01 00:00:00,,2007-02-01 00:00:00,,2007-03-01 00:00:00,,2007-04-01 00:00:00,,2007-05-01 00:00:00,,2007-06-01 00:00:00,,2007-07-01 00:00:00,,2007-08-01 00:00:00,,2007-09-01 00:00:00,,2007-10-01 00:00:00,,2007-11-01 00:00:00,,2007-12-01 00:00:00,,2008-01-01 00:00:00,,2008-02-01 00:00:00,,2008-03-01 00:00:00,,2008-04-01 00:00:00,,2008-05-01 00:00:00,,2008-06-01 00:00:00,,2008-07-01 00:00:00,,2008-08-01 00:00:00,,2008-09-01 00:00:00,,2008-10-01 00:00:00,,2008-11-01 00:00:00,,2008-12-01 00:00:00,,2009-01-01 00:00:00,,2009-02-01 00:00:00,,2009-03-01 00:00:00,,2009-04-01 00:00:00,,2009-05-01 00:00:00,,2009-06-01 00:00:00,,2009-07-01 00:00:00,,2009-08-01 00:00:00,,2009-09-01 00:00:00,,2009-10-01 00:00:00,,2009-11-01 00:00:00,,2009-12-01 00:00:00,,2010-01-01 00:00:00,,2010-02-01 00:00:00,,2010-03-01 00:00:00,,2010-04-01 00:00:00,,2010-05-01 00:00:00,,2010-06-01 00:00:00,,2010-07-01 00:00:00,,2010-08-01 00:00:00,,2010-09-01 00:00:00,,2010-10-01 00:00:00,,2010-11-01 00:00:00,,2010-12-01 00:00:00,,
HEDGECDN,Physical,-24111.15,-23949.57,-28081.6,-33807.84,-29368.77,-30402,-29314.86,-32429.3,-26600.67,-32958.68,-28703.09,-31964.8,-28644,-31899,-25984.43,-32480.54,-29812.77,-30541.88,-25862.77,-32328.46,-27085.19,-32889.16,-9432.42,-10504.29,-8552.56,-9407.82,-8952.67,-10871.1,-9349.76,-9748.19,-8894.89,-10800.93,-8865,-10131.37,-9253.6,-10305.15,-8800,-10685.68,-8767.06,-10019.49,-9563.67,-9797.56,-7868.9,-10768,-9072.64,-10103.62,-784,-952,-743.79,-873.95,-851.75,-870.27,-811.32,-845.89,-734.31,-973,-804.22,-840.77,-764.13,-927.87,-796.75,-887.29,-757,-865.14,-753.29,-916.95,-749.64,-856.74,-816.86,-834.61,-742.26,-901.32,-704,-774.43,-805.94,-823.46,-732.58,-835,-729.16,-885.41,-760.39,-795,-688,-911.54,-787.33,-804.44,-715.46,-817.67,-711.92,-866.59,-708.47,-809.68,-704.89,-855.93,-701.28,-851.55,-664.76,-731.24,-760.48,-777,-657.91,-820.33,-719.84,-801.64,-716.08,-748.63,-647.43,-857.85,-740.45,-756.54,-640.4,-800.5,-700.48,-782.07,-665,-760,-629.67,-834.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-936384.52
KEYSPANENECAN,Financial,-1437.31,-1437.31,-1674.16,-2032.91,-1750.76,-1825.37,-1747.6,-1946.19,-1585.74,-1982.17,-1741,-1938.87,-1737.3,-1934.72,-1576.31,-1970.38,-1808.61,-1852.85,-1569.21,-1961.51,-1643.22,-1995.34,-1717,-1912.09,-1556.93,-1712.62,-1629.9,-1979.16,-1702.28,-1774.82,-1619.73,-1966.81,-1614,-1844.58,-1685.05,-1876.53,-1602.34,-1945.7,-1596.63,-1824.71,-1741.8,-1784.39,-1433.59,-1961.76,-1652.32,-1840.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81123.71
LETHBRIDIROWOR,Financial,-37.73,-43.12,-43.95,-71.75,-46,-57,-45.87,-59.28,-41.63,-71.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-517.64
LETHBRIDIROWOR,Physical,-412.92,-251.34,-480.92,-292.73,-503,-306.15,-502,-342.3,-455.56,-277.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3824.24
PENNWESPET,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6272,-7616.05,-5950.29,-6991.6,-6814,-6962.14,-6490.56,-6767.14,-5874.49,-7783.7,-6433.75,-6726.19,-6113,-7423,-6374,-7098.31,-6056,-6921.12,-6026.31,-7335.59,-5997.15,-6853.89,-6534.84,-6676.9,-5938.08,-7210.52,-5632.19,-6195.41,-6447.53,-6587.69,-5860.61,-6680.39,-5833.26,-7083.24,-6083.1,-6359.61,-5503.67,-7292.36,-6298.61,-6435.53,-5723.67,-6541.34,-5695.35,-6932.73,-5667.77,-6477.45,-5639.08,-6847.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-311058.68
POWERPOOOF,Financial,-4003.56,-3842,-4662.84,-5370.78,-4876.57,-4791.58,-4867.62,-5204,-4416.94,-5229,-4349,-4843.15,-4340,-4833.18,-3937,-4921.29,-4517.09,-4701.21,-3918.6,-4898.25,-4103.82,-4983.21,7717.43,7386.13,6997.55,6608.8,7324.91,7693.09,2086.31,1799,808.63,981.9,805.9,921,841.24,936.83,800,971.43,797,910.86,869.42,867.06,715.35,978.91,824.79,918.51,-8624.06,-10472.07,-8181.66,-9613.45,-9369.26,-9572.94,-8924.51,-9304.82,-8077.42,-10702.58,-8846.41,-9248.51,-8405.41,-10206.57,-8764.24,-9760.17,-8327,-9516.55,-8286.17,-10086.44,-8246.09,-9424.1,-8985.41,-9180.74,-8164.86,-9914.47,-7744.26,-8518.69,-8865.35,-9058.07,-8058.33,-9185.54,-8020.73,-9739.46,-8364.26,-8744.46,-7567.54,-10027,-8660.59,-8848.86,-7870.05,-8994.34,-7831.11,-9532.51,-7793.18,-8906.49,-7753.74,-9415.26,-701.28,-851.55,-664.76,-731.24,-760.48,-777,-657.91,-820.33,-719.84,-801.64,-716.08,-748.63,-647.43,-857.85,-740.45,-756.54,-640.4,-800.5,-700.48,-782.07,-665,-760,-629.67,-834.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-485519.67
POWERPOOOF,Physical,4003.56,3842,4662.84,5370.78,4876.57,4791.58,4867.62,5204,4416.94,5229,4349,4843.15,4340,4833.18,3937,4921.29,4517.09,4701.21,3918.6,4898.25,4103.82,4983.21,-7717.43,-7386.13,-6997.55,-6608.8,-7324.91,-7693.09,-2086.31,-1799,-808.63,-981.9,-805.9,-921,-841.24,-936.83,-800,-971.43,-797,-910.86,-869.42,-867.06,-715.35,-978.91,-824.79,-918.51,8624.06,10472.07,8181.66,9613.45,9369.26,9572.94,8924.51,9304.82,8077.42,10702.58,8846.41,9248.51,8405.41,10206.57,8764.24,9760.17,8327,9516.55,8286.17,10086.44,8246.09,9424.1,8985.41,9180.74,8164.86,9914.47,7744.26,8518.69,8865.35,9058.07,8058.33,9185.54,8020.73,9739.46,8364.26,8744.46,7567.54,10027,8660.59,8848.86,7870.05,8994.34,7831.11,9532.51,7793.18,8906.49,7753.74,9415.26,701.28,851.55,664.76,731.24,760.48,777,657.91,820.33,719.84,801.64,716.08,748.63,647.43,857.85,740.45,756.54,640.4,800.5,700.48,782.07,665,760,629.67,834.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485519.67
SUNCORENE,Physical,-718.13,-718.13,-836.38,-1015.61,-874.72,-912,-873.12,-972.33,-792.28,-990.34,-869.79,-968.63,-868,-966.64,-787.41,-984.26,-903.42,-925.51,-783.72,-979.65,-820.76,-996.64,-857.49,-954.94,-777.51,-855.26,-813.88,-988.28,-850,-886.2,-808.63,-981.9,-805.9,-921,-841.24,-936.83,-800,-971.43,-797,-910.86,-869.42,-890.69,-715.35,-978.91,-824.79,-918.51,-784,-952,-743.79,-873.95,-851.75,-870.27,-811.32,-845.89,-734.31,-973,-804.22,-840.77,-764.13,-927.87,-796.75,-887.29,-757,-865.14,-753.29,-916.95,-749.64,-856.74,-816.86,-834.61,-742.26,-901.32,-704,-774.43,-805.94,-823.46,-732.58,-835,-729.16,-885.41,-760.39,-795,-688,-911.54,-787.33,-804.44,-715.46,-817.67,-711.92,-866.59,-708.47,-809.68,-704.89,-855.93,-701.28,-851.55,-664.76,-731.24,-760.48,-777,-657.91,-820.33,-719.84,-801.64,-716.08,-748.63,-647.43,-857.85,-740.45,-756.54,-640.4,-800.5,-700.48,-782.07,-665,-760,-629.67,-834.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-97161.21
WEATHERFCANPAR,Financial,-279.48,-143.73,-326.86,-203.29,-350.15,-182.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1486
Grand Total: ,,-18460.66,-17090.36,-21475.8,-23979.64,-22191.44,-21145.49,-21568.75,-22257.36,-19616.47,-22669.08,-21095.66,-22011.51,-20507.87,-21369.66,-18626.9,-21945.49,-21806.2,-21062.73,-20718.53,-24291,-21151.09,-24224.87,-15987,-16926.6,-14039.1,-14448.12,-14484.47,-16341.77,-14784.66,-14193.37,-13805.42,-15566.25,-13821.5,-14664.59,-14534.47,-15103.53,-13769.41,-15496.43,-13454.76,-14522.15,-14999.1,-14583.16,-13890.68,-17855.09,-15678.94,-16422.1,-26577,-31593.17,-24808.15,-28335.36,-27697.48,-27447.16,-25460.16,-25792.85,-22811.34,-29465.27,-24521.42,-25045.15,-23141.86,-27471.08,-23984.37,-26106.4,-22781,-25503.67,-22906.19,-27467.65,-24334.2,-27213.28,-26201.34,-26212.77,-22933.79,-27731.34,-21315.34,-23150.54,-24229.35,-24389.11,-21777.52,-24354.75,-21418.59,-25621.32,-22372,-23019.59,-20282.65,-26451.43,-23143.66,-23250.64,-21050.21,-23691.31,-21271.06,-25611.52,-22873,-25601.3,-22528.34,-26818.39,-8737.81,-10496.5,-7869.21,-8378.33,-8849.25,-8695.31,-7437.44,-8821.72,-7882,-8426.48,-7872.17,-7882.38,-6717.52,-8791.61,-7625.34,-7638.56,-6590.65,-8099.22,-7497.22,-8369.68,-8075.49,-8969.44,-5843.26,-7669.11,-5369.6,-5977,-4836.73,-5316.76,-5280.23,-5880.82,-5013.94,-5715.3,-5227.07,-5821.06,-4964.22,-5673.4,-4941.34,-6000.2,-5382.57,-5499.58,-4428.63,-6060.23,-5332.48,-5462.89,-4842.29,-5534.12,-4587.07,-6077.87,-1302.54,-1450.55,-1237.41,-1325.8,-1231.09,-1494.89,-1283.3,-1338,-1218.86,-1480,-1212.34,-1385.53,-1263.68,-1407.28,-1199.73,-1456.82,-1193.84,-1364.39,-1300.64,-1332.45,-1069.3,-1463.26,-1230.92,-1370.8,-1169.1,-1419.62,-1108,-1218.84,-1212.06,-1349.79,-1205.71,-1257.09,-1090.53,-1445,-1192.83,-1247.05,-1240.22,-1267.18,-1125.94,-1367.22,-1120.12,-1280.14,-1167.16,-1303.11,-1055.15,-1318.93,-1154,-1285.09,-1043.73,-1382.94,-1038.41,-1142.25,-1187,-1212.78,-1129.12,-1177.24,-1020.62,-1352.32,-1116.24,-1167,-1059.77,-1286.86,-1103.41,-1228.79,-1047.54,-1197.18,-1041.83,-1268.18,-1035.54,-1183.48,-1127.51,-1152,-2427780.36
