,,,,,
Entity,Entity,Entity,Attribute,Attribute,Attribute
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,COMPANY_KEY,The data warehouse's unique identifier for an Enron book of accounts.,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,CUSTOMER_ACCOUNT_KEY,The data warehouse's unique identifier of a CUSTOMER_ACCOUNT,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,SUPPLIER_KEY_TRANSDIST,The data warehouse unique identifier for a SUPPLIER.,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,GL_ACCOUNT_KEY_BILLING,The data warehouse unique identifier for a GL account,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,GL_ACCOUNT_KEY_BILLING_OFFSET,The data warehouse unique identifier for a GL account,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,GL_ACCOUNT_KEY_AP,The data warehouse unique identifier for a GL account,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,GL_ACCOUNT_KEY_AP_OFFSET,The data warehouse unique identifier for a GL account,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,BILL_KEY,The data warehouse's unique identifier for a SUPPLIER Bill,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,BILL_ID,The SOURCE_SYSTEM's unique identifier of the BILL,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,BILL_LINE_ITEM_ID,The SOURCE_SYSTEM's unique identifier of the BILL_LINE_ITEM,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,PRODUCTION_MONTH,"A month on which the MASTER_SERVICE was realized/consumed.  The Fact contains the BILL_LINE's contribution, in terms of dollars and unit volume, to the PRODUCTION_MONTH",
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,LINE_DESCRIPTION,The description of the line item,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,CHARGE_CODE,A code indicating the type of charge that the BILL_LINE represents,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,ALLOCATED_AMOUNT,The BILL_LINE amount/the number of days in the PRODUCTION_MONTH.  Only dollars that are posted against GL_ACCOUNT_KEY_BILLING_OFFSET should be represented in this column,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,ALLOCATED_UNITS,The BILL_LINE volume/the number of days in the PRODUCTION_MONTH.  Only units that are posted to a GL_ACCOUNT_KEY_BILLING_OFFSET should be represent in this column,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,AP_ACTION_CODE,Indicates whether the line item was posted to the AP subledger.  Possible Values: 0 = 'Not posted to AP subledger' 1 = 'Posted to AP subledger',
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,AR_ACTION_CODE,"Indicates whether the BILL_LINE item should be recouped from the BILLING_CUSTOMER via an INVOICE, not recouped, or display only.  This code is SOURCE_SYSTEM_DEPENDENT.",
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,NON_CONSUMPTION_UNITS,"In the case where CONSUMPTION_TYPE = 2, the consumption units will be found in the NON_CONSUMPTION_UNITS column (instead of the ALLOCATED_UNITS column).",This column will be populated with V6 of the data model.
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,NON_FINANCIAL_DOLLARS,"Contains all dollars which do NOT impact the subledger (or have already impacted the subledger in a prior BILL).  In the case where DOLLARS_TYPE = 2, the dollars will be found in the NON_FINANCIAL_DOLLARS column (instead of the ALLOCATED_AMOUNT column).",This column will be populated with V6 of the data model.
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,FROMDATE,The first date on which the MASTER_SERVICE was consumed/realized (or first date of the bill-cycle).,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,TODATE,The last date on which the MASTER_SERVICE was consumed/realized (or last date of the bill-cycle).,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,RATE,The multiplier used to calculate the LINE_ITEM's dollars,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,UNIT_OF_MEASURE,The unit of measure associated with the ALLOCATED_UNITS or NON_CONSUMPTION_UNITS,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,VOLUME_TYPE,The type of volume that the BILL was based on  Examples: . Nominated (based on nomination) . Actual (based on actual) . Estimate (based on estimate which is different than the nomination),
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,CURRENCY_TYPE,The currency in which the MASTER_SERVICE was invoiced,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,JOB_KEY,The job that created the row,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,BILLING_CUSTOMER_KEY,The data warehouse's unique identifier for the BILLING_CUSTOMER,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,GCP_KEY,The data warehouse's unique identifier for the GCP.,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,SOURCE_SYSTEM_KEY,The SOURCE_SYSTEM which created and/or updated the row,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,SOURCE_SYSTEM_ID,The SOURCE_SYSTEM's identifier for the BILLING_CUSTOMER,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,BILLING_CUSTOMER_NAME,The name of the BILLING_CUSTOMER,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,STREET_ADDRESS_1,1st row of the BILLING_CUSTOMER's street address,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,STREET_ADDRESS_2,2nd row of the BILLING_CUSTOMER's street address,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,CITY,The city of the BILLING_CUSTOMER's address,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,COUNTY,The county of the BILLING_CUSTOMER's address,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,STATE_KEY,The state of the BILLING_CUSTOMER's address,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,ZIP_5,The 5 digit zip code of the BILLING_CUSTOMER's address,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,ZIP_4,The 4 digit zip code suffix of the BILLING_CUSTOMER's address,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,JOB_KEY,The job which created this row,
BILLING_CUSTOMER,The customer as defined by the billing system.  The BILLING_CUSTOMER may have one or more PHYSICAL_LOCATIONs with each receiving one or more MASTER_SERVICEs.  The BILLING_CUSTOMER may have one or more INVOICING_GROUPS each receiving and/or paying INVOICEs.,Priority: High Will need to track history.,UPDATE_JOB_KEY,The job which updated this row,
COMPANY,A financial accounting book of business.  e.g. EESO or EEMC.,,COMPANY_KEY,The data warehouse's unique identifier for an Enron book of accounts.,
COMPANY,A financial accounting book of business.  e.g. EESO or EEMC.,,COMPANY_NAME,The name of the Enron book of business.  Possible Values:  1 = 'EEMC' 2 = 'EESO' 0 = 'Unknown',
COMPANY,A financial accounting book of business.  e.g. EESO or EEMC.,,JOB_KEY,The job that created the row,
COMPANY,A financial accounting book of business.  e.g. EESO or EEMC.,,UPDATE_JOB_KEY,The job that updated the row,
CONSUMPTION_TYPE,"Indicates whether the unit volume of the LINE_FACT represents actual consumption or display only consumption (non-consumption units).  If the LINE_FACT contains non-consumption units, the units will exist in the NON_CONSUMPTION_UNITS column so they will not be mingled with actual consumption that was posted against a GL_ACCOUNT.",,CONSUMPTION_TYPE_KEY,The data warehouse's key indicating what type of consumption is represented in the line item.,This column will be populated with V6 of the data model.
CONSUMPTION_TYPE,"Indicates whether the unit volume of the LINE_FACT represents actual consumption or display only consumption (non-consumption units).  If the LINE_FACT contains non-consumption units, the units will exist in the NON_CONSUMPTION_UNITS column so they will not be mingled with actual consumption that was posted against a GL_ACCOUNT.",,CONSUMPTION_TYPE_NAME,The name of the consumption type  Possible Values: 1 = 'Consumtion Units' 2 = 'Non-Consumption Units',This column will be populated with V6 of the data model.
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",CUSTOMER_ACCOUNT_KEY,The data warehouse's unique identifier of a CUSTOMER_ACCOUNT,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",PHYSICAL_LOCATION_KEY,The data warehouse's unique identifier for a BILLING_CUSTOMER's PHYSICAL_LOCATION,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",MASTER_SERVICE_KEY,The data warehouse's unique identifier of a MASTER_SERVICE,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",CUSTOMER_TYPE_KEY,The data warehouse's unique identifier of a CUSTOMER_TYPE,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",PRODUCT_KEY,The data warehouse's unique identifier of the PRODUCT,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",SERVICE_STATUS_KEY,The data warehouse's unique key indicating a status condition,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",RATE_SCHEDULE_KEY,The data warehouse's unique identifier for a RATE_SCHEDULE,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",PHYSICAL_INDICATOR_KEY,The data warehouse's code indicating whether Enron is responsible for delivering the MASTER_SERVICE,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",EVERGREEN_INDICATOR_KEY,The data warehouse's code indicating the Evergreen Status of the CUSTOMER_ACCOUNT,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",SOURCE_SYSTEM_KEY,The SOURCE_SYSTEM which created and/or updated the row,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",SOURCE_SYSTEM_ID,The SOURCE_SYSTEM's unique identifier for the CUSTOMER_ACCOUNT,
CUSTOMER_ACCOUNT,"Each row in this dimension represents the association of a BILLING_CUSTOMER's PHYSICAL_LOCATION with a MASTER_SERVICE.  e.g. a physical location receiving the gas commodity.  Once this entity begins to be used to track history, the same physical location / commodity association may appear in multiple rows (e.g. representing when attributes about the assoication change).  However, at any point in time, one and only one row for an association will be valid.  The row which is valid at a point in time can be determined by the rows' EFFECTIVE_DATE and TERMINATION_DATE.","History tracking will be implemented in V6 of the data model.  Additionally, a new column will need to be added to store the data warehouse's unique identifier for the CUSTOMER_ACCOUNT.  This will be required because once history is supported, each row in the CUSTOMER_ACCOUNT dimension (and hence the CUSTOMER_ACCOUNT) will represent a snapshot of a CUSTOMER_ACCOUNT over a period of time.  The data warehouse identifier will be required to ""tie"" the snapshots together.",CUSTOMER_ACCOUNT_NAME,The name of the CUSTOMER_ACCOUNT,
