,,,,,,,,,,,,,,,,,,,,,,,
VESSEL:,VESSEL:,VESSEL:,     LNG/C HOEGH ,     LNG/C HOEGH ,GALLEON,,,,VOY.#.:,,001 LOADED,,,,,,Steaming Time:,Steaming Time:,Steaming Time:,Steaming Time:,23d 12h 10m,23d 12h 10m,23d 12h 10m
2001-04-06 00:00:00,NNE 3,NNE 2,D,33 31 N,024 31 W,,390,25 h 00 m,15.6,404.144,3.499742665980444,80.42666666666668,187.086,,39,,56,18,17,,,,
2001-04-07 00:00:00,ESE 4,ESE 3,D,32 25 N,032 21 W,,400,24 h 00 m,16.67,407.55095,1.852762212920863,84.48402777777778,235.455,,47,,56.2,19,15,,,,
2001-04-08 00:00:00,SE 4,SE 3,D,31 18 N,040 45 W,,437,25 h 00 m,17.48,452.1361,3.347686681067935,89.97733333333333,253.67,,43,,56.5,18,15,,,,
2001-04-09 00:00:00,SW 7,SW 6,D,30 15 N,047 55 W,,374,24 h 00 m,15.58,422.6963,11.520398924712614,87.62361111111112,361.23,,53,,55.5,21,17,,,,
2001-04-10 00:00:00,NW 5,NW 4,D,29 08 N,055 43 W,,413,25 h 00 m,16.52,446.59855,7.523210722470995,88.87533333333334,319.125,,58,,33.7,22,17,,,,
2001-04-11 00:00:00,SW 3,SW 2,D,27 56 N,063 59 W,,442,25 h 00 m,17.68,452.66540000000003,2.3561332498574075,90.08266666666667,288.734,,61,,79.8,24,26,,,,
2001-04-12 00:00:00,SE 2,SE 1,D,26 52 N,071 24 W,,400,24 h 00 m,16.67,397.3904,-0.6566842077715014,82.37777777777778,205.851,,44,,72,18,18,,,,
2001-04-13 00:00:00,ESE 3,ESE 2,D,26 19 N,078 59 W,,423,25 h 00 m,16.92,415.1856,-1.8821462016023625,82.624,170.758,,49,,72,16,10,,,,
2001-04-14 00:00:00,ESE 2,ESE 1,D,24 45 N,083 57 W,,341,24 h 00 m,14.21,397.2162,14.152544634382991,82.34166666666667,235.435,,42,,73.1,18,10,,,,
2001-04-15 00:00:00,ESE 2,ESE 1,D,27 07 N,090 31 W,,389,25 h 00 m,15.56,398.98165,2.501781723545432,79.39933333333333,299,,41,,73.6,17,12,,,,
2001-04-16 00:00:00,SE  2,SE 1,D,28 50 N,093 12 W,,187,14h18m,13.08,255.41405,26.8,88.86130536130536,216,,4,,20.2,23,18,,At 08 h 18 m  E O S P,,
,,,,,Total,,9138,555.28,,9523.4202,,,4840.3099999999995,,1024,1,1281.8,621,393,,,,
,,,,,Average,,394.9574989194641,,16.45656245497767,380.93680800000004,4.23213485679471,85.66241560907132,193.61239999999998,,44.25875234116122,,51.272,24.84,15.72,,,,
,,,,Average up to and incl. Force 5. ,Average up to and incl. Force 5. ,,8764,531.2,16.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Draught,Draught,Draught,,,STATEMENTS,STATEMENTS,F.O.,D.O.,,,LNG,LNG,,,,,,Stopages,Stopages,Bunkers used,Bunkers used
,,Forward,Forward,Aft,,,On Board at FAOP,On Board at FAOP,3788,154,,,86902.8,86902.8,,,,,,REASONS,REASONS,F.O.,D.O.
Departure,Departure,11.09,11.09,11.14,,,Bunkers Lifted,Bunkers Lifted,1871,,,,,,,,,,,Transit Suez,Transit Suez,36,
Arrival,Arrival,10.18,10.18,10.3,,,Consumed on Pass.,Consumed on Pass.,1024,1,,,4840.3099999999995,4840.3099999999995,,,,,,Stopages Algeciras,Stopages Algeciras,,1
,,,,,,,On Board at EOP,On Board at EOP,4585,153,,,82062.49,82062.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SIGN:,SIGN:,,,,,,SIGN:,SIGN:,,,,,,,,,,,,,,,
,,MASTER,MASTER,MASTER,MASTER,,,,CHIEF ENGINEER,CHIEF ENGINEER,CHIEF ENGINEER,CHIEF ENGINEER,CHIEF ENGINEER,CHIEF ENGINEER,,,,,,,,TOTAL,TOTAL
PRINT NAME:,PRINT NAME:,OE. HANSEN,OE. HANSEN,OE. HANSEN,OE. HANSEN,,,PRINT NAME:,BJØRN MALMØ,BJØRN MALMØ,BJØRN MALMØ,BJØRN MALMØ,BJØRN MALMØ,BJØRN MALMØ,,,,,,,,36,1
