Summary of Mavrix Capacity (packaging SJ with WOT where possible):,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001-11-01 00:00:00,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALUE/MONTH DIFFERENCE:,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN TO PG&E/TOPOCK, , , , , ,79674,82329.80000000002,79674,82329.80000000002,82329.80000000002,79674,82329.80000000002, , , , , ,-52899,-54662.29999999999,-52899,-54662.29999999999,-54662.29999999999,-52899,-54662.29999999999, , , 
EOT TO NEEDLES,324688.49999999994, , , , , , , , , , , , , , , , , , , , , , , , , , 
EOT TO PG&E/TOPOCK,156114,274157.8, , , , , , , , , , , , , , , ,-12447,-12861.900000000001,-12447,-12861.900000000001,-12861.900000000001,-12447,-12861.900000000001, , , 
BLANCO TO THOREAU, , ,58435,52780,58435,168165.00000000003,173770.50000000003,168165.00000000003,173770.50000000003,173770.50000000003,168165.00000000003,173770.50000000003,12540.000000000007,12958.000000000007,12958.000000000007,11704.000000000011,12958.000000000007,,,,,,,,-10559.999999999996,-10911.999999999996, 
, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Totals,480802.5,274157.8,58435,52780,58435,247839,256100.30000000002,247839,256100.30000000002,256100.30000000002,247839,256100.30000000002,12540.000000000007,12958.000000000007,12958.000000000007,11704.000000000011,12958.000000000007,-65346,-67524.19999999998,-65346,-67524.19999999998,-67524.19999999998,-65346,-67524.19999999998,-10559.999999999996,-10911.999999999996,
,,,,,,,,,,,2436428.2,,,,,,,,,,,,,,,-168388.49999999988,2268039.6999999993
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mavrix Contracts:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctrc #,RP,DP,Volume,Res Rate,Start,End,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
27534,Blanco,Thoreau,32500,0.102,2002-01-01 00:00:00,2002-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,
,,,11000,0.102,2002-11-01 00:00:00,2003-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
27581,EOT,WOT,27500,0.3483,2001-11-01 00:00:00,2001-11-30 00:00:00,,,,,,,,,,,,,,,,,,,,,
,,,14000,0.3483,2001-12-01 00:00:00,2001-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,
,,,14000,0.3483,2002-04-01 00:00:00,2002-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,
,,,14000,0.3483,2003-04-01 00:00:00,2003-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,
