,,,,,,,,,,,,,,,,,,,
,date,df,,,,,,TD's fee,8500,per month,,,,,,,,,
2000-02-01 00:00:00,2000-03-01 00:00:00,29,2000-02-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9930757361511358,1218999.579655317,42034.46826397644,,2000-07-05 00:00:00,9907411.099269843,42373.51355310772,1651615.5574851437,1693989.0710382513
2000-02-01 00:00:00,2000-03-01 00:00:00,29,2000-02-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1446592.9425410016,1462799.4955863806,0.9930757361511358,1218999.579655317,42034.46826397644,,2000-08-05 00:00:00,8255795.541784699,35309.63445206002,1658679.4365861912,1693989.0710382513
2000-03-01 00:00:00,2000-04-01 00:00:00,31,2000-03-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9889990214672393,1303068.5161832697,42034.46826397644,,2000-09-05 00:00:00,6597116.105198508,27305.36466288704,1612038.8976321947,1639344.2622950817
2000-03-01 00:00:00,2000-04-01 00:00:00,31,2000-03-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,180306.85161832708,130306.85161832708,0.9889990214672393,1303068.5161832697,42034.46826397644,,2000-10-05 00:00:00,4985077.207566313,21320.931825839667,1672668.1392124116,1693989.0710382513
2000-03-01 00:00:00,2000-04-01 00:00:00,31,2000-03-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9889990214672393,1303068.5161832697,42034.46826397644,,2000-11-05 00:00:00,3312409.0683539016,13710.01147801319,1625634.2508170686,1639344.2622950817
2000-03-01 00:00:00,2000-04-01 00:00:00,31,2000-03-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1547475.6663745448,1563682.2194199238,0.9889990214672393,1303068.5161832697,42034.46826397644,,2000-12-05 00:00:00,1686774.817536833,7214.253539676508,1686774.8174985747,1693989.0710382513
2000-04-01 00:00:00,2000-05-01 00:00:00,30,2000-04-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9845397154544795,1261034.0479192932,42034.468263976436,,end. bal.,3.825826570391655e-05,,,
2000-04-01 00:00:00,2000-05-01 00:00:00,30,2000-04-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,176103.4047919294,126103.40479192942,0.9845397154544795,1261034.0479192932,42034.468263976436,,Total,,536478.6365445486,19463521.363455452,20000000
2000-04-01 00:00:00,2000-05-01 00:00:00,30,2000-04-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9845397154544795,1261034.0479192932,42034.468263976436,,,,,,
2000-04-01 00:00:00,2000-05-01 00:00:00,30,2000-04-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1497034.304457773,1513240.857503152,0.9845397154544795,1261034.0479192932,42034.468263976436,,,,,,
2000-05-01 00:00:00,2000-06-01 00:00:00,31,2000-05-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9801097514465353,1303068.5161832697,42034.46826397644,,,,,,
2000-05-01 00:00:00,2000-06-01 00:00:00,31,2000-05-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,180306.85161832708,130306.85161832708,0.9801097514465353,1303068.5161832697,42034.46826397644,,,,,,
2000-05-01 00:00:00,2000-06-01 00:00:00,31,2000-05-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9801097514465353,1303068.5161832697,42034.46826397644,,,,,,
2000-05-01 00:00:00,2000-06-01 00:00:00,31,2000-05-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1547475.6663745448,1563682.2194199238,0.9801097514465353,1303068.5161832697,42034.46826397644,,,,,,
2000-06-01 00:00:00,2000-07-01 00:00:00,30,2000-06-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9754387333477454,1261034.0479192932,42034.468263976436,,,,,,
2000-06-01 00:00:00,2000-07-01 00:00:00,30,2000-06-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,176103.4047919294,126103.40479192942,0.9754387333477454,1261034.0479192932,42034.468263976436,,,,,,
2000-06-01 00:00:00,2000-07-01 00:00:00,30,2000-06-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9754387333477454,1261034.0479192932,42034.468263976436,,,,,,
2000-06-01 00:00:00,2000-07-01 00:00:00,30,2000-06-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1497034.304457773,1513240.857503152,0.9754387333477454,1261034.0479192932,42034.468263976436,,,,,,
2000-07-01 00:00:00,2000-08-01 00:00:00,31,2000-07-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9708304012638038,1303068.5161832697,42034.46826397644,,,,,,
2000-07-01 00:00:00,2000-08-01 00:00:00,31,2000-07-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,180306.85161832708,130306.85161832708,0.9708304012638038,1303068.5161832697,42034.46826397644,,,,,,
2000-07-01 00:00:00,2000-08-01 00:00:00,31,2000-07-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9708304012638038,1303068.5161832697,42034.46826397644,,,,,,
2000-07-01 00:00:00,2000-08-01 00:00:00,31,2000-07-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1547475.6663745448,1563682.2194199238,0.9708304012638038,1303068.5161832697,42034.46826397644,,,,,,
2000-08-01 00:00:00,2000-09-01 00:00:00,31,2000-08-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9659795011948973,1303068.5161832697,42034.46826397644,,,,,,
2000-08-01 00:00:00,2000-09-01 00:00:00,31,2000-08-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,180306.85161832708,130306.85161832708,0.9659795011948973,1303068.5161832697,42034.46826397644,,,,,,
2000-08-01 00:00:00,2000-09-01 00:00:00,31,2000-08-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9659795011948973,1303068.5161832697,42034.46826397644,,,,,,
2000-08-01 00:00:00,2000-09-01 00:00:00,31,2000-08-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1547475.6663745448,1563682.2194199238,0.9659795011948973,1303068.5161832697,42034.46826397644,,,,,,
2000-09-01 00:00:00,2000-10-01 00:00:00,30,2000-09-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9610389383117425,1261034.0479192932,42034.468263976436,,,,,,
2000-09-01 00:00:00,2000-10-01 00:00:00,30,2000-09-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,176103.4047919294,126103.40479192942,0.9610389383117425,1261034.0479192932,42034.468263976436,,,,,,
2000-09-01 00:00:00,2000-10-01 00:00:00,30,2000-09-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9610389383117425,1261034.0479192932,42034.468263976436,,,,,,
2000-09-01 00:00:00,2000-10-01 00:00:00,30,2000-09-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1497034.304457773,1513240.857503152,0.9610389383117425,1261034.0479192932,42034.468263976436,,,,,,
2000-10-01 00:00:00,2000-11-01 00:00:00,31,2000-10-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9562185755286164,1303068.5161832697,42034.46826397644,,,,,,
2000-10-01 00:00:00,2000-11-01 00:00:00,31,2000-10-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,180306.85161832708,130306.85161832708,0.9562185755286164,1303068.5161832697,42034.46826397644,,,,,,
2000-10-01 00:00:00,2000-11-01 00:00:00,31,2000-10-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9562185755286164,1303068.5161832697,42034.46826397644,,,,,,
2000-10-01 00:00:00,2000-11-01 00:00:00,31,2000-10-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1547475.6663745448,1563682.2194199238,0.9562185755286164,1303068.5161832697,42034.46826397644,,,,,,
2000-11-01 00:00:00,2000-12-01 00:00:00,30,2000-11-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9512060047118824,1261034.0479192932,42034.468263976436,,,,,,
2000-11-01 00:00:00,2000-12-01 00:00:00,30,2000-11-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,176103.4047919294,126103.40479192942,0.9512060047118824,1261034.0479192932,42034.468263976436,,,,,,
2000-11-01 00:00:00,2000-12-01 00:00:00,30,2000-11-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9512060047118824,1261034.0479192932,42034.468263976436,,,,,,
2000-11-01 00:00:00,2000-12-01 00:00:00,30,2000-11-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1497034.304457773,1513240.857503152,0.9512060047118824,1261034.0479192932,42034.468263976436,,,,,,
2000-12-01 00:00:00,2001-01-01 00:00:00,31,2000-12-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9462906222389758,1303068.5161832697,42034.46826397644,,,,,,
2000-12-01 00:00:00,2001-01-01 00:00:00,31,2000-12-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,180306.85161832708,130306.85161832708,0.9462906222389758,1303068.5161832697,42034.46826397644,,,,,,
2000-12-01 00:00:00,2001-01-01 00:00:00,31,2000-12-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9462906222389758,1303068.5161832697,42034.46826397644,,,,,,
2000-12-01 00:00:00,2001-01-01 00:00:00,31,2000-12-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1547475.6663745448,1563682.2194199238,0.9462906222389758,1303068.5161832697,42034.46826397644,,,,,,
,,366,,,,,,,19565521.36345545,19999999.999999996,,15384615.384615388,15384615.384615386,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,total pmt,1.3000000000000005,19565521.36345545,19999999.999999996,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,deal amount,20000000,,,,,,,,,,,
,,,,,,,Total GJ,15384615.384615378,,,,,,,,,,,
,,,,,,,PV,,19552621.988625064,19450689.2363593,,,,,,,,,
,,,,,,,diff,,,101932.75226576626,,,,,,,,,
