,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,JANUARY,JANUARY,JANUARY,FEBRUARY,FEBRUARY,FEBRUARY,MARCH,MARCH,MARCH,TOTAL,TOTAL,TOTAL
"Enron Power Marketing, Inc.",EPMI,13200,4950000,375,82400,12403000,150.52184466019418,151200,27399600,181.21428571428572,246800,44752600,181.33144246353322
El Paso Power Services Company,EPPS,12929,3672830,284.0768814293449,51154,10053985,196.54347656097275,165956,34171371,205.90621007978018,230039,47898186,208.2176761331774
Eugene Water & Electric Board,EWEB,44322,22041125,497.29536122016157,65473,29465125,450.0347471476792,42055,14149375,336.4492925930329,151850,65655625,432.3715837998024
Grant County PUD,GCPD,2500,1170000,468,29125,9984000,342.79828326180257,59584,20602940,345.7797395273899,91209,31756940,348.17770176188753
City of Glendale,GLEN,14400,5400000,375,0,0,0,12925,3535050,273.504835589942,27325,8935050,326.9917657822507
Los Angeles Department of Water & Power,LDWP,205673,53023046,257.8026576167022,456974,137185915,300.2050773129325,142832,45220236,316.5973731376722,805479,235429197,292.2847113332564
Mirant,MAEM,239155,64842275,271.1307520227468,1103212,242614135,219.91614938923797,1797133,398852963,221.93847812042847,3139500,706309373,224.9751148272018
Merrill Lynch Capital Services,MERL,49560,12360300,249.4007263922518,109310,25266240,231.1429878327692,176628,38637897,218.7529553638155,335498,76264437,227.31711366386685
Modesto Irrigation District,MID1,0,0,0,175,87500,500,0,0,0,175,87500,500
"Mieco, Inc.",MIEC,63366.8,25052130,395.35103555805244,16200,4774000,294.69135802469134,90800,26478000,291.6079295154185,170366.8,56304130,330.48768891591556
Morgan Stanley Capital Group,MSCG,0,0,0,16800,1604400,95.5,37998,3790600,99.75788199378914,54798,5395000,98.45249826636008
MSR Public Power Agency,MSR,52,10400,200,13,6175,475,0,0,0,65,16575,255
Northern California Power Agency,NCPA,6190,1585150,256.08239095315025,5584,1040210,186.28402578796562,15398,2452400,159.26743732952332,27172,5077760,186.87472398056823
New Energy Inc.,NEI1,0,0,0,0,0,0,22,3150,143.1818181818182,22,3150,143.1818181818182
Reliant Energy Service,NES1,43385,6846000,157.79647343551918,264186,60459790,228.85311863611244,141393.82,38782230,274.28518445855696,448964.82,106088020,236.2947279477265
Nevada Power Company,NVPM,4638,1015260,218.90038809831825,55782,12249600,219.59771969452513,66525,10216700,153.57685080796693,126945,23481560,184.97428020008664
PacifiCorp,PAC1,12400,4362000,351.7741935483871,1563,508450,325.30390275111967,0,0,0,13963,4870450,348.8111437370193
Pacific Gas & Electric Co. (General),PGAE,400,162000,405,1494,373865,250.24431057563586,0,0,0,1894,535865,282.92766631467794
Portland General Electric,PGE1,475,318071,669.6231578947369,0,0,0,0,0,0,475,318071,669.6231578947369
"PG&E Energy Trading - Power, L.P.",PGET,14980,3935644,262.72656875834446,25485,3502364,137.42844810672946,86990,16975319,195.14103919990802,127455,24413327,191.54467851398533
Public Service of New Mexico,PNMM,11942,3443050,288.3143527047396,57138,17331125,303.3204697399279,199661,46670090,233.74665057272077,268741,67444265,250.96380902058115
Public Service Co. Of Colorado (New Century Energies),PSCO,50,25000,500,0,0,0,0,0,0,50,25000,500
Puget Sound Energy,PSE1,100,40000,400,0,0,0,0,0,0,100,40000,400
Pinnacle West,PWEPW,21700,5261500,242.46543778801842,75902,18163350,239.30001844483675,104186,20907785,200.67749025780816,201788,44332635,219.69906535571985
Powerex,PWRX,162716,77185725,474.3585449494825,359167,183583504,511.1368917523046,282418.72,139664793,494.53093265205655,804301.72,400434022,497.8654304009197
California Power Exchanges,PXC1,29200.4,5071897,173.6927233873509,0,0,0,0,0,0,29200.4,5071897,173.6927233873509
City of Riverside,RVSD,0,0,0,330,62700,190,0,0,0,330,62700,190
"City of Seattle, City Light Department",SCL1,3765,2390850,635.0199203187251,105,63375,603.5714285714286,0,0,0,3870,2454225,634.1666666666666
San Diego Gas & Electric,SDG3,4962,1040830,209.7601773478436,5315,1060950,199.6142991533396,8800,1256000,142.72727272727272,19077,3357780,176.01195156471144
"Strategic Energy, Ltd.",SEL1,0,0,0,5535,1052340,190.12466124661248,4251,833407,196.0496353799106,9786,1885747,192.6984467606785
Sempra Energy Solutions,SES,0,0,0,1603,286826,178.93075483468496,1830,313170,171.13114754098362,3433,599996,174.77308476551121
Sempra Energy Trading (formerly AIG Trading),SETC,145622,63770165,437.91573388636334,395939,183795865,464.2024781595145,198282,74011547,373.26407339042373,739843,321577577,434.65651090839543
Sacramento Municipal Utility District,SMUD,75,14250,190,12495,4861375,389.0656262505002,34985,10833600,309.66414177504646,47555,15709225,330.3380296498791
Silicon Valley Power (City of Santa Clara),SNCL,400,116000,290,0,0,0,0,0,0,400,116000,290
Sierra Pacific Power Company,SPPC,3930,1390900,353.9185750636132,2600,1064750,409.5192307692308,0,0,0,6530,2455650,376.0566615620214
Salt River Project,SRP1,14705,2705275,183.96973818429106,60691,10013925,164.99851707831473,4680,827625,176.84294871794873,80076,13546825,169.17459663319846
Trans Canada Power Company,TCPTC,0,0,0,22595,8712520,385.59504315113963,42275,14901922,352.4996333530455,64870,23614442,364.02716201634036
TransAlta Energy Marketing U.S.,TEMU,10568,5656425,535.240821347464,13586,4663500,343.2577653466804,227954,74652305,327.48846258455654,252108,84972230,337.04694020023163
Tucson Electric Power,TEP,250,47500,190,10635,1852075,174.14903620122237,38637,6718000,173.8747832388643,49522,8617575,174.0150842049998
Turlock Irrigation District,TID,220,27177,123.53181818181818,5180,1357950,262.15250965250965,5275,1148160,217.660663507109,10675,2533287,237.3102576112412
Tacoma Power,TPWR,246,127075,516.5650406504066,2818,1202285,426.64478353442155,2825,1470425,520.5044247787611,5889,2799785,475.4262183732382
City of Vernon,VERN,525,82875,157.85714285714286,9789,1734847,177.22412912452754,11831,1762567,148.9787000253571,22145,3580289,161.67482501693385
West Area Lower Colorado,WALC,0,0,0,75,4500,60,665,183500,275.9398496240602,740,188000,254.05405405405406
Western Area Power Administration - Seirra Nevada Region,WAMP,0,0,0,0,0,0,552,116080,210.28985507246378,552,116080,210.28985507246378
Western Area Power Administrator,WAPA,0,0,0,5369,2213120,412.20338983050846,9388,2680925,285.5693438432041,14757,4894045,331.6422714643898
Williams Energy Marketing and Trading,WESC,39320,9366300,238.20701932858597,371814,121627650,327.11960819119236,707935,180334966,254.7337905316166,1119069,311328916,278.2035030905154
Washington Water Power Company,WWPC,425,131750,310,3297,1043600,316.5301789505611,0,0,0,3722,1175350,315.78452444922084
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL,1466029.1,483496199,329.7998648185087,4609821,1323167198,287.03222923406355,6809136.54,1658089099,243.50945075922945,12884986.64,3464752496,268.8984158698359
,,.,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Note 1: The data in this report is produced from each ""counterparty"" in the Deal Capture Database",,,,,,,,,,,
,,Note 2: Purchases and sales are netted against each other,,,,,,,,,,,
,,Note 3: This report is only based on trades,,,,,,,,,,,
,,"Note 4: This report includes data from January 17 - March 31, 2001",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,, ,,,,
