Counterparty,Deal Type,Act Date,Deal Number,Desk,Start Hour,End Hour,Total Hours,Gross MW,MW Net of Line Loss,Price, Energy Amt,Total Amt,Region,Delivery Point
ELECTRICRELCOU,T,2001-07-03 00:00:00,671044.1,EPMI-TECO-SVCE,22,24,2,-70,-70,0.219999998807907,-15.4,-15.4,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-03 00:00:00,671050.1,EPMI-TECO-SVCE,3,4,1,-35,-35,0.22,-7.7,-7.7,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-03 00:00:00,671050.1,EPMI-TECO-SVCE,4,5,1,-65,-65,0.219999998807907,-14.3,-14.3,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-03 00:00:00,671598.1,EPMI-TECO-SVCE,5,6,1,-45,-45,0.219999998807907,-9.9,-9.9,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-04 00:00:00,672537.1,EPMI-TECO-SVCE,0,6,6,-810,-810,0.219999998807907,-178.2,-178.2,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-04 00:00:00,672537.1,EPMI-TECO-SVCE,22,24,2,-270,-270,0.219999998807907,-59.4,-59.4,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-04 00:00:00,672547.1,EPMI-TECO-SVCE,4,6,2,-90,-90,0.219999998807907,-19.8,-19.8,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-05 00:00:00,672537.1,EPMI-TECO-SVCE,0,6,6,-810,-810,0.219999998807907,-178.2,-178.2,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-05 00:00:00,672537.1,EPMI-TECO-SVCE,22,24,2,-270,-270,0.219999998807907,-59.4,-59.4,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-05 00:00:00,672760.1,EPMI-TECO-SVCE,6,21,15,-1500,-1500,0.219999998807907,-330,-330,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-05 00:00:00,672761.1,EPMI-TECO-SVCE,5,6,1,-95,-95,0.219999998807907,-20.9,-20.9,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-05 00:00:00,672761.1,EPMI-TECO-SVCE,4,5,1,-45,-45,0.219999998807907,-9.9,-9.9,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-05 00:00:00,674836.1,EPMI-TECO-SVCE,21,22,1,-30,-30,0.219999998807907,-6.6,-6.6,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-06 00:00:00,674317.1,EPMI-TECO-SVCE,6,7,1,-80,-80,0.219999998807907,-17.6,-17.6,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-06 00:00:00,674317.1,EPMI-TECO-SVCE,7,22,15,-3000,-3000,0.219999998807907,-660,-660,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-06 00:00:00,674858.1,EPMI-TECO-SVCE,5,6,1,-25,-25,0.219999998807907,-5.5,-5.5,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-06 00:00:00,674858.1,EPMI-TECO-SVCE,5,6,1,-20,-20,0.219999998807907,-4.4,-4.4,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-07 00:00:00,676702.1,EPMI-TECO-SVCE,4,5,1,-45,-45,0.219999998807907,-9.9,-9.9,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-07 00:00:00,676702.1,EPMI-TECO-SVCE,5,6,1,0,0,0.219999998807907,0,0,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-08 00:00:00,676760.1,EPMI-TECO-SVCE,4,5,1,-45,-45,0.219999998807907,-9.9,-9.9,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-08 00:00:00,676760.1,EPMI-TECO-SVCE,5,6,1,-50,-50,0.219999998807907,-11,-11,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-08 00:00:00,676769.1,EPMI-TECO-SVCE,5,6,1,-95,-95,0.219999998807907,-20.9,-20.9,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-09 00:00:00,676086.1,EPMI-TECO-SVCE,6,22,16,-800,-800,0.219999998807907,-176,-176,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-09 00:00:00,676089.1,EPMI-TECO-SVCE,10,22,12,-1200,-1200,0.22,-264,-264,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-09 00:00:00,676832.1,EPMI-TECO-SVCE,5,6,1,-20,-20,0.219999998807907,-4.4,-4.4,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-09 00:00:00,676838.1,EPMI-TECO-SVCE,4,5,1,-45,-45,0.219999998807907,-9.9,-9.9,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-09 00:00:00,676838.1,EPMI-TECO-SVCE,22,23,1,-35,-35,0.219999998807907,-7.7,-7.7,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-09 00:00:00,676843.1,EPMI-TECO-SVCE,5,6,1,-25,-25,0.219999998807907,-5.5,-5.5,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-10 00:00:00,678024.1,EPMI-TECO-SVCE,4,5,1,-45,-45,0.219999998807907,-9.9,-9.9,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-10 00:00:00,678024.1,EPMI-TECO-SVCE,5,6,1,-145,-145,0.219999998807907,-31.9,-31.9,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-10 00:00:00,678530.1,EPMI-TECO-SVCE,6,8,2,-200,-200,0.219999998807907,-44,-44,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-10 00:00:00,678700.1,EPMI-TECO-SVCE,8,10,2,-50,-50,0.219999998807907,-11,-11,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-10 00:00:00,679171.1,EPMI-TECO-SVCE,10,14,4,-200,-200,0.219999998807907,-44,-44,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-10 00:00:00,679544.1,EPMI-TECO-SVCE,14,22,8,-400,-400,0.22,-88,-88,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-10 00:00:00,680414.1,EPMI-TECO-SVCE,22,23,1,-20,-20,0.219999998807907,-4.4,-4.4,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-10 00:00:00,680414.1,EPMI-TECO-SVCE,22,23,1,-40,-40,0.219999998807907,-8.8,-8.8,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-10 00:00:00,680414.1,EPMI-TECO-SVCE,22,23,1,-150,-150,0.219999998807907,-33,-33,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-10 00:00:00,680414.1,EPMI-TECO-SVCE,23,24,1,-30,-30,0.219999998807907,-6.6,-6.6,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-10 00:00:00,680414.1,EPMI-TECO-SVCE,23,24,1,-10,-10,0.219999998807907,-2.2,-2.2,R6-ERCOT,ERCOT System
ELECTRICRELCOU,T,2001-07-10 00:00:00,680414.1,EPMI-TECO-SVCE,22,24,2,-200,-200,0.219999998807907,-44,-44,R6-ERCOT,ERCOT System
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,-2740.1000000000004,,
