Shipper,Ctrc,Type,Expire,Vol
"CONOCO, INC.",107339,IT,2000-12-31 00:00:00,15000
"CONOCO, INC.",107704,FT,2001-10-31 00:00:00,6500
"COOK INLET ENERGY SUPPLY, L.L.P.",105636,IT,2000-07-01 00:00:00,999999999
"COOK INLET ENERGY SUPPLY, L.L.P.",107626,ID,2002-03-31 00:00:00,10000
COON RAPIDS MUNICIPAL UTILITIES,22308,FD,2003-05-31 00:00:00,297
COON RAPIDS MUNICIPAL UTILITIES,22308,FD,2003-05-31 00:00:00,17145
"CORAL ENERGY RESOURCES, L.P.",101384,IT,1996-05-31 00:00:00,50000
"CORAL ENERGY RESOURCES, L.P.",101402,ID,1997-05-19 00:00:00,100000
"CORAL ENERGY RESOURCES, L.P.",105153,FD,2003-04-30 00:00:00,67207
"CORAL ENERGY RESOURCES, L.P.",105153,FD,2003-04-30 00:00:00,11624466
"CORAL ENERGY RESOURCES, L.P.",105483,IT,2000-05-31 00:00:00,999999999
"CORAL ENERGY RESOURCES, L.P.",107873,ID,1997-05-19 00:00:00,390000
CORNERSTONE PROPANE L.P.,105878,IT,2000-09-30 00:00:00,999999999
CRESCENDO RESOURCES L.P.,22133,IT,1994-11-30 00:00:00,100000
CRESCENDO RESOURCES L.P.,22980,IT,1993-11-30 00:00:00,0
CRESCENDO RESOURCES L.P.,22980,IT,1993-11-30 00:00:00,999999999
"CROSS TIMBERS ENERGY SERVICES, INC.",107702,FT,2001-10-31 00:00:00,2904
"CROSSTEX ENERGY SERVICES, LTD.",105238,ID,2000-03-31 00:00:00,20000
"CULTOR FOOD SCIENCE, INC.",103049,FT,2007-10-31 00:00:00,600
CXY ENERGY MARKETING (U.S.A.) INC.,106473,ID,2001-03-31 00:00:00,25000
CXY ENERGY MARKETING (U.S.A.) INC.,106474,IT,2001-03-31 00:00:00,999999999
"DENVER CITY ENERGY ASSOCIATES, L.P.",103807,ID,2008-12-31 00:00:00,90000
"DENVER CITY ENERGY ASSOCIATES, L.P.",103810,IT,2008-12-31 00:00:00,90000
"DENVER CITY ENERGY ASSOCIATES, L.P.",105766,ID,2008-12-31 00:00:00,100000
"DENVER CITY ENERGY ASSOCIATES, L.P.",105833,IT,2000-05-31 00:00:00,999999999
"DEVON SFS OPERATING, INC.",104068,IT,1999-03-31 00:00:00,40000
"DUKE ENERGY FIELD SERVICES SOUTHWEST,INC",101001,IT,2000-02-29 00:00:00,9999999
"DUKE ENERGY FIELD SERVICES, LP",6166,IT,1991-08-03 00:00:00,5000
"DUKE ENERGY FIELD SERVICES, LP",21856,IT,1992-10-31 00:00:00,0
"DUKE ENERGY FIELD SERVICES, LP",21856,IT,1992-10-31 00:00:00,999999999
"DUKE ENERGY FIELD SERVICES, LP",22408,IT,1994-06-08 00:00:00,100000
"DUKE ENERGY FIELD SERVICES, LP",76474,IT,1991-04-30 00:00:00,1500
"DUKE ENERGY FIELD SERVICES, LP",101021,IT,1996-12-30 00:00:00,500000
"DUKE ENERGY FIELD SERVICES, LP",101067,IT,1996-01-31 00:00:00,999999999
"DUKE ENERGY FIELD SERVICES, LP",101073,IT,1996-12-30 00:00:00,500000
"DUKE ENERGY FIELD SERVICES, LP",104808,IT,1999-10-31 00:00:00,999999999
"DUKE ENERGY FIELD SERVICES, LP",104918,IT,2003-10-31 00:00:00,999999999
"DUKE ENERGY FIELD SERVICES, LP",104919,IT,2003-10-31 00:00:00,999999999
"DUKE ENERGY FIELD SERVICES, LP",104920,IT,2003-10-31 00:00:00,999999999
"DUKE ENERGY FIELD SERVICES, LP",104921,IT,2003-10-31 00:00:00,999999999
"DUKE ENERGY FIELD SERVICES, LP",104924,IT,2003-10-31 00:00:00,999999999
"DUKE ENERGY FIELD SERVICES, LP",105461,FT,2002-07-31 00:00:00,12000
"DUKE ENERGY FIELD SERVICES, LP",107455,IT,2001-12-31 00:00:00,999999999
"DUKE ENERGY FIELD SERVICES, LP",107974,FT,2002-05-31 00:00:00,7000
"DUKE ENERGY FIELD SERVICES, LP",108242,FT,2002-07-31 00:00:00,10000
"DUKE ENERGY FUELS, L.P.",22925,IT,1993-08-31 00:00:00,999999999
"DUKE ENERGY FUELS, L.P.",22926,IT,1993-08-31 00:00:00,999999999
"DUKE ENERGY FUELS, L.P.",103789,ID,1997-12-13 00:00:00,100000
"DUKE ENERGY TRADING AND MARKETING,L.L.C.",102242,IT,1997-10-31 00:00:00,30000
"DUKE ENERGY TRADING AND MARKETING,L.L.C.",105014,IT,1999-12-22 00:00:00,999999999
"DUKE ENERGY TRADING AND MARKETING,L.L.C.",105471,IT,1999-06-10 00:00:00,100000
"DUKE ENERGY TRADING AND MARKETING,L.L.C.",105520,IT,2000-05-31 00:00:00,999999999
"DUKE ENERGY TRADING AND MARKETING,L.L.C.",106069,ID,2000-10-31 00:00:00,1000000000
"DUKE ENERGY TRADING AND MARKETING,L.L.C.",106958,FT,2001-10-31 00:00:00,120000
"DUKE ENERGY TRADING AND MARKETING,L.L.C.",107690,FT,2001-10-31 00:00:00,50000
"DUKE ENERGY TRADING AND MARKETING,L.L.C.",107836,ID,2000-10-31 00:00:00,200000
"DUKE ENERGY TRADING AND MARKETING,L.L.C.",107946,ID,2000-10-31 00:00:00,200000
"DUKE ENERGY TRADING AND MARKETING,L.L.C.",108143,ID,2000-10-31 00:00:00,300000
"DYNEGY GAS TRANSPORTATION, INC.",21357,ID,1993-06-30 00:00:00,0
"DYNEGY GAS TRANSPORTATION, INC.",21357,ID,1993-06-30 00:00:00,250000
"DYNEGY GAS TRANSPORTATION, INC.",59750,IT,1991-10-22 00:00:00,400000
"DYNEGY GAS TRANSPORTATION, INC.",67248,IT,1991-08-15 00:00:00,0
"DYNEGY GAS TRANSPORTATION, INC.",67248,IT,1991-08-15 00:00:00,100000
"DYNEGY GAS TRANSPORTATION, INC.",69968,IT,1991-02-28 00:00:00,310000
"DYNEGY GAS TRANSPORTATION, INC.",105484,IT,2000-05-14 00:00:00,999999999
"DYNEGY GAS TRANSPORTATION, INC.",105936,IT,2000-10-31 00:00:00,999999999
"DYNEGY GAS TRANSPORTATION, INC.",106877,ID,1993-06-30 00:00:00,500000
"DYNEGY GAS TRANSPORTATION, INC.",107594,IT,2002-02-28 00:00:00,999999999
"DYNEGY GAS TRANSPORTATION, INC.",107648,ID,1993-06-30 00:00:00,500000
"DYNEGY GAS TRANSPORTATION, INC.",107809,ID,1993-06-30 00:00:00,500000
"DYNEGY GAS TRANSPORTATION, INC.",107810,ID,1993-06-30 00:00:00,500000
"DYNEGY GAS TRANSPORTATION, INC.",107812,ID,1993-06-30 00:00:00,500000
"DYNEGY GAS TRANSPORTATION, INC.",107835,ID,1993-06-30 00:00:00,70000
"DYNEGY GAS TRANSPORTATION, INC.",107839,ID,1993-06-30 00:00:00,400000
"DYNEGY GAS TRANSPORTATION, INC.",107909,ID,1993-06-30 00:00:00,39794
"DYNEGY GAS TRANSPORTATION, INC.",107911,ID,1993-06-30 00:00:00,273494
"DYNEGY GAS TRANSPORTATION, INC.",108015,ID,1993-06-30 00:00:00,153000
"DYNEGY GAS TRANSPORTATION, INC.",108121,ID,1993-06-30 00:00:00,1500000
"DYNEGY GAS TRANSPORTATION, INC.",108137,ID,1993-06-30 00:00:00,100000
"DYNEGY GAS TRANSPORTATION, INC.",108204,ID,1993-06-30 00:00:00,170000
"DYNEGY GAS TRANSPORTATION, INC.",108313,ID,1993-06-30 00:00:00,225000
"DYNEGY GAS TRANSPORTATION, INC.",108364,ID,1993-06-30 00:00:00,8795
DYNEGY MARKETING AND TRADE,107883,FT,2001-10-31 00:00:00,10000
E PRIME,104970,IT,1998-12-31 00:00:00,10000
E PRIME,105710,IT,2000-07-31 00:00:00,999999999
E PRIME,106514,IT,2001-03-31 00:00:00,999999999
E PRIME,106779,ID,2001-06-30 00:00:00,300000
"EL PASO MERCHANT ENERGY, L.P.",21212,IT,1994-06-07 00:00:00,100000
"EL PASO MERCHANT ENERGY, L.P.",21246,ID,1994-06-30 00:00:00,0
"EL PASO MERCHANT ENERGY, L.P.",21246,ID,1994-06-30 00:00:00,100000
"EL PASO MERCHANT ENERGY, L.P.",22380,IT,1994-05-31 00:00:00,100000
"EL PASO MERCHANT ENERGY, L.P.",22915,ID,1994-11-05 00:00:00,0
"EL PASO MERCHANT ENERGY, L.P.",22915,ID,1994-11-05 00:00:00,60000
"EL PASO MERCHANT ENERGY, L.P.",78578,IT,1991-09-27 00:00:00,100000
"EL PASO MERCHANT ENERGY, L.P.",102958,IT,1998-04-08 00:00:00,1000
"EL PASO MERCHANT ENERGY, L.P.",104728,ID,1999-10-05 00:00:00,500000
"EL PASO MERCHANT ENERGY, L.P.",104786,IT,1999-10-31 00:00:00,999999999
"EL PASO MERCHANT ENERGY, L.P.",105904,IT,2000-10-31 00:00:00,999999999
"EL PASO MERCHANT ENERGY, L.P.",106472,FT,2001-10-31 00:00:00,17000
"EL PASO MERCHANT ENERGY, L.P.",107007,IT,2001-10-31 00:00:00,25000
"EL PASO MERCHANT ENERGY, L.P.",107023,SW,2001-10-31 00:00:00,25000
"EL PASO MERCHANT ENERGY, L.P.",107172,IT,2001-10-31 00:00:00,3500
"EL PASO MERCHANT ENERGY, L.P.",107750,FT,2001-10-31 00:00:00,500
"EL PASO MERCHANT ENERGY, L.P.",108149,IT,2001-08-12 00:00:00,10000
EL PASO NATURAL GAS COMPANY,21043,IT,1994-04-30 00:00:00,400000
EL PASO NATURAL GAS COMPANY,21599,IT,1987-08-31 00:00:00,0
EL PASO NATURAL GAS COMPANY,21599,IT,1987-08-31 00:00:00,10000
EL PASO NATURAL GAS COMPANY,104467,IT,1999-06-26 00:00:00,100000
EMMETSBURG MUNICIPAL GAS WORKS,21578,FT,2003-10-31 00:00:00,1000
EMMETSBURG MUNICIPAL GAS WORKS,22742,FT,2003-10-31 00:00:00,1516
"ENA UPSTREAM COMPANY, L.L.C.",108347,IT,2002-09-30 00:00:00,999999999
"ENA UPSTREAM COMPANY, L.L.C.",108348,IT,2002-09-30 00:00:00,999999999
"ENA UPSTREAM COMPANY, L.L.C.",108366,IT,2002-09-30 00:00:00,10000
ENERGY RESOURCE TECHNOLOGY INC,22219,IT,1994-03-21 00:00:00,999999999
ENERGYONE VENTURES L.P.,105939,IT,2000-10-31 00:00:00,20000
ENERGYONE VENTURES L.P.,106129,IT,2000-11-30 00:00:00,999999999
ENERGYONE VENTURES L.P.,106155,FT,2003-10-31 00:00:00,184
ENERGYONE VENTURES L.P.,106176,ID,2000-12-11 00:00:00,10000
ENERGYUSA-TPC CORP.,108055,ID,2002-06-30 00:00:00,50000
"ENOGEX, INC.",21964,IT,1992-10-31 00:00:00,0
"ENOGEX, INC.",21964,IT,1992-10-31 00:00:00,999999999
"ENOGEX, INC.",102420,IT,1996-11-30 00:00:00,999999999
"ENOVATE, L.L.C.",107282,ID,2002-01-31 00:00:00,500000
"ENOVATE, L.L.C.",107283,IT,2002-01-31 00:00:00,50000
ENRON NORTH AMERICA CORP.,21233,ID,1997-06-30 00:00:00,0
ENRON NORTH AMERICA CORP.,21233,ID,1997-06-30 00:00:00,10000000
ENRON NORTH AMERICA CORP.,22170,IT,1994-03-31 00:00:00,250000
ENRON NORTH AMERICA CORP.,100919,IT,1996-10-31 00:00:00,50000
ENRON NORTH AMERICA CORP.,103960,ID,2001-01-31 00:00:00,1000000
ENRON NORTH AMERICA CORP.,104665,IT,1998-10-31 00:00:00,75000
ENRON NORTH AMERICA CORP.,105124,IT,2000-01-31 00:00:00,50000
ENRON NORTH AMERICA CORP.,105515,IT,2000-05-31 00:00:00,999999999
ENRON NORTH AMERICA CORP.,105922,IT,2000-10-31 00:00:00,999999999
ENRON NORTH AMERICA CORP.,106875,ID,1997-06-30 00:00:00,500000
ENRON NORTH AMERICA CORP.,107692,FT,2001-10-31 00:00:00,20000
ENRON NORTH AMERICA CORP.,107822,ID,1997-06-30 00:00:00,41748
"ENSERCO ENERGY, INC.",106899,IT,2001-08-31 00:00:00,50000
ENTEX GAS RESOURCES CORP,108109,IT,2002-08-28 00:00:00,10000
ENTEX GAS RESOURCES CORP,108110,IT,2002-07-08 00:00:00,999999999
ENTEX GAS RESOURCES CORP,108111,IT,2002-07-08 00:00:00,999999999
"EOG RESOURCES MARKETING, INC.",22681,IT,1998-09-22 00:00:00,47500
"EOG RESOURCES, INC.",21051,IT,1993-05-26 00:00:00,50000
"EOG RESOURCES, INC.",106607,IT,2000-12-31 00:00:00,999999999
"EOG RESOURCES, INC.",106742,ID,2001-06-16 00:00:00,200000
"EOG RESOURCES, INC.",106755,IT,2001-06-21 00:00:00,20000
EXXON CORPORATION,75167,IT,1991-04-14 00:00:00,0
EXXON CORPORATION,75167,IT,1991-04-14 00:00:00,100000
"FARMLAND INDUSTRIES, INC.",101932,ID,1997-03-31 00:00:00,100000
"FARMLAND INDUSTRIES, INC.",103032,FT,2003-10-31 00:00:00,44000
FLORIDA GAS TRANSMISSION COMPANY,5960,IT,1991-04-30 00:00:00,0
FLORIDA GAS TRANSMISSION COMPANY,5960,IT,1991-04-30 00:00:00,38000
FLORIDA GAS TRANSMISSION COMPANY,100760,IT,1995-10-31 00:00:00,999999999
FLOYD VALLEY HOSPITAL,102789,FT,2004-10-31 00:00:00,41
FLOYD VALLEY HOSPITAL,102792,FT,2004-10-31 00:00:00,66
"GEARY ENERGY, LLC",107443,IT,2002-01-04 00:00:00,10000
"GEARY ENERGY, LLC",107550,ID,2002-02-23 00:00:00,5000
"GEARY ENERGY, LLC",107569,IT,2002-02-23 00:00:00,999999999
"GEARY ENERGY, LLC",107570,IT,2002-02-23 00:00:00,999999999
"GOLDEN BELT TRANSPORTATION, LLC",107472,IT,2002-01-31 00:00:00,999999999
"GORHAM, INC.",21935,FT,2003-10-31 00:00:00,1200
GRAETTINGER MUNICIPAL GAS,21268,FT,2003-10-31 00:00:00,275
GRAETTINGER MUNICIPAL GAS,22744,FT,2003-10-31 00:00:00,266
GREAT LAKES GAS TRANSMISSION COMPANY,22867,IT,1993-10-31 00:00:00,0
