,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,2001/2002  FDD Information,,,,,,,Today's  Date,,12/19/'01,,,,,,,,,
,3.0,NSP-Wisc.,23544,1250,Mpls,4,,1250,,,1147.8,,0.91824,,Dec.,In Line with Jan. 31st Reqrmt's,,,,,,
,4.0,Mirant Amer. Ener./Southern Company Energy/PanAlberta ,102835,1000,EndUser,4,,1000,,,1000,,1,,Jan.,No  <  40%,,,,,,
,5.0,"Entergy/Axia Energy, LP/Koch Gas Services",102817,2000,Oma,1,,2000,,,1787,,0.8935,,,,,,,,,
,6.0,Williams Energy       (103970  ????),103938,1000,Hou.,4,,1000,,,976.2,,0.9762000000000001,,Feb.,No  >  25%,,,,,,
,7.0,"Duluth, City of",22334,750,Mpls,4,,750,,,700.6,,0.9341333333333334,,March ,"No  >  16.1%,  Nor  <  0%",,,,,,
,8.0,U. S. Energy Services as AGENT,103665,530.91,Mpls,4,,530.91,,,512.3,,0.9649469778305174,,April,"No  >  0%,  Nor  <  0%",,,,,,
,9.0,Superior W/L&P Co.,22312,250,Oma,4,,250,,,224.36,,0.89744,,,,,,,,,
,1.0,Fremont Dept. of Utilities,22309,202.51,Mpls,4,,0,,,0,,,,,,,,,,,
,2.0,Midwest Natural Gas Inc.,22315,79.449,Mpls,4,,0,,,0,,,,,,,,,,,
,10.0,Wisconsin Electric Power Co.,22344,50,DM,4,,50,,,40.4,,0.8079999999999999,,,,,,,,,
,3.0,Osage Municipal Utilities,22311,45,DM,4,,0,,,0,,,,,,,,,,,
,4.0,"Sac City, City of",22323,45,DM,4,,0,,,0,,,,,,,,,,,
,5.0,MidWest Natural Inc.,105214,35.551,DM,4,,0,,,0,,,,,,,,,,,
,6.0,"Two Harbors, City of",22303,32.4,Mpls,4,,0,,,0,,,,,,,,,,,
,7.0,"Waukee, City of",22328,25,DM,4,,0,,,0,,,,,,,,,,,
,8.0,Sheehan's Gas Co.,22302,18,Mpls,4,,0,,,0,,,,,,,,,,,
,11.0,Lake Park Municipal Utility,22368,15,Oma,4,,0,,,0,,,,,,,,,,,
,12.0,"Ponca, City of",22324,15,Oma,4,,0,,,0,,,,,,,,,,,
,11.0,"Sioux Center, City of",22301,13.777,Oma,4,,13.777,,,11.8,,0.8564999637076287,,,,,,,,,
,13.0,Northwest Natural Gas,22304,10,Mpls,4,,0,,,0,,,,,,,,,,,
,14.0,"Sabula, City of",22327,8,DM,4,,0,,,0,,,,,,,,,,,
,,,,,,4  =  4-STEP,,20828.767,,,19368.12,,0.9298735734093141,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1.0,MidAmerican Energy Co.,22316,6461.232,DM,3,,,6461.232,,6410,,0.9920708620275515,,,,3-Step,,,,,
,2.0,Interstate Power Company,22335,864.828,DM,3,,,864.828,,761.5,,0.8805219072462964,,Nov.   ,In Line with Jan. 31st Reqrmt's,,,,,,
,3.0,Wisconsin P&L,22342,500,DM,3,,,500,,379.84,,0.7596799999999999,,Dec.,In Line with Jan. 31st Reqrmt's,,,,,,
,4.0,NWPS Co.,102950,500,Oma,3,,,500,,478.27,,0.95654,,Jan.,No  <  40%,,,,,,
,5.0,NWPS Co.,22321,400,Oma,3,,,400,,385.5,,0.96375,,Feb.,No  >  25%,,,,,,
,6.0,"Circle Pines, City of",22326,29,Mpls,3,,,29,,27.35,,0.9431034482758621,,March ,"No  >  16.1%,  Nor  <  0%",,,,,,
,7.0,"Remsen, City of",22339,18.125,Oma,3,,,18.125,,18.03,,0.9947586206896553,,April,"No  >  0%,  Nor  <  0%",,,,,,
,8.0,Coon Rapids Municipal Utilities,22308,17.145,Mpls,3,,,17.145,,17.07,,0.9956255468066492,,,,,,,,,
,9.0,Manning Municipal Gas,22300,16.655,DM,3,,,16.655,,16.38,,0.9834884419093364,,,,,,,,,
,10.0,Brooklyn Municipal Utilities,22332,15,Mpls,3,,,15,,14.925,,0.995,,,,,,,,,
,11.0,"Sanborn, City of",22336,14.634,Oma,3,,,14.634,,14.18,,0.968976356430231,,,,,,,,,
,12.0,Hartley       (102830  ????),103962,10,Oma,3,,,10,,9.9,,0.99,,,,,,,,,
,13.0,Manilla Municipal Gas Dept.,22341,8.419,Oma,3,,,8.419,,8.37,,0.9941798313338874,,,,,,,,,
,14.0,"Rolfe, City of",22340,4.975,DM,3,,,4.975,,4.975,,1,,,,,,,,,
,,,,45329.614,,,15640.833999999999,20828.767,8860.013,,8546.29,,0.9645911354757606,,,,,,,,,
,,,,,,3  =  3-STEP,0.3450467061113735,0.4594957945152589,0.19545749937336776,,,,,,,,,,,,,
,30.0,Contracts  (active),,,,,,45329.613999999994,,,42773.409999999996,,0.9436085204696427,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,42773.409999999996,Filled Season ToDate,,,,,,,,,,
,,,,,,,,,,,2556.203999999998,Balance ReMaining,,,,,,,,,,
,,,,,,,,,,,0.056391479530357315,Balance ReMaining,,,,,,,,,,
