TransCanada PipeLines Limited,,,,,,,,,,,,,,,5518.380903660595,,0.03902936327414898
Updated to,2001-03-31 00:00:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shipper,Execution Date,Start Date,End Date,Service,Contract Demand (GJ/D),Operating Demand (GJ/D),Receipt Point,Delivery Area,Execution,Start,End,Iden,Fuel,100% Western (w/fuel),Volume (MMcf/d),Fuel Volume (GJ),Fuel Volume (MMc/fd)
"TENASKA MARKETING CANADA, A DIVISION OF TMV CORP.",20001023,20001101,20010331,FT,0,0,Empress,Emerson 2,2000-10-23 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0168,0,0,0,0
"KANNGAZ ENERGY MARKETING,",20001130,20001201,20010331,FT,7717,7717,Herbert,EDA,2000-11-30 00:00:00,2000-12-01 00:00:00,2001-03-31 00:00:00,1,0.0451,8065.0367,7.842688634522648,348.0367,0.3384415437919543
"EL PASO MERCHANT ENERGY, L. P.",20001001,20001001,20010331,FT,15000,0,St. Clair,EDA,2000-10-01 00:00:00,2000-10-01 00:00:00,2001-03-31 00:00:00,0,0.0451,0,0,0,0
MICHELIN NORTH AMERICA (CANADA) INC.,19900420,19900501,20010430,FT,1526,1526,Empress,CDA,1990-04-20 00:00:00,1990-05-01 00:00:00,2001-04-30 00:00:00,1,0.0451,1594.8226,1.493961018886461,68.82260000000001,0.06447004301194087
"CANADIAN WASTE SERVICES, INC.",19980601,19980531,20010531,FT,151,151,Empress,CDA,1998-06-01 00:00:00,1998-05-31 00:00:00,2001-05-31 00:00:00,1,0.0451,157.81009999999998,0.1478296945293942,6.8101,0.0063794079258211464
GREEN- LIFE PROTEINS LTD.,19890508,19890601,20010531,FT,83,83,Empress,CDA,1989-05-08 00:00:00,1989-06-01 00:00:00,2001-05-31 00:00:00,1,0.0451,86.74329999999999,0.0812573817611902,3.7433,0.0035065619724712264
ROXUL INC.,19890626,19890701,20010630,FT,249,249,Empress,CDA,1989-06-26 00:00:00,1989-07-01 00:00:00,2001-06-30 00:00:00,1,0.0451,260.2299,0.24377214528357063,11.2299,0.010519685917413679
UNION GAS LIMITED,19930401,19930401,20010731,FT,7672,7672,Empress,CDA,1993-04-01 00:00:00,1993-04-01 00:00:00,2001-07-31 00:00:00,1,0.0451,8018.007199999999,7.510923287612665,346.0072,0.324124619913244
UNION GAS LIMITED,19930401,19930401,20010831,FT,5108,5108,Empress,CDA,1993-04-01 00:00:00,1993-04-01 00:00:00,2001-08-31 00:00:00,1,0.0451,5338.3708,5.000755494411561,230.3708,0.21580142837810873
PANCANADIAN PETROLEUM LIMITED,19991014,19991101,20011031,FT,0,0,Dawn- Union,CDA,1999-10-14 00:00:00,1999-11-01 00:00:00,2001-10-31 00:00:00,0,0.0451,0,0,0,0
NITROCHEM CORP.,20000701,20000701,20011031,FT,2261,2261,Empress,EDA,2000-07-01 00:00:00,2000-07-01 00:00:00,2001-10-31 00:00:00,1,0.0451,2362.9710999999998,2.2135293995427836,101.9711,0.09552212794888486
"JOSEPH E. SEAGRAM & SONS, LIMITED",19891120,19891201,20011031,FT,2400,2400,Empress,MDA,1989-11-20 00:00:00,1989-12-01 00:00:00,2001-10-31 00:00:00,1,0.0139,2433.36,2.279466684832256,33.36,0.031250209013875485
MAPLE LEAF MEATS INC.,19951101,19951101,20011031,FT,1188,1188,Empress,MDA,1995-11-01 00:00:00,1995-11-01 00:00:00,2001-10-31 00:00:00,1,0.0139,1204.5132,1.1283360089919667,16.513199999999998,0.015468853461868362
SIMPLOT CANADA LIMITED,19900928,19911101,20011031,FT,2656,2656,Empress,MDA,1990-09-28 00:00:00,1991-11-01 00:00:00,2001-10-31 00:00:00,1,0.0139,2692.9184,2.52260979788103,36.9184,0.0345835646420222
TRANSGAS LIMITED,19950801,19950801,20011031,FT,1750,1750,Empress,SSDA,1995-08-01 00:00:00,1995-08-01 00:00:00,2001-10-31 00:00:00,1,0.0081,1764.175,1.6526030421778712,14.174999999999999,0.013278528560302308
DUKE ENERGY MARKETING LIMITED PARTNERSHIP,20001101,20001101,20011031,FT,10551,10551,Empress,EDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-10-31 00:00:00,1,0.0451,11026.8501,10.32947752966648,475.8501,0.4457558478499266
NORANDA INC.,19980423,19980501,20011031,FT,2930,2930,Empress,NDA,1998-04-23 00:00:00,1998-05-01 00:00:00,2001-10-31 00:00:00,1,0.0357,3034.601,2.842683319056222,104.60100000000001,0.09798570482794935
HUSKY OIL OPERATIONS LIMITED,19991027,19991101,20011031,FT,1300,1300,Empress,CDA,1999-10-27 00:00:00,1999-11-01 00:00:00,2001-10-31 00:00:00,1,0.0451,1358.6299999999999,1.2727059793921358,58.63,0.05492205499051318
THE CONSUMERS' GAS COMPANY LTD.,19990510,19991101,20011031,FT,15683,15683,Empress,CDA,1999-05-10 00:00:00,1999-11-01 00:00:00,2001-10-31 00:00:00,1,0.0451,16390.3033,15.35372913446682,707.3033,0.6625712218586295
THE CONSUMERS' GAS COMPANY LTD.,19990510,19991101,20011031,FT,26319,26319,Empress,EDA,1999-05-10 00:00:00,1999-11-01 00:00:00,2001-10-31 00:00:00,1,0.0451,27505.986899999996,25.766422055093553,1186.9869,1.1119181271502436
TRANSGAS LIMITED,19960101,19960701,20011031,FT,28493,28493,Empress,SSDA,1996-01-01 00:00:00,1996-07-01 00:00:00,2001-10-31 00:00:00,1,0.0081,28723.7933,26.907210560442337,230.7933,0.21619720815353924
CASCADES DOMINION INC.,19881025,19881101,20011031,FT,445,445,Empress,CDA,1988-10-25 00:00:00,1988-11-01 00:00:00,2001-10-31 00:00:00,1,0.0451,465.06949999999995,0.43565704679192335,20.0695,0.018800241900598747
DOW CHEMICAL CANADA INC.,19890825,19891001,20011031,FT,10000,10000,Empress,CDA,1989-08-25 00:00:00,1989-10-01 00:00:00,2001-10-31 00:00:00,1,0.0451,10451,9.790045995324121,451,0.4224773460808706
HUSKY OIL OPERATIONS LIMITED,20001101,20001101,20011031,FT,10551,10551,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-10-31 00:00:00,1,0.0451,11026.8501,10.32947752966648,475.8501,0.4457558478499266
IMPERIAL OIL LIMITED,19891129,19891201,20011031,FT,5650,5650,Empress,CDA,1989-11-29 00:00:00,1989-12-01 00:00:00,2001-10-31 00:00:00,1,0.0451,5904.815,5.531375987358128,254.815,0.23869970053569192
UNION GAS LIMITED,19881214,19881216,20011031,FT,36100,36100,Empress,CDA,1988-12-14 00:00:00,1988-12-16 00:00:00,2001-10-31 00:00:00,1,0.0451,37728.11,35.34206604312008,1628.1100000000001,1.5251432193519432
UNION GAS LIMITED,19890601,19890328,20011031,FT,31931,30349,Empress,CDA,1989-06-01 00:00:00,1989-03-28 00:00:00,2001-10-31 00:00:00,1,0.0451,33371.0881,31.260595867669455,1440.0881,1.349012413770828
UNION GAS LIMITED,19901005,19911101,20011031,FT,50341,50341,Empress,CDA,1990-10-05 00:00:00,1991-11-01 00:00:00,2001-10-31 00:00:00,1,0.0451,52611.3791,49.28407054506116,2270.3791,2.126793207905711
ANADARKO CANADA CORPORATION,19900327,19980501,20011031,FT,10782,10782,Empress,Emerson 2,1990-03-27 00:00:00,1998-05-01 00:00:00,2001-10-31 00:00:00,1,0.0168,10963.1376,10.269794407909991,181.1376,0.16968189029591643
HUSKY OIL OPERATIONS LIMITED,19950531,19950601,20011031,FT,16022,16022,Empress,Chippawa,1995-05-31 00:00:00,1995-06-01 00:00:00,2001-10-31 00:00:00,1,0.0506,16832.7132,15.768159645402303,810.7132,0.7594411555847674
MURPHY OIL COMPANY LTD.,19931101,19931101,20011031,FT,3617,3617,Empress,Emerson 2,1993-11-01 00:00:00,1993-11-01 00:00:00,2001-10-31 00:00:00,1,0.0168,3677.7655999999997,3.445172173382529,60.7656,0.056922592951245576
NORTHERN STATES POWER COMPANY (MINNESOTA),19931021,19931101,20011031,FT,15854,15854,Empress,Emerson 1,1993-10-21 00:00:00,1993-11-01 00:00:00,2001-10-31 00:00:00,1,0.0168,16120.347199999998,15.10084590456362,266.3472,0.2495025680533722
"VERMONT GAS SYSTEMS, INC.",20001101,20001101,20011031,FT,1000,1000,Empress,Philipsburg,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-10-31 00:00:00,1,0.0496,1049.6000000000001,0.9832200054245718,49.6,0.046463140500246525
FALCONBRIDGE LIMITED,19991129,19991201,20011031,STS,2300,2300,Pkwy,NDA,1999-11-29 00:00:00,1999-12-01 00:00:00,2001-10-31 00:00:00,0,0.0357,0,0,0,0
THE CONSUMERS' GAS COMPANY LTD.,19991021,19991101,20011031,STS,35806,35806,Pkwy,EDA,1999-10-21 00:00:00,1999-11-01 00:00:00,2001-10-31 00:00:00,0,0.0451,0,0,0,0
"VERMONT GAS SYSTEMS, INC.",20000506,20001101,20011031,STS,500,500,Pkwy,Philipsburg,2000-05-06 00:00:00,2000-11-01 00:00:00,2001-10-31 00:00:00,0,0.0496,0,0,0,0
PANCANADIAN PETROLEUM LIMITED,20000619,20001101,20011031,FT,7372,7372,St. Clair,CDA,2000-06-19 00:00:00,2000-11-01 00:00:00,2001-10-31 00:00:00,0,0.0451,0,0,0,0
PANCANADIAN PETROLEUM LIMITED,19990430,19991101,20011031,FT,14000,14000,St. Clair,SWDA,1999-04-30 00:00:00,1999-11-01 00:00:00,2001-10-31 00:00:00,0,0.0451,0,0,0,0
SIMPLOT CANADA LIMITED,19881209,19931101,20011031,FT,3768,3768,Welwyn,MDA,1988-12-09 00:00:00,1993-11-01 00:00:00,2001-10-31 00:00:00,1,0.0139,3820.3752,3.715049822482791,52.3752,0.05093124818277028
UNION GAS LIMITED,19981101,19981101,20011130,FT,8396,8396,Empress,Emerson 2,1998-11-01 00:00:00,1998-11-01 00:00:00,2001-11-30 00:00:00,1,0.0168,8537.0528,7.997142816621431,141.0528,0.13213217871679783
UNION GAS LIMITED,19930401,19930401,20011231,FT,5438,5438,Empress,CDA,1993-04-01 00:00:00,1993-04-01 00:00:00,2001-12-31 00:00:00,1,0.0451,5683.2537999999995,5.323827012257257,245.2538,0.22974318079877745
UNION GAS LIMITED,19930401,19930401,20020131,FT,3699,3699,Empress,CDA,1993-04-01 00:00:00,1993-04-01 00:00:00,2002-01-31 00:00:00,1,0.0451,3865.8248999999996,3.621338013670392,166.8249,0.15627437031531405
THE CONSUMERS' GAS COMPANY LTD.,19970401,19970501,20020331,FT,1713,1713,Empress,CDA,1997-04-01 00:00:00,1997-05-01 00:00:00,2002-03-31 00:00:00,1,0.0451,1790.2562999999998,1.677034878999022,77.2563,0.07237036938365314
UNION GAS LIMITED,19930401,19930401,20020331,FT,2471,2471,Empress,CDA,1993-04-01 00:00:00,1993-04-01 00:00:00,2002-03-31 00:00:00,1,0.0451,2582.4420999999998,2.4191203654445905,111.4421,0.10439415221658312
"GAZ METROPOLITAIN AND COMPANY, LIMITED PARTNERSHIP",19951218,19960416,20020415,STS,125545,125545,Pkwy,EDA,1995-12-18 00:00:00,1996-04-16 00:00:00,2002-04-15 00:00:00,0,0.0451,0,0,0,0
DOMTAR INC.,19900411,19900501,20020430,FT,136,136,Empress,MDA,1990-04-11 00:00:00,1990-05-01 00:00:00,2002-04-30 00:00:00,1,0.0139,137.8904,0.12916977880716116,1.8903999999999999,0.001770845177452944
CANADA BRICK A DIVISION OF JANNOCK LIMITED,19900420,19900501,20020430,FT,271,271,Empress,CDA,1990-04-20 00:00:00,1990-05-01 00:00:00,2002-04-30 00:00:00,1,0.0451,283.22209999999995,0.26531024647328366,12.222100000000001,0.011449136078791595
CANADA BRICK A DIVISION OF JANNOCK LIMITED,19900420,19900501,20020430,FT,4334,4334,Empress,CDA,1990-04-20 00:00:00,1990-05-01 00:00:00,2002-04-30 00:00:00,1,0.0451,4529.4634,4.243005934373474,195.4634,0.18310168179144934
FEDERAL WHITE CEMENT LTD.,19900403,19900501,20020430,FT,271,271,Empress,CDA,1990-04-03 00:00:00,1990-05-01 00:00:00,2002-04-30 00:00:00,1,0.0451,283.22209999999995,0.26531024647328366,12.222100000000001,0.011449136078791595
"ENGAGE ENERGY CANADA, L. P.",19990801,19990801,20020506,FT,10732,10732,Empress,CDA,1999-08-01 00:00:00,1999-08-01 00:00:00,2002-05-06 00:00:00,1,0.0451,11216.0132,10.506677362181847,484.01320000000004,0.4534026878139904
SAFETY- KLEEN LTD.,19890421,19890601,20020531,FT,109,109,Empress,CDA,1989-04-21 00:00:00,1989-06-01 00:00:00,2002-05-31 00:00:00,1,0.0451,113.9159,0.10671150134903291,4.9159,0.00460500307228149
"GEORGIA- PACIFIC CANADA, INC.",19960601,19960601,20020630,FT,762,0,Empress,MDA,1996-06-01 00:00:00,1996-06-01 00:00:00,2002-06-30 00:00:00,1,0.0139,772.5918,0.7237306724342412,10.5918,0.009921941361905467
FORD MOTOR COMPANY OF CANADA LTD.,19890419,19890701,20020630,FT,16745,16745,Empress,CDA,1989-04-19 00:00:00,1989-07-01 00:00:00,2002-06-30 00:00:00,1,0.0451,17500.1995,16.39343201917024,755.1995000000001,0.7074383160124179
CANADIAN GENERAL TOWER LIMITED,19890913,19891001,20020930,FT,826,826,Empress,CDA,1989-09-13 00:00:00,1989-10-01 00:00:00,2002-09-30 00:00:00,1,0.0451,863.2525999999999,0.8086577992137725,37.2526,0.034896628786279915
CENTRA GAS ONTARIO INC.,19920410,19921101,20021031,FT,5709,5709,Empress,EDA,1992-04-10 00:00:00,1992-11-01 00:00:00,2002-10-31 00:00:00,1,0.0451,5966.4758999999995,5.58913725873054,257.4759,0.24119231687756906
TRANSCANADA GAS SERVICES LIMITED,19941101,19941101,20021031,FT,2157,2157,Empress,WDA,1994-11-01 00:00:00,1994-11-01 00:00:00,2002-10-31 00:00:00,1,0.0232,2207.0424000000003,2.0674621193790585,50.042399999999994,0.04687756173728904
THE CONSUMERS' GAS COMPANY LTD.,19920325,19921101,20021031,FT,26952,14544,Empress,EDA,1992-03-25 00:00:00,1992-11-01 00:00:00,2002-10-31 00:00:00,1,0.0451,28167.5352,26.386131966597574,1215.5352,1.1386609431571626
THE CONSUMERS' GAS COMPANY LTD.,20000413,20001101,20021031,FT,10000,10000,Empress,EDA,2000-04-13 00:00:00,2000-11-01 00:00:00,2002-10-31 00:00:00,1,0.0451,10451,9.790045995324121,451,0.4224773460808706
THE CONSUMERS' GAS COMPANY LTD.,20000621,20001101,20021031,FT,4013,4013,Empress,EDA,2000-06-21 00:00:00,2000-11-01 00:00:00,2002-10-31 00:00:00,1,0.0451,4193.9863,3.9287454579235694,180.9863,0.16954015898225339
ACCO BRANDS INC. (EAST),19991027,19991101,20021031,FT,34,34,Empress,Cornwall,1999-10-27 00:00:00,1999-11-01 00:00:00,2002-10-31 00:00:00,1,0.047,35.598,0.033346670877576125,1.598,0.0014969374701490716
ACCO BRANDS INC. (WEST),19991013,19991101,20021031,FT,41,41,Empress,Cornwall,1999-10-13 00:00:00,1999-11-01 00:00:00,2002-10-31 00:00:00,1,0.047,42.927,0.040212161940606506,1.927,0.0018051304787091746
ALCOA INC.,19991028,19991101,20021031,FT,4591,4591,Empress,Cornwall,1999-10-28 00:00:00,1999-11-01 00:00:00,2002-10-31 00:00:00,1,0.047,4806.777,4.502781352910353,215.777,0.2021305860427761
ANDERSON EXPLORATION LIMITED,20000629,20000701,20021031,FT,1212,1212,Empress,Niagara,2000-06-29 00:00:00,2000-07-01 00:00:00,2002-10-31 00:00:00,1,0.0467,1268.6004,1.1883701335457448,56.6004,0.05302081325746277
CANSTATES GAS MARKETING,19920826,19920901,20021031,FT,81021,81021,Empress,Niagara,1992-08-26 00:00:00,1992-09-01 00:00:00,2002-10-31 00:00:00,1,0.0467,84804.6807,79.44136682344042,3783.6807,3.5443888704066757
CITY OF OGDENSBURG - WATER POLLUTION CONTROL,19991019,19991101,20021031,FT,19,19,Empress,Cornwall,1999-10-19 00:00:00,1999-11-01 00:00:00,2002-10-31 00:00:00,1,0.047,19.892999999999997,0.018634904313939597,0.893,0.0008365238803774224
GULF CANADA RESOURCES LIMITED,19990801,19990801,20021031,FT,0,0,Empress,Niagara,1999-08-01 00:00:00,1999-08-01 00:00:00,2002-10-31 00:00:00,1,0.0467,0,0,0,0
HUSKY OIL OPERATIONS LIMITED,19931130,19941101,20021031,FT,4536,4536,Empress,Niagara,1993-11-30 00:00:00,1994-11-01 00:00:00,2002-10-31 00:00:00,1,0.0467,4747.8312,4.447563470101896,211.8312,0.19843433080515768
HUSKY OIL OPERATIONS LIMITED,19940630,19941101,20021031,FT,15309,15309,Empress,Niagara,1994-06-30 00:00:00,1994-11-01 00:00:00,2002-10-31 00:00:00,1,0.0467,16023.9303,15.0105267115939,714.9303,0.6697158664674073
HUSKY OIL OPERATIONS LIMITED,19950811,19951101,20021031,FT,10782,10782,Empress,Iroq/ Wadd,1995-08-11 00:00:00,1995-11-01 00:00:00,2002-10-31 00:00:00,1,0.0508,11329.7256,10.613198233508868,547.7256,0.5130857158947949
ISH ENERGY LTD.,19990604,19990604,20021031,FT,0,0,Empress,Niagara,1999-06-04 00:00:00,1999-06-04 00:00:00,2002-10-31 00:00:00,1,0.0467,0,0,0,0
"KANNGAZ ENERGY MARKETING,",19940204,19940201,20021031,FT,15941,15941,Empress,Niagara,1994-02-04 00:00:00,1994-02-01 00:00:00,2002-10-31 00:00:00,1,0.0467,16685.4447,15.630204867040197,744.4447,0.6973636832815298
"KANNGAZ ENERGY MARKETING,",19880920,19881118,20021031,FT,0,0,Empress,Niagara,1988-09-20 00:00:00,1988-11-18 00:00:00,2002-10-31 00:00:00,1,0.0467,0,0,0,0
MARATHON CANADA LIMITED,20000628,20000701,20021031,FT,4313,4313,Empress,Niagara,2000-06-28 00:00:00,2000-07-01 00:00:00,2002-10-31 00:00:00,1,0.0467,4514.4171,4.228911209556763,201.4171,0.18867885113814928
NORTHERN STATES POWER COMPANY (WISCONSIN),19920831,19921101,20021031,FT,12009,12009,Empress,Emerson 1,1992-08-31 00:00:00,1992-11-01 00:00:00,2002-10-31 00:00:00,1,0.0168,12210.751199999999,11.43850501248294,201.75119999999998,0.1889918216067205
NORTHERN STATES POWER COMPANY (WISCONSIN),19920831,19921101,20021031,FT,12009,11823,Empress,Emerson 2,1992-08-31 00:00:00,1992-11-01 00:00:00,2002-10-31 00:00:00,1,0.0168,12210.751199999999,11.43850501248294,201.75119999999998,0.1889918216067205
NORTHERN STATES POWER COMPANY (WISCONSIN),19941101,19941101,20021031,FT,8003,0,Empress,Emerson 2,1994-11-01 00:00:00,1994-11-01 00:00:00,2002-10-31 00:00:00,1,0.0168,8137.4504,7.622812525181195,134.4504,0.1259473351918215
REYNOLDS METALS COMPANY,19991011,19991101,20021031,FT,1613,1613,Empress,Cornwall,1999-10-11 00:00:00,1999-11-01 00:00:00,2002-10-31 00:00:00,1,0.047,1688.811,1.5820052978097143,75.811,0.07101647468677802
"ST. LAWRENCE GAS COMPANY, INC.",19960801,19960801,20021031,FT,2088,2073,Empress,Cornwall,1996-08-01 00:00:00,1996-08-01 00:00:00,2002-10-31 00:00:00,1,0.047,2186.136,2.0478779056582046,98.136,0.09192957169621356
TALISMAN ENERGY INC.,19960601,19960601,20021031,FT,0,0,Empress,Niagara,1996-06-01 00:00:00,1996-06-01 00:00:00,2002-10-31 00:00:00,1,0.0467,0,0,0,0
THE CONSUMERS' GAS COMPANY LTD.,20000621,20001101,20021031,FT,0,0,Empress,Cornwall,2000-06-21 00:00:00,2000-11-01 00:00:00,2002-10-31 00:00:00,1,0.047,0,0,0,0
THE ST. LAWRENCE UNIVERSITY,19991027,19991101,20021031,FT,362,347,Empress,Cornwall,1999-10-27 00:00:00,1999-11-01 00:00:00,2002-10-31 00:00:00,1,0.047,379.01399999999995,0.35504396640242813,17.014,0.015937981299822466
TRANSCANADA ENERGY LIMITED,20000320,20000401,20021031,FT,13773,0,Empress,Spruce,2000-03-20 00:00:00,2000-04-01 00:00:00,2002-10-31 00:00:00,1,0.0156,13987.8588,13.103222756492134,214.8588,0.2012704558894026
TRANSCANADA GAS SERVICES LIMITED,19921101,19921101,20021031,FT,8771,8771,Empress,Cornwall,1992-11-01 00:00:00,1992-11-01 00:00:00,2002-10-31 00:00:00,1,0.047,9183.237,8.602460301977064,412.237,0.38616583972580903
TRANSCANADA GAS SERVICES LIMITED,19871101,19871101,20021031,FT,27002,27002,Empress,Niagara,1987-11-01 00:00:00,1987-11-01 00:00:00,2002-10-31 00:00:00,1,0.0467,28262.9934,26.475553090760894,1260.9934,1.1812442240742655
TRANSCANADA GAS SERVICES LIMITED,19960501,19960501,20021031,FT,8932,8932,Empress,Spruce,1996-05-01 00:00:00,1996-05-01 00:00:00,2002-10-31 00:00:00,1,0.0156,9071.3392,8.497639269657137,139.3392,0.13052695215306354
UNITED HELPERS CANTON NURSING HOME INC.,19991011,19991101,20021031,FT,26,26,Empress,Cornwall,1999-10-11 00:00:00,1999-11-01 00:00:00,2002-10-31 00:00:00,1,0.047,27.221999999999998,0.025500395376969978,1.222,0.0011447168889375252
UNITED HELPERS NURSING HOME INC.,19991011,19991101,20021031,FT,26,26,Empress,Cornwall,1999-10-11 00:00:00,1999-11-01 00:00:00,2002-10-31 00:00:00,1,0.047,27.221999999999998,0.025500395376969978,1.222,0.0011447168889375252
"OCEAN ENERGY, INC.",19960301,19960301,20021031,FT,37741,37741,Herbert,Emerson 2,1996-03-01 00:00:00,1996-03-01 00:00:00,2002-10-31 00:00:00,1,0.0168,38375.0488,37.317072478171355,634.0487999999999,0.6165684673812735
THE CONSUMERS' GAS COMPANY LTD.,19921101,19921101,20021031,STS,153700,153700,Pkwy,CDA,1992-11-01 00:00:00,1992-11-01 00:00:00,2002-10-31 00:00:00,0,0.0451,0,0,0,0
TRANSCANADA GAS SERVICES LIMITED,19921101,19921101,20021031,STS,10785,10785,Pkwy,Cornwall,1992-11-01 00:00:00,1992-11-01 00:00:00,2002-10-31 00:00:00,0,0.047,0,0,0,0
