,,,,
,,,,
,,,,
Resp,Supervisor,Co #,Company Name,Due Date
TK,JSG,967,Risk Management & Trading Corp.,1999-11-15 00:00:00
RO,KRE,969,ECM Treasury,1999-11-22 00:00:00
AL,JSG,973,Enron CASH Company No. 5,1999-11-15 00:00:00
CN,KRE,975,JEDI Hydrocarbon Investments II Limited Partnership,1999-11-29 00:00:00
RO,KRE,976,"ECT Eocene Enterprises, Inc.",1999-11-15 00:00:00
RO,KRE,977,"HGK Enterprises GP, Inc.",1999-11-15 00:00:00
RO,KRE,978,"HGK Enterprises LP, Inc.",1999-11-15 00:00:00
RO,KRE,979,"ECT Eocene Enterprises II, Inc.",1999-11-15 00:00:00
RO,KRE,980,Destec Properties Limited Partnership,1999-11-15 00:00:00
LL,SV,988,"Enserco, Inc.",1999-11-15 00:00:00
MS,NG,990,"Little Piper, L.L.C.",1999-11-29 00:00:00
MS,NG,991,"Middle Piper, L.L.C.",1999-11-15 00:00:00
MS,NG,992,"Main Piper, L.P.",1999-11-22 00:00:00
TK,JSG,16G,ECM Energy Fund,1999-11-22 00:00:00
TK,JSG,16S,ECM Hedge Fund,1999-11-22 00:00:00
TK,JSG,1N2,ECT Finance,1999-11-15 00:00:00
RJG,NG,1V1,"Richmond Power Holdings, Inc.",1999-11-22 00:00:00
LK,NG,1Y2,RMTC Liquids,1999-11-22 00:00:00
AJ,SV,1Y3,RMTC Treasury,1999-11-15 00:00:00
LL,SV,21D,Enron Mexico Holdings I Ltd.,1999-11-29 00:00:00
RO,KRE,24L,"ECT Eocene Enterprises III, Inc.",1999-11-22 00:00:00
CN,KRE,26S,Enron Capital II Corp.,1999-11-22 00:00:00
CN,KRE,26T,Enron Capital III Corp.,1999-11-22 00:00:00
CN,KRE,26U,Enron Capital IV Corp.,1999-11-22 00:00:00
CN,KRE,26V,Enron Capital North America Corp. ,1999-11-22 00:00:00
RO,KRE,26Y,Enron Nuclear Services Corp.,1999-11-22 00:00:00
MS,NG,27L,Enron Catalytica,1999-11-15 00:00:00
RO,KRE,27M,Equity Investing,1999-11-22 00:00:00
CN,KRE,27Q,"JEDI Hydrocarbon Investments III, L.L.C.",1999-11-15 00:00:00
CN,KRE,27S,"JEDI Capital II, L.L.C.",1999-11-29 00:00:00
HK,SV,28C,ECT Canada Accounting Entity,1999-11-15 00:00:00
HK,SV,28P,FirstPoint Reserve,1999-11-15 00:00:00
LK,NG,29K,Enron MTGE Trading,1999-11-15 00:00:00
LK,NG,29L,Enron Petrochemical Trading,1999-11-22 00:00:00
LK,NG,29P,Enron Oil Trading,1999-11-29 00:00:00
TK,JSG,30E,Industrials Acctg. Entity (Div of 413),1999-11-15 00:00:00
TK,JSG,33Q,ECT-Coal (Accounting Entity),1999-11-29 00:00:00
TK,JSG,33R,RMT-Coal (Accounting Entity),1999-11-29 00:00:00
RO,KRE,33Z,"ECT Coal Company No. 1, L.L.C.",1999-11-22 00:00:00
RJG,NG,34H,"Pittsburg District Energy Facility, LLC",1999-11-22 00:00:00
HK,SV,34K,NAES Originations,1999-11-22 00:00:00
TK,JSG,34M,ECT Securities GP Corp,1999-11-22 00:00:00
TK,JSG,37H,ECT Securities Limited Partnership,1999-11-22 00:00:00
CN,KRE,38M,Enron Capital Management L.L.C.,1999-11-22 00:00:00
LL,SV,38P,Enron Mexico Holdings I L.L.C.,1999-11-29 00:00:00
LL,SV,38Q,Enron Mexico Holdings II L.L.C.,1999-11-29 00:00:00
CN,KRE,38X,"Bonne Terre Exploration Company, L.L.C.",1999-11-29 00:00:00
RJG,NG,39A,Fulton Power I L.L.C.,1999-11-22 00:00:00
RJG,NG,39B,Calvert City Power I L.L.C.,1999-11-22 00:00:00
CN,KRE,39S,"Enron Sacramento Basin, L.L.C.",1999-11-15 00:00:00
RJG,NG,39W,"Doyle I, L.L.C.",1999-11-29 00:00:00
AL,JSG,40N,ECT Securities LP Corp. (PGE is responsible for Accting),1999-11-15 00:00:00
RJG,NG,41G,"Long Beach District Energy Facility, LLC",1999-11-29 00:00:00
LL,SV,42H,Enron Mexico Hodlings III L.L.C.,1999-11-29 00:00:00
LL,SV,42J,Enron Mexico Holdings IV L.L..C.,1999-11-29 00:00:00
TK,JSG,43N,ECT Prepay,1999-11-15 00:00:00
RJG,NG,44Q,Des Plaines Green Land Devleopment L.L.C.,1999-11-29 00:00:00
RJG,NG,44R,"Kendall New Century Development, L.L.C.",1999-11-29 00:00:00
HK,SV,44W,Gleason Power I L.L.C.,1999-11-29 00:00:00
LL,SV,45A,Enron Mexico IX BV,1999-11-29 00:00:00
LL,SV,45B,"Enron Energia Industrial de Mexico, B.V.",1999-11-29 00:00:00
LL,SV,46H,"Sundance Assets, L.P.",1999-11-22 00:00:00
LL,SV,46K,Sundance ECT US,1999-11-22 00:00:00
LL,SV,46L,Sundance ECT Canada,1999-11-22 00:00:00
RJG,NG,46N,"Fort Union Gas Gathering, LLC",1999-11-29 00:00:00
RO,KRE,46V,"JEDI Camden GP, L.L.C.",1999-11-29 00:00:00
RO,KRE,46W,"JEDI Camden LP, L.L.C.",1999-11-29 00:00:00
RO,KRE,46X,"JEDI Linden GP, L.L.C.",1999-11-29 00:00:00
RO,KRE,46Y,"JEDI Linden LP, L.L.C.",1999-11-29 00:00:00
TK,JSG,47F,"ECT Coal Company No. 2, L.L.C.",1999-11-22 00:00:00
RO,KRE,49L,"JEDI Bayonne GP, L.L.C.",1999-11-29 00:00:00
RO,KRE,49P,"JEDI Linden, Inc.",1999-11-29 00:00:00
TK,JSG,49R,ECT Merchant Finance,1999-11-15 00:00:00
RO,KRE,51H,"JEDI Linden, NB LLC",1999-11-15 00:00:00
AJ,SV,51Q,"East Fork Land Development Company, LLC",1999-11-22 00:00:00
AJ,SV,51R,"West Fork Land Development Company, LLC",1999-11-22 00:00:00
RO,KRE,51U,Cogen Technologies Camden GP Limited Partnership,1999-11-15 00:00:00
RO,KRE,52F,Cogen Technologies NJ Venture,1999-11-15 00:00:00
RO,KRE,52G,"Cogen Technologies Linden, Ltd.",1999-11-15 00:00:00
RO,KRE,52H,"Cogen Technologies Linden Venture, L.P.",1999-11-15 00:00:00
RO,KRE,52J,"Camden Cogen, L.P.",1999-11-15 00:00:00
LL,SV,52K,"EnSerCo Offshore, LLC",1999-11-15 00:00:00
TK,JSG,54A,ECT Investments Credit,1999-11-22 00:00:00
HK,SV,54B,Wheatland,1999-11-22 00:00:00
HK,SV,54C,Wilton Center,1999-11-22 00:00:00
HK,SV,54D,Calvert City,1999-11-22 00:00:00
RJG,NG,55Z,Enron - SE Corp,1999-11-15 00:00:00
RJG,NG,56R,"Enron Generation Company, LLC",1999-11-15 00:00:00
RJG,NG,56S,"EGC 1999 Holding Company, LP",1999-11-15 00:00:00
RJG,NG,56T,"EGS 2000 Holding Company, LP",1999-11-15 00:00:00
RJG,NG,56U,"EGC LP Company, LLC",1999-11-22 00:00:00
RJG,NG,56V,"EGC GP Company, LLC",1999-11-22 00:00:00
CN,KRE,57P,Magellan LLC,1999-11-22 00:00:00
MS,NG,57Y,"MEGS, LLC",1999-11-29 00:00:00
AJ,SV,61D,"Blue Ox Power Marketing, L.L.C.",1999-11-22 00:00:00
AJ,SV,63K,"Enron Midstream Services, L.L.C.",1999-11-29 00:00:00
LL,SV,63N,"Enron Industrial Energy of Mexico Holdings I, L.L.C.",1999-11-29 00:00:00
LL,SV,63P,"Enron Industrial Energy of Mexico Holdings II, L.L.C.",1999-11-29 00:00:00
RO,KRE,64F,"Desert Arc I, L.L.C.",1999-11-22 00:00:00
RO,KRE,64G,"Desert Arc II, L.L.C.",1999-11-22 00:00:00
AJ,SV,65C,"Gotham Energy, L.L.C.",1999-11-29 00:00:00
TK,JSG,65Q,"ENACT I, LLC",1999-11-22 00:00:00
TK,JSG,65R,"ENACT II, LLC",1999-11-22 00:00:00
AJ,SV,67T,"Coyote Springs 2, L.L.C.",1999-11-29 00:00:00
MS,NG,,HPL/IGC South Texas P/L Pship,1999-11-22 00:00:00
HK,SV,,Ecogas Corporation,
HK,SV,,Ecogas Funding Corp.,
HK,SV,,"Landfill Ecogas, Inc.",
HK,SV,,"Ecogas McCommas Bluff, Inc.",
HK,SV,,"Medio Creek LFG, LLC",
HK,SV,,"Tahlequah, L.P.",
HK,SV,,Fresh Gas LLC,
HK,SV,,"Bridgeton Gas Producers, LLC",
HK,SV,,"St. Louis Gas Producers, LLC",
HK,SV,,"Ecovest-Nelson Gardens, LLC",
HK,SV,,"Monteco Gas, LLC",
HK,SV,,"GSF Energy, LLC",
HK,SV,,"Dade County LGP, LLC",
HK,SV,,"San Antonio LGP, LLC",
HK,SV,,"Dallas Landfill Gas Production, LLC",
HK,SV,,"Landfill Gas Production, LLC.",
