ENA,Contact:,Theresa Staab,,,,,,,,,Gathering Volume Detail,,,,,,,,,,,,,,,,,,,
2001-09-01 00:00:00,PH:,303-575-6485,,,,,,,,,,,,,,,,,Scott Sitter,,,,,,,,,,,
,FAX:,303-534-0552,,,,,,,,,,,,,,,,,720-946-3692,,,,,,,,,,,
2001-09-08 00:00:00,14021,13396,-1246,30250,28903,-2383,0,0,0,15188,14231,-711,12553,11838,-804,895,865,-106,2525,2344,-188,565,539.6235899999999,-1.0792471799999999,3,3,-1,,,
2001-09-09 00:00:00,13924,13303,-1449,30896,29520,-2695,0,0,0,14959,14017,-714,12553,11838,-806,896,866,-107,2511,2330,-187,565,539.6235899999999,-1.0792471799999999,1,1,0,,,
2001-09-10 00:00:00,14137,13507,-1092,31110,29726,-2109,968,898,-2,14167,13274,-673,12553,11838,-792,881,852,-102,2455,2279,-182,565,539.6235899999999,-1.0792471799999999,0,0,0,,,
2001-09-11 00:00:00,8811,8422,-590,3308,3170,-196,0,0,0,6897,6462,-420,3769,3554,-194,0,0,0,0,0,0,565,539.6235899999999,-1.0792471799999999,0,0,0,,,
2001-09-12 00:00:00,13189,12602,-2418,3454,3316,-609,0,0,0,7746,7258,-348,5120,4828,-329,0,0,0,0,0,0,565,539.6235899999999,-1.0792471799999999,0,0,0,,,
2001-09-13 00:00:00,13006,12426,-1280,14917,14226,-1305,0,0,0,7755,7266,-348,6741,6357,-437,40,39,-6,0,0,0,565,539.6235899999999,-1.0792471799999999,0,0,0,,,
2001-09-14 00:00:00,13215,12625,-962,26370,25202,1657,436,405,-7,14541,13625,-865,12553,11838,-827,910,880,-124,2326,2159,-173,565,539.6235899999999,-1.0792471799999999,549,515,-66,,,
2001-09-15 00:00:00,11955,11420,-1437,30076,28746,-2469,0,0,0,14719,13792,-673,12553,11838,-800,834,806,-107,2530,2348,-188,565,539.6235899999999,-1.0792471799999999,1059,993,-101,,,
2001-09-16 00:00:00,13613,13006,-1105,30479,29131,-1928,1040,965,-3,15060,14111,-693,12553,11838,-792,844,816,-105,2731,2536,-203,565,539.6235899999999,-1.0792471799999999,1041,976,-100,,,
2001-09-17 00:00:00,13119,12532,-929,30096,28758,-1393,750,696,-4,15232,14272,-746,12553,11838,-794,846,818,-102,2638,2449,-196,565,539.6235899999999,-1.0792471799999999,939,881,-96,,,
2001-09-18 00:00:00,13346,12752,-1118,30459,29105,-2168,841,780,-1,15326,14360,-683,12553,11838,-794,806,779,-83,2600,2414,-193,565,539.6235899999999,-1.0792471799999999,919,862,-87,,,
2001-09-19 00:00:00,13858,13241,-1350,30272,28920,-2626,725,673,-3,13934,13056,-654,12553,11838,-795,788,762,-82,2587,2401,-192,565,539.6235899999999,-1.0792471799999999,996,934,-100,,,
2001-09-20 00:00:00,13930,13309,-1522,31180,29788,-3220,702,651,-2,15019,14073,-702,12553,11838,-791,845,817,-95,2530,2349,-187,565,539.6235899999999,-1.0792471799999999,578,542,-63,,,
2001-09-21 00:00:00,13905,13286,-1054,31083,29692,-1943,372,345,-1,14024,13140,-655,12553,11838,-785,822,795,-100,2516,2336,-187,565,539.6235899999999,-1.0792471799999999,850,797,-112,,,
2001-09-22 00:00:00,12938,12361,-1092,28370,27104,-1726,153,142,0,15017,14071,-685,12553,11838,-795,267,258,-35,2394,2223,-177,565,539.6235899999999,-1.0792471799999999,256,240,-27,,,
2001-09-23 00:00:00,13646,13039,-1194,30972,29586,-2220,774,718,-1,15167,14211,-674,12553,11838,-792,1,1,-1,2523,2342,-188,565,539.6235899999999,-1.0792471799999999,0,0,0,,,
2001-09-24 00:00:00,13806,13191,-1259,31632,30222,-2360,511,474,-1,14954,14012,-678,12553,11838,-792,816,789,-84,2368,2197,-176,565,539.6235899999999,-1.0792471799999999,0,0,0,,,
2001-09-25 00:00:00,13871,13252,-1203,30156,28815,-2380,419,389,-1,15069,14120,-727,12553,11838,-784,774,748,-86,2477,2299,-184,565,539.6235899999999,-1.0792471799999999,953,894,-89,,,
2001-09-26 00:00:00,14037,13412,-1397,30592,29229,-2997,362,336,-8,11508,10783,-701,12553,11838,-781,728,704,-99,2275,2111,-169,565,539.6235899999999,-1.0792471799999999,741,695,-88,,,
2001-09-27 00:00:00,14039,13413,-1110,31290,29896,-2172,600,557,-73,13166,12337,-802,12553,11838,-791,575,556,-142,2273,2110,-169,565,539.6235899999999,-1.0792471799999999,21,20,-5,,,
2001-09-28 00:00:00,14134,13504,-1297,31745,30330,-2575,566,525,-1,15030,14083,-681,12553,11838,-789,951,920,-87,2274,2110,-169,565,539.6235899999999,-1.0792471799999999,866,812,-79,,,
2001-09-29 00:00:00,14064,13437,-1054,29389,28084,-1883,44,41,-4,13992,13111,-852,12553,11838,-781,941,910,-175,2273,2109,-169,565,539.6235899999999,-1.0792471799999999,949,890,-177,,,
2001-09-30 00:00:00,13929,13308,-1193,27483,26268,-2159,0,0,0,14119,13230,-658,12553,11838,-783,98,95,-13,1248,1161,-93,565,539.6235899999999,-1.0792471799999999,86,81,-8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,404664,386629,-37572,840907,803488,-62675,12840,11913,-134,411199,385294,-20549,354561,334365,-22465,21771,21050,-2664,65587,60883,-4873,16950,16188.70769999999,-32.37741539999999,17827,16722,-1870,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,Daily Avg.
Gathered,,386629,,,803488,,,11913,,,385294,,,334365,,,21050,,,60883,,,16188.70769999999,,,16722,,Total Gathered,2036532.7077,67884.42358999999
Fuel,,,-37572,,,-62675,,,-134,,,-20549,,,-22465,,,-2664,,,-4873,,,-32.37741539999999,,,-1870,Total Fuel,-152834.3774154,-5094.47924718
Net Purchase,,349057,,,740813,,,11779,,,364745,,,311900,,,18386,,,56010,,,16156.33028459999,,,14852,,Net Purchase,1883698.3302846,62789.944342819996
