Date,source_system_nm,enron_entity,deal_num,pr_deal,buy_exposure,sell_volume,sell_exposure,Net Volumes,Net Exposure,counterparty_legal_nm,product_cd,
2002-01-04 00:00:00,Power Books,EPMI,226189.01,,155287.5,,0,7575,-155287.5,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-05 00:00:00,Power Books,EPMI,226189.01,,168100,,0,8200,-168100,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-06 00:00:00,Power Books,EPMI,226189.01,,164000,,0,8000,-164000,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-07 00:00:00,Power Books,EPMI,226189.01,,168100,,0,8200,-168100,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-08 00:00:00,Power Books,EPMI,226189.01,,159900,,0,7800,-159900,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-09 00:00:00,Power Books,EPMI,226189.01,,172200,,0,8400,-172200,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-10 00:00:00,Power Books,EPMI,226189.01,,160412.5,,0,7825,-160412.5,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-11 00:00:00,Power Books,EPMI,226189.01,,164000,,0,8000,-164000,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-12 00:00:00,Power Books,EPMI,226189.01,,176300,,0,8600,-176300,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
,,,,,,,,96200,-1972100,,,
,,,,,,,,,,,,
2001-01-05 00:00:00,Power Books,EPMI,249547.01,,0,400,7960,-400,7960,"Merchant Energy Group of the Americas, Inc.",POW-WSCC-S,MEGA ID#s
2001-01-06 00:00:00,Power Books,EPMI,249547.01,,0,7600,151240,-7600,151240,"Merchant Energy Group of the Americas, Inc.",POW-WSCC-S,ABA338
2001-01-07 00:00:00,Power Books,EPMI,249547.01,,0,8600,171140,-8600,171140,"Merchant Energy Group of the Americas, Inc.",POW-WSCC-S,
2001-01-08 00:00:00,Power Books,EPMI,249547.01,,0,7800,155220,-7800,155220,"Merchant Energy Group of the Americas, Inc.",POW-WSCC-S,
2001-01-09 00:00:00,Power Books,EPMI,249547.01,,0,8400,167160,-8400,167160,"Merchant Energy Group of the Americas, Inc.",POW-WSCC-S,
2001-01-10 00:00:00,Power Books,EPMI,249547.01,,0,7825,155717.5,-7825,155717.5,"Merchant Energy Group of the Americas, Inc.",POW-WSCC-S,
2001-01-11 00:00:00,Power Books,EPMI,249547.01,,0,8000,159200,-8000,159200,"Merchant Energy Group of the Americas, Inc.",POW-WSCC-S,
2001-01-12 00:00:00,Power Books,EPMI,249547.01,,0,8600,171140,-8600,171140,"Merchant Energy Group of the Americas, Inc.",POW-WSCC-S,
,,,,,,,,-57225,1138777.5,,,
,,,,,,,,,,,,
2001-01-10 00:00:00,Power Books,EPMI,329919.01,,539120,,0,18400,-539120,"Merchant Energy Group of the Americas, Inc.",POW-SPP,MEGA ID#s
2001-01-11 00:00:00,Power Books,EPMI,329919.01,,492240,,0,16800,-492240,"Merchant Energy Group of the Americas, Inc.",POW-SPP,ABL377
2001-01-12 00:00:00,Power Books,EPMI,329919.01,,468800,,0,16000,-468800,"Merchant Energy Group of the Americas, Inc.",POW-SPP,
,,,,,,,,51200,-1500160,,,
,,,,,,,,,,,,
2001-01-05 00:00:00,Power Books,EPMI,432048.01,,0,1200,61200,-1200,61200,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,MEGA ID#s
2001-01-06 00:00:00,Power Books,EPMI,432048.01,,0,18000,918000,-18000,918000,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,ABW442
2001-01-07 00:00:00,Power Books,EPMI,432048.01,,0,18600,948600,-18600,948600,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,ABW443
2001-01-08 00:00:00,Power Books,EPMI,432048.01,,0,18600,948600,-18600,948600,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,
2001-01-09 00:00:00,Power Books,EPMI,432048.01,,0,18000,918000,-18000,918000,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,
2001-01-10 00:00:00,Power Books,EPMI,432048.01,,0,18625,949875,-18625,949875,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,
2001-01-11 00:00:00,Power Books,EPMI,432048.01,,0,18000,918000,-18000,918000,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,
2001-01-12 00:00:00,Power Books,EPMI,432048.01,,0,18600,948600,-18600,948600,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,
,,,,,,,,-129625,6610875,,,
,,,,,,,,,,,,
2001-01-05 00:00:00,Power Books,EPMI,510554.01,,32400,,0,1600,-32400,"Merchant Energy Group of the Americas, Inc.",POW-SP15,MEGA ID #s
2001-01-06 00:00:00,Power Books,EPMI,510554.01,,615600,,0,30400,-615600,"Merchant Energy Group of the Americas, Inc.",POW-SP15,ABZ708
2001-01-07 00:00:00,Power Books,EPMI,510554.01,,696600,,0,34400,-696600,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2001-01-08 00:00:00,Power Books,EPMI,510554.01,,631800,,0,31200,-631800,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2001-01-09 00:00:00,Power Books,EPMI,510554.01,,680400,,0,33600,-680400,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2001-01-10 00:00:00,Power Books,EPMI,510554.01,,633825,,0,31300,-633825,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2001-01-11 00:00:00,Power Books,EPMI,510554.01,,648000,,0,32000,-648000,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2001-01-12 00:00:00,Power Books,EPMI,510554.01,,696600,,0,34400,-696600,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-01 00:00:00,Power Books,EPMI,510554.01,,664200,,0,32800,-664200,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-02 00:00:00,Power Books,EPMI,510554.01,,583200,,0,28800,-583200,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-03 00:00:00,Power Books,EPMI,510554.01,,664200,,0,32800,-664200,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-04 00:00:00,Power Books,EPMI,510554.01,,613575,,0,30300,-613575,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-05 00:00:00,Power Books,EPMI,510554.01,,664200,,0,32800,-664200,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-06 00:00:00,Power Books,EPMI,510554.01,,648000,,0,32000,-648000,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-07 00:00:00,Power Books,EPMI,510554.01,,664200,,0,32800,-664200,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-08 00:00:00,Power Books,EPMI,510554.01,,631800,,0,31200,-631800,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-09 00:00:00,Power Books,EPMI,510554.01,,680400,,0,33600,-680400,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-10 00:00:00,Power Books,EPMI,510554.01,,633825,,0,31300,-633825,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-11 00:00:00,Power Books,EPMI,510554.01,,648000,,0,32000,-648000,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-12 00:00:00,Power Books,EPMI,510554.01,,696600,,0,34400,-696600,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
,,,,,,,,613700,-12427425,,,
,,,,,,,,,,,,
Net Volumes & Exposure to be Assigned,,,,,,,,742850,-11957088.75,,,
,,,,,,,,,,,,
TRANSACTIONS TO BE ASSIGNED TO MORGAN STANLY CAPITAL GROUP - ABOVE THIS LINE,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2001-01-07 00:00:00,Power Books,EPMI,564748.01 OPT,,0,84000,0,-84000,0,"Merchant Energy Group of the Americas, Inc.",POW-CINERGY,
2001-01-08 00:00:00,Power Books,EPMI,564748.01 OPT,,0,92000,0,-92000,0,"Merchant Energy Group of the Americas, Inc.",POW-CINERGY,
2002-01-07 00:00:00,Power Books,EPMI,564748.01 OPT,,0,88000,0,-88000,0,"Merchant Energy Group of the Americas, Inc.",POW-CINERGY,
2002-01-08 00:00:00,Power Books,EPMI,564748.01 OPT,,0,88000,0,-88000,0,"Merchant Energy Group of the Americas, Inc.",POW-CINERGY,
2001-01-06 00:00:00,Power Books,EPMI,564748.02,,0,1,160000,-1,160000,"Merchant Energy Group of the Americas, Inc.",POW-CINERGY,
