DATE,GDP-ELPO/SANJUA,GDP-ELPO/PERM2,GDP-CAL BORDER
2000-07-10 00:00:00,3.39,3.745,4.135
2000-07-11 00:00:00,3.82,4.065,4.74
2000-07-12 00:00:00,3.835,4.14,4.69
2000-07-13 00:00:00,3.97,4.265,4.805
2000-07-14 00:00:00,3.695,4.065,4.72
2000-07-15 00:00:00,3.535,4.075,4.655
2000-07-16 00:00:00,3.535,4.075,4.655
2000-07-17 00:00:00,3.535,4.075,4.655
2000-07-18 00:00:00,3.73,4.12,4.705
2000-07-19 00:00:00,3.635,3.95,4.675
2000-07-20 00:00:00,3.725,4.04,4.76
2000-07-21 00:00:00,3.615,3.905,4.625
2000-07-22 00:00:00,3.495,3.925,4.62
2000-07-23 00:00:00,3.495,3.925,4.62
2000-07-24 00:00:00,3.495,3.925,4.62
2000-07-25 00:00:00,3.575,3.8,4.625
2000-07-26 00:00:00,3.475,3.7,4.53
2000-07-27 00:00:00,3.46,3.705,4.53
2000-07-28 00:00:00,3.53,3.855,4.62
2000-07-29 00:00:00,3.505,3.905,4.605
2000-07-30 00:00:00,3.505,3.905,4.605
2000-07-31 00:00:00,3.505,3.905,4.605
2000-08-01 00:00:00,3.515,3.755,4.615
2000-08-02 00:00:00,3.495,3.76,4.535
2000-08-03 00:00:00,3.625,3.985,4.645
2000-08-04 00:00:00,3.475,4.145,4.755
2000-08-05 00:00:00,3.29,4.19,4.75
2000-08-06 00:00:00,3.29,4.19,4.75
2000-08-07 00:00:00,3.29,4.19,4.75
2000-08-08 00:00:00,3.445,4.37,4.87
2000-08-09 00:00:00,3.45,4.395,4.875
2000-08-10 00:00:00,3.505,4.39,4.77
2000-08-11 00:00:00,3.51,4.355,4.765
2000-08-12 00:00:00,3.365,4.36,4.74
2000-08-13 00:00:00,3.365,4.36,4.74
2000-08-14 00:00:00,3.365,4.36,4.74
2000-08-15 00:00:00,3.46,4.35,4.765
2000-08-16 00:00:00,3.41,4.19,4.68
2000-08-17 00:00:00,3.41,4.225,4.73
2000-08-18 00:00:00,3.445,4.335,4.925
2000-08-19 00:00:00,3.315,4.315,4.925
2000-08-20 00:00:00,3.315,4.315,4.925
2000-08-21 00:00:00,3.315,4.315,4.925
2000-08-22 00:00:00,3.565,4.515,5.29
2000-08-23 00:00:00,3.68,4.685,5.775
2000-08-24 00:00:00,3.6,4.605,5.76
2000-08-25 00:00:00,3.32,4.35,5.75
2000-08-26 00:00:00,3.195,4.455,6.475
2000-08-27 00:00:00,3.195,4.455,6.475
2000-08-28 00:00:00,3.195,4.455,6.475
2000-08-29 00:00:00,3.335,4.52,6.925
2000-08-30 00:00:00,3.445,4.505,7.285
2000-08-31 00:00:00,3.56,4.54,6.13
2000-09-01 00:00:00,3.625,4.655,6.18
2000-09-02 00:00:00,3.62,4.605,5.875
2000-09-03 00:00:00,3.62,4.605,5.875
2000-09-04 00:00:00,3.62,4.605,5.875
2000-09-05 00:00:00,3.62,4.605,5.875
2000-09-06 00:00:00,4.15,4.81,6.205
2000-09-07 00:00:00,4.58,4.885,6.34
2000-09-08 00:00:00,4.53,4.84,6.225
2000-09-09 00:00:00,4.315,4.7,6.15
2000-09-10 00:00:00,4.315,4.7,6.15
2000-09-11 00:00:00,4.315,4.7,6.15
2000-09-12 00:00:00,4.52,4.895,6.325
2000-09-13 00:00:00,4.55,4.99,6.36
2000-09-14 00:00:00,4.645,5.05,6.39
2000-09-15 00:00:00,4.68,5.045,6.37
2000-09-16 00:00:00,4.59,5.105,6.395
2000-09-17 00:00:00,4.59,5.105,6.395
2000-09-18 00:00:00,4.59,5.105,6.395
2000-09-19 00:00:00,4.32,4.945,6.31
2000-09-20 00:00:00,4.08,5.02,6.25
2000-09-21 00:00:00,4.015,5.075,6.075
2000-09-22 00:00:00,3.95,4.99,5.7
2000-09-23 00:00:00,3.79,4.915,5.34
2000-09-24 00:00:00,3.79,4.915,5.34
2000-09-25 00:00:00,3.79,4.915,5.34
2000-09-26 00:00:00,3.905,4.935,5.415
2000-09-27 00:00:00,4.175,5.105,5.64
2000-09-28 00:00:00,4.28,5.175,5.75
2000-09-29 00:00:00,4.33,5.045,5.845
2000-09-30 00:00:00,4.645,5.045,5.715
2000-10-01 00:00:00,4.805,5.04,5.695
2000-10-02 00:00:00,4.805,5.04,5.695
2000-10-03 00:00:00,4.99,5.195,5.975
2000-10-04 00:00:00,5.07,5.205,6.01
2000-10-05 00:00:00,5.03,5.16,6.02
2000-10-06 00:00:00,4.795,5.09,6
2000-10-07 00:00:00,4.315,4.86,5.765
2000-10-08 00:00:00,4.315,4.86,5.765
2000-10-09 00:00:00,4.315,4.86,5.765
2000-10-10 00:00:00,4.565,4.96,5.805
2000-10-11 00:00:00,4.555,5.005,5.75
2000-10-12 00:00:00,4.585,5.105,5.63
2000-10-13 00:00:00,4.8,5.44,5.815
2000-10-14 00:00:00,4.565,5.29,5.69
2000-10-15 00:00:00,4.565,5.29,5.69
2000-10-16 00:00:00,4.565,5.29,5.69
2000-10-17 00:00:00,4.645,5.24,5.685
2000-10-18 00:00:00,4.78,5.195,5.655
2000-10-19 00:00:00,4.93,5.285,5.755
2000-10-20 00:00:00,4.69,4.96,5.58
2000-10-21 00:00:00,4.485,4.73,5.405
2000-10-22 00:00:00,4.485,4.73,5.405
2000-10-23 00:00:00,4.485,4.73,5.405
2000-10-24 00:00:00,4.57,4.73,5.375
2000-10-25 00:00:00,4.69,4.79,5.345
2000-10-26 00:00:00,4.5,4.61,5.22
2000-10-27 00:00:00,4.455,4.56,5.205
2000-10-28 00:00:00,4.155,4.31,4.975
2000-10-29 00:00:00,4.155,4.31,4.975
2000-10-30 00:00:00,4.155,4.31,4.975
2000-10-31 00:00:00,4.22,4.365,5.195
