,,,,,,,,,
,"Suggested Review Curve Process for the Period April 23rd - May 25th, 2001","Suggested Review Curve Process for the Period April 23rd - May 25th, 2001","Suggested Review Curve Process for the Period April 23rd - May 25th, 2001","Suggested Review Curve Process for the Period April 23rd - May 25th, 2001","Suggested Review Curve Process for the Period April 23rd - May 25th, 2001","Suggested Review Curve Process for the Period April 23rd - May 25th, 2001","Suggested Review Curve Process for the Period April 23rd - May 25th, 2001","Suggested Review Curve Process for the Period April 23rd - May 25th, 2001","Suggested Review Curve Process for the Period April 23rd - May 25th, 2001"
,Review date: ,,"Friday, May 11th",,,,,,
,,,,,,,,,
, 4th  Week - May 14th,31,PSE&G,LPLP_Current,NJ,-451896.3879368824,0.006105613152175046,Robert Jackson,Frank Rishe
, 4th  Week - May 14th,32,Peco,HT,PA,-448282.75690906745,0.006056789055060076,Robert Jackson,Tom Chapman/Marchris Robinson
, 4th  Week - May 14th,33,Generic Muni Public,Escalating,,-447039.3105890987,0.006039988738863955,,
, 4th  Week - May 14th,34,MidTenn,Gen Power Plant A,TN,-432935.9428814475,0.005849436856475766,Joan Collins,Janine Migden
, 4th  Week - May 14th,35,DentonCtyCoop,PS(Pri),TX,-417680.4385751959,0.005643318351832347,Peter Maheu,Jean Ryall/Joe Allen
, 4th  Week - May 14th,36,pp&l,IST,PA,-405648.6699510356,0.005480756032865856,Robert Jackson,Tom Chapman/Marchris Robinson
, 4th  Week - May 14th,37,Jonesboro (AR),General Service Large,AR,-369029.07864162186,0.004985985407796686,Tooran Memari,Bill  Moore
, 4th  Week - May 14th,38,ConEd,SC9,NY,-361612.853395935,0.00488578411473859,Frank Ferris,H. Former/K. Sullivan
, 4th  Week - May 14th,39,PSE&G,HTS Sub,NJ,-333401.453414642,0.0045046173265873395,Robert Jackson,Frank Rishe
, 4th  Week - May 14th,40,VP,GS-3,VA,-323472.0962710384,0.004370460880138608,Buranit Suttabustya,Tom Chapman/Steve Montovano
,Review date: ,,"Friday, May 18th",,,,,,
,,,,,,,,,
, 5th  Week - May 21st,41,SRP,61,AZ,-313312.13339395955,0.004233188698674376,Ken Ferrar,Paul Kaufman
, 5th  Week - May 21st,42,CG&E,DP,OH,-285794.6792299372,0.003861397875505204,Scott Reinecke,Kerry Stroup
, 5th  Week - May 21st,43,HLP,LGS67(Sec),TX,-284893.67725539906,0.003849224355971244,Peter Maheu,Jean Ryall/Joe Allen
, 5th  Week - May 21st,44,OhioPower,GS3Tra,OH,-279918.7670460543,0.0037820078921624914,Scott Reinecke,Kerry Stroup
, 5th  Week - May 21st,45,PSE&G,LPLS,NJ,-270519.8081552739,0.003655017704694304,Robert Jackson,Frank Rish
, 5th  Week - May 21st,46,SWEPCO(TX),LP(PriVolt),TX,-264840.44172036636,0.0035782832688221675,Peter Maheu,Jean Ryall/Joe Allen
, 5th  Week - May 21st,47,JCP&L,GST,NJ,-256250.85458518218,0.003462228576675216,Robert Jackson,Frank Rish
, 5th  Week - May 21st,48,PSE&G,LPLS_Current,NJ,-251405.9090163098,0.003396768076931166,Robert Jackson,Frank Rish
, 5th  Week - May 21st,49,Duke,Rate G,NC,209313.0819037602,,Julia Kazibwe,Tom Chapman
, 5th  Week - May 21st,50,MECO (MA),G2,MA,431284.8736442365,,Andrew Konsaski,Frank Rish
,Review date: ,,"Friday, May 25th",,,"1 As of march 28, 2001.",,,
