,High- landers,pigskin,tiger watcher,hack n slash,ExAGL Hacker,Team Barry,foneman 12000,Doctor Golf,Birdie- meister,Blue Bombers,par  busters,Norway,,,,
Houston,6301,2816,4866.102785439722,3517,5486.852092777794,4190.795367451062,3073.026392569592,5044.059914279265,6201.068264326305,6841,0,0,48336.90481684374,,tiger DNP,0.5640463099837467
Greensboro,2207,2123,3557.460774970503,430,2244.377941659621,0,2101.30387454059,2531.4513110368425,2171.611222152048,2157,0,0,19523.205124359603,,tiger DNP,0.73396486783637
New Orleans,58.77272727272727,58.77272727272727,65.77272727272728,50.77272727272727,,22.153397764662227,84.09452623097164,85.84014120386145,58.70258567429742,83.77272727272728,26.772727272727273,97.77272727272728,693.1997417828836,,tiger DNP,0.38214813448290097
Nelson,26.81818181818182,32.83077445313275,56.81818181818182,58.87166045658822,,52.977885335872706,76.13743587234757,50.81818181818182,66.88977377434266,66.81818181818181,64.45378949333134,76.81818181818181,630.2522284765244,,,0.27929830277073114
Colonial,59.40909090909091,0,29.409090909090907,51.43232784232501,,82.4448239908436,74.34757924683005,55.40909090909091,42.09227016207193,33.40909090909091,71.2314466282636,62.40909090909091,561.5939024157886,,,0.4643271584049086
Kemper,78.63636363636364,106.88068231816183,21.129842153499506,60.66623526937033,,0,84.94501344006231,124.63636363636364,106.9523833229858,80.63636363636364,102.64711914552262,120.63636363636364,887.766730195057,,,0.4935511341097375
Memorial,91.81818181818181,102.45804407545648,77.98216401078251,53.31432672812681,,22.422678812865396,25.98705531554666,78.81818181818181,50.89265747373674,108.81818181818181,72.81818181818181,114.81818181818181,800.1478355074237,,,0.4337778206395564
St. Jude,70.9090909090909,48.17276556703583,76.25658345631413,54.38309515446467,,28.341830937307773,56.137911089748336,26.909090909090907,110.86142367787859,76.9090909090909,40.90909090909091,40.90909090909091,630.6990644282038,,,0.43394575636723914
U.S. Open,77.04545454545455,62.59037940181068,38.15873430548744,48.57367304287118,,81.98755673668732,94.99777140513643,56.04545454545455,42.68134779394217,54.04545454545455,26.063695657761727,66.04545454545455,648.2349765255151,,,0.34526388736798824
Buick-NY,64.36363636363637,46.174721562753994,91.08077114406031,77.60614564833651,,30.995200572158918,50.39221640042992,54.36363636363637,50.371915341802854,44.36363636363637,93.05439742940551,32.36363636363637,635.1299135534935,,,0.37100716694191715
Hartford,77.18181818181819,27.86257540672875,41.36047287012919,30.535895590579862,,94.69454484991866,71.35943881315319,60.18181818181818,66.05603525245661,72.18181818181819,32.408894477485,92.18181818181819,666.0051299877239,,,0.39965253488117725
Western,76.5,88.11200478501843,67.25841069892,67.78398884846203,,114.1730658833781,102.5222943572089,110.5,111.70919826226395,108.5,25.42589377549765,92.5,964.984856610749,,,0.30779073986703237
Milwaukee,83.7,44.71671937684901,60.8953511574648,60.932106421786365,,,63.7,63.7,72.89408333642915,69.7,100.17798771842371,77.7,698.1162480109531,,,0.21616231561681432
British Open,86,76.11494803236617,74.33695187239677,53.261513009852415,,,48,74,45.33683897251034,54,79.73225863565905,40,630.7825105227847,,,0.26275213799773456
Quad Cities,96.66666666666667,0,81.47890281043993,81.80558291084182,,,33.063201023602616,104.66666666666667,94.36460729171378,96.66666666666667,80.84354908827338,50.66666666666667,720.2225097915382,,,0.46750686381189566
International,30.299999999999997,75.61517152206773,10.992764975266637,27.7112091855162,,,29.989373015993586,42.3,17.764009912846596,62.3,21.524265305817096,62.3,380.79679391750784,,,0.5709292713527974
Buick-Mich,91.27777777777777,0,113.14957902180109,97.19098212583158,,,48.99133326023801,68.27777777777777,94.49284891480356,72.27777777777777,0,106.27777777777777,691.9358544337854,,,0.5941826115584877
PGA,25.799999999999997,60.40054591125484,74.90299944446824,108.64673042471917,,,64.70979780502418,75.8,87.41460480981242,73.8,102.40901517520804,66.8,740.6836935704869,,,0.31301847995423365
Firestone,87.75,62.32624592008344,77.65406308650705,109.15305788191655,,,105.44721441111523,57.75,102.1140559465997,99.75,115.26802480062142,75.75,892.9626620468434,,,0.2254381294876767
Vancouver,80.5,52.61084372998041,122.7201684395302,120.20215490031931,,,102.77299191001133,84.5,58.07108379203812,100.5,93.6668836978811,82.5,898.0441264697605,,,0.2588516478243186
Canadian,108.45,51.689382175066,87.43096958675665,105.04264015462272,,,34.759010305959784,114.45,73.34163717747317,76.45,29.342306871831884,60.45,741.4059462717103,,,0.4068488537865911
Pennsylvania,49.25,89.51579399764833,51.19294443982146,83.25,,,55.51824812416922,51.25,59.27692074994063,43.25,61.63712077919642,67.25,611.3910280907761,,,0.24533443626420823
San Antonio,62.900000000000006,83.48707646251697,71.46053608972471,122.9,,,55.17463128028009,112.9,90.23411851909637,28.900000000000006,88.5447313846115,44.900000000000006,761.4010937362295,,,0.3863623133831217
Kingsmill,89.85,100.38594173820636,62.52088490023506,69.85,,,124.04810214178869,57.849999999999994,1.421103627854536,75.85,66.814232162652,59.849999999999994,708.4402645707368,,,0.45339509581314413
Las Vegas,117.35,88.30304077678996,94.83437855740016,61.349999999999994,,,60.63396348795659,99.35,135.98360551251977,117.35,111.23558889879078,125.35,1011.7405772334572,,,0.2521942544894811
0,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,
