,, ,,, ,,,,,, 
Counterparty,Product,Region,Priority,Commercial,Credit,Legal,"Master 
EEI",ISDA,"Master 
Gas","Complete 
Date","Status 
(C or I)"
Strategic Energy L.L.C.,POW,MW,2,Valderrama,,Carol,,,,,
Tacoma City Light,POW,NW  ,2,Rosman,,Steve,,,,,
Texas Municipal Power Agency,POW,ERCOT,2,Pacheco,,Elizabeth,,,,,
The City of Azusa,POW,CA  ,2,Rosman,,Steve,,,,,
Turlock,POW,CA  ,2,Mcdonald,,Steve,,,,,
"Valley Electric Association, Inc.",POW,SW ,2,Choi,,Christian,,,,,
WAPA - DSW,POW,SW ,2,Choi,,Steve,,,,,
Wheelabrator Martell Inc.,POW,CA  ,2,Foster,,Christian,,,,,
"WPS Energy Services, Inc.",POW,MW,2,Valderrama,,Marcus,,,,,
Air Products,POW,NW  ,3,Woodland,,Christian,,,,,
"Alcoa (Troutdale, Intalco, Colockum )",POW,NW  ,3,Thomas,,Steve,,,,,
American Municipal Power of Ohio,POW,,3,Robinson,,,,,,,
Anaheim,POW,CA  ,3,Rosman,,Steve,,,,,
APX,POW,Services,3,Foster,,Steve,,,,,
Ash Grove Cement,POW,NW  ,3,Woodland,,Christian,,,,,
Atlantic City Electric Company,POW,NE,3,Llodra,,David,,,,,
CDWR,POW,CA  ,3,Mcdonald,,Steve,,,,,
Central Montana G&T,POW,NW  ,3,Rosman,,Steve,,,,,
City of Burbank,POW,CA  ,3,Mcdonald,,Steve,,,,,
City of Glendale,POW,CA  ,3,Mcdonald,,Steve,,,,,
City of Shasta Lake,POW,CA  ,3,Mcdonald,,Steve,,,,,
Clatskinai PUD,POW,NW  ,3,Thomas,,Christian,,,,,
"ConAgra Energy Services, Inc.",POW,SE,3,Abler,,Carol,,,,,
Connecticut Resources Recovery Authority,POW,NE,3,Llodra,,Marcus,,,,,
Consolidated Edison Company Of New York,POW,NE,3,Llodra,,Marcus,,,,,
Cowllitz PUD,POW,NW  ,3,Rosman,,Steve,,,,,
Douglas PUD,POW,NW  ,3,Thomas,,Christian,,,,,
Enron Wind Corp.,POW,Services,3,Foster,,Steve,,,,,
Express Pipeline,POW,NW  ,3,Woodland,,Christian,,,,,
Express Pipeline Partnership,POW,SE,3,Donovan,,Marcus,,,,,
Florida Power & Light Company,POW,SE,3,Robinson,,Leslie,,,,,
Georgia Pacific,POW,NW  ,3,Rosman,,Steve,,,,,
Glencore (Columbia Falls Alum),POW,NW  ,3,Thomas,,Steve,,,,,
Harbor Cogeneration Company,POW,CA  ,3,Foster,,Steve,,,,,
Indeck Pepperell Power Associates,POW,SE,3,Rorschach,,Carol,,,,,
Indiana Municipal Power Agency,POW,,3,Robinson,,,,,,,
Indianapolis Power & Light Company,POW,SE,3,Robinson,,Carol,,,,,
"Kaiser (Mead, Tacoma)",POW,NW  ,3,Thomas,,Steve,,,,,
LADWP,POW,CA  ,3,Mcdonald,,Steve,,,,,
Lassen Municipal Utility District,POW,CA  ,3,Mcdonald,,Christian,,,,,
Longview Fibre,POW,NW  ,3,Rosman,,Steve,,,,,
Mag Corp,POW,NW  ,3,Thomas,,Steve,,,,,
Minnesota Municipal Power Agency,POW,MW,3,Valderrama,,David,,,,,
"Niagara Mohawk Energy Marketing, Inc.",POW,NE,3,Valderrama,,Marcus,,,,,
Northwest Aluminum (Goldendale),POW,NW  ,3,Thomas,,Steve,,,,,
"OGE Energy Resources, Inc.",POW,MW,3,Valderrama,,Marcus,,,,,
Oglethorpe Power Corporation,POW,SE,3,Abler,,David,,,,,
Old Dominion Electric Cooperative,POW,SE,3,Robinson,,David,,,,,
ONEOK Power Marketing Company,POW,SE,3,Rorschach,,David,,,,,
Pacif Northwest Generating Cooperative,POW,NW  ,3,Rosman,,Steve,,,,,
Palo Alto,POW,CA  ,3,Mcdonald,,Christian,,,,,
PG&E,POW,CA  ,3,Mcdonald,,Christian,,,,,
Power Resource Managers,POW,NW  ,3,Rosman,,Steve,,,,,
Roseville,POW,CA  ,3,Mcdonald,,Christian,,,,,
SDG&E,POW,CA  ,3,Rosman,,Christian,,,,,
Sierra Power Corp.,POW,Services,3,Foster,,Steve,,,,,
Smurfit Stone,POW,NW  ,3,Woodland,,Christian,,,,,
Southern California Edison Company,POW,CA  ,3,Mcdonald,,Steve,,,,,
"Split Rock Energy, LLC",POW,MW,3,Valderrama,,David,,,,,
Tampa Electric Company,POW,SE,3,Robinson,,Leslie,,,,,
"The Energy Authority, Inc.",POW,MW,3,Robinson,,Leslie,,,,,
The New Power Company,POW,MW,3,Furrow,,David,,,,,
"TransCanada Power Marketing, Ltd.",POW,MW,3,Valderrama,,David,,,,,
Tri-States G&T Coop,POW,SW ,3,Choi,,Christian,,,,,
Tucson Electric,POW,SW ,3,Choi,,Christian,,,,,
United States Gypsum Company,POW,Services,3,Foster,,Christian,,,,,
Utah Associated Municipal Power Systems,POW,SW ,3,Choi,,Christian,,,,,
Utilicorp United Inc.,POW,MW,3,Rorschach,,David,,,,,
Wabash Valley Power Association Inc.,POW,SE,3,Robinson,,David,,,,,
WAPA - Rockies,POW,SW ,3,Choi,,Steve,,,,,
West Kootney Electric,POW,NW  ,3,Rosman,,Christian,,,,,
Western Resources Inc.,POW,SE,3,Robinson,,Carol,,,,,
Weyerhaeuser Co,POW,NW  ,3,Thomas,,Christian,,,,,
Wheelabrator Martell,POW,Services,3,Foster,,Christian,,,,,
AEPCO,POW,SW ,4,Choi,,Steve,,,,,
Boise Cascade,POW,NW  ,4,Rosman,,Steve,,,,,
Callaway,POW,Services,4,Foster,,Steve,,,,,
Central Lincoln,POW,NW  ,4,Rosman,,Steve,,,,,
CFE,POW,CA  ,4,Rosman,,Christian,,,,,
City of Mesa,POW,SW ,4,Choi,,Steve,,,,,
City of San Francisco,POW,CA  ,4,Rosman,,Steve,,,,,
Clark Public Utilities,POW,NW  ,4,Rosman,,Steve,,,,,
Colorado Springs Utilities,POW,SW ,4,Choi,,Christian,,,,,
Columbia River PUD,POW,NW  ,4,Rosman,,Steve,,,,,
East Bay Municipal Utility District,POW,CA  ,4,Mcdonald,,Christian,,,,,
Emerald PUD,POW,NW  ,4,Thomas,,Christian,,,,,
Glenbrook Nickle,POW,NW  ,4,Rosman,,Steve,,,,,
"Idaho Falls , City of",POW,NW  ,4,Rosman,,Christian,,,,,
IID,POW,CA  ,4,Lackey,,Steve,,,,,
Kootenai Electric,POW,NW  ,4,Rosman,,Christian,,,,,
Monsanto Co,POW,NW  ,4,Rosman,,Christian,,,,,
Rosboro Lumber,POW,NW  ,4,Rosman,,Christian,,,,,
Springfield Utility Board,POW,NW  ,4,Rosman,,Christian,,,,,
"The City of Oakland, a municipal corp. ",POW,CA  ,4,Mcdonald,,Steve,,,,,
Vernon,POW,CA  ,4,Mcdonald,,Christian,,,,,
ABAG POWER,POW,,,,,Christian,,,,,
"ACN Power, Inc.",POW,,,,,Christian,,,,,
"AES Eastern Energy, L.P.",POW,,,,,Carol,,,,,
"AYP Energy, Inc.",POW,,,,,Leslie,,,,,
Cenex Harvest States Cooperatives,POW,,,,,Marcus,,,,,
CNG Power Services Corporation,POW,,,,,Carol,,,,,
"Coastal Merchant Energy, L.P.",POW,,,,,Marcus,,,,,
Columbia Energy Power Marketing Corporation,POW,,,,,Carol,,,,,
Conoco Pipe Line Company,POW,,,,,Christian,,,,,
Conoco Power Marketing Inc.,POW,,,,,Christian,,,,,
Cook Inlet Energy Supply L.L.C.,POW,,,,,Steve,,,,,
"Energy New England, LLC",POW,,,,,,,,,,
Energy Transfer Group L.L.C.,POW,,,,,,,,,,
Energy West Incorporated,POW,,,,,,,,,,
"Energy West Resources, Inc.",POW,,,,,,,,,,
EnerZ Corporation,POW,,,,,,,,,,
"Engelhard Power Marketing, Inc.",POW,,,,,,,,,,
"Enserch Energy Services, Inc.",POW,,,,,,,,,,
Equitable Power Services Company,POW,,,,,,,,,,
"FirstEnergy Trading Services, Inc.",POW,,,,,,,,,,
"Fresno Cogeneration Partners, L.P.",POW,,,,,,,,,,
"Griffin Energy Marketing, L.L.C.",POW,,,,,,,,,,
ICC Energy Corporation,POW,,,,,,,,,,
"Illinova Energy Partners, Inc.",POW,,,,,,,,,,
"KN Marketing, Inc.",POW,,,,,,,,,,
MidCon Power Services Corp.,POW,,,,,,,,,,
Nipsco Energy Services Inc.,POW,,,,,,,,,,
North American Energy Conservation Inc.,POW,,,,,,,,,,
"Northeast Energy Services, Inc.",POW,,,,,,,,,,
Northern AES Energy,POW,,,,,,,,,,
"NP Energy, Inc.",POW,,,,,,,,,,
"NYSEG Solutions, Inc.",POW,,,,,,,,,,
Pacific Gas & Electric Company,POW,,,,,,,,,,
Pacific Northwest Generating Cooperative,POW,,,Thomas,,,,,,,
PanCanadian Energy Services Inc.,POW,,,,,,,,,,
"PG&E Energy Services, Energy Trading Corporation",POW,,,,,,,,,,
"PG&E Energy Trading, Canada Corporation",POW,,,,,,,,,,
PG&E Power Services Company,POW,,,,,,,,,,
Phibro Inc.,POW,,,,,,,,,,
Phibro Power LLC,POW,,,,,,,,,,
"Power Company of America, LP",POW,,,,,,,,,,
"ProLiance Energy, LLC",POW,,,,,,,,,,
PSEG Energy Technologies Inc.,POW,,,,,,,,,,
Public Service Company of New Hampshire,POW,,,,,,,,,,
QST Energy Trading Inc.,POW,,,,,,,,,,
Reynolds Metals Company,POW,,,,,,,,,,
"Scana Energy Marketing, Inc.",POW,,,,,,,,,,
South Jersey Energy Company,POW,,,,,,,,,,
Southern California Water Company,POW,,,,,,,,,,
Springfield Utility Board,POW,,,,,,,,,,
"Statoil Energy Trading, Inc.",POW,,,,,,,,,,
Tenaska Power Services Co.,POW,ERCOT,,Curry,,Carol,,,,,
"TenderLand Power Company, Inc.",POW,,,,,,,,,,
"Thomas Operating Company, Inc.",POW,,,,,,,,,,
Town of Braintree,POW,,,,,,,,,,
Vitol Gas & Electric LLC,POW,,,,,,,,,,
VTEC Energy Inc.,POW,,,,,,,,,,
"Western Power Services, Inc.",POW,,,,,,,,,,
"PG&E Energy Trading - Power, L.P.",NOX,,,,,,,,,,
Noble Americas Corp.,MTBE,,,,,,,,,,
"Adams Resources Marketing, Ltd.",GAS,,,,,,,,,,
"AEC Marketing (USA), Inc.",GAS,,,,,,,,,,
Alabama Gas Corporation,GAS,,,,,,,,,,
Alcoa Inc.,GAS,,,Thomas,,,,,,,
Aquila Canada Corp.,GAS,,,,,,,,,,
Aquila Energy Marketing Corporation,GAS,,,,,,,,,,
"Avista Energy, Inc.",GAS,,,,,,,,,,
"Badak Gas Marketing, Inc.",GAS,,,,,,,,,,
Boston Gas Company,GAS,,,,,,,,,,
Browning Oil Company Inc.,GAS,,,,,,,,,,
Cabot Oil & Gas Marketing Corporation,GAS,,,,,,,,,,
"Calpine Energy Services, L.P.",GAS,,,,,,,,,,
"Cargill, Incorporated",GAS,,,,,,,,,,
Central Illinois Light Company,GAS,,,,,,,,,,
"Cinergy Marketing & Trading, LLC",GAS,,,,,,,,,,
Citation Oil & Gas Corp.,GAS,,,,,,,,,,
Citizens Communications Company,GAS,,,,,,,,,,
City of Pasadena,GAS,,,,,,,,,,
Columbia Energy Services Corporation,GAS,,,,,,,,,,
Consumers Energy Company,GAS,,,,,,,,,,
Cook Inlet Energy Supply L.L.C.,GAS,,,,,,,,,,
"Coral Energy Resources, L.P.",GAS,,,,,,,,,,
"Crosstex Energy Services, Ltd.",GAS,,,,,,,,,,
"Devon SFS Operating, Inc.",GAS,,,,,,,,,,
"Dominion Exploration & Production, Inc.",GAS,,,,,,,,,,
"Dominion Field Services, Inc.",GAS,,,,,,,,,,
"Duke Energy Fuels, L.L.C.",GAS,,,,,,,,,,
Duke Energy Marketing Limited Partnership,GAS,,,,,,,,,,
"Duke Energy Trading and Marketing, L.L.C.",GAS,,,,,,,,,,
Dynegy Marketing and Trade,GAS,,,,,,,,,,
"e prime, inc.",GAS,,,,,,,,,,
Eastern American Energy Corporation,GAS,,,,,,,,,,
Eastern New Mexico Natural Gas Association Inc,GAS,,,,,,,,,,
El Paso Gas Marketing Company Inc.,GAS,,,,,,,,,,
"El Paso Merchant Energy, L.P.",GAS,,,,,,,,,,
Empire District Electric Company,GAS,,,,,,,,,,
Energen Resources Corporation,GAS,,,,,,,,,,
"Enserco Energy, Inc.",GAS,,,,,,,,,,
"Entergy-Koch Trading, LP",GAS,,,,,,,,,,
Entex Gas Resources Corp.,GAS,,,,,,,,,,
Equitable Resources Inc.,GAS,,,,,,,,,,
Florida Power Corporation,GAS,,,,,,,,,,
Great River Energy,GAS,,,,,,,,,,
Gulf Gas Utilities Company,GAS,,,,,,,,,,
"Heartland Energy Group, Inc.",GAS,,,,,,,,,,
"Heartland Steel, Inc.",GAS,,,,,,,,,,
IDACORP Energy L.P.,GAS,,,,,,,,,,
"Interconn Resources, Inc.",GAS,,,,,,,,,,
"Interstate Gas Supply, Inc.",GAS,,,,,,,,,,
"Keyspan Energy Services, Inc.",GAS,,,,,,,,,,
KeySpan Gas East Corporation,GAS,,,,,,,,,,
"MarkWest Hydrocarbon, Inc.",GAS,,,,,,,,,,
Miami Valley Resources Inc.,GAS,,,,,,,,,,
Midland Cogeneration Venture Limited Partnership,GAS,,,,,,,,,,
Midland Cogeneration Venture Limited Partnership,GAS,,,,,,,,,,
Mieco Inc.,GAS,,,,,,,,,,
"Mirant Americas Energy Marketing, L.P.",GAS,,,,,,,,,,
Nexen Marketing,GAS,,,,,,,,,,
"NUI Utilities, Inc.",GAS,,,,,,,,,,
"Occidental Energy Marketing, Inc.",GAS,,,,,,,,,,
"Old World Industries, Inc.",GAS,,,,,,,,,,
"ONEOK Energy Marketing and Trading Company, L.P.",GAS,,,,,,,,,,
Ormet Primary Aluminum Corp.,GAS,,,,,,,,,,
"Panaco, Inc.",GAS,,,,,,,,,,
PanCanadian Energy Services Inc.,GAS,,,,,,,,,,
Petro-Canada Hydrocarbons Inc,GAS,,,,,,,,,,
"Petrocom Energy Group, Ltd.",GAS,,,,,,,,,,
"PG&E Energy Trading, Canada Corporation",GAS,,,,,,,,,,
PG&E Energy Trading-Gas Corporation,GAS,,,,,,,,,,
Phibro Inc.,GAS,,,,,,,,,,
Phillips Petroleum Company,GAS,,,,,,,,,,
Poco Marketing Ltd.,GAS,,,,,,,,,,
"Powell-Clinch Utility District of Anderson and Campbell Counties,",GAS,,,,,,,,,,
Prima Energy Corporation,GAS,,,,,,,,,,
"ProLiance Energy, LLC",GAS,,,,,,,,,,
Public Service Company Of Colorado,GAS,,,,,,,,,,
Questar Energy Trading Company,GAS,,,,,,,,,,
Questar Energy Trading Company,GAS,,,,,,,,,,
Reliant Energy Services Canada Ltd.,GAS,,,,,,,,,,
"Reliant Energy Services, Inc.",GAS,,,,,,,,,,
"Rising Star Energy, L.L.C.",GAS,,,,,,,,,,
"Royster-Clark, Inc.",GAS,,,,,,,,,,
Tenaska Marketing Ventures,GAS,,,,,,,,,,
Texaco Natural Gas Inc.,GAS,,,,,,,,,,
Texex Energy Partners Ltd.,GAS,,,,,,,,,,
Texican Natural Gas Company,GAS,,,,,,,,,,
Texla Energy Management Inc.,GAS,,,,,,,,,,
The Brooklyn Union Gas Company,GAS,,,,,,,,,,
The Chase Manhattan Bank,GAS,,,,,,,,,,
The Peoples Gas Light & Coke Company,GAS,,,,,,,,,,
"Tiffany Brick Company, L. P.",GAS,,,,,,,,,,
"TotalFinaElf Gas & Power North America, Inc.",GAS,,,,,,,,,,
Tristar Gas Marketing Company,GAS,,,,,,,,,,
TXU Energy Trading Company,GAS,,,,,,,,,,
Utilicorp United Inc.,GAS,,,,,,,,,,
"Vastar Gas Marketing, Inc.",GAS,,,,,,,,,,
"Western Gas Resources, Inc.",GAS,,,,,,,,,,
Williams Production RMT Company,GAS,,,,,,,,,,
Williams Production RMT Company,GAS,,,,,,,,,,
"Woodward Marketing, L.L.C.",GAS,,,,,,,,,,
XTO Energy Inc.,GAS,,,,,,,,,,
"Energy Service Providers, LLC",C3,,,,,,,,,,
MGS Corporation,C3,,,,,,,,,,
MP Energy Partnership,C3,,,,,,,,,,
"NGL Supply, Inc.",C3,,,,,,,,,,
"Energy Partners, Ltd.",ANSUSG,,,,,,,,,,
Energy Production Corporation,ANSUSG,,,,,,,,,,
"Le Norman Partners, LLC.",ANSUSG,,,,,,,,,,
Abitibi-Consolidated Inc,ALL,,,,,,,,,,
"Adams Resources Marketing, Ltd.",ALL,,,,,,,,,,
"AEP Energy Services, Inc.",ALL,,,Thomas,,,,,,,
"AES Deepwater, Inc.",ALL,,,,,,,,,,
AIG Commodity Arbitrage Fund Limited,ALL,,,,,,,,,,
AIG Commodity Arbitrage Fund LP,ALL,,,,,,,,,,
Air Canada,ALL,,,,,,,,,,
"Airtran Holdings, Inc.",ALL,,,,,,,,,,
"Allegheny Energy Supply Company, LLC",ALL,,,Thomas,,,,,,,
"Allied Waste North America, Inc.",ALL,,,,,,,,,,
American AGIP Co. Inc.,ALL,,,,,,,,,,
American Public Energy Agency,ALL,,,,,,,,,,
American Seafoods Group,ALL,,,,,,,,,,
"Amerigas Propane, L.P.",ALL,,,,,,,,,,
AmeriMark Direct LLC,ALL,,,,,,,,,,
"Amtran, Inc.",ALL,,,,,,,,,,
Anadarko Petroleum Corporation,ALL,,,,,,,,,,
"Andex Resources, L.L.C.",ALL,,,,,,,,,,
Aquila Risk Management Corporation,ALL,,,,,,,,,,
"Arch Coal, Inc.",ALL,,,,,,,,,,
Aries Resources LLC,ALL,,,,,,,,,,
Arizona Public Service Company,ALL,,,,,,,,,,
"Aspect Resources, LLC",ALL,,,,,,,,,,
"Astra Power, LLC",ALL,,,,,,,,,,
Atlantic Packaging Products Ltd.,ALL,,,,,,,,,,
"Atlantic Trading & Marketing, Inc.",ALL,,,,,,,,,,
"Avista Energy, Inc.",ALL,,,Thomas,,,,,,,
Baltimore Gas and Electric Company,ALL,,,,,,,,,,
"Bank of America, National Association",ALL,,,,,,,,,,
Bank of Montreal,ALL,,,,,,,,,,
"Bank One, National Association",ALL,,,,,,,,,,
Barclays Bank PLC,ALL,,,,,,,,,,
"Bear Paw Energy, LLC",ALL,,,,,,,,,,
Belco Oil & Gas Corp.,ALL,,,,,,,,,,
Berry Petroleum Company,ALL,,,,,,,,,,
Blue Flame Propane Inc,ALL,,,,,,,,,,
BNP Paribas,ALL,,,,,,,,,,
Boise Cascade Corporation,ALL,,,Thomas,,,,,,,
Bonneville Fuels Corporation,ALL,,,,,,,,,,
BP Capital Energy Fund LP,ALL,,,Thomas,,,,,,,
BP Corporation North America Inc.,ALL,,,Thomas,,,,,,,
BP Exploration & Oil Inc.,ALL,,,Thomas,,,,,,,
"Bravo Natural Resources, Inc.",ALL,,,,,,,,,,
"BreitBurn Energy Co., LLC",ALL,,,,,,,,,,
Bridgeline Gas Marketing LLC,ALL,,,,,,,,,,
Burlington Resources Trading Inc.,ALL,,,,,,,,,,
Cabot Oil & Gas Marketing Corporation,ALL,,,,,,,,,,
Callon Petroleum Company,ALL,,,,,,,,,,
