, ,,,,,,,,
,Cascade/Willamette,Peaking Structure back-to-back,2001-08-10 00:00:00,Q3,,75000,0.4,30000,Working on pricing with Calgary
,Cascade,Marketing Partnership,2001-09-06 00:00:00,Q4,,50000,0.4,20000,Working on agreement
,Shell Refining,Gas for Toll,2001-08-10 00:00:00,Q3,,50000,0.25,12500,Working on term sheet
,Sempra Hedge,Gas and Power Deal,2001-09-21 00:00:00,Q4,,75000,0.25,18750,Submitted Proposal 
,DQ Power Gas Supply,Gas supply for turbine,2001-06-01 00:00:00,Q3,,100000,0.75,75000,Closed 2 mo deal - Working on extension
,Port of Morrow,Gas supply for turbine,2001-05-01 00:00:00,Q3,,50000,0.2,10000,Done
,Willamette Industries,Hedge for all Facilities,2001-05-15 00:00:00,Q3,,100000,0.2,20000,Working on Master
,,,,,,,,,
,,,,,,,,288750,
,,,,,,,,,
,,,,,,,,,
Kim Ward,Tucson Electric,summer spread swap;gas hedges,2001-07-25 00:00:00,Q4,Y,50000,0.6,30000,
,HESCO,socal fixed price deals,2001-05-31 00:00:00,Q3,N,10000,0.2,2000,continuous
,SMUD,AECO red winter swap,2001-09-07 00:00:00,Q3,N,0,0.3,0,done
,Merced,swap for 3/2003 through 12/2005,2001-09-01 00:00:00,Q3,Y,60000,0.5,30000,
,"Glendale, City of",4000/d at aeco,2001-03-01 00:00:00,Q4,N,40000,0.3,12000,Product discussions with Jack Dolan.  To have ISDA approved & signed at week end.  
,"Santa Clara, city of ",Oct. 1 gas supply for new plant,2001-03-01 00:00:00,Q4,N,30000,0.1,3000,Product/Price negotiations
,Turlock,summer & winter swaps,2001-05-14 00:00:00,Q4,N,25000,0.1,2500,working on ISDA
,IID,"physical deliveries for 5 years, May through October",2001-09-10 00:00:00,Q4,N,20000,0.1,2000,
,LDWP,Q3 collar,2001-09-07 00:00:00,Q4,N,5000,0.1,500,
,Knauf Fiberglass,1 year gas supply,2001-04-15 00:00:00,Q4,N,40000,0.6,24000,
,"Las Cruces, NM",1 year out of Oct. 02,2001-06-10 00:00:00,"Q2, 2002",N,25000,0.1,2500,
,CDWR/mark baldwin,1 - 12 month transaction,2001-06-10 00:00:00,Q3,N,50000,0.05,2500,"due to credit and authority issues, this will be taken off hot list"
,,,,,,,,,
,,,,,,, ,111000,
