CES - Appalachian Deals Behind City Gate,,,,,,,,,,,,,,,
"January 1, 2000 Forward",,,,,,,,,,,,,,,
DATE,INTIALS,TS #,BUY/SELL,TRADE PARTNER,PIPELINE,DELIVERY POINT,TERM,,FIXED VOLUME,Day / Month,PRICE,,SITATA #,TAGG #,COMMENTS
1999-06-11 00:00:00,JMS,0215,Trigger,Power Gas Marketing,EQUITRANS,,2000-01-01 00:00:00,,7500,Month,2.986,,141956,,
1999-06-17 00:00:00,JMS,0226,Trigger,Power Gas Marketing,EQUITRANS,,2000-02-01 00:00:00,,7500,Month,2.93,,141956 / 136019,,
1999-06-17 00:00:00,JMS,0226,Trigger,Power Gas Marketing,EQUITRANS,,2000-03-01 00:00:00,,7500,Month,$2.485 + LBB,,141956 / 136020,,Does not include look- back basis
1999-06-17 00:00:00,JMS,0226,Trigger,Power Gas Marketing,EQUITRANS,,2000-04-01 00:00:00,,7500,Month,2.52,,141956,,
,JL,,Buy,Aurora Service,Equitrans Metered,,30 Day Evergreen,60 Day Notice,,,TCo Index + $.03,,170368,,
,JL,10124,Buy,Braxton Oil & Gas Corporation,Equitrans Metered,,1999-11-01 00:00:00,2000-03-31 00:00:00,2000,Month,3.086,,170379,,Balance @ TCo I Flat
1999-07-29 00:00:00,JMS,0275,Buy,"CBE, Inc",Equitrans Metered,,1999-11-01 00:00:00,2000-03-31 00:00:00,10000,Month,3.1,,140138,,
1999-05-12 00:00:00,JMS,0174,Buy,"CBE, Inc",Equitrans Metered,,1999-06-01 00:00:00,2000-05-31 00:00:00,10000,Month,2.58,,Tiered,,
1999-05-12 00:00:00,JMS,0175,Buy,"CBE, Inc",Equitrans Metered,,1999-06-01 00:00:00,2000-05-31 00:00:00,,,I + $.01,,Tiered,,
11/29/99,JMS,0413,Buy,"Envirogas Recovery, Inc",Equitrans Metered,,30 Day Evergreen,60 Day Notice,,,I + $.01,,141182,,
,JL,,Buy,"Kennedy, Bill N.",Equitrans Metered,,30 Day Evergreen,60 Day Notice,,,TCo Index  Flat,,170370,,
1999-07-28 00:00:00,JMS,0273,Buy,Belden & Blake,NFGD PA,,1999-07-01 00:00:00,2000-06-30 00:00:00,Various,,3.3,,,,
1999-09-24 00:00:00,JMS,0326,Buy,Belden & Blake,NYSEG,,1999-11-01 00:00:00,2000-03-31 00:00:00,1000,Day,NX1 + $0.61,,,,
1999-11-12 00:00:00,JMS,0396,Buy,Belden & Blake,NYSEG,,1999-11-01 00:00:00,2000-10-31 00:00:00,Various,,2.8,,,,
1999-08-09 00:00:00,JMS,0291,Buy,T & F Exploration,Penn Fuel,Pool,1999-11-01 00:00:00,2000-03-31 00:00:00,10000,Month,$3.465/Mcf,,,,
1999-08-26 00:00:00,JMS,0308,Buy,T & F Exploration,Penn Fuel,Pool,1999-11-01 00:00:00,2000-10-31 00:00:00,,,TCo I + $.23,,,,
1999-08-26 00:00:00,JMS,0306,Buy,T & F Exploration,Penn Fuel,Pool,2000-04-01 00:00:00,2000-10-31 00:00:00,10000,Month,$2.85/Mcf,,,,
1999-05-07 00:00:00,JMS,0172,Buy,Phillips Production,PNG,Metered,1999-07-01 00:00:00,2000-06-30 00:00:00,300,Day,2.82,,,,
1999-07-29 00:00:00,JMS,0278,Buy,Phillips Production,PNG,Metered,1999-12-01 00:00:00,2000-11-30 00:00:00,500,Day,$2.95/Mcf,,,,
2000-02-16 00:00:00,JMS,ENA,Trigger,Power Gas Marketing,PNG,Pool,2000-05-01 00:00:00,2000-07-31 00:00:00,7500,Month,2.905,,141961,,
1999-06-11 00:00:00,JMS,0214,Trigger,Power Gas Marketing,PNG,Pool,2000-01-01 00:00:00,,7500,Month,3.106,,141961,,Does not include look- back basis
1999-06-17 00:00:00,JMS,0227,Trigger,Power Gas Marketing,PNG,Pool,2000-02-01 00:00:00,,7500,Month,3.05,,141961,,Does not include look- back basis
1999-06-17 00:00:00,JMS,0227,Trigger,Power Gas Marketing,PNG,Pool,2000-03-01 00:00:00,,7500,Month,$2.485 + .12 + LBB,,141961,,Does not include look- back basis
1999-06-17 00:00:00,JMS,0227,Trigger,Power Gas Marketing,PNG,Pool,2000-04-01 00:00:00,,7500,Month,2.64,,141961,,Does not include look- back basis
