,,,,,,,,,,,,,
Counterparty,Internal / External,Deal Num,Pub Code,Call / Put,Period,Monthly Option Qty,Strike Price,Skew Adj Index Vol,Unit Premium,Unit Delta,Unit Basis Delta Offset,MTM Value,Delta
,,V90879 Total,,,,,,,,,,-20995.348174461382,-36569.70401364735
,,V92574.1 Total,,,,,,,,,,-696617.3386406007,2010758.7370314037
,,V98379.1 Total,,,,,,,,,,401.17227871040586,11543.440765467647
,,V98541.1 Total,,,,,,,,,,3085.2693101031773,77056.93943655028
,,V98656.1 Total,,,,,,,,,,-6766.70351087927,-148757.87537744947
,,V98656.2 Total,,,,,,,,,,26277.474652123332,-405894.7720764043
,,VA1410.1 Total,,,,,,,,,,747536.3489085141,6420897.348978643
,,VA1496.1 Total,,,,,,,,,,2146444.8118382613,-16175255.128398176
,,VA5251.1 Total,,,,,,,,,,4764.9446390039475,57469.60470559866
,,VA7339.1 Total,,,,,,,,,,-356806.4002287494,1191356.8117749712
,,VA7704.1 Total,,,,,,,,,,-3085.2693101031773,-77056.93943655028
,,VA7704.2 Total,,,,,,,,,,110202.92942744005,-1224708.4468876738
,,VA9918.1 Total,,,,,,,,,,-241097.78633368204,390143.4927541566
,,VA9929.1 Total,,,,,,,,,,-69591.09028012383,113888.92441986612
,,VB0773.2 Total,,,,,,,,,,-133.68276511359727,-548.1871072759636
,,VB0796.1 Total,,,,,,,,,,-55101.46471372002,612354.2234438369
,,VB0796.2 Total,,,,,,,,,,1542.6346550515887,38528.46971827514
,,VB3222.1 Total,,,,,,,,,,-6766.70351087927,-148757.87537744947
,,VB3237.1 Total,,,,,,,,,,-4258.555470393483,-11393.837967297643
,,VB3237.2 Total,,,,,,,,,,2098.232147964136,4792.8987341500315
,,VB6794.1 Total,,,,,,,,,,-11418.362385706889,-249764.1713218387
,,VB6794.2 Total,,,,,,,,,,43784.99640374699,-675948.0145575153
,,VB6807.1 Total,,,,,,,,,,-134385.1068130929,283863.4662416945
,,VB9912.1 Total,,,,,,,,,,-23.58650136545499,-91.54930908761048
,,VB9918.1 Total,,,,,,,,,,-23.58650136545499,-91.54930908761048
,,VC0048.1 Total,,,,,,,,,,-415896.18485484424,-1251154.4559843373
,,VC0077.1 Total,,,,,,,,,,58.981287457510014,1697.5390342952744
,,VC0105.1 Total,,,,,,,,,,-630518.1375704634,-1899428.8275814936
,,VC0140.1 Total,,,,,,,,,,-1780612.0235678854,447539.278389212
,,VC0177.1 Total,,,,,,,,,,47.17300273090998,183.09861817522096
,,VC0295.1 Total,,,,,,,,,,23.58650136545499,91.54930908761048
,,VC0452.1 Total,,,,,,,,,,121072.48088532186,323494.5809077566
,,VC0452.2 Total,,,,,,,,,,-91288.07761072948,-175506.63364277492
,,VC4032.1 Total,,,,,,,,,,121072.48088532186,323494.5809077566
,,VC4032.2 Total,,,,,,,,,,-91288.07761072948,-175506.63364277492
,,VC4034.1 Total,,,,,,,,,,401.17227871040586,11543.440765467647
,,VC7136.1 Total,,,,,,,,,,-3178.9838969002817,-75369.3403644864
,,VC7205.1 Total,,,,,,,,,,-1315799.6129946487,3878502.980219531
,,VC7434.2 Total,,,,,,,,,,134385.1068130929,-283863.4662416945
,,VC8203.1 Total,,,,,,,,,,268200.06183113623,-420099.5964831627
,,VD3483.1 Total,,,,,,,,,,2122782.3286144426,-15680047.88431373
,,VD3537.1 Total,,,,,,,,,,-183580.01025775634,2037999.751807969
,,VD3537.2 Total,,,,,,,,,,5237.9127727591695,130394.50119447123
,,VD3575.1 Total,,,,,,,,,,-22836.724771413777,-499528.3426436774
,,VD3575.2 Total,,,,,,,,,,87569.99280749398,-1351896.0291150305
,,VD3701.1 Total,,,,,,,,,,1137015.7970982657,8863110.050282858
,,VD3702.1 Total,,,,,,,,,,1754942.8840056623,-2750352.6200654805
,,VD7895.1 Total,,,,,,,,,,27793.772120961683,247283.75861867145
,,VD7966.1 Total,,,,,,,,,,134385.1068130929,-283863.4662416945
,,VD7992.1 Total,,,,,,,,,,1016385.3379633862,-864635.3950881164
,,VD8048.1 Total,,,,,,,,,,-6766.70351087927,-148757.87537744947
,,VD8069.1 Total,,,,,,,,,,-22836.724771413777,-499528.3426436774
,,VD8069.2 Total,,,,,,,,,,87569.99280749398,-1351896.0291150305
,,VD8126.1 Total,,,,,,,,,,47.17300273090998,183.09861817522096
,,VE1084.1 Total,,,,,,,,,,-78441.71305528854,-1868423.8904431236
,,VE1084.2 Total,,,,,,,,,,173156.60331089934,-3642694.9782807655
,,VE4515.1 Total,,,,,,,,,,-26147.237685096185,-622807.9634810413
,,VE4515.2 Total,,,,,,,,,,57718.86777029978,-1214231.6594269217
,,VF0966.1 Total,,,,,,,,,,-66.36139391492841,-309.5269592770504
,,VF0994.1 Total,,,,,,,,,,-2521.6893682932377,-10301.712427426795
,,VF1032.1 Total,,,,,,,,,,-220.6783659295658,-1031.6303124967933
,,VF1980.2 Total,,,,,,,,,,1507.2045616110645,6144.347428830391
,,VF1980.3 Total,,,,,,,,,,132.72278782985683,619.0539185541008
,,VF5079.1 Total,,,,,,,,,,4258.555470393483,11393.837967297643
,,VF5092.1 Total,,,,,,,,,,-8517.110940786966,-22787.675934595285
,,VF5100.1 Total,,,,,,,,,,-43784.99640374699,675948.0145575153
,,VF5106.1 Total,,,,,,,,,,-8517.110940786966,-22787.675934595285
,,VF6826.1 Total,,,,,,,,,,-331365.8548873693,-4356579.095155902
,,VF6826.2 Total,,,,,,,,,,-349462.05233732,4676692.064550813
,,VF7917.1 Total,,,,,,,,,,88157.8071945338,218210.62839684624
,,VF7917.2 Total,,,,,,,,,,-107003.7447772661,325585.9118619782
,,VF8478.1 Total,,,,,,,,,,87569.99280749398,-1351896.0291150305
,,VF8478.2 Total,,,,,,,,,,-22836.724771413777,-499528.3426436774
,,VG6685.1 Total,,,,,,,,,,-134385.1068130929,283863.4662416945
,,VG6685.2 Total,,,,,,,,,,53501.87238863305,-162792.9559309891
,,VG6687.1 Total,,,,,,,,,,-697476.0454637979,2875176.662457714
,,VH2702.1 Total,,,,,,,,,,1789965.1586380834,-4184647.8119892855
,,VH3525.1 Total,,,,,,,,,,-512663.1735061946,7075083.556644409
,,VH3589.1 Total,,,,,,,,,,-10766.903372056695,-254168.1486993829
,,VH3589.2 Total,,,,,,,,,,401.17227871040586,11543.440765467647
,,VH5881.1 Total,,,,,,,,,,-1205576.3562607984,3475680.723882902
,,VI2445.1 Total,,,,,,,,,,-142017.55763496866,-235907.8433753699
,,VI2479.1 Total,,,,,,,,,,221293.0342791701,-323842.9897525272
,,VI2515.1 Total,,,,,,,,,,-69591.09028012383,113888.92441986612
,,VI2530.1 Total,,,,,,,,,,292183.55840320996,-426965.86849864473
,,VI2573.1 Total,,,,,,,,,,-35430.181106974465,-498215.45790908916
,,VI2590.1 Total,,,,,,,,,,-115753.10296117797,-1628795.8190343352
,,VI2617.1 Total,,,,,,,,,,-220.6783659295658,-1031.6303124967933
,,VI6104.1 Total,,,,,,,,,,-221293.0342791701,323842.9897525272
,,VI6388.1 Total,,,,,,,,,,34496.79479397089,98480.5378385902
,,VI6538.1 Total,,,,,,,,,,32614.932674722477,110865.38545511107
,,VI6538.2 Total,,,,,,,,,,812933.8492716553,-786064.9579522978
,,VI8926.1 Total,,,,,,,,,,-60738.40011901634,483881.7818565601
,,VJ1452.1 Total,,,,,,,,,,-54594.33900285166,116004.40937328109
,,VJ1484.1 Total,,,,,,,,,,9623.19150029151,137797.83652784792
,,VJ1504.1 Total,,,,,,,,,,-121476.80023803268,967763.5637131202
,,VJ1759.1 Total,,,,,,,,,,26277.474652123332,-405894.7720764043
,,VJ6421.1 Total,,,,,,,,,,4811.595750145755,68898.91826392396
,,VJ6441.1 Total,,,,,,,,,,-87569.99280749398,1351896.0291150305
,,VJ9792.1 Total,,,,,,,,,,-331383.2879126794,915786.4349622127
,,VJ9828.1 Total,,,,,,,,,,-221293.0342791701,323842.9897525272
,,VK0076.1 Total,,,,,,,,,,331939.5514187552,-485764.4846287909
,,VK5014.1 Total,,,,,,,,,,-5237.9127727591695,-130394.50119447123
,,VK6763.1 Total,,,,,,,,,,-24549.649846878856,-475878.486788894
,,VK6763.2 Total,,,,,,,,,,5383.4516860283475,127084.07434969145
,,VL0198.1 Total,,,,,,,,,,52.17275097641496,234.12535297952422
,,VL3396.1 Total,,,,,,,,,,76593.67579657095,192444.6264926316
,,VL3467.1 Total,,,,,,,,,,-221293.0342791701,323842.9897525272
,,VL3468.1 Total,,,,,,,,,,-87569.99280749398,1351896.0291150305
,,VM5814.1 Total,,,,,,,,,,52554.949304246664,-811789.5441528086
,,VM5814.2 Total,,,,,,,,,,-3085.2693101031773,-77056.93943655028
,,VN9430.1 Total,,,,,,,,,,87569.99280749398,-1351896.0291150305
,,VN9448.1 Total,,,,,,,,,,-22836.724771413777,-499528.3426436774
,,VN9458.1 Total,,,,,,,,,,-5237.9127727591695,-130394.50119447123
,,VP8482.1 Total,,,,,,,,,,26277.474652123332,-405894.7720764043
,,VQ6406.1 Total,,,,,,,,,,-251793.70645254577,-2132456.140188902
,,VR4954.1 Total,,,,,,,,,,-13252.359193333656,-46095.7267470939
,,VU9324.1 Total,,,,,,,,,,6688.155821516904,27456.342695618558
,,VU9333.1 Total,,,,,,,,,,-808352.8615163928,7552858.231374358
,,VU9333.2 Total,,,,,,,,,,536350.5624381042,-5505586.879305063
,,VU9454.1 Total,,,,,,,,,,3981.7788902386055,16326.105917680288
,,VV1912.1 Total,,,,,,,,,,52294.47537019237,1245615.9269620825
,,VV1912.2 Total,,,,,,,,,,-124734.34841381069,-2552933.94274005
,,VV3981.1 Total,,,,,,,,,,238216.2148061477,1258617.34274122
,,VV4027.1 Total,,,,,,,,,,-1338091.9503218685,8622396.897023821
,,VV4027.2 Total,,,,,,,,,,1020615.7993299422,-7031105.400208674
,,VV5804.1 Total,,,,,,,,,,1191081.0740307383,6293086.7137061
,,VV6423.1 Total,,,,,,,,,,-1064988.0574286398,9988747.438693617
,,VV6458.1 Total,,,,,,,,,,-323684.21695519943,-423408.0232116604
,,VV6458.2 Total,,,,,,,,,,129360.40399308482,204375.8573998479
,,VV6551.1 Total,,,,,,,,,,-120395.72368153956,-179199.14686653006
,,VV6627.1 Total,,,,,,,,,,-120395.72368153956,-179199.14686653006
,,VW1009.1 Total,,,,,,,,,,-124734.34841381069,-2552933.94274005
,,VW1009.2 Total,,,,,,,,,,52294.47537019237,1245615.9269620825
,,VW1050.1 Total,,,,,,,,,,-264333.5089323911,-2494866.945476678
,,VW1058.1 Total,,,,,,,,,,26504.71838666731,92191.4534941878
,,VW5660.1 Total,,,,,,,,,,120395.72368153956,179199.14686653006
,,VW9223.1 Total,,,,,,,,,,26504.71838666731,92191.4534941878
,,VX2022.1 Total,,,,,,,,,,-64971.7981989259,-597112.1067827507
,,VY4773.1 Total,,,,,,,,,,-353512.14036864816,-3103591.3798712674
,,VY5172.1 Total,,,,,,,,,,-63122.34279673306,-195743.1995373814
,,VY5335.1 Total,,,,,,,,,,-45584.036192114356,-171021.95482501874
,,VZ0091.1 Total,,,,,,,,,,120395.72368153956,179199.14686653006
,,VZ0150.1 Total,,,,,,,,,,-63122.34279673306,-195743.1995373814
,,VZ4501.1 Total,,,,,,,,,,-49099.29969375771,-951756.973577788
,,VZ4501.2 Total,,,,,,,,,,30773.787454733465,-642360.0061411683
,,VZ8847.1 Total,,,,,,,,,,-49099.29969375771,-951756.973577788
,,VZ8847.2 Total,,,,,,,,,,30773.787454733465,-642360.0061411683
,,Y04541.1 Total,,,,,,,,,,-6766.70351087927,-148757.87537744947
,,Y07515.1 Total,,,,,,,,,,120395.72368153956,179199.14686653006
,,Y11219.1 Total,,,,,,,,,,94566.22488846238,879421.7310027629
,,Y11242.1 Total,,,,,,,,,,-23641.556222115596,-219855.43275069073
,,Y14158.1 Total,,,,,,,,,,306374.7031862838,769778.5059705264
,,Y14174.1 Total,,,,,,,,,,-87569.99280749398,1351896.0291150305
,,Y19733.1 Total,,,,,,,,,,-45584.036192114356,-171021.95482501874
,,Y23581.1 Total,,,,,,,,,,93341.21697340405,127973.63034125564
,,Y23581.2 Total,,,,,,,,,,-39032.716030690965,-64528.72820325503
,,Y28642.1 Total,,,,,,,,,,31819.456418348687,52686.68746668534
,,Y36584.1 Total,,,,,,,,,,-87569.99280749398,1351896.0291150305
,,Y36595.1 Total,,,,,,,,,,-14608.214097367487,-284576.119963572
,,Y39563.1 Total,,,,,,,,,,55323.258569792524,-80960.7474381318
,,Y39579.1 Total,,,,,,,,,,120395.72368153956,179199.14686653006
,,Y41744.1 Total,,,,,,,,,,30773.787454733465,-642360.0061411683
,,Y41744.2 Total,,,,,,,,,,-49099.29969375771,-951756.973577788
,,Y46645.1 Total,,,,,,,,,,-52554.949304246664,811789.5441528086
,,Y48783.1 Total,,,,,,,,,,-56368.32940414992,-1056137.3700201777
,,Y49101.1 Total,,,,,,,,,,-56368.32940414992,-1056137.3700201777
,,Y52517.1 Total,,,,,,,,,,-56368.32940414992,-1056137.3700201777
,,Y52797.1 Total,,,,,,,,,,120395.72368153956,179199.14686653006
,,Y62135.1 Total,,,,,,,,,,-88987.87867784806,-1487649.0868856148
,,Y65443.1 Total,,,,,,,,,,87569.99280749398,-1351896.0291150305
,,Y65461.1 Total,,,,,,,,,,-98198.59938751542,-1903513.947155576
,,Y65467.1 Total,,,,,,,,,,-26277.474652123332,405894.7720764043
,,Y70992.1 Total,,,,,,,,,,-44493.93933892403,-743824.5434428074
,,Y73669.1 Total,,,,,,,,,,-100932.61975321747,283810.8227248939
,,Y73918.1 Total,,,,,,,,,,-68993.58958794178,-196961.0756771804
,,Y77338.1 Total,,,,,,,,,,-14608.214097367487,-284576.119963572
,,Y77344.1 Total,,,,,,,,,,-49099.29969375771,-951756.973577788
,,Y77368.1 Total,,,,,,,,,,-124734.34841381069,-2552933.94274005
,,Y81236.1 Total,,,,,,,,,,57718.86777029978,-1214231.6594269217
,,Y84333.1 Total,,,,,,,,,,120395.72368153956,179199.14686653006
,,Y84390.1 Total,,,,,,,,,,111279.9832063577,317679.1543180329
,,Y84390.2 Total,,,,,,,,,,-88157.8071945338,-218210.62839684624
,,Y90174.1 Total,,,,,,,,,,-102577.11851278294,-1637860.6962707264
,,Y90174.2 Total,,,,,,,,,,22836.724771413777,499528.3426436774
,,Y90248.1 Total,,,,,,,,,,-60197.86184076978,-89599.57343326503
,,Y90302.1 Total,,,,,,,,,,-13739.296507686202,108338.46575443
,,Y90598.1 Total,,,,,,,,,,139426.67036082275,427223.400327099
,,Y90598.2 Total,,,,,,,,,,-111279.9832063577,-317679.1543180329
,,Y91585.1 Total,,,,,,,,,,240791.44736307912,358398.2937330601
,,Y94369.1 Total,,,,,,,,,,361187.1710446187,537597.4405995902
,,YA1658.1 Total,,,,,,,,,,-131387.37326061667,2029473.8603820219
,,YA1740.1 Total,,,,,,,,,,-12215.659148600296,-53323.088337106296
,,YA4187.1 Total,,,,,,,,,,378628.0495816232,286610.79192691465
,,YA4242.1 Total,,,,,,,,,,-378628.0495816232,-286610.79192691465
,,YA4270.1 Total,,,,,,,,,,392795.6592278894,287908.65121416544
,,YA4283.1 Total,,,,,,,,,,-392795.6592278894,-287908.65121416544
,,YA8082.1 Total,,,,,,,,,,-13989.077344405556,-336829.2221209728
,,YA8131.1 Total,,,,,,,,,,-24653.311964137072,-545290.2960681039
,,YA8160.1 Total,,,,,,,,,,-14608.214097367487,-284576.119963572
,,YB5682.1 Total,,,,,,,,,,-200.58613935520293,-5771.7203827338235
,,YC2231.1 Total,,,,,,,,,,1600769.666281834,-1960785.2502469248
,,YC2888.1 Total,,,,,,,,,,442586.0685583402,-647685.9795050544
,,YC7509.1 Total,,,,,,,,,,7019771.536022649,-11001410.480261922
,,YC7510.1 Total,,,,,,,,,,-22691552.350489903,-44754933.890378036
,,YC7533.1 Total,,,,,,,,,,1754942.8840056623,-2750352.6200654805
,,YC7534.1 Total,,,,,,,,,,6766.70351087927,148757.87537744947
,,YC7535.1 Total,,,,,,,,,,45673.449542827555,999056.6852873547
,,YD1642.1 Total,,,,,,,,,,221293.0342791701,-323842.9897525272
,,YD1675.1 Total,,,,,,,,,,-343430.1788205543,-498975.36684806034
,,YD1709.1 Total,,,,,,,,,,284035.1152699373,471815.6867507398
,,YD1738.1 Total,,,,,,,,,,52554.949304246664,-811789.5441528086
,,YD1791.1 Total,,,,,,,,,,78832.42395637,-1217684.316229213
,,YD7445.1 Total,,,,,,,,,,-400603.4764504736,956459.3109148296
,,YD7450.1 Total,,,,,,,,,,221293.0342791701,-323842.9897525272
,,YD7454.1 Total,,,,,,,,,,57942.188842267686,182467.70889547936
,,YD7460.1 Total,,,,,,,,,,8884.27128134832,27973.838435927246
,,YD7462.1 Total,,,,,,,,,,4336.613976765722,104417.05885750157
,,YD7463.1 Total,,,,,,,,,,13533.40702175854,297515.75075489894
,,YE2905.1 Total,,,,,,,,,,-287709.4845574612,377066.9988827924
,,YE2935.1 Total,,,,,,,,,,287709.4845574612,-377066.9988827924
,,YE2971.1 Total,,,,,,,,,,466619.593175468,-1233383.494728579
,,YF2195.1 Total,,,,,,,,,,-50466.309876608735,141905.41136244696
,,YG1064.1 Total,,,,,,,,,,-120395.72368153956,-179199.14686653006
,,YG4903.1 Total,,,,,,,,,,89094.88759251623,309556.58497203025
,,YG4993.1 Total,,,,,,,,,,1387243.893570905,-1125335.2314221067
,,YG5144.1 Total,,,,,,,,,,331939.5514187552,-485764.4846287909
,,YG5151.1 Total,,,,,,,,,,109188.67800570332,-232008.81874656217
,,YG7903.1 Total,,,,,,,,,,54594.33900285166,-116004.40937328109
,,YG8674.1 Total,,,,,,,,,,102263.47624245542,-311973.6913310054
,,YG8674.2 Total,,,,,,,,,,-176339.67369198106,506003.5385221987
,,YH2294.1 Total,,,,,,,,,,400603.4764504736,-956459.3109148296
,,YH2303.1 Total,,,,,,,,,,801206.9529009472,-1912918.6218296592
,,YH2411.1 Total,,,,,,,,,,22836.724771413777,499528.3426436774
,,YH2429.1 Total,,,,,,,,,,-60738.40011901634,483881.7818565601
,,YH2450.1 Total,,,,,,,,,,-108368.01182575838,-949988.3911149222
,,YH2471.1 Total,,,,,,,,,,54184.00591287919,474994.1955574611
,,YH6129.1 Total,,,,,,,,,,-151061.53685946643,-215318.96599578336
,,YH6146.1 Total,,,,,,,,,,406301.89004905685,-332548.4795536463
,,YH6370.1 Total,,,,,,,,,,-124146.38132466683,-310753.57218243595
,,YH6403.1 Total,,,,,,,,,,-124146.38132466683,-310753.57218243595
,,YH9022.1 Total,,,,,,,,,,792779.9976218266,-2223965.522739493
,,YH9403.1 Total,,,,,,,,,,-359766.20298085245,879717.0785621781
,,YH9915.1 Total,,,,,,,,,,114741.82318021815,394967.08552665776
,,YH9928.1 Total,,,,,,,,,,345683.0401068287,742586.061597751
,,YH9930.1 Total,,,,,,,,,,35569.96518586763,122439.79651326391
,,YH9939.1 Total,,,,,,,,,,89094.88759251623,309556.58497203025
,,YH9946.1 Total,,,,,,,,,,-496899.565402722,-614399.0014949238
,,YH9951.1 Total,,,,,,,,,,-496899.565402722,-614399.0014949238
,,YI3021.1 Total,,,,,,,,,,-106465.84833345881,717647.0179227107
,,YI7837.1 Total,,,,,,,,,,4171.313041767342,-49799.66239901566
,,YI7855.1 Total,,,,,,,,,,191609.70477017123,1396513.0252387852
,,YI7855.2 Total,,,,,,,,,,-81061.96574367928,-763919.851201382
,,YI7934.1 Total,,,,,,,,,,27333.957881055852,78129.51588702646
,,YI7934.2 Total,,,,,,,,,,31960.4769286246,-76087.78569859918
,,YI7988.1 Total,,,,,,,,,,-54667.915762111705,-156259.0317740529
,,YI7988.2 Total,,,,,,,,,,-63920.9538572492,152175.57139719836
,,YI8014.1 Total,,,,,,,,,,-81061.96574367928,-763919.851201382
,,YJ3212.1 Total,,,,,,,,,,76964.80408617682,-224869.63544513675
,,YJ4056.1 Total,,,,,,,,,,76964.80408617682,-224869.63544513675
,,YJ4132.1 Total,,,,,,,,,,153929.60817235365,-449739.2708902735
,,YJ4277.1 Total,,,,,,,,,,894982.5793190417,-2092323.9059946428
,,YJ4935.1 Total,,,,,,,,,,-365229.44800401246,533707.3356233059
,,YJ8200.1 Total,,,,,,,,,,-45673.449542827555,-999056.6852873547
,,YJ8212.1 Total,,,,,,,,,,45673.449542827555,999056.6852873547
,,YJ8306.1 Total,,,,,,,,,,691366.0802136573,1485172.123195502
,,YJ8407.1 Total,,,,,,,,,,345683.0401068287,742586.061597751
,,YJ8421.1 Total,,,,,,,,,,-153929.60817235365,449739.2708902735
,,YJ8441.1 Total,,,,,,,,,,-120395.72368153956,-179199.14686653006
,,YJ8441.2 Total,,,,,,,,,,221726.88270906388,-232733.0118275195
,,YK0512.1 Total,,,,,,,,,,-53931.86752230757,122667.43044022568
,,YK0952.1 Total,,,,,,,,,,345683.0401068287,742586.061597751
,,YK0952.2 Total,,,,,,,,,,1109647.5228268513,2425107.2738701394
,,YK0965.1 Total,,,,,,,,,,-9032.417349333422,-20687.48141360938
,,YK0985.1 Total,,,,,,,,,,-152407.42244671402,904880.1519030698
,,YK5071.1 Total,,,,,,,,,,298327.52643968054,-697441.3019982142
,,YK5071.2 Total,,,,,,,,,,596655.0528793611,-1394882.6039964284
,,YK5148.1 Total,,,,,,,,,,4171.313041767342,-49799.66239901566
,,YK5182.1 Total,,,,,,,,,,-69591.09028012383,113888.92441986612
,,YK5182.2 Total,,,,,,,,,,221726.88270906388,-232733.0118275195
,,YK5664.1 Total,,,,,,,,,,172841.52005341434,371293.0307988755
,,YK5689.1 Total,,,,,,,,,,-691366.0802136573,-1485172.123195502
,,YK5689.2 Total,,,,,,,,,,1109647.5228268513,2425107.2738701394
,,YK5759.1 Total,,,,,,,,,,-345683.0401068287,-742586.061597751
,,YK5759.2 Total,,,,,,,,,,554823.7614134257,1212553.6369350697
,,YL5266.1 Total,,,,,,,,,,-135054.63906656008,-289173.94315266784
,,YL5640.1 Total,,,,,,,,,,55776.746014287295,147350.73881804902
,,YL5649.1 Total,,,,,,,,,,111553.49202857459,294701.47763609805
,,YL5707.1 Total,,,,,,,,,,298327.52643968054,-697441.3019982142
YANKEEGASSERCO,E,,IF-TETCO/M3,C,2002-01-01 00:00:00,-600000,0.31608,1.13,0.6440960091009592,0.988215972651285,-0.9866479749727056,-386457.60546057555,-592929.5835907711
