Date,2002-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brokerage house,Prebon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broker ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOM,2002-02-01 00:00:00,2002-03-01 00:00:00,Q1-02,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,Q2-02,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,Q3-02,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,Q4-02,,Q1-03,Q2-03,Q3-03,40,Cal-03,Cal-04,Cal-05,Cal-06,Cal-07,Cal-08,Cal-09,Cal-10,Cal-11,Cal-12,Cal-13,Cal-14,Cal-15
BASIS POINTS,,BOM,2002-02-01 00:00:00,2002-03-01 00:00:00,Q1-02,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,Q2-02,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,Q3-02,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,Q4-02,,Q1-03,Q2-03,Q3-03,Q4-03,,Cal-04,Cal-05,Cal-06,Cal-07,Cal-08,Cal-09,Cal-10,Cal-11,Cal-12,Cal-13,Cal-14,Cal-15
ON PEAK,Montana (midc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NW Delivered (midc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Busbar (midc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOB (cob),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZP26 (sp15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MEAD 230 (pv),,1.5,1.5,,2,2,2,2,7,6,5,6.5,1.5,1.5,1.5,1.5,,0.75,2.5,3.5,0.75,,1.5,1.75,1.75,1.75,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25
,Pinnacle Peak (pv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Four Corners 345 (pv),,0.75,0.75,,1,1,1,1,3.5,3,2.75,3.25,0.75,0.75,0.75,0.75,,0.75,1.25,1.75,0.5,,0.75,1.25,1.25,1.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
,Mona (pv),,0,0,,0,0,0,0,3.25,3,3,3.25,0,0,0,0,,0,0,1.75,0,,0,0,0,0,0,0,0,0,0,0,0,0
,Craig (pv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFF PEAK,Montana (midc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NW Delivered (midc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Busbar (midc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOB (cob),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZP26 (sp15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MEAD 230 (pv),,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.25,0.25,0.25,0.25,0.25
,Pinnacle Peak (pv),,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Four Corners 345 (pv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mona (pv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Craig (pv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
