ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME
Franz,Pretzl,GER,0,00:17:54,00:00:00,00:34:56,00:00:00,00:22:04,32,01:14:55
Simon,Schlichenmaier,GER,0,00:16:39,00:00:00,00:35:14,00:00:00,00:23:08,33,01:15:01
Sebastian,Picard,GER,0,00:17:55,00:00:00,00:33:50,00:00:00,00:23:18,34,01:15:04
Oliver,Kurz,GER,0,00:17:29,00:00:00,00:35:14,00:00:00,00:24:04,35,01:16:46
Dr. Jan,Schneider,GER,0,00:17:29,00:00:00,00:35:32,00:00:00,00:24:07,36,01:17:09
Ralf,Hader,GER,0,00:17:38,00:00:00,00:35:09,00:00:00,00:24:31,37,01:17:21
Bernhard,Rehle,GER,0,00:19:10,00:00:00,00:35:51,00:00:00,00:22:19,38,01:17:23
Rainer,Kaupp,GER,0,00:19:02,00:00:00,00:34:42,00:00:00,00:23:42,39,01:17:27
Florian,Fasser,AUT,0,00:17:03,00:00:00,00:39:28,00:00:00,00:21:25,40,01:17:58
Reinhold,Hüppy,GER,0,00:19:15,00:00:00,00:35:54,00:00:00,00:22:54,41,01:18:03
Jochen,Bauer,GER,0,00:17:03,00:00:00,00:34:33,00:00:00,00:26:42,42,01:18:18
Bernd,Wilm,GER,0,00:18:00,00:00:00,00:35:43,00:00:00,00:25:03,43,01:18:46
Thomas,Reck,GER,0,00:19:40,00:00:00,00:36:22,00:00:00,00:22:59,44,01:19:02
Thomas,Brüderl,GER,0,00:18:21,00:00:00,00:36:09,00:00:00,00:24:45,45,01:19:14
Gerhard,Katzke,GER,0,00:19:02,00:00:00,00:35:58,00:00:00,00:24:54,46,01:19:53
Vinzenz,Parbel,GER,0,00:18:57,00:00:00,00:36:02,00:00:00,00:25:07,47,01:20:07
Michael,Schadler,LIE,0,00:20:19,00:00:00,00:36:01,00:00:00,00:23:46,48,01:20:07
Florian,Pfeiffer,GER,0,00:19:43,00:00:00,00:37:17,00:00:00,00:23:34,49,01:20:33
Arnold,Haas,GER,0,00:20:41,00:00:00,00:36:44,00:00:00,00:23:10,50,01:20:36
Daniel,Bichler,GER,0,00:18:14,00:00:00,00:38:05,00:00:00,00:24:26,51,01:20:46
Peter,Francisci,GER,0,00:18:57,00:00:00,00:36:07,00:00:00,00:26:31,52,01:21:36
Wolfgang,Rauscher,GER,0,00:20:30,00:00:00,00:35:46,00:00:00,00:25:43,53,01:22:01
Gregor,Blaich,GER,0,00:20:00,00:00:00,00:38:34,00:00:00,00:24:22,54,01:22:58
Reiner,Braun,GER,0,00:17:32,00:00:00,00:35:09,00:00:00,00:30:39,55,01:23:22
Patrick,Pahlke,GER,0,00:19:43,00:00:00,00:38:22,00:00:00,00:26:22,56,01:24:27
Markus,Denz,GER,0,00:19:42,00:00:00,00:37:52,00:00:00,00:27:25,57,01:25:00
Theo,Daxl,GER,0,00:21:32,00:00:00,00:37:31,00:00:00,00:26:05,58,01:25:07
Marco,Zaffaroni,ITA,0,00:22:28,00:00:00,00:38:43,00:00:00,00:25:12,59,01:26:24
Michael,Saßerath,GER,0,00:21:16,00:00:00,00:38:07,00:00:00,00:27:24,60,01:26:49
Andreas,Schutz,GER,0,00:20:42,00:00:00,00:39:27,00:00:00,00:26:49,61,01:27:00
Jörg,Hartmann,GER,0,00:19:03,00:00:00,00:41:13,00:00:00,00:26:52,62,01:27:09
Andreas,Lener,AUT,0,00:20:38,00:00:00,00:38:44,00:00:00,00:27:53,63,01:27:16
Philip E.c.,Schadler,LIE,0,00:21:51,00:00:00,00:41:24,00:00:00,00:25:15,64,01:28:33
Dr. Georg,Vetterlein-Parbel,GER,0,00:22:20,00:00:00,00:40:49,00:00:00,00:27:53,65,01:31:04
Peter,Grimberg,GER,0,00:20:50,00:00:00,00:43:52,00:00:00,00:27:08,66,01:31:49
Peter,Lösch,GER,0,00:20:45,00:00:00,00:41:24,00:00:00,00:29:42,67,01:31:51
Andreas,Müller,GER,0,00:22:06,00:00:00,00:41:23,00:00:00,00:28:35,68,01:32:05
Thomas,Wahls,GER,0,00:18:40,00:00:00,00:38:31,00:00:00,00:35:16,69,01:32:28
Reinhold,Bretting,GER,0,00:20:29,00:00:00,00:43:52,00:00:00,00:30:30,70,01:34:52
Andreas,Deussen,GER,0,00:23:25,00:00:00,00:42:15,00:00:00,00:32:33,71,01:38:14
Quinn,Schimolz,GER,0,00:16:31,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Walter,Polla,ITA,5,00:15:52,00:00:00,00:30:19,00:00:00,00:18:39,DQ,00:00:00
