ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Sergey,Yakovlev,RUS,41,00:31:28,00:00:29,00:52:40,00:01:00,00:00:00,DNF,00:00:00
Pierre,Joncheray,FRA,29,00:31:04,00:00:42,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Kevin,Donagher,IRL,51,00:36:32,00:00:33,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Dan,Feeney,USA,54,00:33:07,00:00:31,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Naoya,Fujisaki,JPN,38,00:36:30,00:00:29,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Kevin,Smith,CAN,5,00:36:27,00:00:29,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Tim,Don,GBR,39,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Pedro Antonio,Lopez De Haro,ESP,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Hirokazu,Mimura,JPN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
David,Olivares Valenzuela,ESP,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Ryo,Sueoka,JPN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
