"HAS - Hasbro, Inc.",,,,,
Amount,Ex-date,Record Date,Pay Date,Type,Frequency
0.053,1998-07-30,1998-08-03,1998-08-17,Cash Dividend,quarterly
0.053,1998-04-29,1998-05-01,1998-05-15,Cash Dividend,quarterly
0.053,1998-01-29,1998-02-02,1998-02-16,Cash Dividend,quarterly
0.053,1997-10-30,1997-11-03,1997-11-17,Cash Dividend,quarterly
0.053,1997-07-30,1997-08-01,1997-08-15,Cash Dividend,quarterly
0.053,1997-04-29,1997-05-01,1997-05-15,Cash Dividend,quarterly
0.045,1997-01-31,1997-02-04,1997-02-17,Cash Dividend,quarterly
0.045,1996-10-30,1996-11-01,1996-11-15,Cash Dividend,quarterly
0.045,1996-07-31,1996-08-02,1996-08-16,Cash Dividend,quarterly
0.045,1996-05-01,1996-05-03,1996-05-17,Cash Dividend,quarterly
0.036,1996-01-31,1996-02-02,1996-02-16,Cash Dividend,quarterly
0.036,1995-11-01,1995-11-03,1995-11-17,Cash Dividend,quarterly
0.036,1995-08-02,1995-08-04,1995-08-18,Cash Dividend,quarterly
0.036,1995-05-01,1995-05-05,1995-05-19,Cash Dividend,quarterly
0.031,1995-01-30,1995-02-03,1995-02-17,Cash Dividend,quarterly
0.031,1994-10-31,1994-11-04,1994-11-18,Cash Dividend,quarterly
0.031,1994-08-02,1994-08-05,1994-08-19,Cash Dividend,quarterly
0.031,1994-05-02,1994-05-06,1994-05-20,Cash Dividend,quarterly
0.027,1994-01-31,1994-02-04,1994-02-18,Cash Dividend,quarterly
0.027,1993-11-01,1993-11-05,1993-11-19,Cash Dividend,quarterly
0.027,1993-08-02,1993-08-06,1993-08-20,Cash Dividend,quarterly
0.027,1993-05-03,1993-05-07,1993-05-21,Cash Dividend,quarterly
0.022,1993-02-01,1993-02-05,1993-02-19,Cash Dividend,quarterly
0.022,1992-11-02,1992-11-06,1992-11-20,Cash Dividend,quarterly
0.022,1992-08-03,1992-08-07,1992-08-21,Cash Dividend,quarterly
0.022,1992-04-27,1992-05-01,1992-05-15,Cash Dividend,quarterly
0.012,1992-01-30,1992-02-05,1992-02-19,Cash Dividend,quarterly
0.012,1991-10-28,1991-11-01,1991-11-15,Cash Dividend,quarterly
0.012,1991-07-29,1991-08-02,1991-08-16,Cash Dividend,quarterly
0.012,1991-04-29,1991-05-03,1991-05-17,Cash Dividend,quarterly
0.01,1991-01-30,1991-02-05,1991-02-19,Cash Dividend,quarterly
0.01,1990-10-29,1990-11-02,1990-11-16,Cash Dividend,quarterly
0.01,1990-07-30,1990-08-03,1990-08-17,Cash Dividend,quarterly
0.01,1990-04-30,1990-05-04,1990-05-18,Cash Dividend,quarterly
0.008,1990-01-29,1990-02-02,1990-02-16,Cash Dividend,quarterly
0.008,1989-10-30,1989-11-03,1989-11-17,Cash Dividend,quarterly
0.008,1989-07-31,1989-08-04,1989-08-18,Cash Dividend,quarterly
0.008,1989-05-01,1989-05-05,1989-05-19,Cash Dividend,quarterly
0.006,1989-02-01,1989-02-07,1989-02-21,Cash Dividend,quarterly
0.006,1988-10-26,1988-11-01,1988-11-15,Cash Dividend,quarterly
0.006,1988-07-26,1988-08-01,1988-08-15,Cash Dividend,quarterly
0.006,1988-05-02,1988-05-06,1988-05-20,Cash Dividend,quarterly
0.004,1988-02-08,1988-02-15,1988-02-29,Cash Dividend,quarterly
0.004,1987-10-08,1987-10-15,1987-10-30,Cash Dividend,quarterly
0.004,1987-07-28,1987-08-03,1987-08-17,Cash Dividend,quarterly
0.004,1987-05-04,1987-05-08,1987-05-22,Cash Dividend,quarterly
0.004,1987-01-16,1987-01-23,1987-02-06,Cash Dividend,quarterly
0.004,1986-10-20,1986-10-24,1986-11-14,Cash Dividend,quarterly
0.004,1986-07-17,1986-07-23,1986-08-14,Cash Dividend,quarterly
0.004,1986-04-14,1986-04-18,1986-05-09,Cash Dividend,quarterly
0.004,1986-01-23,1986-01-29,1986-02-13,Cash Dividend,quarterly
