График за отчитане на договорните партньори СИМП в РЗОК София град за месец юли 2014г.,,,,,,
,,,,,,
№,Име на практика,РЦЗ,РЗОК/Офис,Екип,"Работен ден
от месеца /или дата",Час
12,"МЦ ""ВИТАЛИС 2008"" ООД",2210131543,СЗОК / 1,1,2014-07-01 00:00:00,13:00:00
13,"ЕТ ""Д-Р ВЕРКА ЦЕНКОВА-СОТИРОВА - АИПСМП ПО ОЧНИ БОЛЕСТИ""",2218121507,СЗОК / 1,1,2014-07-01 00:00:00,13:30:00
14,"ЕТ ""АИПСМП - УНГ - Д-Р ВАЛЕНТИНА ГЕОРГИЕВА""",2210121530,СЗОК / 1,1,2014-07-01 00:00:00,13:45:00
15,"ЕТ ""СИМП ПО ЕНДОКРИНОЛОГИЯ - ИП - Д-Р МАРИЯ КОЛЕВА""",2202121678,СЗОК / 1,1,2014-07-01 00:00:00,14:00:00
16,АСМП-ИПСМП-НЕРВНИ БОЛЕСТИ - Д-Р ИЛЕР ПЕЯНКОВ,2202121663,СЗОК / 1,1,2014-07-01 00:00:00,14:15:00
17,"""ПЪРВА МБАЛ-СОФИЯ"" ЕАД",2201211032,СЗОК / 1,1,2014-07-01 00:00:00,15:30:00
18,"ЕТ ""ОФТАЛМОЛОГ - Д-Р МИРА ХОЛЕВИЧ, ДМ - ИПСМП""",2205121545,СЗОК / 1,1,2014-07-01 00:00:00,16:30:00
19,"МЦ ""ИНТЕРМЕД"" ООД",2210131506,СЗОК / 1,1,2014-07-01 00:00:00,17:00:00
20,АСМП-ИПСМП - ВЪТРЕШНИ БОЛЕСТИ И НЕФРОЛОГИЯ - Д-Р СВЕТОСЛАВ ВЪЛКОВ,2202121501,СЗОК / 1,2,2014-07-01 00:00:00,09:00:00
21,АСМП-ИПСМП - КАРДИОЛОГИЯ - Д-Р РОСИЦА КОСАТЕВА,2217121529,СЗОК / 1,2,2014-07-01 00:00:00,09:15:00
22,АСМП-ИПСМП - УНГ - Д-Р САША БЕЛИЧАНСКА,2210121590,СЗОК / 1,2,2014-07-01 00:00:00,09:30:00
23,АСМП-ИПСМП - ПСИХИАТРИЧНИ БОЛЕСТИ - Д-Р ВАЛЕНТИНА МАРИНОВА,2202121132,СЗОК / 1,2,2014-07-01 00:00:00,10:00:00
24,"МЦ ""СВ. СТЕФАН - СОФИЯ"" ЕООД",2202131540,СЗОК / 1,2,2014-07-01 00:00:00,10:15:00
25,АСМП-ИПСМП - КОЖНИ И ВЕНЕРИЧЕСКИ БОЛЕСТИ - Д-Р АЛБЕНА АНГЕЛОВА,2210121568,СЗОК / 1,2,2014-07-01 00:00:00,10:30:00
26,"МЦ ""ВИЗУС-АСМП"" ООД",2217131505,СЗОК / 1,2,2014-07-01 00:00:00,10:45:00
27,"МЦ ""АВИЦЕНА"" ЕООД",2210131555,СЗОК / 1,2,2014-07-01 00:00:00,11:00:00
28,"ГП СМП АГ ""ГИН АРТ"" ООД",2210123503,СЗОК / 1,2,2014-07-01 00:00:00,11:25:00
29,"МЦ ""ЕВРОЗДРАВЕ"" АД",2202131547,СЗОК / 1,2,2014-07-01 00:00:00,11:45:00
30,"ДКЦ ""ЕВРОКЛИНИК"" ЕООД",2202134502,СЗОК / 1,2,2014-07-01 00:00:00,13:00:00
31,"ЕТ ""АИПСМП - АКУШЕРСТВО И ГИНЕКОЛОГИЯ - Д-Р ИВАН ДИМИТРОВ""",2202121637,СЗОК / 1,2,2014-07-01 00:00:00,13:45:00
32,"ЕТ ""Д-Р МАРИАНА ЧАЛКОВА - АИПИС АГП""",2218121504,СЗОК / 1,2,2014-07-01 00:00:00,14:00:00
33,АСМП-ИПСМП - КАРДИОЛОГИЯ - Д-Р РАДКА ПЕТРОВА.-ТОЛЕВА,2210121587,СЗОК / 1,2,2014-07-01 00:00:00,14:15:00
34,"""ДКЦ Х СОФИЯ"" ЕООД",2211134501,СЗОК / 1,2,2014-07-01 00:00:00,14:30:00
35,"""СИТИ КЛИНИК ДИАГНОСТИЧНО-КОНСУЛТАТИВЕН ЦЕНТЪР"" ЕООД",2209134504,СЗОК / 1,2,2014-07-01 00:00:00,15:00:00
36,ВОЕННОМЕДИЦИНСКА АКАДЕМИЯ,2201331047,СЗОК / 1,2,2014-07-01 00:00:00,16:00:00
37,АСМП-ИПСМП - АГ - Д-Р ЕВГЕНИЯ ПЕТРОВА,2202121553,СЗОК / 1,2,2014-07-01 00:00:00,16:00:00
38,"ЕТ ""Д-Р ХРИСТО ГУГУШЕВ - ИПСМП ПО ПУЛМОЛОГИЯ""",2202121552,СЗОК / 1,2,2014-07-01 00:00:00,16:15:00
39,"МЦ ""НОВУМ"" ЕООД",2202131536,СЗОК / 1,2,2014-07-01 00:00:00,16:40:00
40,"ЕТ ""ОФТАЛМОЛОГ - Д-Р ЙОРДАН ВЪЛКОВ, ДМ - ИПСМП""",2205121546,СЗОК / 1,3,2014-07-01 00:00:00,09:05:00
41,"МЦ ""НЕВРОЛОГИЯ"" ООД",2210131510,СЗОК / 1,3,2014-07-01 00:00:00,09:10:00
42,"МДЦ ""АРТРОМЕДИКА ЕДНО"" ООД",2202133503,СЗОК / 1,3,2014-07-01 00:00:00,09:50:00
43,АСМП-ИПСМП - ЕНДОКРИНОЛОГИЯ И ВЪТРЕШНИ БОЛЕСТИ - Д-Р ВЕЛИИЧКА ДАМЯНОВА,2218121520,СЗОК / 1,3,2014-07-01 00:00:00,10:00:00
44,"МЦ ""ВИСТА МЕД ЗА СИП"" ЕООД",2202131552,СЗОК / 1,3,2014-07-01 00:00:00,10:10:00
45,АСМП-ИПСМП - ПСИХИАТРИЯ- Д-Р ЛЮБОМИРА ПЕТРОВА,2202121681,СЗОК / 1,3,2014-07-01 00:00:00,10:30:00
46,"""АИСОМП-ИП-ДЪГА"" ЕООД",2202121145,СЗОК / 1,3,2014-07-01 00:00:00,10:40:00
47,"""АИПСИМП - Д-Р ЗОЯ МАДЖАРОВА"" ЕООД",2202121119,СЗОК / 1,3,2014-07-01 00:00:00,10:50:00
48,"ЕТ ""Д-Р ДОНКА МИТЕВА - АИПСМП КАРДИОЛОГИЯ И ВЪТРЕШНИ БОЛЕСТИ""",2202121651,СЗОК / 1,3,2014-07-01 00:00:00,11:00:00
49,ЕТ' Д-Р ВЪЛЧИНОВА - НИНА СИМЕОНОВА - АСМП - ИПСМП - ДБ,2202121625,СЗОК / 1,3,2014-07-01 00:00:00,11:20:00
50,"МЦ ""МЕДИКОМ"" ЕООД",2213131333,СЗОК / 1,3,2014-07-01 00:00:00,11:30:00
51,АСМП-ИПСМП - КАРДИОРЕВМАТОЛОГИЯ - Д-Р ЕВДОКИЯ ГИГОВА,2201121134,СЗОК / 1,3,2014-07-01 00:00:00,11:45:00
52,АСМП-ИПСМП - НЕРВНИ БОЛЕСТИ - Д-Р ИВАН СТАЙКОВ ИВАНОВ,2202121550,СЗОК / 1,3,2014-07-01 00:00:00,12:00:00
53,"МЦ ""УРОЕЛИТ"" ООД",2210131533,СЗОК / 1,3,2014-07-01 00:00:00,13:00:00
54,"ЕТ ""ТОНИМО - Д-Р ТОДОР МОНОВ - ИПСМП""",2202121644,СЗОК / 1,3,2014-07-01 00:00:00,14:00:00
55,АСМП-ИПСМП - ВЪТРЕШНИ БОЛЕСТИ И КАРДИОЛОГИЯ - Д-Р ЗОЯ ВАСКОВА,2210121511,СЗОК / 1,3,2014-07-01 00:00:00,14:50:00
56,"""АСИМП ПО КАРДИОЛОГИЯ И ВЪТРЕШНИ БОЛЕСТИ-ИП-Д-Р ЛОРЕТА СЪМНАЛИЕВА"" ЕООД",2210121760,СЗОК / 1,3,2014-07-01 00:00:00,15:00:00
57,"""ОРТОПЕДИКА МФ - АИПСМП"" ЕООД",2202121716,СЗОК / 1,3,2014-07-01 00:00:00,15:15:00
58,"МЦ ""МАЙЧИН ДОМ"" ЕООД",2210131516,СЗОК / 1,3,2014-07-01 00:00:00,15:30:00
59,"""ДКЦ ХІІІ СОФИЯ"" ЕООД",2209134501,СЗОК / 1,3,2014-07-02 00:00:00,16:10:00
60,"МЦ ""МЕДИК"" ООД",2211131505,СЗОК / 1,1,2014-07-02 00:00:00,09:00:00
61,"МЦ ""ЛОРА"" ЕООД",2210131005,СЗОК / 1,1,2014-07-02 00:00:00,11:00:00
62,"МЦ ""БУЛ - ПРО"" ЕООД",2218131509,СЗОК / 1,1,2014-07-02 00:00:00,11:30:00
63,"ЕТ ""Д-Р ВЕСЕЛИН ДЕМИРЧЕВ - АИПСМП""",2210121558,СЗОК / 1,1,2014-07-02 00:00:00,13:15:00
64,"ЕТ ""Д-Р МИТКО МАРИНОВ - ИПСМП ПО ОФТАЛМОЛОГИЯ""",2202121551,СЗОК / 1,1,2014-07-02 00:00:00,13:30:00
65,"""АГПСМП ПО КАРДИОЛОГИЯ ОРАНТА"" ООД",2202123516,СЗОК / 1,1,2014-07-02 00:00:00,13:45:00
66,"ЕТ ""Д-Р ИВАНКА ХАРАЛАМПИЕВА - ИПСМП""",2217121511,СЗОК / 1,1,2014-07-02 00:00:00,14:00:00
67,"ЕТ ""АИПСМП ПО ОЧНИ БОЛЕСТИ - ИРЕНА КЬОСЕВА-ГЕЧЕВА ",2217121544,СЗОК / 1,1,2014-07-02 00:00:00,14:15:00
68,"ЕТ ""Д-Р ЕЛИЗАБЕТ СПАСОВА-МАТОВА - ИПСМП""",2217121513,СЗОК / 1,1,2014-07-02 00:00:00,14:30:00
69,"ЕТ ""МЕДИКА - АСМП - ИПСМП - НЕВРОЛОГИЯ - КРИСТИНА ГАЦОВА""",2217121517,СЗОК / 1,1,2014-07-02 00:00:00,14:45:00
70,"АСМП-ИПСМП - ВЪТРЕШНИ БОЛЕСТИ, ЕНДОКРИНОЛОГИЯ, КАРДИОЛОГИЯ - Д-Р ИВАН КАРАГЬОЗОВ",2202121504,СЗОК / 1,1,2014-07-02 00:00:00,15:00:00
71,АСМП-ИПСМП - ОЧНИ БОЛЕСТИ - Д-Р ВАЛЕНТИН РАДЕВ,2202121503,СЗОК / 1,1,2014-07-02 00:00:00,15:15:00
72,"ЕТ ""АИПСМИП ОРТОПЕДИЯ И ТРАВМАТОЛОГИЯ - Д-Р ХРИСТО ХРИСТОВ""",2202121555,СЗОК / 1,1,2014-07-02 00:00:00,16:00:00
73,"ЕТ ""ОФТАЛМОЛОГ - Д-Р НИНА НИКОЛОВА, ДМ - ИПСМП""",2205121544,СЗОК / 1,2,2014-07-02 00:00:00,09:00:00
74,"МЦ ""ДОВЕРИЕ"" АД",2218131506,СЗОК / 1,2,2014-07-02 00:00:00,09:15:00
75,"ДКЦ ""ФОКУС 5 - ЛЗИП"" ЕООД",2202134503,СЗОК / 1,2,2014-07-02 00:00:00,11:00:00
76,"ЕТ ""Д-Р МАНУЕЛА МИШЕВА - АСМП ПО КАРДИОЛОГИЯ - ИП""",2202121683,СЗОК / 1,2,2014-07-02 00:00:00,11:15:00
77,"ДКЦ ""СЪРЦЕ И ЗДРАВЕ"" ООД",2209134503,СЗОК / 1,2,2014-07-02 00:00:00,11:30:00
78,АСМП-ИПСМП - ПЕДИАТРИЯ - Д-Р НАДЕЖДА ЛИСИЧКОВА,2202121520,СЗОК / 1,2,2014-07-02 00:00:00,12:00:00
79,"""ДКЦ VІІ СОФИЯ"" ЕООД",2205134001,СЗОК / 1,2,2014-07-02 00:00:00,13:00:00
80,"МЦ АСМП ""ЗРЕНИЕ"" ООД",2210131002,СЗОК / 1,2,2014-07-02 00:00:00,16:35:00
81,"МЦ АИСМП ""ПОЛИМЕД"" АД",2203131511,СЗОК / 1,3,2014-07-02 00:00:00,09:00:00
82,"""ДКЦ ХІV СОФИЯ"" ЕООД",2210134002,СЗОК / 1,3,2014-07-02 00:00:00,11:00:00
83,"ДКЦ ""СОФИЯМЕД"" ЕООД",2208134502,СЗОК / 1,3,2014-07-02 00:00:00,13:00:00
84,"МЦ - УНГ БОЛЕСТИ ""СВ. ГЕОРГИ СОФИЙСКИ"" ООД",2210131505,СЗОК / 1,3,2014-07-02 00:00:00,14:30:00
85,"""МЦ ХVІ СОФИЯ"" ЕООД",2202131504,СЗОК / 1,3,2014-07-02 00:00:00,16:00:00
86,АСМП-ИПСМП - ВЪТРЕШНИ БОЛЕСТИ И КАРДИОЛОГИЯ - Д-Р ГАЛИНА ПЕНЧЕВА -ГЕОРГИЕВА,2201121553,СЗОК / 1,3,2014-07-03 00:00:00,17:00:00
87,"МЦ ""СИМП ПО ДЕТСКИ БОЛЕСТИ"" ЕООД",2202131515,СЗОК / 1,1,2014-07-03 00:00:00,09:00:00
88,"ДКЦ ""СВ. ВРАЧ И СВ. СВ. КУЗМА И ДАМЯН"" ООД",2210134504,СЗОК / 1,1,2014-07-03 00:00:00,09:30:00
89,"""ДКЦ ХХІ СОФИЯ"" ООД",2218134501,СЗОК / 1,1,2014-07-03 00:00:00,10:00:00
90,"""МЕДИЦИНСКИ ЦЕНТЪР - ОВЧА КУПЕЛ"" ООД",2218131504,СЗОК / 1,1,2014-07-03 00:00:00,11:00:00
91,"ЕТ ""Д-Р МАРИЯ МИТКОВА-ИПСМП-ГИНЕКОЛОГИЯ”",2202121635,СЗОК / 1,1,2014-07-03 00:00:00,13:30:00
92,"ДКЦ ""АЛЕКСАНДРОВСКА"" ЕООД",2210134505,СЗОК / 1,1,2014-07-03 00:00:00,14:00:00
93,"МЦ ""СПЕКТРОМЕД"" ООД",2210131507,СЗОК / 1,1,2014-07-03 00:00:00,15:30:00
94,"ЕТ ""АСМП - ИПСМП - КАРДИОЛОГИЯ - Д-Р КРАСИМИР ЦВЕТКОВ""",2202121557,СЗОК / 1,1,2014-07-03 00:00:00,16:30:00
95,"""МЕДИЦИНСКИ ЦЕНТЪР КАЛИМАТ"" ЕООД",2202131566,СЗОК / 1,1,2014-07-03 00:00:00,16:45:00
96,"ДКЦ ""ТОКУДА"" АД",2209134502,СЗОК / 1,2,2014-07-03 00:00:00,09:15:00
97,"МЦ ""СВЕТИ ГЕОРГИ 2013"" ООД",2210131558,СЗОК / 1,2,2014-07-03 00:00:00,14:00:00
98,"МЦ ""СВЕТА ЕКАТЕРИНА"" ЕООД",2210131536,СЗОК / 1,2,2014-07-03 00:00:00,15:30:00
99,"ЕТ ""РИМА Д-Р ГАНЧЕВА - РУМЯНКА ЙОНЧЕВА - АИСМП""",2210121546,СЗОК / 1,2,2014-07-03 00:00:00,16:15:00
100,"ДКЦ ""СВ. ИВАН РИЛСКИ"" ЕООД",2210134503,СЗОК / 1,3,2014-07-03 00:00:00,09:00:00
101,"""АИМП-ГП ПО НЕФРОЛОГИЯ - ОНИКС МЕДИКА"" ООД",2202123504,СЗОК / 1,3,2014-07-03 00:00:00,10:00:00
102,"""ДКЦ ХХІХ СОФИЯ"" ЕООД",2210134001,СЗОК / 1,3,2014-07-03 00:00:00,10:30:00
103,"""ДКЦ ХХ СОФИЯ"" ЕООД",2202134501,СЗОК / 1,3,2014-07-03 00:00:00,13:00:00
104,"МЦ ""САНУС 2000"" ООД",2210131524,СЗОК / 1,3,2014-07-03 00:00:00,14:30:00
105,АСМП-ИПСМП - КАРДИОЛОГИЯ - Д-Р ВЕЛИЗАР ДИЛОВ,2210121683,СЗОК / 1,3,2014-07-03 00:00:00,16:50:00
,,,,,,
,"ИЗГОТВИЛ:
Н-К СЕКТОР ""ОФИС №1"" ",,,,,
,,,,,,
,                       КРАСИМИР ДРАГАНОВ,,,,,
