"ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)"
2014,25,SKY VIEW MIDDLE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,26,DESERT SAGE ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,26,DESERT SAGE ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,30,ADAMS ELEMENTARY SCHOOL,E,23,38,21,13,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,30,ADAMS ELEMENTARY SCHOOL,A,23,38,21,13,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,33,MC LAIN HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,33,MC LAIN HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,34,MC LAIN COMMUNITY HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,34,MC LAIN COMMUNITY HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,37,RED HILL ELEMENTARY SCHOOL,E,96,48,93,25,n<20,-,n<20,-,23,0.783,32,0.594,22,0.909
2014,37,RED HILL ELEMENTARY SCHOOL,A,96,48,93,25,n<20,-,n<20,-,23,0.783,32,0.594,22,0.909
2014,38,BRUSH CREEK ELEMENTARY SCHOOL,E,31,50,31,27,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,38,BRUSH CREEK ELEMENTARY SCHOOL,A,31,50,31,27,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,39,GYPSUM CREEK MIDDLE SCHOOL,M,77,65,75,51,n<20,-,n<20,-,n<20,-,38,0.737,20,0.85
2014,39,GYPSUM CREEK MIDDLE SCHOOL,A,77,65,75,51,n<20,-,n<20,-,n<20,-,38,0.737,20,0.85
2014,40,RIDGE VIEW ACADEMY CHARTER SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,40,RIDGE VIEW ACADEMY CHARTER SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,42,ASPEN COMMUNITY CHARTER SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,42,ASPEN COMMUNITY CHARTER SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,52,HEIMAN ELEMENTARY SCHOOL,E,93,34,93,30,n<20,-,n<20,-,29,0.448,36,0.472,n<20,-
2014,52,HEIMAN ELEMENTARY SCHOOL,A,93,34,93,30,n<20,-,n<20,-,29,0.448,36,0.472,n<20,-
2014,53,WINOGRAD K-8 ELEMENTARY SCHOOL,E,49,55,49,28,n<20,-,n<20,-,n<20,-,22,0.682,n<20,-
2014,53,WINOGRAD K-8 ELEMENTARY SCHOOL,M,21,45,21,58,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,53,WINOGRAD K-8 ELEMENTARY SCHOOL,A,70,51,70,35,n<20,-,n<20,-,24,0.583,31,0.613,n<20,-
2014,54,ROMERO ELEMENTARY SCHOOL,E,224,27,224,30,25,1,n<20,-,98,0.347,75,0.427,n<20,-
2014,54,ROMERO ELEMENTARY SCHOOL,M,36,51,36,66,n<20,-,n<20,-,n<20,-,20,0.35,n<20,-
2014,54,ROMERO ELEMENTARY SCHOOL,A,260,30,260,32.5,25,1,23,0.913,107,0.336,95,0.411,n<20,-
2014,55,GRANDVIEW ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,55,GRANDVIEW ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,56,FOWLER ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,56,FOWLER ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,57,ROCKY TOP MIDDLE SCHOOL,M,25,41,24,55,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,57,ROCKY TOP MIDDLE SCHOOL,A,25,41,24,55,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,58,AGUILAR ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,58,AGUILAR ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,59,MERIDIAN ELEMENTARY SCHOOL,E,20,54,19,13,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,59,MERIDIAN ELEMENTARY SCHOOL,A,20,54,19,13,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,60,LEGACY ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,60,LEGACY ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,61,ALPINE ELEMENTARY SCHOOL,E,41,49,41,29,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,61,ALPINE ELEMENTARY SCHOOL,A,41,49,41,29,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,63,PEAKVIEW SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,63,PEAKVIEW SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,63,PEAKVIEW SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,65,COAL RIDGE HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,65,COAL RIDGE HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,67,ACADEMY OF URBAN LEARNING,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,67,ACADEMY OF URBAN LEARNING,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,71,ASPEN RIDGE PREPATORY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,71,ASPEN RIDGE PREPATORY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,74,CHALLENGER MIDDLE SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,74,CHALLENGER MIDDLE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,76,AIR ACADEMY HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,76,AIR ACADEMY HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,86,AKRON ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,86,AKRON ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,99,ACADEMY 360,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,99,ACADEMY 360,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,108,ALAMEDA INTERNATIONAL HIGH SCHOOL,H,159,50,156,39,n<20,-,n<20,-,31,0.677,73,0.479,44,0.818
2014,108,ALAMEDA INTERNATIONAL HIGH SCHOOL,A,159,50,156,39,n<20,-,n<20,-,31,0.677,73,0.479,44,0.818
2014,109,ARVADA K-8,E,24,38,23,26,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,109,ARVADA K-8,M,43,36,43,57,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,109,ARVADA K-8,A,67,37,66,53,n<20,-,n<20,-,27,0.259,22,0.182,n<20,-
2014,114,ORTEGA MIDDLE SCHOOL,M,35,41,35,56,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,114,ORTEGA MIDDLE SCHOOL,A,35,41,35,56,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,115,ALAMOSA ELEMENTARY SCHOOL,E,117,41,115,28,20,1,n<20,-,40,0.525,38,0.605,n<20,-
2014,115,ALAMOSA ELEMENTARY SCHOOL,A,117,41,115,28,20,1,n<20,-,40,0.525,38,0.605,n<20,-
2014,118,ALAMOSA HIGH SCHOOL,H,22,37.5,20,45,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,118,ALAMOSA HIGH SCHOOL,A,22,37.5,20,45,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,125,ARAPAHOE RIDGE HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,125,ARAPAHOE RIDGE HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,135,BEN FRANKLIN ACADEMY,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,135,BEN FRANKLIN ACADEMY,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,135,BEN FRANKLIN ACADEMY,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,141,SKY VISTA MIDDLE SCHOOL,M,25,31,24,56,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,141,SKY VISTA MIDDLE SCHOOL,A,25,31,24,56,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,146,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,146,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,146,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,146,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,148,ALLENDALE ELEMENTARY SCHOOL,E,29,41,25,32,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,148,ALLENDALE ELEMENTARY SCHOOL,A,29,41,25,32,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,186,ALSUP ELEMENTARY SCHOOL,E,194,35,194,27.5,21,1,21,0.714,64,0.5,74,0.432,n<20,-
2014,186,ALSUP ELEMENTARY SCHOOL,A,194,35,194,27.5,21,1,21,0.714,64,0.5,74,0.432,n<20,-
2014,187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,M,33,54,33,45,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,H,52,49.5,49,37,n<20,-,n<20,-,n<20,-,27,0.667,n<20,-
2014,187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,A,85,50,82,39,n<20,-,n<20,-,n<20,-,45,0.644,22,0.682
2014,201,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,201,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,203,WELTE EDUCATION CENTER,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,203,WELTE EDUCATION CENTER,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,205,RED CANYON HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,205,RED CANYON HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,210,VANTAGE POINT,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,210,VANTAGE POINT,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,210,VANTAGE POINT,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,212,MAPLETON EARLY COLLEGE HIGH SCHOOL,H,34,49.5,33,21,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,212,MAPLETON EARLY COLLEGE HIGH SCHOOL,A,34,49.5,33,21,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,213,AXL ACADEMY,E,70,67,68,24,n<20,-,n<20,-,n<20,-,30,0.833,n<20,-
2014,213,AXL ACADEMY,M,30,83.5,29,61,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,213,AXL ACADEMY,A,100,73,97,33,n<20,-,n<20,-,24,0.625,45,0.822,20,0.95
2014,214,ALTURA ELEMENTARY SCHOOL,E,293,37,288,26.5,39,0.949,38,0.737,99,0.455,68,0.662,44,0.795
2014,214,ALTURA ELEMENTARY SCHOOL,A,293,37,288,26.5,39,0.949,38,0.737,99,0.455,68,0.662,44,0.795
2014,215,AMERICAN ACADEMY,E,38,76,33,25,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,215,AMERICAN ACADEMY,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,215,AMERICAN ACADEMY,A,39,77,34,25,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,219,APS ONLINE SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,219,APS ONLINE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,220,AMESSE ELEMENTARY SCHOOL,E,207,66,207,30,31,0.935,37,0.757,73,0.712,57,0.719,n<20,-
2014,220,AMESSE ELEMENTARY SCHOOL,A,207,66,207,30,31,0.935,37,0.757,73,0.712,57,0.719,n<20,-
2014,225,ANIMAS VALLEY ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,225,ANIMAS VALLEY ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,226,ALTONA MIDDLE SCHOOL,M,34,66.5,34,57.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,226,ALTONA MIDDLE SCHOOL,A,34,66.5,34,57.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,242,ANTELOPE RIDGE ELEMENTARY SCHOOL,E,37,58,37,21,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,242,ANTELOPE RIDGE ELEMENTARY SCHOOL,A,37,58,37,21,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,243,COYOTE HILLS ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,243,COYOTE HILLS ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,248,GUADALUPE ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,248,GUADALUPE ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,249,ANTELOPE TRAILS ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,249,ANTELOPE TRAILS ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,250,ANTONITO MIDDLE SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,250,ANTONITO MIDDLE SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,252,ANTONITO HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,252,ANTONITO HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,262,APPLETON ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,262,APPLETON ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,263,GLOBAL LEADERSHIP ACADEMY,E,95,46,95,29,n<20,-,n<20,-,33,0.576,28,0.679,n<20,-
2014,263,GLOBAL LEADERSHIP ACADEMY,M,60,62.5,59,57,n<20,-,n<20,-,n<20,-,32,0.594,n<20,-
2014,263,GLOBAL LEADERSHIP ACADEMY,H,63,60,61,32,n<20,-,n<20,-,n<20,-,24,0.792,n<20,-
2014,263,GLOBAL LEADERSHIP ACADEMY,A,218,51,215,37,n<20,-,n<20,-,66,0.576,84,0.679,33,0.848
2014,264,CIMARRON MIDDLE,M,20,56,17,36,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,264,CIMARRON MIDDLE,A,20,56,17,36,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,265,CLEAR SKY ELEMENTARY,E,31,47,28,45.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,265,CLEAR SKY ELEMENTARY,A,31,47,28,45.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,266,GOLD RUSH ELEMENTARY,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,266,GOLD RUSH ELEMENTARY,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,267,MESA MIDDLE SCHOOL,M,24,65,24,56.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,267,MESA MIDDLE SCHOOL,A,24,65,24,56.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,269,ACHIEVE ONLINE,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,269,ACHIEVE ONLINE,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,298,ARAPAHOE HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,298,ARAPAHOE HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,E,61,39,60,25.5,n<20,-,n<20,-,21,0.619,n<20,-,n<20,-
2014,301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,A,61,39,60,25.5,n<20,-,n<20,-,21,0.619,n<20,-,n<20,-
2014,304,ARICKAREE ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,304,ARICKAREE ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,308,ARICKAREE UNDIVIDED HIGH SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,308,ARICKAREE UNDIVIDED HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,308,ARICKAREE UNDIVIDED HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,309,ACADEMY HIGH SCHOOL,H,78,61.5,75,33,n<20,-,n<20,-,n<20,-,39,0.769,22,0.909
2014,309,ACADEMY HIGH SCHOOL,A,78,61.5,75,33,n<20,-,n<20,-,n<20,-,39,0.769,22,0.909
2014,310,ARKANSAS ELEMENTARY SCHOOL,E,101,39,101,17,n<20,-,n<20,-,30,0.433,23,0.783,n<20,-
2014,310,ARKANSAS ELEMENTARY SCHOOL,A,101,39,101,17,n<20,-,n<20,-,30,0.433,23,0.783,n<20,-
2014,348,ARROWHEAD ELEMENTARY SCHOOL,E,46,46,46,14.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,348,ARROWHEAD ELEMENTARY SCHOOL,A,46,46,46,14.5,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
