U.S. Energy Information Administration,,,,,,,,,,,
June 2014 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: June 25, 2014",,,,,,,,,,,
"Next Update: July 28, 2014",,,,,,,,,,,
,,,,,,,,,,,
Table 7.3b Consumption of Combustible Fuels for Electricity Generation: Electric Power Sector,,,,,,,,,,,
,,,,,,,,,,,
Annual Total,"Coal Consumption for Electricity Generation, Electric Power Sector","Distillate Fuel Oil Consumption for Electricity Generation, Electric Power Sector","Residual Fuel Oil Consumption for Electricity Generation, Electric Power Sector","Other Petroleum Liquids Consumption for Electricity Generation, Electric Power Sector","Petroleum Coke Consumption for Electricity Generation, Electric Power Sector","Total Petroleum Consumption for Electricity Generation, Electric Power Sector","Natural Gas Consumption for Electricity Generation, Electric Power Sector","Other Gases Consumption for Electricity Generation, Electric Power Sector","Wood Consumption for Electricity Generation, Electric Power Sector","Waste Consumption for Electricity Generation, Electric Power Sector","Other Consumption for Electricity Generation, Electric Power Sector"
1971,327300.619,34283.411,362187.114,Not Available,605.175,399496.4,3976.018,Not Available,1.167,2.094,Not Available
1972,351767.778,53464.547,440294.191,Not Available,627.278,496895.128,3976.913,Not Available,1.358,2.073,Not Available
1973,389211.603,47058.099,513189.738,Not Available,506.714,562781.407,3660.172,Not Available,1.355,2.056,Not Available
1974,391810.8,53127.748,483145.755,Not Available,625.019,539398.598,3443.428,Not Available,0.716,1.902,Not Available
1975,405962.432,38906.948,467221.475,Not Available,70.16,506479.223,3157.669,Not Available,0.183,1.806,Not Available
1976,448370.974,41843.484,514076.707,Not Available,68.071,556260.546,3080.868,Not Available,0.875,1.889,Not Available
1977,477125.963,48836.591,574868.602,Not Available,97.529,624192.838,3191.2,Not Available,3.21,1.808,Not Available
1978,481234.827,47520.31,588318.739,Not Available,398.273,637830.414,3188.363,Not Available,2.043,1.455,Not Available
1979,527051.248,30691.113,492605.903,Not Available,267.888,524636.456,3490.523,Not Available,3.104,2.052,Not Available
1980,569273.735,29051.498,391162.734,Not Available,179.199,421110.227,3681.595,Not Available,2.861,1.639,Not Available
1981,596796.833,21312.975,329798.311,Not Available,138.871,351805.641,3640.154,Not Available,2.563,1.282,Not Available
1982,593665.644,15336.715,234434.086,Not Available,149.334,250517.471,3225.518,Not Available,2.048,1.307,Not Available
1983,625211.312,16512.32,228984.181,Not Available,261.456,246803.781,2910.767,Not Available,2.271,1.712,Not Available
1984,664399.085,15190.194,189288.516,Not Available,251.522,205736.32,3111.342,Not Available,4.817,4.432,Not Available
1985,693840.766,14634.697,158779.03,Not Available,231.357,174570.512,3044.083,Not Available,7.765,6.682,Not Available
1986,685055.782,14325.905,216156.455,Not Available,312.699,232045.855,2602.37,Not Available,5.134,7.158,Not Available
1987,717894.154,15366.901,184011.088,Not Available,347.58,201115.889,2844.051,Not Available,8.159,7.23,Not Available
1988,758371.602,18768.974,229326.693,Not Available,409.005,250140.692,2635.613,Not Available,9.663,7.622,Not Available
1989,771550.942,26035.884,242707.633,9.058,517.385,271339.5,3023.513,6.647,75.393,126.268,2.061
1990,781300.757,16394.1,183285.193,24.519,1008.199,204744.807,3147.289,6.058,105.9,179.967,0.078
1991,782653.18,14254.564,171629.354,57.505,973.749,190810.168,3216.056,6.483,104.336,217.148,3.55
1992,793389.973,12469.423,137681.026,117.574,1490.179,157718.918,3324.963,11.796,119.573,251.809,3.441
1993,829851.117,14558.847,151406.993,212.859,2571.071,179034.054,3344.239,12.017,129.242,255.265,2.908
1994,836113.436,20240.865,137197.596,666.856,2256.27,169386.667,3758.484,12.024,134.042,269.227,1.892
1995,847854.038,18066.281,88895.353,440.931,2452.092,119663.025,4093.773,18.167,106.359,281.67,2.017
1996,894400.118,18471.619,98795.391,566.64,2466.908,130168.19,3659.81,15.565,117.479,279.849,1.908
1997,919008.912,18645.938,112422.816,129.686,3200.729,147202.085,3903.195,14.415,116.723,291.565,0.632
1998,934126.044,23165.652,165874.821,411.403,3999.024,209446.996,4415.813,22.751,124.681,287.353,1.615
1999,937888.46,23874.799,151920.985,513.658,3607.189,194345.387,4643.775,14.323,125.439,290.074,1.426
2000,982713.351,29721.938,138046.872,403.087,3154.85,183946.147,5014.071,18.822,126.287,294.388,1.279
2001,961523.405,29055.563,159149.549,373.52,3308.149,205119.377,5142.493,9.444,115.951,205.32,109.126
2002,975251.384,21809.889,104576.553,1243.489,5704.869,156154.276,5408.279,25.494,140.608,223.653,136.807
2003,1003035.992,27441.455,137360.679,1937.428,5719.225,195335.687,4909.248,29.565,156.393,216.048,136.209
2004,1012458.692,18793.473,138830.739,2511.185,7134.815,195809.473,5075.339,27.148,150.221,205.662,131.382
2005,1033566.901,19449.832,138336.758,2590.554,7876.583,199760.059,5484.78,24.424,165.78,205.377,116.391
2006,1022801.917,12577.679,56347.078,1782.98,6905.457,105235.02,5891.222,27.58,163.002,216.492,117.049
2007,1041346.063,15134.956,62072.491,2495.742,5522.638,107316.379,6501.612,27.013,164.521,221.289,116.513
2008,1036891.485,12317.699,37221.591,2608.442,5000.154,77148.502,6342.331,23.35,159.272,241.943,122.495
2009,929692.195,11848.319,27767.838,2110.147,4484.845,64150.529,6566.991,21.324,160.459,244.069,115.161
2010,971244.92,13676.605,23559.63,1847.909,4678.628,62477.284,7085.416,19.592,177.239,248.667,115.589
2011,928856.539,10960.677,13860.842,1655.471,4725.506,50104.52,7265.194,17.72,165.582,240.879,132.607
2012,820761.926,9000.047,11292.124,1338.721,2861.272,35937.252,8788.186,19.002,170.94,249.918,132.26
2013,855856.377,9044.308,11507.194,1392.872,4207.334,42981.043,7824.618,25.865,184.111,243.918,127.01
