ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp
2008-04-30,0,475254590,178749245,26120579,,322027534
2008-03-31,0,323371925,26734535,35475549,,
2008-02-29,0,323371925,26734535,35475549,,
2008-01-31,0,323371925,26734535,35475549,,325212090
2007-10-31,0,,0,,,335922306
2007-06-30,0,,0,,,360349318
2007-03-31,0,,0,,,382163352
2007-01-31,0,,0,,,378927102
2006-11-30,0,,0,,,384177028
2006-07-31,0,,0,,,403128762
2006-04-30,0,,0,,,419799530
2006-01-31,0,,0,,,418038546
2005-11-30,0,,0,,,417042656
2005-07-29,0,,0,,,415187132
2005-04-30,0,,0,,,416833404
2005-01-31,0,,0,,,444420408
2004-11-30,0,,0,,,420468072
2004-07-31,0,,0,,,449753720
2004-04-30,0,,0,,,449220048
2004-01-30,0,,0,,,448958012
2003-12-01,0,,0,,,448549844
2003-07-31,0,,0,,,447598484
2003-04-30,0,,0,,,441546720
2003-01-31,0,,0,,,440876156
2002-12-02,0,,0,,,418639196
2002-07-31,0,,0,,,423588180
2002-03-31,0,,0,,,419518912
2001-12-31,0,,0,,,415711436
2001-12-03,0,,0,,,405664124
2001-09-30,0,,0,,,414138076
2001-06-30,0,,0,,,235604244
2001-03-31,0,,0,,,237719112
2000-12-31,0,,0,,,236723544
2000-09-30,0,,0,,,234924944
2000-06-30,0,,0,,,233567904
2000-03-31,0,,0,,,231915928
1999-12-31,0,,0,,,205456000
1999-09-30,0,,0,,,230584000
1999-06-30,0,,0,,,221388000
1999-03-31,0,,0,,,221132000
1998-12-31,0,,0,,,220624000
1998-09-30,0,,0,,,219376000
1998-06-30,0,,0,,,218624000
1998-03-31,0,,0,,,217792000
1997-12-31,0,,0,,,217896000
1997-09-30,0,,0,,,217176000
1997-06-30,0,,0,,,216320000
1997-03-31,0,,0,,,216056000
1996-12-31,0,,0,,,189376000
1996-09-30,0,,0,,,215784000
1996-06-30,0,,0,,,215792000
1996-03-31,0,,0,,,203776000
1995-12-31,0,,0,,,203776000
1995-09-30,0,,0,,,203776000
1995-06-30,0,,0,,,203392000
