Data file layout for Student Data File,,,,,,,
"Ohio Achievement Assessments, Graduation Tests, OTELA",,,,,,,
Includes data fields for the State Standard-based  Alternate Assessment for Students with Disabilities; and English Language Development Tests (OTELA),,,,,,,
File Name:         Student File Layout  ,,,,,,,
Record Length:  585,,,,,,,
,,,,,,,
Field Position,,Field Length,,Description,Comments/Acceptable values,ALT,OTELA/ELDA
354,356,3,,Raw Score 4,"Standard 4
Numeric - 99.9 - implied decimal
Ex:  045 = 4.5; 040 = 4.0",Domian 4 for Alt,No Standard subscore for OTELA
357,357,1,,Indicator 4,"+ = higher, * = at, - = lower than standard",,
358,360,3,,Raw Score 5,"Standard 5                                           Numeric - 99.9 - implied decimal
Ex:  045 = 4.5; 040 = 4.0",,
361,361,1,,Indicator 5,"+ = higher, * = at, - = lower than standard",,
362,362,1,,filler,,,
363,365,3,,Science Total Raw Score,"Numeric, blank (if did not attempt)
Total Raw score for reading
99v9 - implied decimal",,
366,367,2,,OTELA/ELDA Composite Performance Level," (OTELA/ELDA 05=Level 5, 04=Level 4,03=Level 3, 02=Level 2, 01=Level 1, 99=invalidated)",,OTELA Composite Performance Level
368,370,3,,OTElA/ELDA Composite Scale Score,"alpha/numeric or blank, Range 000-999, DNA = Did Not Attempt, INV = Invalid, blank if test type = A",,OTELA Composite Scale score 0-999
371,373,3,,filler,filler,,
374,382,9,,SSID,"State Student Identification Number, start with two alpha, then 7 numberic.",,
383,383,1,,Writng Accommodation Indicator,"Y = Yes, N = No, for accommodations for IEP and LEP, including special versions.",,
384,384,1,,Reading Accommodation Indicator,"Y = Yes, N = No, for accommodations for IEP and LEP, including special versions.",,
385,385,1,,Math Accommodation Indicator (Listening for OTELA/ELDA),"Y = Yes, N = No, for accommodations for IEP and LEP, including special versions.",,
386,386,1,,Social Studies Accommodation Indicator (Speaking for OTELA/ELDA),"Y = Yes, N = No, for accommodations for IEP and LEP, including special versions.",,
387,387,1,,Science Accommodation Indicator,"Y = Yes, N = No, for accommodations for IEP and LEP, including special versions.",,
388,392,5,,filler,,,
393,402,10,,Writing Class Name,Writing class name or course name,,
403,407,5,,Writing Session Number,Writing class session number or course session number,,
408,427,20,,Writing Teacher Name,"Writing teacher name (Last Name, First)",,
428,437,10,,Readting Class Name,Reading class name or course name,,
438,442,5,,Reading Session Number,Reading class session number or course session number,,
443,462,20,,Reading Teacher Name,"Reading teacher name (Last Name, First)",,
463,472,10,,Math Class Name,Math class name or course name,,
473,477,5,,Math Session Number,Math class session number or course session number,,
478,497,20,,Math Teacher Name,"Math teacher name (Last Name, First)",,
498,507,10,,Social Studies Class Name,Social Studies class name or course name,,
508,512,5,,Social Studies Session Number,Social Studies class session number or course session number,,
513,532,20,,Social Studies Teacher Name,"Social Studies teacher name (Last Name, First)",,
533,542,10,,Science Class Name,Science class name or course name,,
543,547,5,,Science Session Number,Science class session number or course session number,,
548,567,20,,Science Teacher Name,"Science teacher name (Last Name, First)",,
568,583,16,,filler,,,
584,585,2,,DAS,Data Acquisition Site (Numeric of **),,
