"CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc."
2007-12-11,0.52%,,,,
2007-11-27,0.79%,,,,
2007-11-09,1.19%,,,,
2007-10-26,0.63%,,,,
2007-10-10,0.68%,,,,
2007-09-25,0.61%,,,,
2007-09-11,0.63%,,,,
2007-08-10,0.68%,,,,
2007-07-10,0.70%,,,,
2007-06-12,1.94%,,,,
2007-05-10,1.75%,,,,
2007-04-10,0.00%,,,,
2007-03-12,0.00%,,,,
2007-02-12,0.00%,,,,
2007-01-09,0.00%,,,,
2006-12-12,0.00%,,,,
2006-11-10,0.00%,,,,
2006-10-10,0.00%,,,,
2006-09-12,0.00%,,,,
2006-08-10,0.00%,,,,
2006-07-11,0.00%,,,,
