U.S. Energy Information Administration,,,,,,,,,,,,
September 2014 Monthly Energy Review,,,,,,,,,,,,
,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,
,,,,,,,,,,,,
"Release Date: September 25, 2014",,,,,,,,,,,,
"Next Update: October 28, 2014",,,,,,,,,,,,
,,,,,,,,,,,,
Table 11.2 Petroleum Consumption in OECD Countries,,,,,,,,,,,,
,,,,,,,,,,,,
Month,"Petroleum Consumption, France","Petroleum Consumption, Germany","Petroleum Consumption, Italy","Petroleum Consumption, United Kingdom","Petroleum Consumption, OECD Europe","Petroleum Consumption, Canada","Petroleum Consumption, Japan","Petroleum Consumption, South Korea","Petroleum Consumption, United States","Petroleum Consumption, Other OECD","Petroleum Consumption, Total OECD","Petroleum Consumption, World"
1974-11-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17351.267,Not Available,Not Available,Not Available
1974-12-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18012.968,Not Available,Not Available,Not Available
1975-01-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18003.903,Not Available,Not Available,Not Available
1975-02-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17084.357,Not Available,Not Available,Not Available
1975-03-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16315.355,Not Available,Not Available,Not Available
1975-04-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16048.3,Not Available,Not Available,Not Available
1975-05-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15155.258,Not Available,Not Available,Not Available
1975-06-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15610.033,Not Available,Not Available,Not Available
1975-07-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15739.871,Not Available,Not Available,Not Available
1975-08-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15806.29,Not Available,Not Available,Not Available
27638,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15767.833,Not Available,Not Available,Not Available
27668,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16376.613,Not Available,Not Available,Not Available
27699,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15777.233,Not Available,Not Available,Not Available
27729,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18185,Not Available,Not Available,Not Available
27760,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18646.903,Not Available,Not Available,Not Available
27791,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17509.276,Not Available,Not Available,Not Available
27820,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17302,Not Available,Not Available,Not Available
27851,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16671.533,Not Available,Not Available,Not Available
27881,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15977.387,Not Available,Not Available,Not Available
27912,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16824.567,Not Available,Not Available,Not Available
27942,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16606.742,Not Available,Not Available,Not Available
27973,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16642.032,Not Available,Not Available,Not Available
28004,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16836.8,Not Available,Not Available,Not Available
28034,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17090.355,Not Available,Not Available,Not Available
28065,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18846.933,Not Available,Not Available,Not Available
28095,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20559.935,Not Available,Not Available,Not Available
28126,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20504.323,Not Available,Not Available,Not Available
28157,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20481.821,Not Available,Not Available,Not Available
28185,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18123.742,Not Available,Not Available,Not Available
28216,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17579.667,Not Available,Not Available,Not Available
28246,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16972.323,Not Available,Not Available,Not Available
28277,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18043.333,Not Available,Not Available,Not Available
28307,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17567.903,Not Available,Not Available,Not Available
28338,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18011.871,Not Available,Not Available,Not Available
28369,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17714.4,Not Available,Not Available,Not Available
28399,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17824.097,Not Available,Not Available,Not Available
28430,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18437.333,Not Available,Not Available,Not Available
28460,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20051.71,Not Available,Not Available,Not Available
28491,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19752.29,Not Available,Not Available,Not Available
28522,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20900.036,Not Available,Not Available,Not Available
28550,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19652.032,Not Available,Not Available,Not Available
28581,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17747.1,Not Available,Not Available,Not Available
28611,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18230.355,Not Available,Not Available,Not Available
28642,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18259.733,Not Available,Not Available,Not Available
28672,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17633.323,Not Available,Not Available,Not Available
28703,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18638.645,Not Available,Not Available,Not Available
28734,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17953.5,Not Available,Not Available,Not Available
28764,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18417.484,Not Available,Not Available,Not Available
28795,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19156.2,Not Available,Not Available,Not Available
28825,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19944.258,Not Available,Not Available,Not Available
28856,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20585.581,Not Available,Not Available,Not Available
28887,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21287.964,Not Available,Not Available,Not Available
28915,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19321.645,Not Available,Not Available,Not Available
28946,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17434.033,Not Available,Not Available,Not Available
28976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17800.613,Not Available,Not Available,Not Available
29007,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17785.633,Not Available,Not Available,Not Available
29037,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17143.935,Not Available,Not Available,Not Available
29068,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18148.774,Not Available,Not Available,Not Available
29099,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17399.8,Not Available,Not Available,Not Available
29129,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18175.806,Not Available,Not Available,Not Available
29160,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18312.9,Not Available,Not Available,Not Available
29190,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18921.806,Not Available,Not Available,Not Available
29221,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18851.484,Not Available,Not Available,Not Available
29252,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18817.207,Not Available,Not Available,Not Available
29281,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17376.903,Not Available,Not Available,Not Available
29312,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16784.467,Not Available,Not Available,Not Available
29342,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16237.742,Not Available,Not Available,Not Available
29373,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16187,Not Available,Not Available,Not Available
29403,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16007.806,Not Available,Not Available,Not Available
29434,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15752.871,Not Available,Not Available,Not Available
29465,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16598.4,Not Available,Not Available,Not Available
29495,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16994.71,Not Available,Not Available,Not Available
29526,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16702.033,Not Available,Not Available,Not Available
29556,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18410.387,Not Available,Not Available,Not Available
29587,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18429.724,Not Available,Not Available,Not Available
29618,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16988.908,Not Available,Not Available,Not Available
29646,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15906.794,Not Available,Not Available,Not Available
29677,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15349.671,Not Available,Not Available,Not Available
29707,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15353,Not Available,Not Available,Not Available
29738,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16094.594,Not Available,Not Available,Not Available
29768,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15682.383,Not Available,Not Available,Not Available
29799,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15262.692,Not Available,Not Available,Not Available
29830,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15654.579,Not Available,Not Available,Not Available
29860,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15821.645,Not Available,Not Available,Not Available
29891,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15592.683,Not Available,Not Available,Not Available
29921,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16596.148,Not Available,Not Available,Not Available
29952,2032,2287,1982,1633,12675,1779,5410,Not Available,16123.968,1094,37081,Not Available
29983,2237,2590,2110,1772,13731,1861,5826,Not Available,16001.401,1078,38496,Not Available
30011,2032,2692,1989,1798,13415,1701,5256,Not Available,15560.477,1157,37090,Not Available
30042,1869,2481,1746,1613,12101,1445,4764,Not Available,16046.309,1109,35465,Not Available
30072,1807,2095,1528,1496,10979,1411,4226,Not Available,14846.582,1136,32599,Not Available
30103,1869,2447,1691,1536,11845,1490,3930,Not Available,14998.126,1184,33446,Not Available
30133,1616,2245,1673,1493,11024,1498,4140,Not Available,14820.547,1138,32622,Not Available
30164,1616,2411,1388,1401,10780,1601,3922,Not Available,14839.294,1087,32229,Not Available
30195,1670,2350,1774,1522,11742,1515,4031,Not Available,15021.916,1047,33357,Not Available
30225,1922,2195,1778,1540,11591,1459,3941,Not Available,14858.557,1082,32932,Not Available
30256,1987,2328,1864,1660,12573,1622,4546,Not Available,15009.073,1111,34861,Not Available
30286,1922,2372,1882,1629,12337,1582,5080,Not Available,15487.215,1092,35578,Not Available
30317,1929,2200,1797,1520,11685,1402,4604,Not Available,14722.252,985,33398,Not Available
30348,2228,2408,1992,1684,13011,1534,5135,Not Available,14791.9,1025,35497,Not Available
30376,1914,2520,1856,1680,12456,1354,4824,Not Available,15540.504,1072,35246,Not Available
30407,2025,2242,1654,1543,11658,1273,4093,Not Available,14692.125,1017,32733,Not Available
30437,1726,2312,1541,1448,11217,1387,3663,Not Available,14504.705,1069,31841,Not Available
30468,1652,2381,1591,1474,11264,1435,3919,Not Available,15288.797,1060,32966,Not Available
30498,1418,2084,1559,1388,10258,1337,3973,Not Available,15018.825,1033,31621,Not Available
30529,1595,2225,1477,1457,10974,1517,4225,Not Available,15480.115,1086,33283,Not Available
30560,1637,2340,1789,1537,11501,1476,4219,Not Available,15505.852,1041,33743,Not Available
30590,1709,2395,1772,1539,11821,1451,4096,Not Available,14962.248,1048,33378,Not Available
30621,2015,2397,1968,1562,12608,1541,4646,Not Available,15499.838,1094,35389,Not Available
30651,2213,2398,2029,1554,12834,1677,5392,Not Available,16725.941,1070,37698,Not Available
30682,2119,2476,1977,1543,13048,1542,5092,597,16800.794,2524,39604,Not Available
30713,2180,2648,1998,1634,13919,1513,5807,581,15437.185,2700,39957,Not Available
30742,1962,2622,1872,1700,13421,1511,5460,596,16050.032,2651,39689,Not Available
30773,1716,2471,1589,1657,12339,1362,4416,540,15568.196,2517,36742,Not Available
30803,1634,2692,1561,1809,12614,1503,4046,511,15619.911,2561,36855,Not Available
30834,1697,2454,1516,1851,12264,1464,4087,546,15708.659,2563,36633,Not Available
30864,1442,2672,1607,1691,12006,1526,4257,505,15497.739,2601,36393,Not Available
30895,1441,2576,1447,1896,12110,1553,4440,528,16116.474,2690,37437,Not Available
30926,1650,2581,1730,1896,12656,1417,4175,511,15247.381,2499,36505,Not Available
30956,1817,2453,1719,2025,13005,1589,4201,525,15616.458,2769,37705,Not Available
30987,1767,2652,1795,2165,13468,1606,4717,567,15626.57,2783,38768,Not Available
31017,1840,2394,1834,2033,12982,1493,5326,644,15375.121,2758,38578,Not Available
31048,2274,2744,2016,2094,14741,1583,4982,597,16109.194,2622,40634,Not Available
31079,1970,2598,1994,2260,14290,1556,5347,567,16121.302,2754,40635,Not Available
31107,1813,2364,1773,1800,12636,1395,4783,546,15372.654,2667,37400,Not Available
31138,1650,2594,1521,1507,12095,1403,4059,526,15471.716,2778,36333,Not Available
31168,1524,2558,1459,1420,11537,1522,3818,526,15503.584,2787,35694,Not Available
31199,1608,2672,1467,1382,11698,1366,3807,490,15482.913,2624,35468,Not Available
31229,1549,2921,1589,1433,12306,1488,4102,523,15433.671,2711,36564,Not Available
31260,1462,2984,1373,1448,12185,1565,4238,504,16060.073,2649,37201,Not Available
31291,1707,2583,1691,1530,12577,1512,4070,528,15098.995,2613,36399,Not Available
31321,1822,2781,1804,1542,13290,1569,4128,548,15943.512,2705,38184,Not Available
31352,1849,2499,1818,1605,13059,1555,4602,589,15502.759,2721,38029,Not Available
31382,1825,2495,1967,1435,12929,1649,5346,675,16611.335,2752,39962,Not Available
31413,1847,2693,1845,1525,13050,1532,5036,576,16087.988,2748,39030,Not Available
31444,2274,3075,1965,1747,14615,1541,5324,567,16186.028,2817,41050,Not Available
31472,1750,2716,1709,1673,12960,1359,4841,609,16276.299,2660,38705,Not Available
31503,1936,3266,1595,1693,13817,1419,4184,552,15944.634,2802,38719,Not Available
31533,1454,2988,1479,1588,12390,1473,3831,553,15993.195,2781,37021,Not Available
31564,1620,3077,1522,1582,12859,1546,3846,585,16049.396,2742,37627,Not Available
31594,1651,3046,1644,1601,13103,1551,3887,526,16306.919,2740,38114,Not Available
31625,1626,2636,1464,1581,12659,1511,4161,572,16618.296,2642,38163,Not Available
31656,1707,2488,1724,1783,13191,1527,4191,593,15908.98,2744,38155,Not Available
31686,1677,2544,1816,1680,13115,1559,4396,562,16602.374,2733,38967,Not Available
31717,1665,2419,1912,1597,12725,1522,4853,665,16221.099,2649,38635,Not Available
31747,2004,2582,2144,1608,14026,1671,5534,738,17130.958,2814,41914,Not Available
31778,1979,2545,2031,1627,13850,1446,4983,636,16684.207,2764,40363,Not Available
31809,1979,2748,1949,1674,14024,1617,5215,651,16908.042,2812,41227,Not Available
31837,1912,2821,2073,1622,13877,1523,4915,672,16164.79,2750,39902,Not Available
31868,1708,2676,1690,1563,12690,1494,4283,634,16523.539,2871,38496,Not Available
31898,1458,2654,1557,1443,11901,1537,3824,592,16026.006,2687,36567,Not Available
31929,1748,2780,1681,1541,13035,1638,4059,582,16829.738,2890,39034,Not Available
31959,1758,2933,1792,1612,13337,1614,4231,569,17112.972,2825,39689,Not Available
31990,1537,2804,1631,1516,12759,1557,4291,533,16346.484,2724,38210,Not Available
32021,1661,2787,1849,1683,13430,1652,4376,608,16669.885,2814,39550,Not Available
32051,1789,2619,1764,1637,13302,1676,4313,593,16941.064,2764,39589,Not Available
32082,1831,2606,1841,1695,13562,1652,4755,676,16342.997,2908,39896,Not Available
32112,2077,2706,1931,1725,14198,1707,5602,776,17444.853,2991,42719,Not Available
32143,1707,2428,1804,1582,12474,1570,4961,759,17402.602,2673,39840,Not Available
32174,1991,2675,1919,1725,13760,1695,5781,761,17759.524,2895,42652,Not Available
32203,1981,2841,1824,1787,14235,1652,5324,751,17611.663,2991,42565,Not Available
32234,1706,2543,1634,1638,12679,1478,4550,715,16560.518,2794,38777,Not Available
32264,1563,2551,1657,1596,12340,1608,4046,639,16196.877,2872,37702,Not Available
32295,1735,2886,1809,1742,13602,1652,4234,699,17059.35,2939,40185,Not Available
32325,1693,2827,1781,1569,13058,1601,4492,658,16694.707,2815,39319,Not Available
32356,1581,2649,1626,1636,12908,1739,4524,730,17482.408,2944,40327,Not Available
32387,1779,2826,1867,1720,13750,1690,4384,680,17071.649,2790,40366,Not Available
32417,1777,2683,1886,1711,13511,1680,4457,702,17579.737,2843,40773,Not Available
32448,2080,2855,2106,1846,15006,1806,5373,890,17619.672,2893,43588,Not Available
32478,2039,2920,2049,1754,14880,1824,6097,967,18365.221,2952,45085,Not Available
32509,1909,2176,1996,1696,13227,1692,5291,908,17268.679,2909,41296,Not Available
32540,2076,2498,2092,1762,14071,1778,5677,897,17919.608,3204,43547,Not Available
32568,1935,2552,1895,1792,13911,1707,5642,880,17989.037,3008,43137,Not Available
32599,1706,2452,1709,1727,12958,1646,4657,783,16623.958,3019,39687,Not Available
32629,1611,2425,1745,1631,12678,1694,4435,787,16546.072,3130,39270,Not Available
32660,1757,2543,1842,1688,13323,1671,4526,760,17496.783,3141,40918,Not Available
32690,1662,2621,1630,1594,12648,1657,4652,762,16452.867,3052,39224,Not Available
32721,1639,2798,1698,1717,13428,1841,4671,774,17360.392,3115,41189,Not Available
32752,1835,2744,1878,1709,13754,1697,4707,780,16794.991,2941,40674,Not Available
32782,1941,2735,2020,1777,14141,1750,4816,909,17303.591,2962,41882,Not Available
32813,2000,2829,2122,1880,14697,1804,5397,990,17311.036,3092,43291,Not Available
32843,2079,2603,2159,1801,14290,1925,6252,1091,18857.711,3073,45489,Not Available
32874,2029,2501,2147,1762,13972,1690,5703,1076,16963.809,2967,42372,Not Available
32905,1938,2716,1999,1878,14134,1797,6046,1104,17174.846,3004,43260,Not Available
32933,1881,2636,1818,1952,13714,1725,5667,1104,17087.202,3016,42313,Not Available
32964,1789,2602,1583,1779,13251,1625,4841,1013,16778.367,2865,40373,Not Available
32994,1614,2678,1747,1801,13263,1702,4645,975,16914.524,2987,40487,Not Available
33025,1788,2803,1753,1848,13817,1662,4702,859,17165.362,2954,41159,Not Available
33055,1872,2977,1829,1861,14246,1744,5142,871,17083.588,2929,42016,Not Available
33086,1787,2652,1689,1786,13930,1873,5406,931,18050.487,3122,43312,Not Available
33117,1691,2545,1820,1654,13166,1705,5184,1081,16512.014,2855,40503,Not Available
33147,1705,2651,1940,1623,13442,1787,5065,1022,16934.427,3019,41269,Not Available
33178,1843,2752,2053,1736,13925,1737,5341,1191,16694.99,3005,41894,Not Available
33208,1981,2671,2047,1640,13889,1615,6074,1355,16494.455,3015,42442,Not Available
33239,2302,3000,2171,1822,15295,1636,5987,1447,16892.58,3161,44419,Not Available
33270,2017,2785,2019,1838,14534,1657,6226,1210,16338.799,3157,43123,Not Available
33298,1767,2859,1653,1726,13212,1522,5830,1205,16212.293,3095,41076,Not Available
33329,1812,2954,1803,1793,13691,1640,5111,1225,16138.765,3192,40998,Not Available
33359,1776,2912,1716,1799,13602,1702,4934,1131,16189.031,3243,40801,Not Available
33390,1815,3269,1530,1768,13811,1642,4841,1061,16877.767,3027,41260,Not Available
33420,1996,2274,1662,1854,13373,1739,5132,1115,16970.534,3087,41417,Not Available
33451,1803,2612,1544,1813,13452,1734,5050,1138,17183.076,3068,41625,Not Available
33482,1831,2681,1815,1755,13695,1603,4869,1160,16847.64,3041,41216,Not Available
33512,2082,2920,2121,1865,14894,1733,4980,1341,16995.794,3274,43218,Not Available
33543,1963,2863,2025,1832,14416,1621,5713,1523,16730.353,3216,43219,Not Available
33573,2135,2831,2218,1765,14979,1713,6040,1594,17144.688,3189,44660,Not Available
33604,2217,2968,2192,1843,15143,1668,5801,1694,17012.107,3153,44471,Not Available
33635,2113,2815,2101,1833,14765,1664,6331,1608,16892.607,3215,44476,Not Available
33664,1941,2808,1844,1829,14387,1645,5888,1604,16824.864,3249,43598,Not Available
33695,1999,2891,1848,1869,14385,1636,5240,1509,16764.284,3211,42745,Not Available
33725,1640,2587,1633,1707,12999,1657,4833,1345,16485.434,3119,40438,Not Available
33756,1823,2697,1761,1736,13774,1696,4964,1427,16978.149,3295,42134,Not Available
33786,1933,3026,1860,1815,14359,1772,5188,1282,17143.301,3266,43010,Not Available
33817,1742,2831,1615,1713,13612,1744,5008,1293,16928.603,3094,41680,Not Available
33848,1959,3069,1961,1883,14992,1742,5149,1355,16875.505,3215,43329,Not Available
33878,1945,2747,1890,1836,14225,1721,5329,1522,17448.141,3190,43435,Not Available
33909,1897,2823,2008,1864,14533,1793,5701,1749,17091.003,3243,44110,Not Available
33939,2003,2838,2033,1852,14721,1768,6327,1936,17927.58,3320,46000,Not Available
33970,1926,2539,1873,1743,13501,1634,5840,1876,16173.366,3139,42163,Not Available
34001,2110,2906,1982,1893,14772,1744,6253,1906,17334.075,3460,45469,Not Available
34029,1983,2937,1952,1901,14840,1740,6249,1838,17574.711,3462,45704,Not Available
34060,1904,2825,1719,1745,13877,1653,5505,1596,16781.285,3408,42820,Not Available
34090,1673,2596,1700,1690,12786,1658,4776,1373,16507.971,3318,40419,Not Available
34121,1933,3050,1748,1823,14370,1761,4967,1417,17095.918,3368,42979,Not Available
