Appr Gene (m),MGI ID,Appr Gene (h),HGNC ID,Ensembl (m),Ensembl (h),human ibaq protein group id,mouse ibaq protein group id,"iBAQ mPSD01 (Log2, normalised)","iBAQ mPSD02 (Log2, normalised)","iBAQ mPSD03 (Log2, normalised)","iBAQ hPSD01 (Log2, normalised)","iBAQ hPSD02 (Log2, normalised)","iBAQ hPSD03 (Log2, normalised)","iBAQ hPSD average (Log2, normalised)","iBAQ mPSD average (Log2, normalised)",Average fold change (mPSD from hDB/hPSD from mDB),t-test Significant (Permutation 0.01),t-test p value
Cadps,MGI:1350922,CADPS,HGNC:1426,ENSMUSG00000054423,ENSG00000163618,1634,1547,-2.285094,-1.763557,-2.330639,-0.8429772,-0.6406829,-0.08436475,-0.52267495,-2.1264299999999996,0.3290194895504073,+,0.00527233568547447
Tollip,MGI:1891808,TOLLIP,HGNC:16476,ENSMUSG00000025139,ENSG00000078902,1105,887,-3.707104,-4.165141,-4.621167,-2.807372,-2.617158,-2.354726,-2.5930853333333332,-4.164470666666666,0.3364851325888107,+,0.00595624586207566
Eef1a1,MGI:1096881,EEF1A1,HGNC:3189,ENSMUSG00000037742,ENSG00000156508,1908,1343,3.194361,2.698949,3.215455,4.330929,4.477733,4.382114,4.396925333333333,3.036255,0.389401316494498,+,0.00144853221515717
Cand1,MGI:1261820,CAND1,HGNC:30688,ENSMUSG00000020114,ENSG00000111530,1106,2398,-1.51281,-0.8292097,-1.020172,0.4539803,0.1302097,0.1131708,0.2324536,-1.1207305666666667,0.39142717745682676,+,0.00429665152566794
Flot1,MGI:1100500,FLOT1,HGNC:3757,ENSMUSG00000059714,ENSG00000137312,878,276,2.943474,2.39905,2.746706,3.655185,4.02935,3.731427,3.805320666666667,2.69641,0.46364398169656124,+,0.004798215452124
Tubb2c,MGI:1915472,TUBB2C,HGNC:20771,ENSMUSG00000036752,ENSG00000188229,278,971,8.574615,8.882868,8.433981,9.753977,9.706449,9.571997,9.677474333333333,8.630488,0.4839780981552273,+,0.00186750469605079
Ywhah,MGI:109194,YWHAH,HGNC:12853,ENSMUSG00000018965,ENSG00000128245,1349,1160,2.632252,2.445185,2.311287,3.287303,3.437705,3.734949,3.4866523333333332,2.462908,0.491838190212972,+,0.00314425806185548
C85492,MGI:2143424,C3orf39,HGNC:25902,ENSMUSG00000066235,ENSG00000144647,1231,1588,-4.046723,-3.606389,-3.649195,-2.81423,-2.907107,-2.683507,-2.801614666666667,-3.767435666666667,0.5119869702097247,+,0.00333600649841426
Flot2,MGI:103309,FLOT2,HGNC:3758,ENSMUSG00000061981,ENSG00000132589,2300,2258,3.8944,3.65914,3.800458,4.476758,4.818794,4.426,4.573850666666667,3.784666,0.5786710331795994,+,0.00500515784048505
Stub1,MGI:1891731,STUB1,HGNC:11427,ENSMUSG00000039615,ENSG00000103266,805,2067,-1.285627,-1.349945,-1.295746,-0.6257098,-0.6474883,-0.8172947,-0.6968309333333335,-1.3104393333333333,0.6535600028701842,+,0.000652090754670764
