U.S. Energy Information Administration,,,,,,,,
July 2014 Monthly Energy Review,,,,,,,,
,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,
,,,,,,,,
"Release Date: July 28, 2014",,,,,,,,
"Next Update: August 26, 2014",,,,,,,,
,,,,,,,,
Table 4.4 Natural Gas in Underground Storage,,,,,,,,
,,,,,,,,
Month,"Natural Gas in Underground Storage, End of Period, Base Gas","Natural Gas in Underground Storage, End of Period, Working Gas","Natural Gas in Underground Storage, End of Period, Total","Change in Working Gas From Same Period Previous Year, Volume","Change in Working Gas From Same Period Previous Year, Percent","Natural Gas Storage Activity, Withdrawals","Natural Gas Storage Activity, Injections","Natural Gas Storage Activity, Net"
30560,3823,3141,6964,-110,-3.4,26,258,-232
30590,3825,3270,7095,-94,-2.8,40,171,-131
30621,3841,3175,7016,-134,-4,158,80,78
30651,3847,2595,6442,-476,-15.5,597,29,568
30682,3847,2091,5938,-553,-20.9,571,54,517
30713,3828,1876,5704,-480,-20.4,305,60,245
30742,3824,1572,5396,-576,-26.8,365,48,317
30773,3822,1620,5442,-454,-21.9,100,144,-44
30803,3827,1843,5670,-379,-17.1,30,254,-224
30834,3828,2141,5969,-313,-12.8,27,323,-296
30864,3829,2456,6285,-240,-8.9,28,346,-318
30895,3829,2740,6569,-168,-5.8,30,318,-288
30926,3829,2996,6825,-145,-4.6,30,289,-259
30956,3837,3175,7012,-95,-2.9,47,242,-195
30987,3900,3015,6915,-160,-5,227,83,144
31017,3830,2876,6706,281,10.8,304,92,212
31048,3841,2242,6083,151,7.2,642,32,610
31079,3841,1853,5694,-23,-1.2,438,47,391
31107,3835,1743,5578,171,10.9,217,98,119
31138,3831,1859,5690,239,14.8,91,204,-113
31168,3837,2129,5966,286,15.5,23,294,-271
31199,3839,2351,6190,210,9.8,31,252,-221
31229,3849,2605,6454,149,6.1,45,309,-264
31260,3849,2832,6681,92,3.4,50,278,-228
31291,3849,3081,6930,85,2.8,20,272,-252
31321,3851,3204,7055,29,0.9,71,199,-128
31352,3847,3086,6933,71,2.4,202,99,103
31382,3842,2607,6448,-270,-9.4,529,44,485
31413,3842,2213,6055,-29,-1.3,414,48,366
31444,3842,1872,5714,19,1,369,54,315
31472,3838,1764,5602,21,1.2,213,109,104
31503,3834,1841,5675,-18,-1,73,140,-67
31533,3830,2076,5906,-53,-2.5,42,255,-213
31564,3829,2323,6152,-28,-1.2,24,255,-231
31594,3841,2570,6411,-35,-1.3,29,274,-245
31625,3840,2842,6682,10,0.4,26,279,-253
31656,3840,3066,6906,-15,-0.5,25,239,-214
31686,3840,3208,7048,4,0.1,48,189,-141
31717,3820,3077,6897,-9,-0.3,197,74,123
31747,3819,2749,6567,142,5.5,352,36,316
31778,3818,2280,6098,67,3,513,38,475
31809,3815,1988,5803,116,6.2,320,35,285
31837,3813,1879,5692,115,6.5,210,105,105
31868,3812,1938,5750,97,5.3,101,163,-62
31898,3811,2206,6017,130,6.3,28,293,-265
31929,3810,2437,6247,114,4.9,21,248,-227
31959,3813,2636,6449,66,2.6,27,226,-199
31990,3813,2836,6649,-6,-0.2,43,241,-198
32021,3813,3049,6862,-17,-0.6,19,227,-208
32051,3813,3106,6919,-102,-3.2,86,146,-60
32082,3792,3059,6851,-18,-0.6,153,105,48
32112,3792,2756,6548,7,0.3,359,59,300
32143,3792,2228,6020,-52,-2.3,578,47,531
32174,3791,1827,5618,-161,-8.1,456,50,406
32203,3790,1682,5472,-197,-10.5,255,99,156
32234,3790,1769,5559,-169,-8.7,92,162,-70
32264,3790,2027,5817,-179,-8.1,46,282,-236
32295,3792,2293,6085,-144,-5.9,36,274,-238
32325,3793,2567,6360,-69,-2.6,42,294,-252
32356,3791,2835,6626,-1,0,52,282,-230
32387,3791,3120,6911,71,2.3,46,308,-262
32417,3792,3243,7035,137,4.4,92,198,-106
32448,3803,3171,6974,112,3.7,157,117,40
32478,3800,2850,6650,94,3.4,391,62,329
32509,3798,2509,6307,281,12.6,418,53,365
32540,3801,1994,5795,167,9.1,602,32,570
32568,3801,1776,5577,94,5.6,362,106,256
32599,3801,1823,5624,54,3.1,138,180,-42
32629,3802,2062,5864,35,1.7,44,321,-277
32660,3802,2374,6176,81,3.5,20,374,-354
32690,3802,2644,6446,77,3,29,371,-342
32721,3802,2938,6740,103,3.6,29,356,-327
32752,3802,3187,6989,67,2.1,39,320,-281
32782,3792,3268,7060,25,0.8,96,221,-125
32813,3809,3199,7008,28,0.9,223,105,118
32843,3812,2513,6325,-337,-11.8,805,52,753
32874,3818,2270,6088,-239,-9.5,342,93,249
32905,3814,2004,5818,10,0.5,332,70,262
32933,3818,1875,5693,99,5.6,258,125,133
32964,3839,1946,5785,123,6.7,138,188,-50
32994,3823,2180,6003,118,5.7,43,293,-250
33025,3844,2485,6329,111,4.7,40,324,-284
33055,3850,2791,6641,147,5.6,26,326,-300
33086,3851,3071,6922,133,4.5,39,318,-279
33117,3852,3321,7173,134,4.2,35,284,-249
33147,3852,3467,7319,199,6.1,63,209,-146
33178,3868,3472,7340,273,8.5,145,134,11
33208,3868,3068,6936,555,22.1,473,69,404
33239,3910.94,2361.98,6272.921,91.98,4.1,659.536,114.877,544.659
33270,3908.322,2063.355,5971.677,59.355,3,397.274,112.436,284.838
33298,3894.578,1911.709,5806.287,36.709,2,290.55,128.809,161.742
33329,3897.926,2036.642,5934.568,90.642,4.7,104.133,228.477,-124.345
33359,3931.016,2272.809,6203.826,92.809,4.3,58.377,319.065,-260.688
33390,3939.178,2552.91,6492.087,67.91,2.7,41.69,313.742,-272.052
33420,3942.418,2771.08,6713.498,-19.92,-0.7,75.293,289.514,-214.221
33451,3948.585,2978.493,6927.078,-92.507,-3,81.761,281.624,-199.864
33482,3949.504,3201.378,7150.883,-119.622,-3.6,77.602,293.988,-216.387
33512,3961.212,3368.816,7330.028,-98.184,-2.8,103.112,251.02,-147.908
33543,3951.723,3147.855,7099.578,-324.145,-9.3,351.841,150.251,201.59
33573,3954.138,2823.542,6777.679,-244.458,-8,447.561,124.57,322.991
33604,4061.231,2215.656,6276.887,-146.324,-6.2,591.331,67.56,523.77
33635,4056.937,1837.489,5894.426,-225.866,-10.9,441.117,52.259,388.858
33664,4046.437,1544.626,5591.063,-367.083,-19.2,381.489,80.919,300.57
33695,4037.82,1573.153,5610.974,-463.488,-22.8,149.854,167.382,-17.528
33725,4044.18,1848.147,5892.327,-424.663,-18.7,52.549,329.676,-277.127
33756,4050.132,2152.679,6202.81,-400.231,-15.7,43.358,366.293,-322.935
33786,4064.377,2459.804,6524.18,-311.276,-11.2,50.093,356.854,-306.761
33817,4061.726,2761.211,6822.936,-217.283,-7.3,54.388,363.813,-309.424
33848,4060.894,3044.07,7104.964,-157.308,-4.9,48.31,346.102,-297.793
33878,4064.816,3223.217,7288.033,-145.599,-4.3,78.352,264.171,-185.819
33909,4060.665,3053.853,7114.518,-94.002,-3,276.181,94.981,181.199
33939,4043.744,2596.797,6640.542,-226.744,-8,556.751,65.382,491.369
33970,4258.528,1826.51,6085.037,-389.147,-17.6,592.014,36.692,555.322
34001,4230.624,1302.72,5533.344,-534.769,-29.1,569.094,22.02,547.074
34029,4203.914,1028.814,5232.728,-515.812,-33.4,382.947,79.017,303.931
34060,4219.17,1120.385,5339.555,-452.768,-28.8,103.05,212.059,-109.009
34090,4243.715,1520.927,5764.643,-327.22,-17.7,29.945,456,-426.054
34121,4256.782,1894.528,6151.31,-258.151,-12,35.828,410.193,-374.365
34151,4256.419,2240.336,6496.755,-219.468,-8.9,34.909,385.078,-350.169
34182,4263.251,2554.159,6817.41,-207.051,-7.5,45.282,363.861,-318.579
34213,4255.631,2883.878,7139.51,-160.192,-5.3,25.604,378.308,-352.704
34243,4314.508,2977.971,7292.479,-245.246,-7.6,103.065,256.493,-153.428
34274,4325.991,2762.23,7088.22,-291.623,-9.5,303.034,106.322,196.712
34304,4327.306,2321.78,6649.086,-275.017,-10.6,492.292,53.696,438.597
34335,4347.706,1579.382,5927.088,-247.127,-13.5,792.28,34.566,757.714
34366,4337.097,1090.594,5427.691,-212.126,-16.3,567.118,49.734,517.384
34394,4342.869,957.857,5300.726,-70.957,-6.9,240.181,105.507,134.674
34425,4344.856,1171.85,5516.706,51.465,4.6,67.836,285.753,-217.918
34455,4351.658,1554.369,5906.027,33.442,2.2,24.762,427.442,-402.68
34486,4351.712,1896.42,6248.132,1.892,0.1,37.106,381.023,-343.917
34516,4355.208,2273.447,6628.655,33.111,1.5,26.044,410.433,-384.389
34547,4354.832,2606.586,6961.419,52.427,2.1,29.763,372.511,-342.748
34578,4353.439,2912.086,7265.525,28.208,1,21.317,345.487,-324.17
34608,4354.3,3074.847,7429.148,96.876,3.3,53.932,224.188,-170.256
34639,4353.334,2977.681,7331.015,215.451,7.8,204.406,105.304,99.102
34669,4360.092,2606.056,6966.148,284.276,12.2,443.406,54.331,389.075
34700,4365.217,2045.28,6410.498,465.898,29.5,643.737,44.584,599.153
34731,4368.033,1541.669,5909.701,451.075,41.4,563.553,44.053,519.5
34759,4361.899,1331.821,5693.72,373.965,39,326.868,104.256,222.612
34790,4360.454,1379.28,5739.734,207.43,17.7,127.129,176.53,-49.401
34820,4392.916,1668.338,6061.254,113.969,7.3,34.108,369.368,-335.26
34851,4405.679,2014.016,6419.695,117.596,6.2,39.697,410.289,-370.592
34881,4339.723,2301.292,6641.015,27.844,1.2,53.57,359.397,-305.827
34912,4339.449,2494.671,6834.12,-111.915,-4.3,85.9,292.773,-206.873
34943,4340.773,2802.218,7142.992,-109.868,-3.8,29.373,342.729,-313.356
34973,4337.697,2996.028,7333.726,-78.819,-2.6,68.156,273.5,-205.344
35004,4341.58,2728.482,7070.062,-249.199,-8.4,367.482,95.656,271.826
35034,4349.234,2153.273,6502.507,-452.783,-17.4,634.529,52.747,581.782
35065,4354.249,1462.468,5816.718,-582.812,-28.5,749.232,49.484,699.748
35096,4348.742,1020.582,5369.325,-521.086,-33.8,543.58,96.64,446.941
35125,4290.358,757.995,5048.352,-573.827,-43.1,403.011,80.388,322.623
35156,4312.38,853.961,5166.341,-525.319,-38.1,112.283,226.827,-114.544
35186,4331.6,1161.115,5492.714,-507.223,-30.4,45.408,373.176,-327.768
35217,4340.766,1529.125,5869.891,-484.891,-24.1,34.953,410.086,-375.133
35247,4335.852,1897.649,6233.501,-403.642,-17.5,48.551,418.055,-369.504
35278,4332.139,2244.504,6576.643,-250.167,-10,54.401,400.295,-345.894
35309,4337.622,2604.981,6942.603,-197.237,-7,32.244,398.286,-366.042
35339,4334.981,2810.476,7145.456,-185.553,-6.2,73.094,275.769,-202.675
35370,4339.479,2549.137,6888.617,-179.345,-6.6,353.803,90.236,263.567
35400,4340.71,2172.551,6513.261,19.278,0.9,460.768,86.35,374.417
35431,4347.491,1495.563,5843.054,32.013,2.3,752.618,68.367,684.252
35462,4341.652,1139.422,5481.074,118.261,11.6,413.337,54.871,358.466
35490,4345.117,990.433,5335.55,231.619,30.7,285.29,130.572,154.718
35521,4341.996,1051.235,5393.231,196.411,23.1,146.424,205.117,-58.694
35551,4339.626,1364.797,5704.423,202.112,17.5,41.169,362.199,-321.03
35582,4356.758,1731.133,6087.891,202.009,13.2,42.136,407.266,-365.13
35612,4355.773,2016.537,6372.309,118.887,6.3,78.29,360.678,-282.389
35643,4356.832,2337.912,6694.744,93.407,4.2,56.291,378.487,-322.196
35674,4360.223,2672.309,7032.532,67.328,2.6,43.618,379.959,-336.341
35704,4358.415,2885.777,7244.192,75.302,2.7,84.262,294.383,-210.121
35735,4359.278,2698.886,7058.164,149.749,5.9,301.853,112.912,188.941
35765,4350.083,2174.52,6524.603,1.968,0.1,578.956,45.482,533.474
35796,4347.419,1712.114,6059.533,214.783,14.5,537.7,69.328,468.371
35827,4341.968,1426.2,5768.168,285.591,25.2,365.184,74.505,290.679
35855,4341.567,1182.845,5524.413,191.595,19.4,381.746,136.079,245.667
35886,4338.986,1386.101,5725.086,333.924,31.9,79.578,279.812,-200.234
35916,4340.664,1773.54,6114.204,407.488,29.9,42.423,432.975,-390.552
35947,4335.164,2113.57,6448.734,380.873,22.1,52.474,379.11,-326.636
35977,4378.19,2427.867,6806.057,409.445,20.4,54.423,371.479,-317.056
36008,4339.802,2698.034,7037.836,357.761,15.4,58.29,335.974,-277.684
36039,4340.842,2927.75,7268.592,252.644,9.6,73.751,297.758,-224.007
36069,4342.027,3191.256,7533.283,302.447,10.6,46.265,308.064,-261.799
36100,4343.655,3154.963,7498.618,453.036,16.9,168.2,137.001,31.2
36130,4325.86,2729.704,7055.564,554.218,25.5,518.623,82.67,435.953
36161,4331.641,2072.829,6404.47,360.715,21.1,681.761,58.085,623.676
36192,4329.22,1745.681,6074.901,319.481,22.4,384.62,63.242,321.378
36220,4383.145,1405.815,5788.96,222.97,18.9,383.812,86.571,297.241
36251,4380.923,1495.274,5876.197,109.173,7.9,119.768,209.91,-90.142
36281,4371.472,1834.678,6206.15,61.138,3.4,44.507,381.067,-336.56
36312,4369.908,2149.27,6519.178,35.7,1.7,41.615,349.01,-307.395
36342,4370.068,2379.142,6749.21,-40.543,-2,80.59,298.078,-217.488
36373,4367.918,2610.196,6978.115,-87.838,-3.3,89.875,311.27,-221.395
36404,4369.429,2922.862,7292.291,-4.888,-0.2,42.513,357.521,-315.007
36434,4369.806,3073.445,7443.251,-117.81,-3.7,92.1,247.237,-155.137
36465,4379.525,3065.388,7444.913,-89.574,-2.8,204.839,172.665,32.174
36495,4383.036,2523.186,6906.222,-206.518,-7.6,605.535,62.854,542.681
36526,4378.838,1760.467,6139.305,-312.362,-15.1,841.196,59.132,782.064
36557,4377.691,1303.564,5681.255,-444.768,-25.3,533.28,82.916,450.364
36586,4363.567,1153.219,5516.786,-255.28,-18,291.383,139.272,152.111
36617,4362.07,1202.518,5564.588,-297.275,-19.6,146.087,191.789,-45.702
36647,4362.257,1433.1,5795.357,-404.464,-21.9,81.665,312.86,-231.195
36678,4361.325,1717.307,6078.632,-434.614,-20.1,64.535,348.994,-284.459
36708,4361.825,2002.698,6364.523,-379.325,-15.8,82.854,372.132,-289.278
36739,4361.209,2198.996,6560.205,-414.05,-15.8,108.584,304.598,-196.014
36770,4360.389,2494.292,6854.681,-432.273,-14.7,79.749,370.425,-290.675
36800,4359.576,2732.267,7091.843,-345.258,-11.1,87.54,328.889,-241.349
36831,4360.859,2442.194,6803.053,-628.324,-20.3,395.838,107.538,288.299
36861,4352.091,1718.926,6071.016,-806.397,-31.9,785.493,65.739,719.754
36892,4343.95,1265.496,5609.446,-494.971,-28.1,587.628,92.052,495.576
36923,4328.455,912.366,5240.82,-391.198,-30,413.534,74.102,339.432
36951,4300.42,741.551,5041.971,-411.668,-35.7,298.446,115.765,182.681
36982,4260.588,992.263,5252.851,-210.254,-17.5,69.902,348.952,-279.05
37012,4309.369,1440.096,5749.464,6.995,0.5,40.662,519.753,-479.091
37043,4310.08,1882.431,6192.512,165.124,9.6,49.385,490.236,-440.851
37073,4315.312,2260.763,6576.075,258.065,12.9,66.006,450.907,-384.901
37104,4313.05,2575.798,6888.848,376.802,17.1,79.128,386.298,-307.17
37135,4317.667,2944.267,7261.934,449.975,18,41.288,413.221,-371.933
37165,4309.807,3143.972,7453.778,411.704,15.1,92.822,282.339,-189.516
37196,4300.65,3254.099,7554.75,811.905,33.2,137.839,210.453,-72.614
37226,4300.737,2903.514,7204.251,1184.588,68.9,432.047,80.185,351.862
37257,4313.154,2343.861,6657.016,1078.365,85.2,605.976,59.478,546.498
37288,4355.926,1837.865,6193.791,925.499,101.4,519.577,55.46,464.117
37316,4355.035,1517.794,5872.829,776.243,104.7,427.864,107.774,320.09
37347,4355.071,1658.541,6013.613,666.278,67.1,112.304,238.09,-125.786
37377,4361.328,1968.125,6329.453,528.029,36.7,59.64,381.221,-321.581
37408,4355.213,2308.175,6663.387,425.744,22.6,56.451,397.475,-341.023
37438,4357.567,2538.634,6896.201,277.871,12.3,101.29,342.798,-241.508
37469,4356.676,2773.379,7130.055,197.581,7.7,89.506,325.336,-235.83
37500,4342.469,3041.639,7384.108,97.372,3.3,71.013,339.756,-268.743
37530,4342.017,3115.902,7457.92,-28.069,-0.9,145.238,232.18,-86.942
37561,4344.078,2928.627,7272.705,-325.473,-10,321.966,123.89,198.076
37591,4340.234,2375.233,6715.467,-528.281,-18.2,626.841,66.387,560.454
37622,4343.648,1522.318,5865.966,-821.544,-35.1,883.945,44.382,839.563
37653,4336.577,850.501,5187.077,-987.364,-53.7,724.482,47.449,677.032
37681,4325.647,730.055,5055.702,-787.739,-51.9,306.139,170.794,135.345
37712,4317.155,893.321,5210.476,-765.22,-46.1,119.366,277.066,-157.7
37742,4324.112,1297.563,5621.675,-670.562,-34.1,40.598,452.55,-411.951
37773,4325.116,1765.182,6090.298,-542.993,-23.5,35.857,505.154,-469.296
37803,4324.829,2125.887,6450.716,-412.747,-16.3,64.215,425.604,-361.389
37834,4326.761,2435.746,6762.507,-337.633,-12.2,61.79,372.26,-310.47
37865,4328.035,2845.276,7173.311,-196.362,-6.5,30.556,441.612,-411.056
37895,4326.501,3130.211,7456.712,14.308,0.5,59.357,343.491,-284.134
37926,4303.488,3037.956,7341.444,109.329,3.7,228.166,141.567,86.599
37956,4303.153,2562.619,6865.772,187.386,7.9,544.262,69.785,474.477
37987,4300.796,1751.044,6051.839,216.727,14.1,874.924,59.591,815.333
38018,4296.549,1155.757,5452.307,292.059,33.8,650.388,47.86,602.529
38047,4283.474,1058.411,5341.885,328.356,45,271.716,167.946,103.77
38078,4282.836,1252.455,5535.291,356.775,39.8,95.471,298.528,-203.058
38108,4287.223,1623.759,5910.982,323.486,24.9,43.263,425.086,-381.824
38139,4284.444,2022.935,6307.379,254.689,14.4,36.037,435.794,-399.756
38169,4286.584,2394.569,6681.153,265.829,12.5,59.863,424.224,-364.361
38200,4261.959,2742.614,7004.573,307.396,12.6,57.225,404.99,-347.766
38231,4253.905,3056.55,7310.455,213.634,7.5,67.287,392.675,-325.388
38261,4245.979,3302.235,7548.214,172.024,5.5,62.653,309.909,-247.256
38292,4234.821,3244.547,7479.367,206.591,6.8,191.886,128.196,63.691
38322,4201.124,2696.075,6897.2,133.456,5.2,625.852,55.204,570.648
38353,4205.348,1993.943,6199.291,242.899,13.9,771.451,58.485,712.966
38384,4204.477,1564.462,5768.939,408.705,35.4,487.458,58.897,428.561
38412,4199.962,1284.37,5484.332,225.959,21.3,384.78,99.852,284.927
38443,4200.417,1498.643,5699.06,246.188,19.7,71.971,287.839,-215.869
38473,4200.37,1875.151,6075.521,251.392,15.5,56.604,439.385,-382.78
38504,4201.247,2197.491,6398.738,174.556,8.6,65.769,390.091,-324.321
38534,4203.04,2450.169,6653.209,55.601,2.3,95.138,351.375,-256.237
