 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2013-01-05,491,Connecticut,1,Adirondack,2,Final OT ,"Glens Falls Civic Center Glens Falls, NY"
2013-01-06,507,W-B/Scranton,0,Connecticut,2,Final ,"XL Center Hartford, CT"
2013-01-12,539,Connecticut,3,Hershey,4,Final SO ,"Giant Center Hershey, PA"
2013-01-13,549,Connecticut,0,Hershey,5,Final ,"Giant Center Hershey, PA"
2013-01-15,558,Connecticut,6,Portland,1,Final ,"Cumberland County Civic Center Portland, ME"
2013-01-18,574,Connecticut,2,Springfield,4,Final ,"MassMutual Center Springfield, MA"
2013-01-19,584,Connecticut,4,Portland,1,Final ,"Cumberland County Civic Center Portland, ME"
2013-01-20,596,Connecticut,1,Providence,4,Final ,"Dunkin' Donuts Center Providence, RI"
2013-01-23,600,Adirondack,5,Connecticut,6,Final OT ,"XL Center Hartford, CT"
2013-01-25,610,Manchester,1,Connecticut,4,Final ,"XL Center Hartford, CT"
2013-01-26,624,Springfield,2,Connecticut,3,Final ,"XL Center Hartford, CT"
2013-02-01,639,Bridgeport,5,Connecticut,4,Final OT ,"XL Center Hartford, CT"
2013-02-02,654,Springfield,3,Connecticut,2,Final ,"XL Center Hartford, CT"
2013-02-05,668,Albany,4,Connecticut,3,Final SO ,"XL Center Hartford, CT"
2013-02-09,694,Connecticut,4,St. John's,1,Final ,"Mile One Centre St. John's, NL"
2013-02-10,706,Connecticut,7,St. John's,3,Final ,"Mile One Centre St. John's, NL"
2013-02-15,719,Portland,1,Connecticut,4,Final ,"XL Center Hartford, CT"
2013-02-16,734,Norfolk,1,Connecticut,2,Final OT ,"XL Center Hartford, CT"
2013-02-17,746,Manchester,2,Connecticut,3,Final ,"XL Center Hartford, CT"
2013-02-20,759,St. John's,5,Connecticut,1,Final ,"XL Center Hartford, CT"
2013-02-23,786,Connecticut,1,W-B/Scranton,2,Final OT ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2013-02-24,795,Connecticut,0,Syracuse,4,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-03-01,806,Bridgeport,3,Connecticut,7,Final ,"XL Center Hartford, CT"
2013-03-03,831,Connecticut,3,Bridgeport,2,Final OT ,"Webster Bank Arena Bridgeport, CT"
2013-03-05,840,Portland,4,Connecticut,3,Final SO ,"XL Center Hartford, CT"
2013-03-08,850,Connecticut,0,Binghamton,3,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2013-03-09,860,Connecticut,3,Adirondack,4,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-03-10,879,Connecticut,4,Providence,2,Final ,"Dunkin' Donuts Center Providence, RI"
2013-03-16,906,Manchester,0,Connecticut,3,Final ,"XL Center Hartford, CT"
2013-03-17,918,Springfield,2,Connecticut,3,Final ,"XL Center Hartford, CT"
2013-03-22,936,Hershey,2,Connecticut,3,Final SO ,"XL Center Hartford, CT"
2013-03-23,948,Adirondack,5,Connecticut,2,Final ,"XL Center Hartford, CT"
2013-03-24,963,Binghamton,1,Connecticut,6,Final ,"XL Center Hartford, CT"
2013-03-28,979,Worcester,0,Connecticut,3,Final ,"XL Center Hartford, CT"
2013-03-30,1004,Connecticut,1,Springfield,2,Final ,"MassMutual Center Springfield, MA"
2013-04-05,1020,Springfield,3,Connecticut,4,Final ,"XL Center Hartford, CT"
2013-04-06,1032,Connecticut,3,Bridgeport,2,Final ,"Webster Bank Arena Bridgeport, CT"
2013-04-07,1046,Providence,1,Connecticut,0,Final ,"XL Center Hartford, CT"
2013-04-12,1068,Connecticut,1,Manchester,3,Final ,"Verizon Wireless Arena Manchester, NH"
2013-04-13,1074,Connecticut,3,Adirondack,4,Final OT ,"Glens Falls Civic Center Glens Falls, NY"
2013-04-14,1094,Connecticut,3,Springfield,4,Final ,"MassMutual Center Springfield, MA"
2013-04-19,1102,Connecticut,2,Albany,3,Final ,"Times Union Center Albany, NY"
2013-04-20,1124,Connecticut,1,Portland,5,Final ,"Cumberland County Civic Center Portland, ME"
