TLYS - Tilly's Inc,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,Quarterly Data,,,,,,,,,,,,,,
Fiscal Period,Jan10,Jan11,Jan12,Jan13,TTM/current,	,Jan10,Apr10,Jul10,Jan11,Apr11,Jul11,Oct11,Jan12,Apr12,Jul12,Oct12,Jan13,Apr13,Jul13,Oct13
LT Debt to Total Asset,0.046,0.035,0.028,0.016,0.012,		,0,0,0,0,0.034,0.029,0,0.028,0.026,0.018,0.017,0.016,0.015,0.012,0.012
Asset Turnover,2.449,2.539,2.845,2.275,0.533,		,0,0,0,0,0.622,0.582,0,0.873,0.665,0.533,0.634,0.685,0.52,0.522,0.533
Dividend Payout Ratio,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Days Sales Outstanding,3.42,4.72,6.02,4.64,,		,0,0,0,0,6.47,6.22,0,4.89,7.96,8.25,5.93,3.84,6.75,8.07,4.34
Days Inventory,44.88,53.17,49.11,53.63,59.94,		,0,0,0,0,56.96,66.89,0,40.75,55.43,67.29,54.62,45.13,58.76,67.96,59.94
Inventory Turnover,8.13,6.86,7.43,6.81,1.52,		,0,0,0,0,1.6,1.36,0,2.23,1.64,1.35,1.67,2.02,1.55,1.34,1.52
COGS to Revenue,0.69,0.69,0.68,0.68,0.69,		,0,0.71,0.73,0,0.68,0.71,0.67,0.66,0.68,0.7,0.67,0.67,0.7,0.69,0.69
Inventory to Revenue,0.085,0.101,0.091,0.1,0.455,		,0,0,0,0,0.429,0.518,0,0.297,0.417,0.52,0.399,0.331,0.455,0.515,0.455
Revenue,282.764,332.604,400.624,467.291,496.711,		,0,64.344,70.053,0,83.131,87.26,107.304,122.929,96.524,105.101,124.895,140.77,109.119,123.043,123.779
Cost of Goods Sold,195.43,229.989,271.482,317.096,341.34200000000004,		,0,45.718,51.291,0,56.922,61.542,71.446,81.572,66.106,73.957,83.087,93.946,76.921,84.888,85.587
Gross Profit,87.334,102.615,129.142,150.195,155.369,		,0,18.626,18.762,0,26.209,25.718,35.858,41.357,30.418,31.144,41.808,46.824,32.198,38.155,38.192
"Selling, General,  &Admin. Expense",65.912,77.668,94.217,118.805,119.289,		,0,16.867,18.097,0,21.244,22.157,23.514,27.302,24.392,34.462,27.94,32.01,28.281,30.956,28.042
Advertising,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research &Development,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,35.337,39.239,50.053999999999995,48.069,54.93,		,13.915,5.336,4.265000000000001,10.692,8.683,7.334,16.108,17.929,9.93,0.8069999999999999,18.137999999999998,19.194,8.567,11.974,15.195
"Depreciation, Depletion and Amortization",13.915,14.292,15.129,16.679,18.85,		,13.915,3.577,3.6,10.692,3.718,3.773,3.764,3.874,3.904,4.125,4.27,4.38,4.65,4.775,5.045
Other Operating Charges,3.552713678800501e-15,1.0658141036401503e-14,0,1.4210854715202004e-14,-1.7763568394002505e-15,		,0,-4.440892098500626e-16,8.881784197001252e-16,0,0,0,1.7763568394002505e-15,0,0,4.884981308350689e-15,1.7763568394002505e-15,0,-1.7763568394002505e-15,-1.7763568394002505e-15,1.7763568394002505e-15
Operating Income,21.422,24.947,34.925,31.39,36.08,		,0,1.759,0.665,0,4.965,3.561,12.344,14.055,6.026,-3.318,13.868,14.814,3.917,7.199,10.15
Interest Income,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0
Interest Expense,-0.284,0,0,-0.091,-0.088,		,0,-0.078,-0.06,0,-0.049,0,-0.049,0,0,0,-0.042,-0.046,0,0,0
Other Income (Minority Interest),0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre-Tax Income,21.138,24.698,34.729,31.299,36.055,		,0,1.681,0.605,0,4.916,3.509,12.295,14.009,5.982,-3.278,13.826,14.769,3.868,7.152,10.266
Tax Provision,-0.275,-0.282,-0.389,-7.406,-13.494,		,0,-0.022,-0.008,0,-0.056,-0.04,-0.14,-0.153,-0.068,2.122,-4.532,-4.928,-1.56,-2.885,-4.121
Net Income (Continuing Operations),20.863,24.416,34.34,23.893,22.561,		,0,1.659,0.597,0,4.86,3.469,12.155,13.856,5.914,-1.156,9.294,9.841,2.308,4.267,6.145
Net Income (Discontinued Operations),0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income,20.863,24.416,34.34,23.893,22.561,		,0,1.659,0.597,0,4.86,3.469,12.155,13.856,5.914,-1.156,9.294,9.841,2.308,4.267,6.145
Preferred dividends,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPS (Basic),0,1.22,0.87,0.93,0.8049999999999999,		,0,0,0,0,0.24,0.17,0.61,-0.15,0.3,-0.04,0.34,0.355,0.08,0.15,0.22
EPS (Diluted),0,1.21,0.85,0.92,0.7999999999999999,		,0,0,0,0,0.24,0.17,0.59,-0.15,0.29,-0.04,0.33,0.35,0.08,0.15,0.22
Shares Outstanding (Diluted),0,20,4.094,26.076,28.166,		,0,0,0,0,20,20,20.53,4.094,20.512,27.28,28.079,28.095,28.027,28.08,28.166
  Cash And Cash Equivalents,25.705,29.338,25.091,17.314,20.657,		,0,0,0,0,28.77,30.952,0,25.091,21.716,21.495,24.883,17.314,18.624,20.883,20.657
  Marketable Securities,0,0,0,39.868,29.932,		,0,0,0,0,0,0,0,0,0,26.165,24.891,39.868,29.935,29.935,29.932
"Cash, Cash Equivalents, Marketable Securities",25.705,29.338,25.091,57.182,50.589,		,0,0,0,0,28.77,30.952,0,25.091,21.716,47.66,49.774,57.182,48.559,50.818,50.589
Accounts Receivable,2.648,4.301,6.605,5.934,5.901,		,0,0,0,0,5.91,5.964,0,6.605,8.444,9.524,8.139,5.934,8.089,10.913,5.901
"  Inventories, Raw Materials & Components",0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Work In Process",0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Inventories Adjustments",0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Finished Goods",0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Inventories, Other",24.031,33.503,36.531,46.595,56.378,		,0,0,0,0,35.631,45.239,0,36.531,40.267,54.687,49.87,46.595,49.665,63.399,56.378
Total Inventories,24.031,33.503,36.531,46.595,56.378,		,0,0,0,0,35.631,45.239,0,36.531,40.267,54.687,49.87,46.595,49.665,63.399,56.378
Other Current Assets,3.7500000000000036,4.256999999999998,5.616000000000003,11.387,13.39800000000001,		,0,0,0,0,4.201000000000004,5.191999999999997,0,5.616000000000003,5.535999999999987,10.697000000000003,10.405000000000015,11.387,12.376000000000005,12.230000000000018,13.39800000000001
Total Current Assets,56.134,71.399,73.843,121.098,126.266,		,0,0,0,0,74.512,87.347,0,73.843,75.963,122.568,118.188,121.098,118.689,137.36,126.266
  Land And Improvements,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Buildings And Improvements,7.84,7.84,7.84,7.84,0,		,0,0,0,0,0,0,0,7.84,0,0,0,7.84,0,0,0
"  Machinery, Furniture, Equipment",51.514,56.195,61.998,71.804,0,		,0,0,0,0,0,0,0,61.998,0,0,0,71.804,0,0,0
  Construction In Progress,0.721,0.494,5.132,5.938,0,		,0,0,0,0,0,0,0,5.132,0,0,0,5.938,0,0,0
"Gross Property, Plant and Equipment",108.278,120.316,138.768,169.824,0,		,0,0,0,0,0,0,0,138.768,0,0,0,169.824,0,0,0
  Accumulated Depreciation,-49.499,-62.131,-74.691,-88.898,0,		,0,0,0,0,0,0,0,-74.691,0,0,0,-88.898,0,0,0
"Property, Plant and Equipment",58.779,58.185,64.077,80.926,102.411,		,0,0,0,0,57.131,60.141,0,64.077,65.719,70.861,74.869,80.926,87.322,94.568,102.411
Intangible Assets,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Long Term Assets,0.5409999999999897,1.3899999999999864,2.8989999999999867,3.3569999999999993,3.417999999999992,		,0,0,0,0,1.936000000000007,2.3180000000000263,0,2.8989999999999867,3.481000000000023,3.7860000000000014,3.902000000000001,3.3569999999999993,3.6599999999999966,3.8039999999999736,3.417999999999992
Total Assets,115.454,130.974,140.819,205.381,232.095,		,0,0,0,0,133.579,149.806,0,140.819,145.163,197.215,196.959,205.381,209.671,235.732,232.095
  Accounts Payable,10.658,14.717,16.83,18.261,26.96,		,0,0,0,0,16.335,27.977,0,16.83,17.517,31.973,25.307,18.261,20.173,34.825,26.96
  Total Tax Payable,1.132,4.886,4.969,2.356,0,		,0,0,0,0,2.133,0,0,4.969,0,0,0,2.356,0,0,0
  Other Accrued Expenses,7.925000000000001,10.456,15.502000000000002,15.870000000000003,15.521,		,0,0,0,0,10.703,17.8,0,15.502000000000002,15.857000000000003,22.278,16.313,15.870000000000003,16.610000000000003,21.172999999999995,15.521
Accounts Payable & Accrued Expenses,19.715,30.059,37.301,36.487,42.481,		,0,0,0,0,29.171,45.777,0,37.301,33.374,54.251,41.62,36.487,36.783,55.998,42.481
Current Portion of Long-Term Debt,0.59,0.628,0.669,0.712,0.746,		,0,0,0,0,0.638,0.648,0,0.669,0.679,0.69,0.701,0.712,0.723,0.734,0.746
Other Current Liabilities,6.190000000000001,6.804999999999996,8.200000000000003,10.007999999999996,9.514999999999993,		,0,0,0,0,6.072000000000003,6.217999999999996,0,8.200000000000003,7.515999999999998,7.614000000000004,7.817,10.007999999999996,9.354999999999997,9.217000000000006,9.514999999999993
Total Current Liabilities,26.495,37.492,46.17,47.207,52.742,		,0,0,0,0,35.881,52.643,0,46.17,41.569,62.555,50.138,47.207,46.861,65.949,52.742
Long-Term Debt,5.267,4.638,3.969,3.258,2.694,		,0,0,0,0,4.475,4.309,0,3.969,3.796,3.619,3.44,3.258,3.073,2.885,2.694
  Capital Lease Obligation,5.267,4.638,3.969,3.258,2.694,		,0,0,0,0,4.475,4.309,0,3.969,3.796,3.619,3.44,3.258,3.073,2.885,2.694
  PensionAndRetirementBenefit,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  DeferredTaxAndRevenue,23.796,26.752,30.256,37.62,41.899,		,0,0,0,0,28.12,27.216,0,30.256,33.72,34.83,36.699,37.62,39.227,40.927,41.899
Other Long-Term Liabilities,-3.552713678800501e-15,3.552713678800501e-15,0,0,-7.105427357601002e-15,		,0,0,0,0,3.552713678800501e-15,7.105427357601002e-15,0,0,-1.4210854715202004e-14,7.105427357601002e-15,7.105427357601002e-15,0,1.4210854715202004e-14,-7.105427357601002e-15,-7.105427357601002e-15
Total Liabilities,55.558,68.882,80.395,88.085,97.335,		,0,0,0,0,68.476,84.168,0,80.395,79.085,101.004,90.277,88.085,89.161,109.761,97.335
Common Stock,0,0,0.02,0.028,0.028,		,0,0,0,0,0.02,0.02,0,0.02,0.02,0.027,0.027,0.028,0.028,0.028,0.028
Preferred Stock,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retained Earnings,59.726,61.922,60.254,-0.14,12.581,		,0,0,0,0,64.933,65.468,0,60.254,65.908,-19.276,-9.981,-0.14,2.168,6.435,12.581
Accumulated other comprehensive income (loss),0,0,0,0.017,-0.002,		,0,0,0,0,0,0,0,0,0,0.048,0.006,0.017,0.031,0.01,-0.002
Additional Paid-In Capital,0.15,0.15,0.15,117.391,122.153,		,0,0,0,0,0.15,0.15,0,0.15,0.15,115.412,116.63,117.391,118.283,119.498,122.153
Treasury Stock,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Equity,59.895999999999994,62.091999999999985,60.42399999999999,117.296,134.76,		,0,0,0,0,65.10300000000001,65.638,0,60.42399999999999,66.07800000000002,96.211,106.682,117.296,120.50999999999999,125.971,134.76
  Net Income,20.863,24.416,34.34,23.893,22.562,		,20.863,1.659,0.597,23.819,4.86,0,15.624,13.856,5.914,-1.157,9.295,9.841,2.308,4.267,6.146
  Cumulative Effect Of Accounting Change,0,0,0,0,,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Net Foreign Currency Exchange Gain,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income From Continuing Operations,20.863,24.416,34.34,23.893,22.562,		,20.863,1.659,0.597,24.416,4.86,0,20.484,13.856,5.914,-1.157,9.295,9.841,2.308,4.267,6.146
"Depreciation, Depletion and Amortization",13.915,14.292,15.129,16.679,18.85,		,13.915,3.577,3.6,10.692,3.718,3.773,3.764,3.874,3.904,4.125,4.27,4.38,4.65,4.775,5.045
  Change In Receivables,0.662,-2.153,-2.304,0.021,2.238,		,0.662,-1.454,-0.705,-1.448,-1.609,-0.055,0.984,-1.624,-2.489,-1.081,1.386,2.205,-2.155,-2.824,5.012
  Change In Inventory,-3.938,-9.621,-3.028,-9.927,-6.508,		,-3.938,-2.352,-13.543,3.922,-2.128,-9.608,0.154,8.554,-3.599,-14.42,4.817,3.275,-3.07,-13.734,7.021
  Change In Prepaid Assets,-0.684,-1.356,-2.868,-12.93,-3.2189999999999994,		,-0.684,-0.428,-0.767,-0.589,-0.489,-1.373,-0.34,-0.666,-0.502,-11.647,0.028,-0.809,-1.648,-0.195,-0.567
  Change In Payables And Accrued Expense,0.466,10.344,5.63,-1.481,-1.9380000000000006,		,0.466,3.578,13.742,-3.398,-0.59,13.93,-4.196,-3.514,-1.963,20.208,-11.888,-7.838,0.677,19.426,-14.203
Change In Working Capital,-0.306,0.785,2.329,-15.145,-2.5289999999999995,		,-0.306,1.013,-2.078,2.863,-4.18,3.593,0.44,2.476,-5.773,-5.732,-3.585,-0.055,-5.242,4.235,-1.467
Change In DeferredTax,0,0,0,6.689,0.715,		,0,0,0,0,0,0,0,0,0,6.148,0.177,0.364,0.347,0.211,-0.207
Cash Flow from Discontinued Operations,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Flow from Others,0.7840000000000016,2.208999999999996,0.7860000000000018,9.613999999999997,2.8219999999999987,		,0.7840000000000016,0.060000000000000275,0.029999999999999805,1.5819999999999967,0.01899999999999924,3.6470000000000002,-8.299000000000001,0.5590000000000019,-0.11500000000000021,8.364,0.7310000000000003,0.6339999999999997,0.8449999999999993,0.761999999999999,0.581000000000001
Cash Flow from Operations,35.256,41.702,52.584,41.73,42.42,		,35.256,6.309,2.149,39.553,4.417,11.013,16.389,20.765,3.93,11.748,10.888,15.164,2.908,14.25,10.098
"Purchase Of Property, Plant, Equipment",-17.514,-15.674,-20.223,-33.298,-43.728,		,-17.514,-4.722,-4.293,-11.381,-3.001,-5.741,-5.504,-5.977,-7.523,-8.926,-9.136,-7.713,-11.435,-12.354,-12.226
"Sale Of Property, Plant, Equipment",0.003,0.041,0.028,0.017,0.020999999999999998,		,0.003,0,0,0.041,0.018,0,0,0.01,0,0.017,0,0,0.011,0.008,0.002
Purchase Of Business,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sale Of Business,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purchase Of Investment,0,0,0,-75.377,-29.935000000000002,		,0,0,0,0,0,0,0,0,0,-35.539,-24.88,-14.958,0,-0.002,-14.975
Sale Of Investment,0,0,0,35.51,40,		,0,0,0,0,0,0,0,0,0,9.455,26.055,0,10,15,15
Net Intangibles Purchase And Sale,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash From Discontinued Investing Activities,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Flow from Investing,-17.511,-15.258,-20.195,-72.326,-48.577,		,-17.511,-4.722,-4.293,-10.965,-2.983,-5.741,-5.504,-5.967,-6.882,-34.835,-7.961,-22.648,-1.424,-12.306,-12.199
Net Issuance of Stock,0,0,0,106.789,0.006,		,0,0,0,0,0,0,0,0,0,106.783,0.006,0,0,0,0
Net Issuance of Preferred Stock,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Issuance of Debt,-0.555,-0.591,-0.628,-0.668,-0.513,		,-0.555,-0.144,-0.147,-0.444,-0.153,-0.156,-0.159,-0.16,-0.163,-0.166,-0.168,-0.171,-0.174,0,0
Cash Flow for Dividends,-16.02,-22.22,-36.008,-84.287,0,		,-16.02,-5.031,-1.999,-20.221,-1.849,-2.934,-26.011,-5.214,-0.26,-84.027,0,0,0,0,0
Other Financing,0,0,0,0.9849999999999994,2.276,		,0,0,2.220446049250313e-16,0,2.220446049250313e-16,4.440892098500626e-16,-3.552713678800501e-15,8.881784197001252e-16,0,0.27599999999999625,0.623,0.08600000000000001,0,0.315,1.875
Cash Flow from Financing,-16.575,-22.811,-36.636,22.819,1.931,		,-16.575,-5.175,-2.146,-20.665,-2.002,-3.09,-26.17,-5.374,-0.423,22.866,0.461,-0.085,-0.174,0.315,1.875
Net Change in Cash,1.17,3.633,-4.247,-7.777,-4.226,		,1.17,-3.588,-4.29,7.923,-0.568,2.182,-15.285,9.424,-3.375,-0.221,3.388,-7.569,1.31,2.259,-0.226
Free Cash Flow,17.742,26.028,32.361000000000004,8.431999999999995,-1.3080000000000007,		,17.742,1.5869999999999997,-2.144,28.171999999999997,1.416,5.272,10.885,14.788,-3.5929999999999995,2.821999999999999,1.7520000000000007,7.451,-8.527000000000001,1.8960000000000008,-2.128
PE Ratio(ttm),0,0,0,15.94,15,		,0,0,0,0,0,0,0,0,0,24.07,37.53,15.94,20.06,16.13,18.2
Price to Tangible Book,0,0,0,3.5,2.47,		,0,0,0,0,0,0,0,0,0,0,4.18,3.5,0,0,0
Price-to-Free-Cash-Flow ratio,0,0,0,59.28,0,		,0,0,0,0,0,0,0,0,0,4.09,4.5,59.28,111.08,146.8,0
PS Ratio,0,0,0,0.82,0.68,		,0,0,0,0,0,0,0,0,0,0.38,0.38,0.82,0.84,0.83,0.82
EV-to-Revenue,0,0,0,0.76,0.72,		,0,0,0,0,0,0,0,0,0,0.96,0.89,0.76,0.74,0.72,0.72
EV-to-EBITDA,0,0,0,7.42,5.24,		,0,0,0,0,0,0,0,0,0,9.27,8.56,7.42,7.59,6.2,6.49
EV-to-EBIT,0,0,0,11.36,8.1,		,0,0,0,0,0,0,0,0,0,14.25,13.07,11.36,12.11,9.02,9.88
Earnings Yield (Joel Greenblatt),0,0,0,8.8,12.3,		,0,0,0,0,0,0,0,0,0,7.02,7.65,8.8,8.26,11.09,10.12
Forward Rate of Return,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shiller PE Ratio,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Market Cap,0,0,0,386.44632,335.596,		,0,0,0,0,0,0,0,0,0,458.93429999999995,446.7552,410.36580000000004,400.1324,406.9296,404.4768
Enterprise Value,0,0,0,332.52232000000004,288.447,		,0,0,0,0,0,0,0,0,0,414.89329999999995,400.4212,356.44180000000006,354.6464,358.9966,356.58180000000004
Net Cash (per share),0,-1.98,-13.51,-1.19,-1.68,		,0,0,0,0,-1.99,-2.66,0,-2,-2.08,-1.93,-1.46,-1.12,-1.47,-2.13,-1.68
Net Current Asset Value (per share),0,-0.98,-7.84,-0.12,-0.51,		,0,0,0,0,-0.87,-1.31,0,-1.16,-1.12,-0.68,-0.34,-0.11,-0.35,-0.69,-0.51
Projected FCF (per share),0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Median PS (per share),0,0,31.08,12.79,12.55,		,0,0,0,0,2.95,6.05,9.76,31.08,31.47,31.11,30.56,12.79,12.21,12.59,12.55
Peter Lynch Fair Value (per share),0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham Number (per share),0,9.23,52.78,9.63,9.41,		,0,0,0,0,5.1,5.74,0,7.82,8.31,9.34,9.35,9.07,8.46,9.74,9.41
Altman Z-Score,0,0,4.49,6,5.17,		,0,0,0,0,2.83,2.69,0,4.49,4.58,5.63,6.11,6,5.86,5.29,5.6
Piotroski F-Score,0,0,0,0,5,		,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Beneish M-Score,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.69,0
Highest Stock Price,0,0,0,16.73,,		,0,0,0,0,0,0,0,0,0,18.48,19.19,16.73,14.71,17.35,15.19
Lowest Stock Price,0,0,0,0,,		,0,0,0,0,0,0,0,0,0,13.89,15.72,12.4,12.33,14.5,12.64
Tangibles book per share,0,3.1,14.76,4.5,4.85,		,0,0,0,0,3.26,3.28,0,2.19,2.39,3.48,3.85,4.24,4.35,4.54,4.85
