Information Technology,,,,,
Foundation,,,,,
,,,,Organize information to use in written and oral communications.,Read and take notes from selected resources.
,,,,Organize information to use in written and oral communications.,Prepare outline that emphasizes major points with supporting data.
,,,,Organize information to use in written and oral communications.,"Present information in organized, easy-to-follow manner."
,,,,Organize information to use in written and oral communications.,"Prepare working bibliography according to MLA, APA, CBE, or Chicago, depending on the warranted language style."
,,,,Document the source and proper reference for written information.,"Prepare a bibliography according to MLA, APA, CBE, or Chicago, depending on the warranted language style."
,,,,Document the source and proper reference for written information.,"Use parenthetical, footnotes and endnotes text citations accurately."
,,,,Document the source and proper reference for written information.,Follow plagiarism and copyright rules and regulations.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC02.03,Communications,Language Arts Courses,"Use correct grammar, punctuation and terminology to write and edit documents.","Compose multi-paragraph writing clearly, succinctly, and accurately to write documents.",Organize and arrange information for effective coherence.
,,,,"Compose multi-paragraph writing clearly, succinctly, and accurately to write documents.",Report relevant information in order of occurrence.
,,,,"Compose multi-paragraph writing clearly, succinctly, and accurately to write documents.","Interpret information, data, and observations correctly."
,,,,"Compose multi-paragraph writing clearly, succinctly, and accurately to write documents.",Present main ideas and supporting facts.
,,,,Use description of audience and purpose to prepare written documents.,Use technical terms and concepts.
,,,,Use description of audience and purpose to prepare written documents.,Incorporate and use references effectively and accurately.
,,,,Use description of audience and purpose to prepare written documents.,Report objective and/or subjective information.
,,,,"Use correct grammar, spelling, punctuation and capitalization to prepare written documents.",Use correct grammar and sentence structure.
,,,,"Use correct grammar, spelling, punctuation and capitalization to prepare written documents.",Use correct spelling.
,,,,"Use correct grammar, spelling, punctuation and capitalization to prepare written documents.",Use correct punctuation and capitalization.
,,,,Use computer skills to design and develop written and supporting material.,"Use word processing software to develop text, charts, graphs or figures correctly."
,,,,Use computer skills to design and develop written and supporting material.,Use presentation software to prepare visual support materials.
,,,,Use computer skills to design and develop written and supporting material.,Format written documents with correct font and layout for easy reading.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC02.04,Communications,Language Arts Courses,Develop and deliver formal and informal presentations using appropriate media to engage and inform audiences.,Prepare oral presentation to provide information for intended purpose and audience.,Know subject matter well enough to be independent of written aids.
,,,Develop and deliver formal and informal presentations using appropriate media to engage and inform audiences.,Prepare oral presentation to provide information for intended purpose and audience.,Identify characteristics of the audience and adjust to their ability to understand.
,,,Develop and deliver formal and informal presentations using appropriate media to engage and inform audiences.,Prepare oral presentation to provide information for intended purpose and audience.,Use technical terms and concepts correctly.
,,,Develop and deliver formal and informal presentations using appropriate media to engage and inform audiences.,Prepare oral presentation to provide information for intended purpose and audience.,Use proper organization and structure to achieve coherence of major points.
,,,,Identify and prepare support materials to accompany oral presentation.,Identify media and visual aids appropriate to understanding of topic.
,,,,Identify and prepare support materials to accompany oral presentation.,Prepare visual aids and support materials for easy viewing and without error.
,,,,Identify and prepare support materials to accompany oral presentation.,Smoothly and efficiently operate any equipment used with support.
,,,,Deliver presentation to sustain listeners' attention and interest.,Deliver presentation without grammatical error.
,,,,Deliver presentation to sustain listeners' attention and interest.,"Speak clearly with appropriate volume, rate and gestures while making and maintaining appropriate eye contact."
,,,,Deliver presentation to sustain listeners' attention and interest.,Use support materials in the presentation that enhance the understanding of the topic and the interest level of the audience.
,,,,Deliver presentation to sustain listeners' attention and interest.,Stay within presentation time parameters.
,,,,Deliver presentation to sustain listeners' attention and interest.,Evaluate listeners’ interest and receptiveness.
,,,,Deliver presentation to sustain listeners' attention and interest.,Use verbal and nonverbal feedback strategies to engage discussion and adjust message and delivery.
,,,,Deliver presentation to sustain listeners' attention and interest.,Respond to questions and comments.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC02.05,Communications,Language Arts Courses,Interpret verbal and nonverbal behaviors to enhance communication with co-workers and clients/participants.,Interpret verbal behaviors to enhance communication.,Identify verbal cues.
,,,Interpret verbal and nonverbal behaviors to enhance communication with co-workers and clients/participants.,Interpret verbal behaviors to enhance communication.,"Observe voice speed, voice quality and tone."
,,,,Interpret verbal behaviors to enhance communication.,Explain message conveyed by verbal behaviors.
,,,,Interpret nonverbal behaviors to enhance communication.,Identify nonverbal cues.
,,,,Interpret nonverbal behaviors to enhance communication.,"Observe eye contact, facial expressions, posture, gestures and other body language."
,,,,Interpret nonverbal behaviors to enhance communication.,Explain message conveyed by nonverbal behaviors.
,,,,,
ITC02.06,Communications,Language Arts Courses,Apply active listening skills to obtain and clarify information.,Interpret message/information given to clarify information.,Determine familiarity of discussion.
,,,,Interpret message/information given to clarify information.,Respond accordingly using appropriate verbal and nonverbal language.
,,,,Interpret message/information given to clarify information.,Explain the message given in your own words.
,,,,Respond with restatement and clarification techniques to clarify information.,Ask questions to seek or confirm understanding.
,,,,Respond with restatement and clarification techniques to clarify information.,Paraphrase and/or repeat information.
,,,,Respond with restatement and clarification techniques to clarify information.,Record and summarize information in written notes.
,,,,Respond with restatement and clarification techniques to clarify information.,"Follow directions and/or respond in a positive way with clear, concise comments."
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC02.07,Communications,Language Arts Courses,"Interpret and use tables, charts, and figures to support written and oral communications.","Develop tables, charts and figures to support written and oral communication.","Compile facts and arrange in an organized manner for a table, chart or figure."
,,,,"Develop tables, charts and figures to support written and oral communication.",Document sources of data.
,,,,"Develop tables, charts and figures to support written and oral communication.",Determine most appropriate way to display data for effective coherence.
,,,,"Develop tables, charts and figures to support written and oral communication.","Prepare table, chart, graph or figure for inclusion in publication or presentation."
,,,,"Interpret tables, charts and figures used to support written and oral communication.",Evaluate reference or source of data for authenticity and reliability.
,,,,"Interpret tables, charts and figures used to support written and oral communication.","Explain information presented in tables, charts and figures."
,,,,"Interpret tables, charts and figures used to support written and oral communication.","Prepare written summary of findings expressed in tables, charts and figures."
,,,,,
ITC02.08,Communications,Language Arts Courses,Demonstrate sensitivity in communicating with a diverse workforce.,Understand factors and strategies for communicating with a diverse workforce.,"Identify factors (e.g., culture, ethnicity, equity, special/exceptional needs) that impact communication."
,,,,Understand factors and strategies for communicating with a diverse workforce.,Identify strategies for successful communication with a diverse workforce.
,,,,Demonstrate ability to communicate and resolve conflicts with a diverse workforce.,Determine communication style appropriate for listener(s).
,,,,Demonstrate ability to communicate and resolve conflicts with a diverse workforce.,Bridge communication styles.
,,,,Demonstrate ability to communicate and resolve conflicts with a diverse workforce.,Establish guidelines for dealing with conflict.
,,,,,
ITC02.09,Communications,Language Arts Courses,Conduct meetings.,Plan and schedule meetings.,Plan meeting.
,,,,Plan and schedule meetings.,Set agenda.
,,,,Plan and schedule meetings.,Schedule meeting.
,,,,Plan and schedule meetings.,Reserve meeting room.
,,,,Plan and schedule meetings.,Invite appropriate personnel.
,,,,Plan and schedule meetings.,Identify need for outside speakers.
,,,,Plan and schedule meetings.,Assign someone to take minutes.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
,,,(CONTINUED),Conduct meetings.,Make introductions.
,,,,Conduct meetings.,"Invite questions, comments, and group participation."
,,,,Conduct meetings.,"Determine appropriate action, time frame, and person accountable for identified tasks."
,,,,Conduct meetings.,Monitor time.
,,,,Conduct meetings.,Publish minutes in timely manner.
,,,,,
ITC02.10,Communications,Language Arts Courses              #1: Introduction to Information Technology ,Build customer relations.,Demonstrate knowledge of organization’s offerings and of customers’ importance to the organization.,Identify organizations' products and services (including own strengths as a sales agent).
,,,,Demonstrate knowledge of organization’s offerings and of customers’ importance to the organization.,Recognize the importance of all customers to the business.
,,,,Demonstrate ability to assist customers  in a professional manner.,Determine customers' individual needs.
,,,,Demonstrate ability to assist customers  in a professional manner.,"Project a professional business image (e.g., appearance, voice, grammar, word usage, enunciation, nonverbal communication)."
,,,,Demonstrate ability to assist customers  in a professional manner.,"Interact with customers and colleagues in a professional (e.g., prompt, friendly, courteous, respectful, helpful, knowledgeable, and understandable) manner."
,,,,Effectively use organizational protocols and systems to fulfill customer service requirements.,Comply with established business protocols and company policies.
,,,,Effectively use organizational protocols and systems to fulfill customer service requirements.,Communicate company policies to customers.
,,,,Effectively use organizational protocols and systems to fulfill customer service requirements.,Handle merchandise returns in accordance with customer service policy.
,,,,Effectively use organizational protocols and systems to fulfill customer service requirements.,Handle customer complaints in accordance with customer service policy.
,,,,Effectively use organizational protocols and systems to fulfill customer service requirements.,Facilitate customer service through the maintenance of key information systems.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
,,,(CONTINUED),Ensure that customers’ needs are met and that customer base is maintained.,"Follow through on commitments made to customers (e.g., special orders, delivery specifications, new items)."
,,,,,Maintain customer base.
,,,,,
ITC02.11,Communications,#2: Information Technology Applications,Perform scheduling functions to meet customers' needs.,Schedule customer appointments.,Create calendars/schedules.
,,,,Schedule customer appointments.,Maintain appointment calendars.
,,,,Schedule customer appointments.,Process requests for appointments.
,,,,Schedule customer appointments.,Verify appointments.
,,,,Schedule customer appointments.,Notify customers of changes in schedule.
,,,,Schedule customer appointments.,Manage scheduling conflicts.
,,,,Document results of customer appointments.,Document results.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC03.01,Problem Solving and Critical Thinking,#3: Fundamentals of Computer Systems,Guide progress in assigned areas of responsibility/accountability.,Set goals.,Set short- and long-term goals for assigned areas of responsibility/accountability.
,,,,Set goals.,Demonstrate commitment to established goals and vision.
,,,,Monitor and adjust goals.,Obtain support for goals.
,,,,Monitor and adjust goals.,Provide support for goals.
,,,,Monitor and adjust goals.,Monitor goal achievement.
,,,,Monitor and adjust goals.,Adjust goals.
,,,,Communicate and recognize goal achievement.,Communicate goal achievement.
,,,,Communicate and recognize goal achievement.,Provide recognition for goal achievement.
,,,,,
ITC03.02,Problem Solving and Critical Thinking,#3: Fundamentals of Computer Systems,Conduct technical research.,Determine audience and information needs.,Identify target audience.
,,,,Determine audience and information needs.,Define research questions.
,,,,Gather information.,Determine priorities for the information that should be gathered.
,,,,Gather information.,Identify potential sources of information.
,,,,Gather information.,Target audience/user group as a key information  source.
,,,,Gather information.,Identify subject-matter experts.
,,,,Gather information.,"Evaluate potential sources of information based on established criteria (e.g., affordability, relevance)."
,,,,Gather information.,Conduct interviews with selected human information sources.
,,,,Gather information.,Gather information from selected print and electronic sources.
,,,,Evaluate information.,Determine the accuracy and completeness of the information gathered.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC03.03,Problem Solving and Critical Thinking,#3: Fundamentals of Computer Systems,Produce a quality product/service.,Understand product/service design.,"Design product (e.g., using brainstorming, thumbnail sketches, rendering)."
,,,,Understand product/service design.,"Consider customer satisfaction in determining product characteristics (e.g., usefulness, price, operation, life, reliability, safety, cost of operation)."
,,,,Use reliability factors effectively to plan for and create products/services.,"Consider reliability factors (e.g., cost, human, producibility)."
,,,,Use reliability factors effectively to plan for and create products/services.,"Achieve reliability through maintainability, good design, design simplification, and design redundancy."
,,,,Use reliability factors effectively to plan for and create products/services.,Recognize the relationship of maintainability and reliability.
,,,,Use reliability factors effectively to plan for and create products/services.,Align cost components with quality objectives.
,,,,Use reliability factors effectively to plan for and create products/services.,"Classify quality costs (e.g., preventive, evaluation, pre-delivery failures, post-delivery failures)."
,,,,Test and maintain products/services.,Test products for reliability.
,,,,Test and maintain products/services.,Initiate predictive maintenance procedures.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC03.04,Problem Solving and Critical Thinking,#4: Introduction to Network Systems                                              #4: Introduction to Information Support and Services                              #4: Fundamentals of Programming and Software Development                          #4: Fundamentals of Digital Communications,Demonstrate knowledge of the process required to evaluate and verify the nature of a problem.,Understand information systems theory and practice.,Demonstrate knowledge of the underlying concepts of the  information systems discipline.
,,,,Understand information systems theory and practice.,Demonstrate knowledge of methods for achieving productivity in knowledge work.
,,,,Understand information systems theory and practice.,Apply general systems theory to the analysis and development of  an information system.
,,,,Understand information systems theory and practice.,Identify procedures for formal problem- solving.
,,,,Understand information systems theory and practice.,Demonstrate knowledge of the fundamental concept of information theory and organizational system processes.
,,,,Understand information systems theory and practice.,Identify the essential properties of information systems.
,,,,,
ITC03.05,Problem Solving and Critical Thinking,,Demonstrate knowledge of the process required to solve a problem.,Understand information systems problem-solving techniques and approaches.,Demonstrate knowledge of problem-solving steps and techniques.
,Problem Solving and Critical Thinking,,Demonstrate knowledge of the process required to solve a problem.,Understand information systems problem-solving techniques and approaches.,"Summarize application planning, development, and risk management for information system."
,,,,Understand information systems problem-solving techniques and approaches.,Identify potential problems in system implementation.
,,,,Understand information systems problem-solving techniques and approaches.,Demonstrate knowledge of the information analysis process.
,,,,Understand information systems problem-solving techniques and approaches.,Demonstrate knowledge of information technology solutions.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC03.06,Problem Solving and Critical Thinking,#3: Fundamentals of Computer Systems,Demonstrate an ability to evaluate and verify the appropriateness of a solution to a problem.,Evaluate information systems problem-solving techniques and approaches.,Demonstrate knowledge of decision-making skills and techniques.
,Problem Solving and Critical Thinking,,Demonstrate an ability to evaluate and verify the appropriateness of a solution to a problem.,Evaluate information systems problem-solving techniques and approaches.,Demonstrate knowledge of critical thinking skills and techniques.
,,,,Evaluate information systems problem-solving techniques and approaches.,"Summarize application planning, development, and risk management for information system."
,,,,Evaluate information systems problem-solving techniques and approaches.,Identify potential problems in system implementation.
,,,,,Determine whether prototyping system is feasible.
,,,,,Develop a plan using data-oriented techniques.
,,,,,Evaluate systems engineering considerations.
,,,,,"Determine software design process, from specification to implementation."
,,,,,Appraise software process and product life-cycle models.
,,,,,Assess software design methods and tools.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC03.07,Problem Solving and Critical Thinking,#3: Fundamentals of Computer Systems,Demonstrate knowledge of information organization principles.,Understand information organization principles.,Demonstrate knowledge of group support technology for common knowledge requirements.
,,,,Understand information organization principles.,Demonstrate knowledge of the information analysis process.
,,,,Understand information organization principles.,Demonstrate knowledge of information technology solutions.
,,,,Understand information organization principles.,Demonstrate knowledge of methods for achieving productivity in knowledge work.
,,,,,
ITC03.08,Problem Solving and Critical Thinking,#3: Fundamentals of Computer Systems,Demonstrate knowledge of design principles.,Understand and employ design and color principles.,Demonstrate knowledge of the two-dimensional  picture plan.
,Problem Solving and Critical Thinking,,,Understand and employ design and color principles.,Demonstrate knowledge of the principles and elements of design and their relationship to each other.
,,,,Understand and employ design and color principles.,Demonstrate knowledge of the nature of color and color harmonies.
,,,,Understand and employ design and color principles.,Assess the impact of various color harmonies on a two-dimensional picture plan.
,,,,Understand and employ design and color principles.,"Assess how color affects the principles of line, value, shape and form."
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC04.01,Information Technology Applications,#2: Information Technology Applications,Use Personal information Management (PIM)/ productivity applications.,Manage personal schedule and contact information.,"Identify PIM applications such as MS Outlook, Lotus Notes, and others."
,,,,Manage personal schedule and contact information.,Create tasks (to-do) list.
,,,,Manage personal schedule and contact information.,"Manage daily/weekly/monthly schedule using applications such as Notes, MS Outlook, etc."
,,,,Create memos and notes.,Create reminder for oneself.
,,,,Create memos and notes.,"Create and send notes, informal memos, reminder using PIM applications such as Lotus Notes, MS Outlook, and others."
,,,,,
ITC04.02,Information Technology Applications,#2: Information Technology Applications,Use electronic mail applications.,Use email to communicate within and across organizations.,Access email system using login and password functions.
,,,,Use email to communicate within and across organizations.,Access email messages received.
,,,,Use email to communicate within and across organizations.,"Create e-mail messages in accordance with established business standards (e.g., grammar, word usage, spelling, sentence structure, clarity, email etiquette)."
,,,,Use email to communicate within and across organizations.,Demonstrate knowledge of  email etiquette.
,,,,Use email to communicate within and across organizations.,Send email messages.
,,,,Use email to share files and documents.,Access email attachments.
,,,,Use email to share files and documents.,Attach documents to messages.
,,,,Use email to share files and documents.,Save email messages/attachments.
,,,,Use email to share files and documents.,Demonstrate knowledge of  contamination protection strategies for email.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC04.03,Information Technology Applications,#2: Information Technology Applications,Use Internet applications.,Search for information and resources.,Select search engine(s) to use.
,,,,Search for information and resources.,Select appropriate search procedures and approaches.
,,,,Search for information and resources.,Locate information using search engine(s) and Boolean logic.
,,,,Search for information and resources.,Navigate web sites using software functions.
,,,,Access and evaluate Internet resources.,Access business and technical information using the Internet.
,,,,Access and evaluate Internet resources.,"Access commercial, government, and education resources."
,,,,Access and evaluate Internet resources.,"Evaluate Internet resources (e.g., accuracy of information)."
,,,,,
ITC04.04,Information Technology Applications,#2: Information Technology Applications,Use writing/publishing applications.,Prepare simple documents and other business communications.,Retrieve existing documents.
,,,,Prepare simple documents and other business communications.,"Create documents (e.g., letters, memos, reports) using existing forms and templates."
,,,,Prepare simple documents and other business communications.,Safeguard documents using name and save functions.
,,,,Prepare simple documents and other business communications.,Format text using basic formatting functions.
,,,,Prepare simple documents and other business communications.,"Employ word processing utility tools (e.g., spell checker, grammar checker, thesaurus)."
,,,,"Prepare reports and other business communications, integrating graphics and other non-text elements.","Use advanced formatting features (e.g., headers/footers/dropped caps,  and indexing)."
,,,,"Prepare reports and other business communications, integrating graphics and other non-text elements.",Place graphics in document.
,,,,"Prepare reports and other business communications, integrating graphics and other non-text elements.","Enhance publications using different fonts, styles, attributes, justification, etc."
,,,,"Prepare reports and other business communications, integrating graphics and other non-text elements.",Enhance publications using paint/draw functions.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
,,,(CONTINUED),Prepare complex publications.,"Create new word processing forms, style sheets, and templates."
,,,,Prepare complex publications.,Prepare publications using desktop publishing software.
,,,,Prepare complex publications.,Format new desktop publishing files.
,,,,Prepare complex publications.,Output desktop publishing files.
,,,,,
ITC04.05,Information Technology Applications,#2: Information Technology Applications,Use presentation applications.,"Prepare presentations for training, sales and information sharing.",Create computer presentation and handouts in accordance with basic principles of graphics design and visual communication.
,,,,"Prepare presentations for training, sales and information sharing.","Insert graphic elements (e.g., graph, clip art, table) in a slide."
,,,,"Prepare presentations for training, sales and information sharing.",Edit presentations.
,,,,"Deliver presentations, with supporting materials.","Identify hardware items that support presentation software (e.g., scanners, digital cameras, printers, and projection systems)."
,,,,"Deliver presentations, with supporting materials.","Print a single slide, an entire presentation, an outline, and notes."
,,,,"Deliver presentations, with supporting materials.",Run slide shows manually and automatically.
,,,,,
ITC04.06,Information Technology Applications,#2: Information Technology Applications,Use spreadsheet applications.,Create a spreadsheet.,Create spreadsheets.
,,,,Create a spreadsheet.,Retrieve existing spreadsheets.
,,,,Create a spreadsheet.,Edit spreadsheets.
,,,,Create a spreadsheet.,Save spreadsheets.
,,,,Create a spreadsheet.,Print spreadsheets.
,,,,Perform calculations and analysis on data.,Group worksheets.
,,,,Perform calculations and analysis on data.,Create charts and graphs from spreadsheets.
,,,,Perform calculations and analysis on data.,Perform calculations using simple formulas.
,,,,Perform calculations and analysis on data.,Input/process data using spreadsheet functions.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC04.07,Information Technology Applications,#2: Information Technology Applications,Use database applications.,Manipulate data elements.,Enter data using a form.
,,,,Manipulate data elements.,Locate/replace data using search and replace functions.
,,,,Manipulate data elements.,"Process data using database functions (e.g., structure, format, attributes, relationships, keys)."
,,,,"Manage, analyze and report on interrelated data elements.",Search a database table to locate records.
,,,,"Manage, analyze and report on interrelated data elements.",Sort data using single- and multiple-field sorts.
,,,,"Manage, analyze and report on interrelated data elements.","Perform single- and multiple-table queries (e.g., create, run, save)."
,,,,"Manage, analyze and report on interrelated data elements.","Print forms, reports, and results of queries."
,,,,"Manage, analyze and report on interrelated data elements.",Verify accuracy of output.
,,,,,
ITC04.08,Information Technology Applications,#2: Information Technology Applications,Use collaborative/groupware applications.,Facilitate group work through management of shared schedule and contact information.,Manage daily/weekly/monthly schedule using applications.
,,,,Facilitate group work through management of shared schedule and contact information.,Maintain shared database of contact information.
,,,,Facilitate group work through management of shared files and online information.,"Organize, store, and share files in network directories."
,,,,Facilitate group work through management of shared files and online information.,"Organize, store, and share files using web sites."
,,,,Facilitate group work through management of shared files and online information.,"Organize, store, and share files using document libraries or databases."
,,,,Facilitate group work through instant messaging or virtual meetings.,Participate in virtual group discussions and meetings.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC04.09,Information Technology Applications,#2: Information Technology Applications,Use computer operations applications.,Manage computer operations.,Apply basic commands of operating system software.
,Information Technology Applications,,,Manage computer operations.,Employ desktop operating skills.
,,,,Manage file storage.,Apply appropriate file and disk management techniques.
,,,,Manage file storage.,Differentiate between files and directories.
,,,,Manage file storage.,Determine file organization.
,,,,Manage file storage.,Demonstrate knowledge of the system utilities used for file management.
,,,,Compress or alter files.,Convert file formats.
,,,,Compress or alter files.,Unpack files using compression software.
,,,,Compress or alter files.,Convert existing files.
,,,,,
ITC04.10,Information Technology Applications,#3: Fundamentals of Computer Systems,Use computer-based equipment (containing embedded computers (or processors) used to control electromechanical devices).,Operate computer-driven equipment and machines.,Secure needed supplies and resources.
,Information Technology Applications,,Use computer-based equipment (containing embedded computers (or processors) used to control electromechanical devices).,Operate computer-driven equipment and machines.,Follow power-up and log-on procedures.
,,,,Operate computer-driven equipment and machines.,Interact with/respond to system messages using console device.
,,,,Operate computer-driven equipment and machines.,Run applications/jobs in accordance with processing procedures.
,,,,Operate computer-driven equipment and machines.,Follow log-off and power-down procedure(s).
,,,,Use installation and operation manuals.,Access needed information using appropriate reference materials.
,,,,Troubleshoot computer-driven equipment and machines and access support as needed.,Test system using diagnostic tools/software.
,,,,Troubleshoot computer-driven equipment and machines and access support as needed.,Repair/replace malfunctioning hardware.
,,,,Troubleshoot computer-driven equipment and machines and access support as needed.,Reinstall software as needed.
,,,,Troubleshoot computer-driven equipment and machines and access support as needed.,Recover data and/or files.
,,,,Troubleshoot computer-driven equipment and machines and access support as needed.,Restore system to normal operating standards.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC05.01,Systems,#3: Fundamentals of Computer Systems,Characterize the nature of business.,Understand types and functions of businesses.,Identify types of business organizations and functions.
,,,,Understand types and functions of businesses.,Identify business reporting and information flow.
,,,,Understand types and functions of businesses.,"Define stakeholder relationships (e.g., customers, employees, shareholders, and suppliers)."
,,,,Understand functions and interactions of departments within a business.,Demonstrate knowledge of the components of a business plan.
,,,,Understand functions and interactions of departments within a business.,Identify the ways in which organizational functions are interdependent.
,,,,Understand functions and interactions of departments within a business.,"Identify types of communication channels (e.g., formal, informal)."
,,,,Understand functions and interactions of departments within a business.,Define the role of strategic planning in business.
,,,,,
ITC05.02,Systems,#1: Introduction to Information Technology,Demonstrate knowledge of the nature of IT in business.,Understand the functions of information systems in business.,Determine how business activities interface with data processing functions.
,,,,Understand the functions of information systems in business.,Differentiate between the role of information systems within a company and their role in a global environment.
