"This sheet was generated on December 19, 2014 at 11:50 PM CST. Availability is subject to change.",,,,,,,,
Part #,Item,MSRP,MAP,UPC,Pkg Qty,Product Line,Availability,More Info
3760,"Direct Mount Servo Saver, for Airtronics servos",6.99,,784695 037601,1,Team Associated,In Stock,More Info
3897,"Pivoting Body Mounts, 8 body clips",4,,784695 038974,4,Team Associated,In Stock,More Info
4020,RC12R5.2 Factory Team,409.99,239,784695 040205,1,Team Associated,Out of Stock,More Info
4113,"Spring, .020, short",3.99,,784695 041134,2,Team Associated,In Stock,More Info
4114,"Spring, .018, short",3.99,,784695 041141,2,Team Associated,In Stock,More Info
4116,"Spring, .024, short",3.99,,784695 041165,2,Team Associated,In Stock,More Info
4117,"Spring, .022, short",3.99,,784695 041172,2,Team Associated,In Stock,More Info
4118,"Spring, .014",3.99,,784695 041189,pr,Team Associated,In Stock,More Info
4119,"Spring, .016, short",3.99,,784695 041196,2,Team Associated,In Stock,More Info
4185,8-32 Nylon Locknut,2.99,,784695 041851,6,Team Associated,In Stock,More Info
4348,"Axle Height Adjuster, #0",1,,784695 043480,pr,Team Associated,In Stock,More Info
4349,"Axle Height Adjuster, #1 offset",1,,784695 043497,pr,Team Associated,In Stock,More Info
4350,"Axle Height Adjuster, #2 offset",1.99,,784695 043503,pr,Team Associated,In Stock,More Info
4351,"Axle Height Adjuster, #4 offset",1.99,,784695 043510,pr,Team Associated,In Stock,More Info
4403,"Kingpin, 1:12 scale",7.99,,784695 044036,pr,Team Associated,In Stock,More Info
4459,Belleville Washer,1.99,,784695 044593,3,Team Associated,In Stock,More Info
4462,"Kimbrough 100 tooth, 64 pitch Spur Gear",4,,784695 044623,1,Team Associated,In Stock,More Info
4475,"Micro Shock Spring, black, 4.00 lb, soft",2,,784695 044753,2,Team Associated,In Stock,More Info
4476,"Micro Shock Spring, green, 6.00 lb, hard",2.99,,784695 044760,2,Team Associated,In Stock,More Info
4510,"Antenna Rod, fiberglass, with end cap",2,,784695 045101,1,Team Associated,In Stock,More Info
4535,Front and Rear Body Mounts,3.5,,784695 045354,pr,Team Associated,Low Inventory,More Info
4554,Rear Axle .005 Shim,2.99,,784695 045545,6,Team Associated,In Stock,More Info
4565,FT Rear Axle,29.99,,784695 045651,1,Team Associated,In Stock,More Info
4567,"FT Wheel Hub, left side, clamping, 3 bolt design",18.99,,784695 045675,1,Team Associated,In Stock,More Info
4568,"2-56 x 5/16"" SHC Screw, stainless",2,,784695 045682,6,Team Associated,In Stock,More Info
4608,FT RC12R5 Hub (brushless),19.99,,784695 046085,1,Team Associated,Out of Stock,More Info
4609,RC12R5 Thrust Cone (brushless),3.99,,784695 046092,1,Team Associated,In Stock,More Info
4615,"96 tooth, 64 pitch Spur Gear",3.99,,784695 046153,1,Team Associated,In Stock,More Info
4617,Front Bulkhead Shim,6.99,,784695 046177,12,Team Associated,In Stock,More Info
4621,Upper Arm,2.99,,784695 046214,pr,Team Associated,In Stock,More Info
4622,Upper Arm Eyelet,2.99,,784695 046221,2 pr,Team Associated,In Stock,More Info
4623,Upper Hinge Pin,1.99,,784695 046238,pr,Team Associated,In Stock,More Info
4624,Caster/Servo Spacer,1.99,,784695 046245,set,Team Associated,In Stock,More Info
4626,Upper Arm Mount/Steering Block,3.99,,784695 046269,pr,Team Associated,In Stock,More Info
4627,Front Axle,6.99,,784695 046276,pr,Team Associated,Out of Stock,More Info
4635,Pivot Brace/Pod Link,3.99,,784695 046351,set,Team Associated,In Stock,More Info
4637,FT Pivot Ball,15.99,,784695 046375,8,Team Associated,In Stock,More Info
4641,"Side Spring, Black, 3.75 lbs.",3.99,,784695 046412,pr,Team Associated,In Stock,More Info
4642,"Side Spring, Green, 4.38 lbs.",3.99,,784695 046429,pr,Team Associated,In Stock,More Info
4643,"Side Spring, Silver, 5.00 lbs.",3.99,,784695 046436,pr,Team Associated,Out of Stock,More Info
4644,"Side Spring, Blue, 5.63 lbs.",3.99,,784695 046443,pr,Team Associated,In Stock,More Info
4645,"Side Spring, Gold, 6.25 lbs.",3.99,,784695 046450,pr,Team Associated,In Stock,More Info
4653,Foam Bumper,1.99,,784695 046535,1,Team Associated,In Stock,More Info
4655,FT Shock Mount Brace,10.99,,784695 046559,1,Team Associated,Low Inventory,More Info
4660,FT Shock Body,5.99,,784695 046603,1,Team Associated,Low Inventory,More Info
4661,Shock Collar and Cup,4.99,,784695 046610,4,Team Associated,Out of Stock,More Info
4662,Shock Rebuild Kit,6.99,,784695 046627,set,Team Associated,In Stock,More Info
4663,Micro VCS O-Ring,4.99,,784695 046634,8,Team Associated,In Stock,More Info
4664,Thru Shaft,2.99,,784695 046641,1,Team Associated,In Stock,More Info
4665,Shock Rod End,6.99,,784695 046658,1,Team Associated,Low Inventory,More Info
4666,Complete Shock Kit,19.99,,784695 046665,1,Team Associated,Low Inventory,More Info
4670,M3 x 0.5 x 8 Set Screw,1.99,,784695 046702,6,Team Associated,In Stock,More Info
4671,M3 x 0.5 x 10 Set Screw,1.99,,784695 046719,6,Team Associated,In Stock,More Info
4672,M2 x 0.4 x 6 BHC Screw,1.99,,784695 046726,6,Team Associated,In Stock,More Info
4673,M2.5 x 0.45 x 4 BHC Screw,1.99,,784695 046733,6,Team Associated,In Stock,More Info
4675,M2.5 x 0.45 x 6 FHC Screw,1.99,,784695 046757,6,Team Associated,In Stock,More Info
4676,M2.5 x 0.45 Locknut,7.99,,784695 046764,6,Team Associated,Low Inventory,More Info
4691,12R5.1 LiPo Chassis,65.99,,784695 046917,1,Team Associated,Out of Stock,More Info
4692,12R5.1 LiPo Lower Pod Plate,22.99,,784695 046924,1,Team Associated,In Stock,More Info
4695,12R5.1 LiPo Top Plate,11.99,,784695 046955,1,Team Associated,In Stock,More Info
4696,12R5.1 LiPo Shock Mount Upright,7.99,,784695 046962,1,Team Associated,In Stock,More Info
4698,12R5.1 LiPo Hinge Pin Brace,7.99,,784695 046986,1,Team Associated,In Stock,More Info
4699,12R5.1 LiPo Standoff,8.99,,784695 046993,5,Team Associated,In Stock,More Info
4700,Motor Mount,19.99,,784695 047006,1,Team Associated,In Stock,More Info
4701,LR Bulkhead,19.99,,784695 047013,1,Team Associated,Out of Stock,More Info
4702,Motor Mount Brace,9.99,,784695 047020,1,Team Associated,In Stock,More Info
4703,Upper Pod Plate,11.99,,784695 047037,1,Team Associated,In Stock,More Info
4704,Chassis Brace,13.99,,784695 047044,1,Team Associated,In Stock,More Info
4705,Front Bulkhead,10.99,,784695 04705,1,Team Associated,Low Inventory,More Info
4706,"Lower Arm, V2",2.99,,784695 047068,pr,Team Associated,In Stock,More Info
4707,Side Spring Retainer,4.99,,784695 047075,2,Team Associated,In Stock,More Info
4708,Damper Tube,5.99,,784695 047082,2,Team Associated,In Stock,More Info
4709,Damper Tube Shaft,6.99,,784695 047099,2,Team Associated,In Stock,More Info
4710,RC12R5.2 Decal Sheet,6.99,,784695 047105,1,Team Associated,Out of Stock,More Info
5420,Silicone Shock Fluid 10wt/100cSt,3.99,,784695 054202,2 oz,Team Associated,In Stock,More Info
5421,Silicone Shock Fluid 20wt/200cSt,3.99,,784695 054219,2 oz,Team Associated,In Stock,More Info
5422,Silicone Shock Fluid 30wt/350cSt,3.99,,784695 054226,2 oz,Team Associated,In Stock,More Info
5423,Silicone Shock Fluid 40wt/500cSt,3.99,,784695 054233,2 oz,Team Associated,In Stock,More Info
5424,Silicone Shock Fluid 22.5wt/238cSt,3.99,,784695 054240,1,Team Associated,In Stock,More Info
5425,Silicone Shock Fluid 80wt/1000cSt,3.99,,784695 054257,2 oz,Team Associated,In Stock,More Info
5426,Silicone Shock Fluid 27.5wt/313cSt,3.99,,784695 054264,1,Team Associated,In Stock,More Info
5427,Silicone Shock Fluid 15wt/150cSt,3.99,,784695 054271,2 oz,Team Associated,In Stock,More Info
5428,Silicone Shock Fluid 25wt/275cSt,3.99,,784695 054288,2 oz,Team Associated,In Stock,More Info
5429,Silicone Shock Fluid 35wt/425cSt,3.99,,784695 054295,2 oz,Team Associated,In Stock,More Info
5430,Silicone Shock Fluid 45wt/575cSt,3.99,,784695 054301,2 oz,Team Associated,In Stock,More Info
5431,Silicone Shock Fluid 55wt/725cSt,3.99,,784695 054318,2 oz,Team Associated,In Stock,More Info
5432,Silicone Shock Fluid 32.5wt/388cSt,3.99,,784695 054325,1,Team Associated,In Stock,More Info
5433,Silicone Shock Fluid 37.5wt/463cSt,3.99,,784695 054332,1,Team Associated,In Stock,More Info
5434,Silicone Shock Fluid 42.5wt/538cSt,3.99,,784695 054349,1,Team Associated,In Stock,More Info
5435,Silicone Shock Fluid 50wt/650cSt,3.99,,784695 054356,2 oz,Team Associated,In Stock,More Info
5436,Silicone Shock Fluid 60wt/800cSt,3.99,,784695 054363,2 oz,Team Associated,In Stock,More Info
5437,Silicone Shock Fluid 70wt/900cSt,3.99,,784695 054370,2 oz,Team Associated,In Stock,More Info
5438,Silicone Shock Fluid 47.5wt/613cSt,3.99,,784695 054387,1,Team Associated,In Stock,More Info
6284,"FT 4-40 X 1/4"" Socket Head Cap Screw, blue aluminum",4,,784695 062849,12,Team Associated,Out of Stock,More Info
6299,"E-Clip, 1/8""",1.99,,784695 062993,12,Team Associated,In Stock,More Info
6619,"FT 1/8"" Carbide Diff Balls",8,,784695 066199,8,Team Associated,In Stock,More Info
6996,Associated Reference Library CD v22-23,11.95,,784695 069961,1,Team Associated,Out of Stock,More Info
7230,"Plastic Ballstud Cup, molded, large",5,,784695 072305,12,Team Associated,In Stock,More Info
7337,"#4 Washer, steel",1.99,,784695 073371,4,Team Associated,In Stock,More Info
8417,Pivot Ball,6,,784695 084179,4,Team Associated,In Stock,More Info
8425,Kingpin Shim,1.5,,784695 084254,10,Team Associated,In Stock,More Info
8449,"FT Micro Shock Spring, copper 16.0 lb. XX-Hard",3.99,,784695 084490,2,Team Associated,In Stock,More Info
8451,"Micro Shock Spring, silver 8.0 lb. soft (in kit)",2.99,,784695 084513,2,Team Associated,In Stock,More Info
8452,"FT Micro Shock Spring, blue 10.0 lb. medium",3.99,,784695 084520,2,Team Associated,In Stock,More Info
8453,"FT Micro Shock Spring, gold 12.0 lb. hard",2.99,,784695 084537,2,Team Associated,In Stock,More Info
8454,"FT Micro Shock Spring, red 14.0 lb. X-hard",3.99,,784695 084544,2,Team Associated,In Stock,More Info
8504,"D-Drive Ring, for axle",1.5,,784695 085046,pr,Team Associated,In Stock,More Info
8572,RC12R5.2 Blue Aluminum Screw Set,34.99,,784695 085725,1,Team Associated,Low Inventory,More Info
8828,Anti-Roll Bar Cup Set,2,,784695 088283,2 pr,Team Associated,Low Inventory,More Info
89229,FT Blue Countersunk Washer,6.99,,784695 892293,10,Team Associated,In Stock,More Info
897,"Bearing, 1/4 x 3/8, flanged",18,,784695 008977,2,Team Associated,In Stock,More Info
