Start Date,End Date,Meeting Name,HQ Hotel,Venues,Attendees
41986,41987,"American College of Addictionology & Compulsive Disorders - ACACD - Prevention, Education, Aftercare & Tobacco Cessation",The Quad Resort & Casino,The Quad Resort & Casino,50
41937,41938,"American College of Addictionology & Compulsive Disorders - Nutritional Strategies In Addictions, ADD, PTSD & Depression",The Quad Resort & Casino,The Quad Resort & Casino,50
41921,41929,American College of Osteopathic Emergency Physicians - Fall Seminar 2014,Caesars Palace,Caesars Palace,600
42078,42086,American College of Osteopathic Family Physicians - Spring Convention & Scientific Seminars 2015,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,700
42116,42122,American College of Physician Executives - Annual Meeting 2015,The Venetian Resort Hotel Casino,The Venetian Resort Hotel Casino,650
42199,42202,American Council Of Life - Compliance & Legal Sections Annual Meeting 2015,Caesars Palace,Caesars Palace,200
42064,42067,American Council Of Life - Refocus 2015 Conference,Wynn Las Vegas,Wynn Las Vegas,300
41926,41931,American Dental Education Association - 2014 ADEA BFACA Mid Year Meeting,Green Valley Ranch Resort & Spa,Green Valley Ranch Resort & Spa,145
41890,41907,"American Federation of State, County & Municipal Employees (AFSCME) (AFL/CIO) - Western Region Contract Campaign Institute 2014",Harrah's Las Vegas Hotel and Casino,Harrah's Las Vegas Hotel and Casino,35
41897,41901,American Gas Association - Operating Section Fall Committee Meetings and Related Events 2014,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,400
42037,42039,American Health Lawyers Association - Physicians & Hospitals Law Institute,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,450
41917,41922,American Judges Association - 2014 Annual Educational Conference,Golden Nugget,Golden Nugget,250
41962,41964,American Management Association - The 7 Habits of Highley Effective People,Caesars Palace,Caesars Palace,25
42037,42039,American Management Association - The 7 Habits of Highley Effective People,Caesars Palace,Caesars Palace,25
41891,41893,American Supply Association (ASA) Annual Convention-2014,Bellagio,Bellagio,350
42088,42089,Amusement Expo - 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,3000
41882,41887,Apsen Group Incentive Meeting,ARIA Resort & Casino,ARIA Resort & Casino,380
42013,42019,Army Navy Military Expo 2015,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,200
41854,41857,ASD Las Vegas - August 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,41000
41981,41984,Asis Annual Seminar And Exhibits - Crisis Management: Introduction to Program Planning & Crisis Plan Development,"The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",60
41932,41934,Asis Annual Seminar And Exhibits - Video Surveillance: Applications & Advances,"The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",70
41872,41882,Associated Volume Buyers Brandsource - Annual Convention,Caesars Palace,Caesars Palace,1900
42065,42069,Association for the Advancement of Computing in Education / AACE - AACE Meeting 2015,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,800
42075,42078,Association of Canadian Studies in the United States - 2015 Biennial Conference,Tuscany Suites & Casino,Tuscany Suites & Casino,350
42085,42088,Association of Change Management Professionals (ACMP) - Global Conference,Caesars Palace,Caesars Palace,1500
42015,42020,Association of Fund-Raising Distributors & Suppliers Annual Convention & Trade Show 2015,Paris Las Vegas,Paris Las Vegas,700
42069,42074,Association of Government Risk Insurance Pools - 2015 Spring Conference,Caesars Palace,Caesars Palace,400
42162,42167,Association of Professional Piercers - 2015 Annual Conference and Exposition,Flamingo Las Vegas,Flamingo Las Vegas,1000
42207,42210,Association of Woodworking & Furnishing Suppliers Fair 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,14000
41942,41945,Automatic Transmission Rebuilders Association (ATRA) Annual Powertrain Expo,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,2500
41947,41950,Automotive Aftermarket Industry Week (AAIW),No Facility,"Sands Expo & Convention Center,Las Vegas Convention Center",140000
41947,41949,Automotive Aftermarket Products Expo (AAPEX) Co-located with Automotive Aftermarket Industry Week,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,0
41889,41892,Automotive Fleet & Leasing Association - Annual Meeting & Conference,M Resort Spa & Casino,M Resort Spa & Casino,500
41944,41946,Automotive Parts Remanufacturers - Big R ReMaTecUSA 2014,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,1500
41884,41888,Aventine Medical - Pain Week 2014 (PW'14),The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,1800
42028,42028,AVN Awards 2015,Hard Rock Hotel & Casino,Hard Rock Hotel & Casino,3000
41927,41930,Bayer CropScience - Pest Management Seminar 2014,The Westin Lake Las Vegas Resort & Spa,The Westin Lake Las Vegas Resort & Spa,150
41855,41860,Big Picture Learning - Big Picture Learning's Big Bang 13,Monte Carlo Resort and Casino,Monte Carlo Resort and Casino,215
41899,41901,Boutique & Lifestyle Lodging Association - BLLA Leadership Symposium,SLS Las Vegas,SLS Las Vegas,300
41895,41895,Box Fan Expo 2014,Las Vegas Convention Center,Las Vegas Convention Center,5000
41875,41878,Boyd Group International - Aviation Forecast Summit,Wynn Las Vegas,Wynn Las Vegas,700
41878,41879,Building & Grounds Maintenance Expo produced by 21st Century Enterprises,Cashman Center,Cashman Center,5000
41857,41860,Business Technology Association - Western Conference 2014 (BTA West),Bellagio,Bellagio,120
41899,41901,California Mortgage Bankers Association - Western States CREF Conference,Encore at Wynn Las Vegas,Encore at Wynn Las Vegas,450
41854,41856,California Mortgage Bankers Association - Western States Loan Servicing Conference,Encore at Wynn Las Vegas,Encore at Wynn Las Vegas,400
41909,41913,Carwild Corporation - Medsorb Executive Meeting 2014,The Signature at MGM Grand,The Signature at MGM Grand,15
42073,42074,CaterSource Event Solutions Annual Conference and Tradeshow 2015,Caesars Palace,Las Vegas Convention Center,9500
41890,41890,Center for Transportation Safety Driver Safety Class,Cashman Center,Cashman Center,20
42049,42054,Centers for Spiritual Living -  2015 Spiritual Living Convention,Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,500
41954,41956,"Charter Communications, Inc. - Automotive Summit 2014",Mandarin Oriental,Mandarin Oriental,90
41916,41931,Chevrolet Dealer Business Meeting,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,2500
42114,42117,CinemaCon 2015,Caesars Palace,Caesars Palace,6000
41865,41867,Civil Air Patrol - Commander's Call & Annual Conference,Tropicana Las Vegas,Tropicana Las Vegas,1200
42120,42127,Clark County Fire Department - 2015 Metro Fire Chief's Conference,Caesars Palace,Caesars Palace,450
41864,41865,Clark County School District New Teacher Onboarding Kickoff,The Venetian Resort Hotel Casino,The Venetian Resort Hotel Casino,2000
41884,41886,ClimateMaster Annual Meeting 2014,Bellagio,Bellagio,48
41952,41958,"CloudArts Collaborative Methods, Inc. - Training Seminar",Embassy Suites Convention Center,Embassy Suites Convention Center,35
41921,41923,CME Science (CMES) - Breast Imaging A-Z: How to Read Like (or Better Than!) the Experts,Wynn Las Vegas,Wynn Las Vegas,150
41942,41944,CME Science (CMES) - Stoller: A Comprehensive Tutorial in Musculoskeletal Imaging Using the Stoller Checklist Technique,Wynn Las Vegas,Wynn Las Vegas,300
41941,41941,CME Science (CMES) - Stoller: The Mini-Fellowship Workshop - Hints and Secrets in Musculoskeletal Imaging,Wynn Las Vegas,Wynn Las Vegas,100
42088,42092,Coated Abrasives Fabricators Association (CAFA) 2015 Conference,"JW Marriott Las Vegas Resort, Spa & Golf","JW Marriott Las Vegas Resort, Spa & Golf",175
41948,41950,Construction Financial Management Association - AGC/CFMA  Annual Construction Financial Management Conference,Caesars Palace,Caesars Palace,910
41955,41958,Contemporary Forums - Fetus & Newborn 2014 Conference,Paris Las Vegas,Paris Las Vegas,500
41953,41959,Contemporary Forums - Pharmacology for Advanced Practice Clinicians,Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,250
41933,41935,Corporate Executive Board - Sales and Marketing Summit 2014,ARIA Resort & Casino,ARIA Resort & Casino,900
42195,42199,Cosmoprof North America 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,27000
41975,41986,Cowgirl Tuff-Meeting 2014,Hard Rock Hotel & Casino,Hard Rock Hotel & Casino,200
42048,42052,CRN-North American Irish Dance Championships,Renaissance Las Vegas Hotel,Renaissance Las Vegas Hotel,500
41982,41984,Culligan International -Meeting 2014,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,14
42135,42139,David's Bridal - Store Manager Meeting 2015,M Resort Spa & Casino,M Resort Spa & Casino,450
42038,42040,DBA - Debt Buyers Association International Annual Conference 2015,ARIA Resort & Casino,ARIA Resort & Casino,1200
42117,42121,Dermatology Nursing Association - Annual Congress,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,500
42110,42112,Destination Source LLC - AACN - Hot Issues Conference 2015,Bally's Las Vegas,Bally's Las Vegas,70
41897,41901,DevConnections 2014,ARIA Resort & Casino,ARIA Resort & Casino,1750
41941,41943,DevLearn 2014 Conference and Expo,Bellagio,Bellagio,2500
42074,42075,Digital Signage Expo 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,6000
41904,41908,DQ-International Marketing Meeting-Mexico 2014,Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,40
41946,41954,Ed Slott And Company - Fall 2014 Elite Program,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,584
42140,42141,Educational Conference,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,175
41898,41900,Electronic Retailing Association - Annual Convention 2014,Wynn Las Vegas,Wynn Las Vegas,3000
41975,41978,Ergo Expo - 2014,Caesars Palace,Caesars Palace,1000
42001,42008,Evolve 2015,MGM Grand Hotel and Casino,MGM Grand Hotel and Casino,700
42064,42068,Exhibitor 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,5200
41876,41878,"Falmouth Institute, Inc. - Amending and Updating Tribal Enrollment Records",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41904,41906,"Falmouth Institute, Inc. - Assessing and Revising Personnel Policies and Procedures for Tribal Organizations","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41868,41881,"Falmouth Institute, Inc. - August 2014 Public Sessions - Vegas",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,40
41907,41908,"Falmouth Institute, Inc. - Becoming a Meetings Master for Tribal Administrative Professionals","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41893,41894,"Falmouth Institute, Inc. - Budgeting for Accountability and Results","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41900,41901,"Falmouth Institute, Inc. - Casino Surveillance for the Indian Gaming Facility","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41879,41880,"Falmouth Institute, Inc. - Conducting Credible Tribal Elections",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41899,41900,"Falmouth Institute, Inc. - Financial Literacy for Tribal Supervisors and Program Specialists","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41871,41872,"Falmouth Institute, Inc. - Fund Reporting for Tribes & Tribal Organizations",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41869,41873,"Falmouth Institute, Inc. - Indian County Human Resources Certification Program",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41897,41898,"Falmouth Institute, Inc. - Indirect Cost Basics for Tribal Organizations","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41876,41877,"Falmouth Institute, Inc. - Jurisdiction in Indian Counrty",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41876,41878,"Falmouth Institute, Inc. - Jurisdiction in Indian Country",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41869,41871,"Falmouth Institute, Inc. - Professional Excellence II for Tribal Secretaries & Administrative Assistants: Business Communication Skills",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41899,41901,"Falmouth Institute, Inc. - Professional Excellence III for Tribal Secretaries and Administrative Professionals: Job Tools","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41871,41873,"Falmouth Institute, Inc. - Project Management for Tribal Administrative Professionals",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41878,41879,"Falmouth Institute, Inc. - Rights of Way Over Indian Land",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41904,41906,"Falmouth Institute, Inc. - Robert's Rules of Order for Tribal Organizations","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41907,41908,"Falmouth Institute, Inc. - Solving Employee Performance Problems in the Tribal Workplace","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41897,41898,"Falmouth Institute, Inc. - Strategic Purchasing Procedures for Tribes and Tribal Businesses","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41872,41873,"Falmouth Institute, Inc. - Tribal Gaming Law for Tribal Goverment Officials, Gaming Professionals & Commissioners",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41876,41878,"Falmouth Institute, Inc. - Tribal Gaming Law for Tribal Goverment Officials, Gaming Professionals & Commissioners",Embassy Suites Las Vegas Airport,Embassy Suites Las Vegas Airport,15
41899,41900,"Falmouth Institute, Inc. - Understanding OMB's New Grant Compliance Requirements","The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",15
41887,41893,Feng Shui Practitioners Professional Workshop,Homewood Suites by Hilton Las Vegas Airport,Homewood Suites by Hilton Las Vegas Airport,20
41917,41919,Financial Research Associates LLC (FRA) - H225 & H226Health Insurance Exchanges Summit & HEDIS 2014,Caesars Palace,Caesars Palace,225
41874,41878,Financial Research Associates LLC (FRA) - Long Term Care for Dual Eligibles & Health Exchanges HEDIS 2014,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,225
42022,42023,Financial Research Associates LLC - FRA 15 Jan B940 Made In America,Caesars Palace,Caesars Palace,100
41896,41899,Fourth Wall Events - Conference,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,175
41912,41914,G2E: Global Gaming Expo 2014,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,17000
41943,41945,GalaxyCon 2014,Palace Station Hotel Casino,Palace Station Hotel Casino,500
41875,41878,Gentlemen's Club Owners Expo & Tradeshow 2014,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,3100
41891,41893,Glassbuild America 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,7000
41939,41941,Global Media Dynamics (GMD) - Private Health Insurance Exchange Congress 2014,Monte Carlo Resort and Casino,Monte Carlo Resort and Casino,125
42087,42089,Globalshop 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,10000
41888,41893,"Guy Carpenter & Company, Inc. - ERM & Capital Modeling Conference",Caesars Palace,Caesars Palace,90
42037,42041,Health Care Administrators Association (HCAA) - Executive Forum 2015,Wynn Las Vegas,Wynn Las Vegas,250
41932,41935,Health Care Compliance Association (HCCA) - Basic Compliance Academy,ARIA Resort & Casino,ARIA Resort & Casino,90
42030,42033,Heavy Duty Aftermarket Week (HDAW) - 2015,The Mirage Hotel & Casino,The Mirage Hotel & Casino,1800
41922,41924,"HMP Communications, LLC. - 2014 Cardiometabolic Risk Management Congress",Caesars Palace,Caesars Palace,1000
41928,41930,"HMP Communications, LLC. - 2014 Symposium on Advanced Wound Care",Caesars Palace,Caesars Palace,1500
41926,41928,IMEX America 2014,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,8300
41854,41856,Imprinted Sportswear Show 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,2500
42193,42199,Institute of Transportation Engineers - Technical Conferences & Exhibits 2015,Planet Hollywood Resort & Casino,Planet Hollywood Resort & Casino,500
41892,41894,Interbike Expo 2014,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,25000
41917,41920,International Academic Conference 2014,Monte Carlo Resort and Casino,Monte Carlo Resort and Casino,300
42179,42180,International Bowl Expo 2015,Bally's Las Vegas,Las Vegas Convention Center,7000
41891,41894,International Brotherhood of Electrical Workers (AFL-CIO-CLC) - Membership Development Conference 2014,Paris Las Vegas,Paris Las Vegas,1500
42024,42026,International Builders Show 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,55000
42017,42021,"International Cemetery, Cremation, and Funeral Association (ICCFA) Wide World of Sales Meeting",Paris Las Vegas,Paris Las Vegas,500
42010,42013,International CES 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,163000
42175,42177,International Esthetics Cosmetic and Spa Conference (IECS) - 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,26000
42212,42216,International Federation of Professional and Technical Engineers - 58th Convention 2015,Bally's Las Vegas,Bally's Las Vegas,300
42050,42053,International Franchise Association 55th Annual Convention 2015,MGM Grand Hotel and Casino,MGM Grand Hotel and Casino,2000
41905,41907,International Mining Show 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,5000
42180,42188,International Parking Institute - Annual Conference and Expo 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,900
41862,41864,International Quality & Productivity Center (IQPC) - Shared Services for Hospitality,The Mirage Hotel & Casino,The Mirage Hotel & Casino,1000
42109,42111,International Security Conference - ISC West 2015,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,17000
42103,42105,International Sign Association - International Sign Expo 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,19500
42134,42141,International Society for Cellular Therapy - 2015 Annual Meeting,Caesars Palace,Caesars Palace,600
41924,41927,International Society for Pharmaceutical Engineering Annual Convention,Caesars Palace,Caesars Palace,1100
41918,41922,International Textiles and Sewing Products Expo 2014,Bally's Las Vegas,Bally's Las Vegas,400
42086,42088,International Textiles and Sewing Products Expo 2015,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,400
41900,41902,International Vision Expo West 2014,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,14000
42081,42082,International Wireless Communications Expo 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,7100
42081,42083,International Wood Products Association (IWPA) - Annual Convention 2015,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,275
41850,41854,Iota Phi Theta Fraternity -  Summer Leadership Conference,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,300
42153,42156,JCK Annual Trade Show 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,37500
42024,42026,Kitchen and Bath Industry Show 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,30000
42016,42019,Kitchen Tune-Up-National Reunion 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,100
41858,41864,Knights Of Pythias - 2014 Annual Convention,Riviera Hotel & Casino,Riviera Hotel & Casino,2000
41952,41956,"Kronos, Inc. - WORKS Customer Conference 2014",ARIA Resort & Casino,ARIA Resort & Casino,2000
42022,42026,Las Vegas Market - Winter 2015,World Market Center,World Market Center,50000
41985,41987,Las Vegas Numismatic Society - The Vegas Show,Riviera Hotel & Casino,Riviera Hotel & Casino,3000
41899,41902,Las Vegas Souvenir & Resort Show - 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,4000
41931,41933,Latino Club Leisure Group,Edgewater Casino Resort,Edgewater Casino Resort,56
42164,42166,Licensing International Expo 2015,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,13000
41964,41966,Live Design International 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,15000
42067,42069,LMC 2015 Annual Meeting - Lumbermens Merchandising Corporation,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,1400
41961,41964,LRP Publications - 23rd Annual National Workers' Compensation & Disability Conference,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,4500
41920,41922,LRP Publications - HR Technology Conference - 2014,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,8000
41871,41871,LVMPD Explorer Academy Graduation,Cashman Center,Cashman Center,250
41869,41871,MAGIC Marketplace Fall Show 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,80000
41980,41982,"Management Concepts, Inc. - Applying for Federal Grants & Cooperative Agreements",Embassy Suites Convention Center,Embassy Suites Convention Center,35
41984,41985,"Management Concepts, Inc. - How to Prepare the Grant Application Budget",Embassy Suites Convention Center,Embassy Suites Convention Center,35
41982,41984,"Management Concepts, Inc. - How to Write the Grant Application Narrative",Embassy Suites Convention Center,Embassy Suites Convention Center,35
41848,41856,"Manheim - GE Drive for Show, Putt for Dough 2014",The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,85
42016,42020,Manheim - Sales Meeting 2015,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,700
42080,42083,MatureHealth Communications - 12th Annual MHA Business Summit,Bellagio,Bellagio,1100
42026,42029,McDowell Rice Smith & Buchanan - Annual Meeting 2015,Caesars Palace,Caesars Palace,35
41917,41919,Media Bistro - Inside Bitcoins 2014,Flamingo Las Vegas,Flamingo Las Vegas,300
41938,41940,MGMA Medical Group Management Association - 2014 Annual Conference,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,6000
41965,41965,Milan Institute Graduation Ceremony,Cashman Center,Cashman Center,1500
41892,41895,Minimally Invasive Surgery Week 2014,Caesars Palace,Caesars Palace,700
41913,41915,Modification and Replacement Parts Association (MARPA) - Annual Conference 2014,Renaissance Las Vegas Hotel,Renaissance Las Vegas Hotel,100
42082,42088,Modular Building Institute - 2015 World Modular,Bellagio,Bellagio,400
41949,41952,Mom EXPO & Health Fair 2014,Tuscany Suites & Casino,Tuscany Suites & Casino,250
41945,41949,Money 20/20 - Annual 2014 Seminar,ARIA Resort & Casino,ARIA Resort & Casino,8000
41870,41872,MRket Trade Show 2014,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,7500
41979,41980,National Accrediting Commission of Cosmetology Arts and Sciences - Accreditation Workshop 2014,Westgate Las Vegas Resort & Casino,Westgate Las Vegas Resort & Casino,20
41930,41938,National Adult Baseball Association - Over 50/60 National Fun Tournament,Palace Station Hotel Casino,Palace Station Hotel Casino,150
42065,42068,National Air Traffic Controllers Association (NATCA) (AFL-CIO) - Communicating for Safety 2015,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,1050
42180,42182,National Apartment Assoc. 2015 - NAA Education Conference & Exposition,Mandalay Bay Resort & Casino,Mandalay Bay Resort & Casino,6000
42064,42071,National Association for Bilingual Education - NABE 2015 Conference,,,850
42107,42110,National Association of Broadcasters 2015,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,96000
41925,41926,National Association of College & University Business Officers - Intermediate Accounting and Reporting Workshop 2014,"The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",150
