Chicago Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2013-02-05,667,Peoria,3,Chicago,4,Final OT ,"Allstate Arena Rosemont, IL"
2013-02-08,677,Chicago,3,Hamilton,0,Final ,"Copps Coliseum Hamilton, ON"
2013-02-09,696,Chicago,2,Toronto,4,Final ,"Ricoh Coliseum Toronto, ON"
2013-02-14,716,Charlotte,4,Chicago,3,Final OT ,"Allstate Arena Rosemont, IL"
2013-02-16,733,Lake Erie,1,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2013-02-17,745,San Antonio,5,Chicago,4,Final SO ,"Allstate Arena Rosemont, IL"
2013-02-20,758,Abbotsford,3,Chicago,4,Final SO ,"Allstate Arena Rosemont, IL"
2013-02-23,783,Chicago,3,Peoria,0,Final ,"Carver Arena Peoria, IL"
2013-02-24,791,Rockford,2,Chicago,1,Final ,"Allstate Arena Rosemont, IL"
2013-03-01,814,Chicago,2,Texas,0,Final ,"Cedar Park Center Cedar Park, TX"
2013-03-02,823,Chicago,1,San Antonio,2,Final ,"AT&T Center San Antonio, TX"
2013-03-05,843,Chicago,4,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2013-03-08,852,Chicago,3,Milwaukee,4,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2013-03-09,864,Milwaukee,3,Chicago,2,Final SO ,"Allstate Arena Rosemont, IL"
2013-03-10,875,Rockford,2,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2013-03-13,886,Chicago,2,Grand Rapids,3,Final OT ,"Van Andel Arena Grand Rapids, MI"
2013-03-15,900,Chicago,3,Rockford,4,Final ,"BMO Harris Bank Center Rockford, IL"
2013-03-17,917,Rockford,2,Chicago,1,Final ,"Allstate Arena Rosemont, IL"
2013-03-22,935,Toronto,3,Chicago,4,Final SO ,"Allstate Arena Rosemont, IL"
2013-03-23,953,Chicago,0,Peoria,3,Final ,"Carver Arena Peoria, IL"
2013-03-24,962,Milwaukee,4,Chicago,1,Final ,"Allstate Arena Rosemont, IL"
2013-03-27,971,Oklahoma City,2,Chicago,3,Final SO ,"Allstate Arena Rosemont, IL"
2013-03-29,985,Lake Erie,2,Chicago,5,Final ,"Allstate Arena Rosemont, IL"
2013-03-30,998,Milwaukee,4,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2013-04-02,1012,Chicago,6,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2013-04-05,1021,Chicago,2,Houston,5,Final ,"Toyota Center Houston, TX"
2013-04-06,1037,Chicago,3,Oklahoma City,0,Final ,"Cox Convention Center Oklahoma City, OK"
2013-04-07,1048,Chicago,2,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2013-04-10,1056,Chicago,3,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2013-04-12,1071,Chicago,3,Rockford,7,Final ,"BMO Harris Bank Center Rockford, IL"
2013-04-13,1076,Charlotte,1,Chicago,2,Final SO ,"Allstate Arena Rosemont, IL"
2013-04-16,1096,Chicago,2,Milwaukee,3,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2013-04-19,1106,Chicago,5,Lake Erie,2,Final ,"Quicken Loans Arena Cleveland, OH"
2013-04-20,1120,Milwaukee,2,Chicago,0,Final ,"Allstate Arena Rosemont, IL"
2013-04-21,1133,Grand Rapids,3,Chicago,1,Final ,"Allstate Arena Rosemont, IL"
