Supporting Table 2: Differentially expressed genes (q < 0.01),,,,,,,
,,,,,,,
Sequence Name,Gene Name,p-value,TREAT1,Direction,TREAT2,Fold Change,GO term
C32F10.4,C32F10.4,2.29986e-05,B,<,E,1.3535,development
C32F10.4,C32F10.4,3.82827e-06,B,<,P,1.47,development
C34F6.2,col-178,1.13341e-07,E,>,P,3.6832,collagen
C34F6.2,col-178,1.38534e-06,M,>,P,3.1423,unknown
C34H4.4,col-107,8.68619e-06,B,<,E,1.7735,collagen
C35B1.4,C35B1.4,7.60558e-06,B,<,P,1.2422,unknown
C37A2.7,C37A2.7,8.59153e-06,B,>,P,1.9546,ribosomal
C37A2.7,C37A2.7,4.55716e-07,E,>,P,2.333,unknown
C37A2.7,C37A2.7,2.64404e-06,M,>,P,2.079,unknown
C41G11.1,C41G11.1,7.64868e-06,B,<,P,1.2331,membrane associated
C44E4.6,acbp-1,1.56017e-05,M,>,P,1.2043,metabolism
C45B11.3,dhs-18,1.87112e-07,E,<,M,2.2555,metabolism
C45B11.3,dhs-18,2.98875e-06,M,>,P,1.8708,metabolism
C45G7.3,C45G7.3,7.45056e-06,B,<,M,1.7127,defense
C45G7.3,C45G7.3,1.0618e-09,B,>,P,2.5388,defense
C45G7.3,C45G7.3,2.53538e-07,E,<,M,1.9848,defense
C45G7.3,C45G7.3,3.99665e-08,E,>,P,2.2666,defense
C45G7.3,C45G7.3,1.84068e-19,M,>,P,4.2514,defense
C47B2.3b,C47B2.3,2.57345e-05,B,>,P,1.5046,unknown
C47B2.3b,C47B2.3,4.01878e-06,E,>,P,1.6954,unknown
C47B2.3b,C47B2.3,2.26951e-07,M,>,P,1.985,unknown
C50F7.5,C50F7.5,4.90355e-06,B,>,P,2.1242,unknown
C53B4.5,col-119,1.58604e-07,E,>,P,4.4321,collagen
C53B4.5,col-119,9.36824e-06,M,>,P,3.5018,collagen
C53B7.3,C53B7.3,1.75644e-05,B,<,P,1.0355,unknown
C53B7.3,C53B7.3,2.2331e-06,E,>,M,1.1841,unknown
C53B7.3,C53B7.3,8.17571e-08,M,<,P,1.3916,unknown
C54C8.9,nlp-39,2.65395e-06,B,<,E,2.7701,development
C54C8.9,nlp-39,3.39124e-09,B,<,P,4.0576,development
C54C8.9,nlp-39,4.12108e-06,E,>,M,2.4913,development
C54C8.9,nlp-39,6.24023e-09,M,<,P,3.7788,development
C54F6.5,C54F6.5,2.94043e-05,B,<,E,2.0676,membrane associated
C54G6.5,spp-17,8.003e-06,B,<,E,1.2038,defense
C54G6.5,spp-17,2.8474e-09,B,<,M,1.7954,defense
C54G6.5,spp-17,4.97745e-08,E,>,P,1.5625,defense
C54G6.5,spp-17,3.44278e-11,M,>,P,2.1542,defense
C55B7.4a,acdh-1,7.96486e-07,B,<,M,2.7392,metabolism
C55B7.4a,acdh-1,1.47737e-07,M,>,P,2.7293,metabolism
D1065.5,srh-211,1.36279e-05,E,>,P,2.0424,membrane associated
D1086.6,D1086.6,3.85217e-07,B,<,E,2.2592,unknown
E04A4.7,E04A4.7,3.55144e-05,B,>,P,1.385,metabolism
E04A4.7,E04A4.7,3.74513e-07,E,>,P,1.8714,metabolism
E04A4.7,E04A4.7,3.25256e-06,M,>,P,1.627,metabolism
E04F6.3,maoc-1,1.02328e-09,B,<,M,2.177,met/def
E04F6.3,maoc-1,6.77984e-10,E,<,M,2.1986,met/def
E04F6.3,maoc-1,5.09765e-13,M,>,P,3.0424,met/def
F01D5.9,cyp-37A1,2.9371e-05,B,<,M,1.9947,metabolism
F01D5.9,cyp-37A1,2.80477e-05,E,<,M,2.0612,metabolism
F01D5.9,cyp-37A1,3.47514e-06,M,>,P,2.4526,metabolism
F02A9.2,far-1,2.90937e-05,B,<,E,1.0994,metabolism
F07C3.9,F07C3.9,1.47792e-05,B,<,E,1.5286,membrane associated
F10D2.9,fat-7,1.61011e-12,B,<,M,3.1712,metabolism
F10D2.9,fat-7,1.72746e-10,E,<,M,2.5928,metabolism
F10D2.9,fat-7,7.11004e-09,M,>,P,2.175,metabolism
F11E6.3,F11E6.3,3.56711e-05,B,<,M,1.1229,other
F11E6.3,F11E6.3,6.265e-07,M,>,P,1.456,other
F11E6.5,elo-2,8.02231e-06,E,<,M,1.5273,metabolism
F11G11.11,col-20,7.41621e-06,E,>,P,3.402,collagen
F15E6.8,F15E6.8,2.84592e-07,B,<,E,1.8967,membrane associated
F15H10.2,col-13,3.66429e-06,E,>,P,1.9353,collagen
F15H10.2,col-13,2.10634e-05,M,>,P,1.7242,unknown
F17E9.11,lys-10,1.63782e-08,B,>,P,2.8973,defense
F17E9.11,lys-10,1.09038e-06,E,<,M,2.2193,defense
F17E9.11,lys-10,3.25763e-05,E,>,P,1.7041,defense
F17E9.11,lys-10,2.22574e-11,M,>,P,3.9234,defense
F17E9.4,F17E9.4,1.81663e-05,E,>,P,1.3639,unknown
F18A1.5,F18A1.5,2.79535e-05,E,>,P,1.2994,ribosomal
F18H3.3b,pab-2,3.75396e-05,E,>,P,1.7497,TXN/TLN
F19C7.1,F19C7.1,8.48546e-06,M,>,P,1.8644,other
F21F8.4,F21F8.4,1.45204e-06,B,>,E,3.4414,protease
F21F8.4,F21F8.4,1.9429e-07,B,>,P,3.6504,protease
F21F8.7,asp-6,8.217e-06,B,>,P,2.1087,protease
F22A3.6,F22A3.6,1.7171e-05,B,>,E,2.0601,defense
F22A3.6,F22A3.6,1.10837e-11,B,>,P,4.1502,defense
F22A3.6,F22A3.6,1.39203e-05,E,>,P,2.0901,defense
F22A3.6,F22A3.6,6.72874e-10,M,>,P,3.4329,defense
F22B5.3,cut-3,2.8239e-07,B,<,E,1.8203,development
F23A7.4,F23A7.4,4.72901e-06,M,>,P,2.0354,unknown
F25B5.4c,ubq-1,2.37308e-05,B,>,P,1.6659,development
F25B5.4c,ubq-1,1.35903e-06,E,>,P,1.935,development
F25B5.4c,ubq-1,1.76388e-06,M,>,P,1.8724,development
F25E2.3,F25E2.3,3.88055e-06,M,>,P,2.884,metabolism
F25H2.10,rpa-0,4.11281e-06,B,>,P,2.4612,ribosomal
F25H2.10,rpa-0,4.92832e-09,E,>,P,3.5945,ribosomal
F25H2.10,rpa-0,3.85612e-08,M,>,P,3.2043,ribosomal
F25H5.8,F25H5.8,2.71735e-05,B,<,E,1.6449,membrane associated
F26F12.1,col-140,1.42012e-06,E,>,P,3.6862,collagen
F26F12.1,col-140,3.68093e-05,M,>,P,2.8884,collagen
F27C8.4,spp-18,3.7321e-06,B,>,E,1.4914,defense
F27C8.4,spp-18,2.89629e-08,B,>,P,1.8922,defense
F27C8.4,spp-18,1.41551e-05,M,>,P,1.3104,defense
F28A12.4,F28A12.4,2.11811e-05,B,<,M,1.6363,other
F28G4.1,cyp-37B1,1.00039e-08,B,<,M,2.1823,metabolism
F28G4.1,cyp-37B1,3.0519e-07,E,<,M,1.7006,metabolism
F28G4.1,cyp-37B1,1.54695e-06,M,>,P,1.6134,metabolism
F28H7.3,F28H7.3,1.46581e-06,B,>,E,1.9777,membrane associated
F28H7.3,F28H7.3,2.05801e-08,B,>,P,2.4188,membrane associated
F28H7.3,F28H7.3,4.42952e-06,M,>,P,1.7752,membrane associated
F31E3.3,rfc-4,2.03025e-06,B,>,P,1.3734,other
F31E3.6,F31E3.6,1.92946e-05,B,>,P,1.393,membrane associated
F32A5.5a,aqp-1,3.70618e-08,B,<,E,2.2655,defense
F32A5.5a,aqp-1,2.26737e-05,E,>,M,1.5391,defense
F32D1.5,F32D1.5,1.79169e-06,B,>,P,1.5952,metabolism
F35C8.5,F35C8.5,1.36419e-05,B,<,E,1.0086,metabolism
F35C8.5,F35C8.5,9.89934e-06,B,<,M,1.0018,metabolism
F38E11.2,hsp-12.6,1.25114e-06,B,<,E,2.4176,defense
F41F3.3,F41F3.3,3.20758e-07,B,<,E,2.9018,unknown
F41F3.4,col-139,1.03149e-05,E,>,P,2.7586,collagen
F41F3.4,col-139,3.58197e-06,M,>,P,3.1077,collagen
F41H10.7,elo-5,2.15045e-05,M,>,P,1.7459,metabolism
F42F12.6,nspc-13,9.33314e-06,E,>,P,1.6371,unknown
F44C4.3,cpr-4,9.14268e-06,B,>,P,3.3209,protease
F46F11.2,cey-2,2.55549e-06,B,>,P,1.7616,TXN/TLN
F49C12.11,F49C12.11,3.93198e-05,E,>,P,0.9248,development
F49C12.7,F49C12.7,3.33823e-06,B,>,P,2.1042,unknown
F52B11.4,col-133,3.28097e-05,E,>,P,1.4689,collagen
F52C6.12,F52C6.12,1.05586e-05,M,>,P,1.8008,TXN/TLN
F52H3.7a,lec-2,2.84109e-05,E,>,P,1.8165,defense
F53H4.2,F53H4.2,6.93821e-06,B,<,P,1.5547,unknown
F54D7.2,F54D7.2,8.9828e-06,B,>,P,1.995,development
F54D7.2,F54D7.2,1.30535e-05,E,<,M,1.8521,development
F54D7.2,F54D7.2,1.99685e-06,M,>,P,2.1732,development
F54D8.1,dpy-17,1.80541e-07,B,<,E,1.6517,collagen
F54D8.1,dpy-17,1.87964e-05,B,<,M,1.1972,collagen
F54H12.6,F54H12.6,8.29483e-06,B,>,P,2.2273,TXN/TLN
F54H12.6,F54H12.6,6.276e-08,E,>,P,2.9493,TXN/TLN
F54H12.6,F54H12.6,1.33339e-06,M,>,P,2.4621,TXN/TLN
F55B11.2,F55B11.2,1.94866e-06,B,<,E,2.218,development
F55F3.3,F55F3.3,7.53427e-06,M,>,P,2.0833,metabolism
F56C9.7,F56C9.7,1.98479e-06,M,>,P,2.1419,other
F56H9.2,F56H9.2,3.13844e-05,M,<,P,1.7379,membrane associated
F57B1.3,col-159,1.92298e-06,E,>,P,1.9242,membrane associated
F57B1.3,col-159,5.8441e-07,M,>,P,1.8483,membrane associated
F57F5.1,F57F5.1,3.38185e-11,B,>,P,4.5718,development
F57F5.1,F57F5.1,9.1736e-07,E,>,P,2.8595,development
F57F5.1,F57F5.1,5.44778e-11,M,>,P,4.4288,development
F58B3.1,lys-4,1.18515e-05,B,>,E,1.814,defense
F58B3.1,lys-4,7.3e-23,B,>,P,4.9792,defense
F58B3.1,lys-4,1.16876e-05,E,<,M,1.8029,defense
F58B3.1,lys-4,1.31137e-12,E,>,P,3.1652,defense
F58B3.1,lys-4,1.44e-22,M,>,P,4.9681,defense
F58B3.2,lys-5,7.53715e-06,B,>,P,2.8135,defense
F58F9.7,F58F9.7,3.29882e-09,B,<,M,1.9388,metabolism
F58F9.7,F58F9.7,3.35331e-11,E,<,M,2.4348,metabolism
F58F9.7,F58F9.7,2.92241e-10,M,>,P,2.1192,metabolism
F59B1.2,F59B1.2,5.33388e-07,B,>,P,2.5473,unknown
F59B1.2,F59B1.2,2.39643e-05,E,>,P,1.9859,unknown
F59B1.2,F59B1.2,9.46824e-06,M,>,P,2.0601,unknown
H02I12.1,H02I12.1,6.8626e-06,B,>,P,1.8553,other
H22K11.1,asp-3,1.39324e-05,B,>,P,2.0938,defense
H27M09.4,dpy-14,5.99753e-06,B,<,E,1.3881,collagen
H27M09.4,dpy-14,2.98643e-05,B,<,M,1.2084,collagen
JC8.8,JC8.8,1.28166e-05,B,<,E,1.881,unknown
JC8.8,JC8.8,2.74022e-05,E,>,M,1.6699,unknown
K01D12.12,cdr-6,4.03126e-05,M,>,P,1.0743,membrane associated
K02F3.4,zip-2,1.48863e-06,M,>,P,1.537,TXN/TLN
K03H1.4,K03H1.4,3.87349e-05,B,<,E,1.4966,unknown
K03H1.4,K03H1.4,1.34071e-07,B,<,P,2.1367,unknown
K03H1.4,K03H1.4,2.289e-07,M,<,P,1.9122,unknown
K03H6.2,K03H6.2,1.02566e-05,E,>,P,1.4487,unknown
K07A1.6,K07A1.6,1.64762e-09,B,<,E,1.6759,unknown
K07A1.6,K07A1.6,1.68501e-08,B,<,P,1.4593,unknown
K07A1.6,K07A1.6,1.18436e-06,E,>,M,1.1634,unknown
K07A1.6,K07A1.6,2.45331e-05,M,<,P,0.9468,unknown
K07F5.11,ssq-1,2.09604e-08,E,>,P,2.2652,unknown
K07F5.9,ssp-10,1.91212e-05,E,>,P,2.3769,unknown
K07F5.9,ssp-10,1.15139e-05,M,>,P,2.498,unknown
K07H8.6,vit-6,2.566e-05,M,>,P,1.5734,metabolism
K08B4.6,cpi-1,1.22034e-11,B,<,E,3.6191,protease
K08B4.6,cpi-1,1.42404e-09,B,<,P,2.8718,protease
K08B4.6,cpi-1,4.06119e-09,E,>,M,2.7359,protease
K08B4.6,cpi-1,1.43991e-06,M,<,P,1.9885,protease
K09F5.2,vit-1,9.00621e-06,E,<,M,1.9507,metabolism
K09F5.2,vit-1,1.58113e-06,M,>,P,2.0071,metabolism
K10D2.4,K10D2.4,2.38291e-05,B,>,P,0.9228,development
K11G9.6,mtl-1,2.01835e-13,B,<,E,5.1396,defense
K11G9.6,mtl-1,7.89859e-11,B,<,M,3.9076,defense
K11G9.6,mtl-1,1.88151e-10,B,<,P,3.7164,defense
K12G11.3,sodh-1,2.14155e-10,B,<,E,3.4823,metabolism
K12G11.3,sodh-1,8.75986e-09,B,<,P,2.8544,metabolism
K12G11.3,sodh-1,3.91442e-11,E,>,M,3.6534,metabolism
K12G11.3,sodh-1,1.99652e-09,M,<,P,3.0254,metabolism
K12H4.7a,K12H4.7,6.21629e-07,B,>,P,2.7359,protease
K12H4.7a,K12H4.7,1.94e-06,M,>,P,2.4811,protease
LLC1.2,LLC1.2,5.11212e-06,M,>,P,1.8974,unknown
LLC1.3,LLC1.3,3.49362e-05,E,>,P,1.2638,unknown
M03A8.1,dhs-28,4.13583e-07,B,<,M,1.5478,metabolism
M03A8.1,dhs-28,4.68482e-09,E,<,M,1.9573,metabolism
M03A8.1,dhs-28,1.19719e-09,M,>,P,2.0024,metabolism
M03F4.2b,act-4,3.34113e-05,B,>,P,1.8426,other
M03F4.2b,act-4,1.73296e-07,E,>,P,2.5454,other
M03F4.2b,act-4,5.31191e-07,M,>,P,2.363,other
M60.4,M60.4,1.95424e-08,B,<,E,1.9689,membrane associated
M60.4,M60.4,1.74124e-06,E,>,M,1.5051,membrane associated
M88.1,ugt-62,3.36336e-05,M,>,P,1.9776,metabolism
R06B10.3,R06B10.3,1.71013e-05,B,>,P,1.4529,defense
R07B1.10,lec-8,4.00579e-05,B,>,P,1.9106,defense
R07B1.10,lec-8,1.30239e-07,M,>,P,2.6821,defense
R09A8.4,col-182,1.92378e-05,E,>,P,2.0856,collagen
R09B3.3,R09B3.3,9.55595e-06,B,>,P,1.241,other
R09H10.5,R09H10.5,7.7355e-08,M,>,P,1.9833,membrane associated
R09H10.5,R09H10.5,8.50201e-06,E,<,P,1.0081,membrane associated
R09H10.5,R09H10.5,1.89322e-05,M,<,P,1.0356,membrane associated
T01B7.7,rol-6,1.02903e-05,E,>,P,2.6893,collagen
T01C3.4,T01C3.4,1.55691e-10,B,>,E,2.5767,unknown
T01C3.4,T01C3.4,1.76048e-12,B,>,M,2.9355,unknown
T01C3.4,T01C3.4,1.63889e-12,B,>,P,2.9475,unknown
T03E6.7,cpl-1,9.41257e-07,M,>,P,1.9846,protease
T05A1.2,col-122,3.54356e-06,E,>,P,3.2731,collagen
T05A1.2,col-122,4.09989e-06,M,>,P,3.2949,collagen
T08A9.12,spp-2,1.46833e-05,B,>,P,2.6997,defense
T08A9.12,spp-2,7.67887e-06,M,>,P,2.839,defense
T08A9.8,spp-4,2.87919e-08,B,>,P,3.4421,defense
T08A9.8,spp-4,7.57325e-08,M,>,P,3.3086,defense
T08G5.10,mtl-2,1.76978e-07,B,<,E,3.0595,defense
T08G5.10,mtl-2,2.1323e-05,E,>,P,2.1706,defense
T10H4.12,cpr-3,1.95254e-06,B,>,P,2.1573,protease
T12D8.5,T12D8.5,3.28574e-05,B,>,M,1.7442,other
T12D8.5,T12D8.5,2.89878e-06,B,>,P,2.0488,other
T14F9.3,T14F9.3,2.7874e-05,B,<,P,1.9736,metabolism
T16G1.6,T16G1.6,6.61681e-06,B,<,P,2.0902,other
T18H9.2,asp-2,1.60984e-07,B,>,P,2.588,protease
T18H9.2,asp-2,9.83667e-07,M,>,P,2.2077,protease
T21C9.9,T21C9.9,2.9721e-05,E,>,P,2.4224,unknown
T21C9.9,T21C9.9,6.64965e-06,M,>,P,2.8165,unknown
T21H3.1,T21H3.1,5.02429e-06,B,>,P,1.9977,unknown
T21H3.1,T21H3.1,4.12164e-06,M,>,P,1.9977,unknown
T22F3.4,rpl-11.1,4.76394e-06,B,>,P,1.5562,ribosomal
T22G5.2,lbp-7,1.57994e-05,M,>,P,1.5109,metabolism
T23G11.3,gld-1,7.7087e-06,B,>,P,1.2584,development
T24B8.5,T24B8.5,3.63573e-05,B,>,E,1.922,unknown
T28C6.6,col-3,1.07506e-05,B,<,E,1.3176,collagen
VW02B12L.1,vha-6,1.89182e-08,B,>,P,2.2873,development
VW02B12L.1,vha-6,2.52207e-05,M,>,P,1.4847,development
W02A2.1,fat-2,2.65662e-06,M,>,P,1.8093,metabolism
W02D3.5,lbp-6,5.08219e-06,E,<,M,1.4333,metabolism
W02D3.5,lbp-6,1.09349e-05,M,>,P,1.3473,metabolism
W02D3.7,lbp-5,5.24388e-06,B,<,M,1.8918,metabolism
W02D3.7,lbp-5,1.98917e-08,E,<,M,2.7802,metabolism
W02D3.7,lbp-5,4.07947e-07,M,>,P,2.172,metabolism
W02D9.6,W02D9.6,2.40246e-05,B,<,E,1.8385,unknown
W02D9.6,W02D9.6,5.24631e-06,E,>,M,2.014,unknown
W03F9.4,W03F9.4,2.76898e-06,E,<,M,2.5063,membrane associated
W03F9.4,W03F9.4,6.43635e-08,M,>,P,3.2124,membrane associated
W04E12.8,clec-50,6.05511e-06,M,>,P,3.8919,defense
W05B2.6,col-92,5.71673e-06,E,>,P,1.9502,collagen
W05B2.6,col-92,1.6693e-06,M,>,P,2.0635,collagen
W07B8.5,cpr-5,7.94686e-09,B,>,P,2.6449,protease
W07B8.5,cpr-5,4.45555e-08,M,>,P,2.2962,protease
W09C5.6a,rpl-31,1.49229e-05,B,>,P,2.0219,ribosomal
W09C5.6a,rpl-31,1.82019e-07,E,>,P,2.6329,ribosomal
W09C5.6a,rpl-31,9.87474e-07,M,>,P,2.3648,ribosomal
Y105E8A.4,ech-7,1.74615e-05,B,<,M,1.2615,metabolism
Y105E8A.4,ech-7,9.96637e-06,E,<,M,1.2916,metabolism
Y105E8A.4,ech-7,4.53465e-07,M,>,P,1.5604,metabolism
Y106G6D.4,Y106G6D.4,8.30118e-06,B,<,P,0.9897,other
Y106G6D.4,Y106G6D.4,8.24879e-07,M,<,P,1.0903,other
Y22F5A.4,lys-1,2.41172e-05,E,<,M,1.7742,defense
Y24D9A.4b,rpl-7A,1.76697e-05,E,>,P,1.6648,ribosomal
Y24D9A.4c,rpl-7A,2.75563e-05,E,>,P,1.7828,ribosomal
Y32F6A.5,Y32F6A.5,1.33317e-08,B,>,E,1.4445,protease
Y32F6A.5,Y32F6A.5,5.10043e-07,B,>,P,1.2088,protease
Y34B4A.6,Y34B4A.6,2.34042e-05,M,>,P,1.6291,unknown
Y37E3.7,rpa-1,5.98898e-06,E,>,P,1.683,ribosomal
Y37E3.7,rpa-1,8.56841e-06,M,>,P,1.6243,ribosomal
Y38F2AR.9,Y38F2AR.9,1.30625e-05,M,>,P,1.6923,membrane associated
Y38H6C.1,Y38H6C.1,9.96499e-09,B,>,P,3.2242,unknown
Y38H6C.1,Y38H6C.1,5.88609e-07,E,<,M,2.4892,unknown
Y38H6C.1,Y38H6C.1,1.94833e-11,M,>,P,4.0911,unknown
Y38H6C.17,Y38H6C.17,5.02231e-06,B,>,P,2.7552,membrane associated
Y39A1C.3,cey-4,2.52872e-06,M,>,P,1.6514,TXN/TLN
Y39B6A.1,Y39B6A.1,2.05764e-06,B,>,E,2.5671,unknown
Y39B6A.1,Y39B6A.1,4.15255e-10,B,>,P,3.8897,unknown
Y39B6A.1,Y39B6A.1,2.21627e-07,E,<,M,2.9684,unknown
Y39B6A.1,Y39B6A.1,8.81016e-11,M,>,P,4.2909,unknown
Y45F10C.2,Y45F10C.2,3.82109e-08,B,<,E,2.4436,unknown
Y45F10C.2,Y45F10C.2,4.7001e-09,B,<,P,2.6378,unknown
Y45F10C.2,Y45F10C.2,1.27588e-05,E,>,M,1.7045,unknown
Y45F10C.2,Y45F10C.2,1.90286e-06,M,<,P,1.8986,unknown
Y45F10C.4,Y45F10C.4,2.69304e-05,B,<,E,1.5035,unknown
Y48B6A.2,rpl-43,2.1789e-07,E,>,P,2.6026,ribosomal
Y48B6A.2,rpl-43,3.2668e-06,M,>,P,2.1997,ribosomal
Y48G8AL.8a,rpl-17,1.39751e-05,B,>,P,2.0448,ribosomal
Y48G8AL.8a,rpl-17,2.97312e-07,E,>,P,2.5814,ribosomal
Y48G8AL.8a,rpl-17,6.52345e-07,M,>,P,2.4388,ribosomal
Y49E10.18,Y49E10.18,3.41058e-06,B,>,E,2.0545,unknown
Y49E10.18,Y49E10.18,2.66129e-05,E,<,M,1.9154,unknown
Y4C6B.6,Y4C6B.6,9.99332e-07,B,>,P,1.8874,metabolism
Y4C6B.6,Y4C6B.6,4.03273e-07,M,>,P,2.0835,metabolism
Y53H1B.2,Y53H1B.2,2.66224e-05,B,<,E,1.4121,unknown
Y53H1B.2,Y53H1B.2,9.37163e-06,B,<,P,1.4185,unknown
Y54G11A.5b,Y54G11A.5,2.51977e-05,M,>,P,1.586,unknown
Y54G11A.6,ctl-1,4.43571e-07,M,>,P,1.5413,defense
Y54G2A.6,clec-85,1.03737e-05,E,>,P,2.2535,defense
Y55B1AR.1,lec-6,1.14935e-06,M,>,P,1.9522,defense
Y56A3A.20,ccf-1,3.36776e-05,B,>,P,1.4001,development
Y57A10C.6,Y57A10C.6,1.24803e-06,B,<,M,2.1269,unknown
Y57A10C.6,Y57A10C.6,8.26063e-08,E,<,M,2.6368,unknown
Y57A10C.6,Y57A10C.6,3.38332e-09,M,>,P,3.0985,unknown
Y60A3A.18,skr-4,3.98488e-05,B,<,M,0.9073,unknown
Y60A3A.18,skr-4,3.45787e-06,M,>,P,1.0097,unknown
Y62E10A.1,rpa-2,7.58377e-06,B,>,P,1.9532,ribosomal
Y62E10A.1,rpa-2,9.33511e-08,E,>,P,2.5189,ribosomal
Y62E10A.1,rpa-2,2.50349e-06,M,>,P,2.0681,ribosomal
Y65B4BR.1,Y65B4BR.1,3.09202e-06,B,>,E,1.8778,metabolism
Y65B4BR.1,Y65B4BR.1,2.41496e-05,B,>,P,1.5826,metabolism
Y65B4BR.1,Y65B4BR.1,1.13765e-06,E,<,M,2.0196,metabolism
Y65B4BR.1,Y65B4BR.1,1.06633e-05,M,>,P,1.7245,metabolism
Y69A2AR.18a,Y69A2AR.18,2.1051e-05,E,>,P,1.7747,metabolism
Y71F9AL.13a,rpl-1,1.99961e-05,B,>,P,2.3026,ribosomal
Y71F9AL.13a,rpl-1,6.57617e-08,E,>,P,3.2273,ribosomal
Y71F9AL.13a,rpl-1,2.56677e-07,M,>,P,2.965,ribosomal
Y73B3A.18a,Y73B3A.18,4.51272e-07,B,>,P,1.953,ribosomal
Y73B3A.18a,Y73B3A.18,7.74583e-13,E,>,P,3.1464,ribosomal
Y73B3A.18a,Y73B3A.18,1.8153e-11,M,>,P,2.7695,ribosomal
Y75B8A.4,Y75B8A.4,4.41872e-07,E,<,M,2.7974,protease
Y82E9BR.3,Y82E9BR.3,7.67592e-06,E,>,P,2.1979,metabolism
Y82E9BR.3,Y82E9BR.3,3.95147e-06,M,>,P,2.1667,metabolism
ZC395.5,ZC395.5,1.01162e-07,B,<,E,2.3565,unknown
ZC395.5,ZC395.5,1.77544e-05,B,<,P,1.6828,unknown
ZC395.5,ZC395.5,7.09063e-06,E,>,M,1.7846,unknown
ZC64.2,ZC64.2,2.70603e-05,B,<,E,1.3184,unknown
ZC64.2,ZC64.2,1.7647e-05,E,>,P,1.2212,unknown
ZK1193.1,col-19,1.25623e-05,E,>,P,2.6431,collagen
ZK1193.1,col-19,3.44384e-05,M,>,P,2.3377,collagen
ZK180.5c,ZK180.5,4.12431e-06,E,>,P,2.2022,unknown
ZK622.3a,pmt-1,2.78684e-05,B,>,M,1.0509,development
ZK813.2,ZK813.2,7.78914e-08,B,<,E,2.1254,unknown
ZK813.2,ZK813.2,1.64016e-07,B,<,P,1.9781,unknown
ZK813.2,ZK813.2,5.86578e-06,E,>,M,1.5938,unknown
ZK813.2,ZK813.2,1.8847e-05,M,<,P,1.4464,unknown
ZK892.2,nlt-1,2.89796e-05,E,<,M,1.8711,metabolism
ZK892.2,nlt-1,1.29038e-07,M,>,P,2.5517,metabolism
,,,,,,,
,,,,,,,
