NAME,TM,w,l,pct,rs,ra,w1,l1,pct1,w2,l2,pct2,rs2,ra2,w3,l3,pct3,rs3,ra3,d1,d2,d3,opptav,opptava,hlf,ahlf
New York Mets,NYN,44,53,0.454,401,431,45.3,51.7,0.467,43.5,53.5,0.448,381.99953326457114,427.3095813466174,43.3,53.7,0.447,400.5133304197402,449.75319655757164,-1.3,0.5,0.7,0.254,0.255,0.454,0.434
Oakland Athletics,OAK,59,42,0.584,448,384,57.6,43.4,0.57,56.9,44.1,0.563,432.0352744394764,375.826194234014,55.1,45.9,0.546,442.8630678611618,400.03564478966643,1.4,2.1,3.9,0.262,0.264,0.566,0.585
Philadelphia Phillies,PHI,49,52,0.485,392,449,44.2,56.8,0.438,44.8,56.2,0.444,403.93771625989376,456.2826530183579,45.2,55.8,0.447,422.0629250851296,473.0493078911387,4.8,4.2,3.8,0.254,0.256,0.453,0.434
Pittsburgh Pirates,PIT,60,39,0.606,382,331,55.7,43.3,0.563,55.6,43.4,0.562,391.96630057170694,340.72976467706053,57.2,41.8,0.578,414.8982994551161,347.88728899485324,4.3,4.4,2.8,0.259,0.256,0.577,0.557
San Diego Padres,SDN,45,57,0.441,404,463,44.6,57.4,0.437,44.7,57.3,0.438,397.48976218353147,454.9379599428667,44.6,57.4,0.437,411.8414924771128,472.3854311809936,0.4,0.3,0.4,0.257,0.257,0.438,0.419
Seattle Mariners,SEA,48,53,0.475,406,456,45.1,55.9,0.446,47.8,53.2,0.474,415.70163222276767,439.9512550258407,47.7,53.3,0.472,476.366732276147,505.4757615684203,2.9,0.2,0.3,0.261,0.263,0.467,0.487
San Francisco Giants,SFN,46,55,0.455,396,455,44.1,56.9,0.436,47.7,53.3,0.473,407.238433604949,432.1688197124498,48.7,52.3,0.482,440.6340612787163,457.7015748854747,1.9,-1.7,-2.7,0.256,0.256,0.462,0.442
St. Louis Cardinals,SLN,61,37,0.622,492,352,63.7,34.3,0.65,62.5,35.5,0.638,454.64100826293316,333.5924119196685,60.5,37.5,0.617,458.917872139843,352.8647461945921,-2.7,-1.5,0.5,0.254,0.258,0.632,0.613
Tampa Bay Rays,TBA,60,42,0.588,475,407,58.3,43.7,0.571,62.5,39.5,0.612,473.296199556762,369.00548083854756,62.3,39.7,0.611,504.2133519689296,394.50938724399987,1.7,-2.5,-2.3,0.259,0.263,0.596,0.615
Texas Rangers,TEX,56,45,0.554,428,408,52.7,48.3,0.522,54.5,46.5,0.539,445.5074382067001,409.05609472808277,54.7,46.3,0.541,414.3592017688454,378.89583743076923,3.3,1.5,1.3,0.264,0.264,0.539,0.559
Toronto Blue Jays,TOR,45,55,0.45,456,488,46.8,53.2,0.468,44.5,55.5,0.445,444.1651040702373,498.29522879776687,46.9,53.1,0.469,426.82299866825736,455.36188112770003,-1.8,0.5,-1.9,0.265,0.258,0.458,0.478
Washington Nationals,WAS,48,53,0.475,370,401,46.9,54.1,0.464,46.3,54.7,0.459,362.71141205343713,397.95867907287806,46.2,54.8,0.458,364.75371016615117,400.68132887601314,1.1,1.7,1.8,0.256,0.256,0.464,0.444
