,,,,,,,,,,,,,
,,第47表　,敷地の所有名義(4区分)，共有の持ち分(5区分)別所有地に居住する主世帯数＜乙＞,,,,,,,,,,
,22　  静　　  岡　　  県,Shizuoka-ken,826000,703000,17000,2000,3000,8000,2000,1000,45,40000,3000
,23　  愛　　  知　　  県,Aichi-ken,1555000,1247000,61000,18000,5000,16000,10000,3000,37.3,89000,5000
,24　  三　　  重　　  県,Mie-ken,480000,405000,9000,1000,1000,5000,1000,1000,44.1,27000,2000
,25　  滋　　  賀　　  県,Shiga-ken,346000,289000,8000,1000,1000,5000,1000,1000,45.9,16000,1000
,26　  京　　  都　　  府,Kyoto-fu,619000,456000,22000,3000,1000,11000,3000,2000,48.9,20000,3000
,27　  大　　  阪　　  府,Osaka-fu,1878000,1423000,66000,12000,6000,27000,8000,4000,42.3,74000,11000
,28　  兵　　  庫　　  県,Hyogo-ken,1376000,1102000,45000,6000,5000,21000,5000,2000,43.4,55000,5000
,29　  奈　　  良　　  県,Nara-ken,354000,290000,9000,2000,1000,4000,1000,0,38.8,11000,2000
,30　  和　 歌　 山　  県,Wakayama-ken,265000,224000,3000,1000,0,2000,0,0,47.1,16000,2000
,31　  鳥　　  取　　  県,Tottori-ken,141000,124000,4000,1000,0,1000,0,0,31.8,6000,1000
,32　  島　　  根　　  県,Shimane-ken,179000,160000,2000,0,0,1000,0,0,44.3,8000,1000
,33　  岡　　  山　　  県,Okayama-ken,484000,402000,12000,1000,1000,6000,2000,1000,47.5,24000,3000
,34　  広　　  島　　  県,Hiroshima-ken,678000,549000,28000,6000,3000,7000,2000,1000,35.3,30000,4000
,35　  山　　  口　　  県,Yamaguchi-ken,367000,310000,5000,0,1000,2000,1000,0,47.2,20000,2000
,36　  徳　　  島　　  県,Tokushima-ken,199000,170000,3000,0,0,1000,1000,0,47.5,10000,1000
,37　  香　　  川　　  県,Kagawa-ken,256000,215000,7000,1000,1000,3000,1000,0,41.2,18000,1000
,38　  愛　　  媛　　  県,Ehime-ken,355000,291000,10000,4000,1000,3000,1000,0,29.2,23000,2000
,39　  高　　  知　　  県,Kochi-ken,194000,163000,4000,0,0,3000,0,-,46.3,13000,1000
,40　  福　　  岡　　  県,Fukuoka-ken,1070000,880000,26000,5000,5000,8000,2000,1000,36.3,40000,5000
,41　  佐　　  賀　　  県,Saga-ken,198000,182000,2000,0,0,1000,0,0,48.6,8000,1000
,42　  長　　  崎　　  県,Nagasaki-ken,324000,279000,7000,2000,1000,3000,0,0,33.7,18000,2000
,43　  熊　　  本　　  県,Kumamoto-ken,413000,353000,6000,2000,0,2000,1000,0,34.9,22000,2000
,44　  大　　  分　　  県,Oita-ken,289000,256000,4000,1000,1000,2000,0,0,34.8,13000,1000
,45　  宮　　  崎　　  県,Miyazaki-ken,268000,234000,3000,0,0,2000,0,0,44.5,16000,1000
,46　  鹿　 児　 島　  県,Kagoshima-ken,451000,384000,12000,1000,1000,2000,0,0,36.4,32000,5000
,47　  沖　　  縄　　  県,Okinawa-ken,216000,175000,6000,3000,1000,2000,0,0,25.3,12000,2000
,01 100  札　　 幌　　 市 ,Sapporo-shi,406000,304000,11000,2000,1000,5000,1000,0,41.4,16000,1000
,04 100  仙　　 台　 　市 ,Sendai-shi,205000,168000,5000,1000,0,2000,0,0,36.8,6000,0
,11 100  さ い  た  ま 市,Saitama-shi,268000,201000,16000,4000,0,5000,1000,1000,35.4,8000,1000
,12 100  千　　 葉　　 市 ,Chiba-shi,203000,157000,12000,5000,1000,2000,0,1000,22.5,6000,1000
,13 100  特　別　 区　 部 ,Ku-area,1592000,956000,102000,30000,12000,26000,9000,4000,33.4,52000,7000
,14 100  横　　 浜　 　市 ,Yokohama-shi,808000,626000,40000,7000,5000,16000,4000,5000,44.4,24000,2000
,14 130  川　 　崎　　 市 ,Kawasaki-shi,259000,185000,13000,4000,1000,4000,1000,1000,36.8,8000,1000
,15 100  新　　 潟　 　市 ,Niigata-shi,200000,166000,4000,0,0,2000,1000,0,49.3,10000,1000
,22 100  静     岡     市,Shizuoka-shi,155000,125000,5000,1000,1000,3000,1000,0,41.4,8000,0
,22 130  浜     松     市,Hamamatsu-shi,173000,143000,4000,1000,0,2000,0,1000,49,10000,1000
,23 100  名　古　 屋 　市 ,Nagoya-shi,432000,320000,27000,11000,2000,7000,4000,1000,30.8,21000,1000
,26 100  京　　 都　　 市 ,Kyoto-shi,330000,217000,14000,2000,1000,6000,2000,1000,46.7,9000,2000
,27 100  大　 　阪　 　市 ,Osaka-shi,482000,366000,17000,5000,1000,6000,2000,1000,35.4,17000,4000
,27 140  堺　　　　  　市 ,Sakai-shi,192000,145000,7000,1000,1000,3000,1000,0,45.3,7000,1000
,28 100  神　 　戸　 　市 ,Kobe-shi,376000,287000,13000,2000,2000,7000,1000,0,41.7,15000,1000
,34 100  広　 　島　　 市 ,Hiroshima-shi,251000,181000,18000,4000,1000,3000,1000,0,31,8000,1000
,40 100  北　九　 州 　市 ,Kitakyushu-shi,211000,175000,5000,1000,1000,2000,0,0,35.7,6000,1000
,40 130  福　　 岡　　 市 ,Fukuoka-shi,250000,189000,8000,2000,2000,2000,1000,0,33.6,8000,1000
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1)　敷地の所有名義「不詳」を含む。,,,"1)  Including title deed to site ""Not reported"".",,,,,,,,,
,2)　敷地の共有の持ち分「不詳」を含む。,,,"2)  Including share of ownership of site ""Not reported"".",,,,,,,,,
,,,,,,,,,,,,,
,"(a)  The spouse, parents, etc. who do not share the dwelling or the livelihood",,,,,,,,,,,,
