"CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.",,,
,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,,,,,,,,,,,,
Fiscal Period,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Jun09,Jun10,Jun11,Jun12,Jun13,TTM/current,	,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Return on Capital  - Joel Greenblatt %,0,0,-635.06,-1048.8899999999999,-1088.1399999999999,117.48,0,-853.9,-407.31,-80.97,-128.82,-294.47999999999996,-272.28,		,0,0,0,0,0,0,0,0,-1061.48,-1029.12,-1015.44,-1404.6799999999998,-1411,7032.040000000001,-2560.12,-3793.8,-2282.64,-6917.64,-31431.56,0,-596,-555.5600000000001,-306.96,-265.84,-279.28000000000003,-305.36,-308.08,-117.92,-84.48,-33.32,-111.60000000000001,-119.03999999999999,-130.68,-141.96,-226.56,-179.92,-210.8,-351.04,-307.4,-272.28
Debt to Equity,0,0,-0.031,-0.002,0,0,0,0.996,0.637,0.561,0.544,0.188,0.032,		,0,0,0,-0.031,0,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.884,0.996,1.149,1.429,1.773,0.637,0.71,0.782,0.792,0.561,0.529,0.81,0.907,0.544,0.562,0.517,0.197,0.188,0.166,0.032
Gross Margin %,0,0,100,100,100,100,0,71.32,76.86,79.34,76.71,76.53,77.39,		,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,74.07000000000001,72.99,77.05,76.72,76.71,76.95,77.2,78.82000000000001,80.4,80.58999999999999,76.71,76.87,75.8,77.4,77.44,76.46,76.42999999999999,75.96000000000001,76.94,77.39
Operating Margin %,0,0,-2211.27,-7725.17,-215.75000000000003,3.82,0,-60.629999999999995,-35.32,-11.18,-17.54,-21.58,-23.18,		,0,0,0,0,0,0,0,0,-279.67,-196.66,-200.11,-206.65,-343.83,79.08,0,0,0,0,0,0,-42.91,-35.480000000000004,-39,-43.13,-37.34,-23.82,-21.44,-10.75,-9.879999999999999,-4.17,-16.61,-18.56,-17.549999999999997,-17.4,-22.35,-20.24,-20.44,-23.18,-23,-23.18
Net Margin %,0,-1921.49,-2306.83,-7634.6900000000005,-182.94,13.13,0,-56.489999999999995,-36.870000000000005,-14.12,-20.349999999999998,-23.14,-26.77,		,-2312.5,-2301.44,-2312.02,-2301.44,-7651.82,-7652.73,-7582.88,-7651.82,-267.71,-153.47,-155.53,-178.51999999999998,-292.38,81.75,0,0,0,0,0,0,-25.330000000000002,-35.92,-40.79,-44.940000000000005,-39.46,-24.43,-23.5,-10.61,-11.83,-11.44,-20.68,-20.97,-19.759999999999998,-20.1,-22.37,-22.79,-23.49,-23.74,-24.5,-26.77
Total Equity to Total Asset,0,0,-1.404,-1.3,0.526,0.87,0,0.419,0.415,0.463,0.51,0.69,0.862,		,0,0,0,-1.404,0,0,0,-1.3,-0.797,-0.958,0.562,0.526,0.504,0.943,0,0,0,0,0,0,0.455,0.419,0.378,0.355,0.295,0.415,0.364,0.39,0.385,0.463,0.483,0.421,0.388,0.51,0.482,0.515,0.707,0.69,0.686,0.862
LT Debt to Total Asset,0,0,0.003,0,0,0,0,0.061,0.21,0.178,0.203,0.077,0.06,		,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.061,0.068,0.105,0.191,0.21,0.15,0.224,0.22,0.178,0.175,0.296,0.282,0.203,0.193,0.184,0.089,0.077,0.06,0
Asset Turnover,0,0,0.028,0.007,0.118,0.619,0,0.78,1.517,1.685,1.307,1.072,0.179,		,0,0,0,0.007,0,0,0,0.002,0.025,0.038,0.026,0.04,0.023,0.477,0,0,0,0,0,0,0.199,0.217,0.216,0.236,0.267,0.422,0.428,0.42,0.461,0.464,0.386,0.379,0.426,0.363,0.388,0.447,0.267,0.297,0.313,0.179
Dividend Payout Ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Days Sales Outstanding,0,0,0,310.37,105.79,0,0,54.78,52.89,61.41,60.37,51.75,,		,0,0,0,0,0,0,0,310.23,67.69,65.98,63.52,78.28,68.6,0,0,0,0,0,0,0,48.72,49.13,48.98,53.5,53.99,47.45,53,52.1,60.25,55.56,57.36,57.5,55.75,54.2,52.61,46.81,52.2,46.51,46.69,44.8
Days Inventory,0,0,0,0,0,0,0,75.93,105.07,130.46,134.12,93.46,127.96,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.54,72.31,106.5,104.8,107.91,94.64,97.92,99,112.11,125.64,147.72,158.91,138.73,124.09,120.58,109.37,99.09,81.99,109.59,127.96
Inventory Turnover,0,0,0,0,0,0,0,4.81,3.47,2.8,2.72,3.91,0.71,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,1.26,0.85,0.87,0.84,0.96,0.93,0.92,0.81,0.72,0.62,0.57,0.66,0.73,0.75,0.83,0.92,1.11,0.83,0.71
COGS to Revenue,0,0,0,0,0,0,0,0.29,0.23,0.21,0.23,0.23,0.23,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.27,0.23,0.23,0.23,0.23,0.23,0.21,0.2,0.19,0.23,0.23,0.24,0.23,0.23,0.24,0.24,0.24,0.23,0.23
Inventory to Revenue,0,0,0,0,0,0,0,0.06,0.067,0.074,0.086,0.06,0.318,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0.215,0.269,0.268,0.276,0.24,0.245,0.23,0.241,0.268,0.378,0.404,0.369,0.308,0.299,0.283,0.257,0.217,0.278,0.318
Revenue,0,0.726,0.834,0.441,15.988,58.571,0,56.461,64.829,78.78,82.49,103.897,117.39800000000001,		,0.208,0.209,0.208,0.209,0.11,0.11,0.111,0.11,2.877,4.045,3.679,5.387,2.925,55.647,0,0,0,0,0,0,15.115,15.695,15.198,15.097,16.519,18.015,18.165,18.756,20.152,21.707,18.66,19.718,21.205,22.907,23.293,25.309,26.474,28.821,29.766,32.337
Cost of Goods Sold,0,0,0,0,0,0,0,16.194,15.003,16.277,19.216,24.382,27.346999999999998,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,4.24,3.488,3.515,3.847,4.153,4.141,3.972,3.949,4.214,4.346,4.56,5.132,5.178,5.254,5.958,6.241,6.929,6.864,7.313
Gross Profit,0,0,0.834,0.441,15.988,58.571,0,40.267,49.826,62.503,63.274,79.515,90.051,		,0,0,0,0,0,0,0,0,2.877,4.045,3.679,5.387,2.925,55.647,0,0,0,0,0,0,11.195,11.455,11.71,11.582,12.672,13.862,14.024,14.784,16.203,17.493,14.314,15.158,16.073,17.729,18.039,19.351,20.233,21.892,22.902,25.024
"Selling, General,  &Admin. Expense",1.275,0,2.994,5.329,12.187,13.02,15.509,59.822,62.447,62.372,66.366,86.718,99.116,		,0,0,0,0,0,0,0,0,1.953,2.859,3.864,3.511,3.536,3.28,2.988,3.217,1.952,4.666,5.671,3.219,14.253,14.196,14.856,15.912,16.382,15.297,15.496,14.687,16.415,15.775,15.35,15.733,16.809,18.474,20.023,20.418,21.65,24.627,25.371,27.468
Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research &Development,2.517,0,16.282,29.18,38.295,43.313,27.442,14.678,10.278,8.94,11.374,15.216,17.368000000000002,		,0,0,0,0,0,0,0,0,8.97,9.141,7.177,13.008,9.446,8.364,10.651,14.851,7.618,14.444,4.78,0.6,3.428,2.827,2.781,2.181,2.459,2.857,2.422,2.114,1.78,2.624,2.064,3.084,2.985,3.241,3.222,4.055,3.993,3.946,4.378,5.051
EBITDA,0,0,-17.147,-32.775,-33.811,4.491,-42.034,-33.763,-22.3,-8.093,-13.594,-21.446,-25.282000000000004,		,0,0,0,1.295,0,0,0,1.293,-7.6739999999999995,-7.627,-7.639,-10.872,-9.638,44.394,-13.258999999999999,-17.005000000000003,-9.339,-18.701,-10.294,-3.699,-6.274,-5.43,-5.7909999999999995,-6.368,-6.013,-4.128,-3.73,-1.8439999999999999,-1.811,-0.708,-2.879,-3.432,-3.493,-3.79,-4.968,-4.857,-5.131,-6.49,-6.526000000000001,-7.135
"Depreciation, Depletion and Amortization",0,0,1.295,1.293,0.683,2.253,0.917,0.47,0.599,0.716,0.872,0.973,1.151,		,0,0,0,1.295,0,0,0,1.293,0.372,0.328,-0.277,0.26,0.419,0.391,0.38,1.063,0.231,0.409,0.157,0.12,0.212,0.138,0.136,0.143,0.156,0.164,0.164,0.173,0.181,0.198,0.221,0.227,0.228,0.196,0.238,0.265,0.279,0.191,0.321,0.36
Other Operating Charges,0,0,0,0,0,3.9968028886505635e-15,0,7.105427357601002e-15,0,-1.7763568394002505e-15,1.7763568394002505e-15,-3.552713678800501e-15,-4.440892098500626e-15,		,0,0,0,0,0,0,0,0,1.7763568394002505e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.881784197001252e-16,8.881784197001252e-16,1.7763568394002505e-15,1.7763568394002505e-15,-2.220446049250313e-15,-8.881784197001252e-16,2.3314683517128287e-15,-4.440892098500626e-16,8.881784197001252e-16,0,4.440892098500626e-16,-2.6645352591003757e-15,0,-3.552713678800501e-15,8.881784197001252e-16,-2.6645352591003757e-15,8.881784197001252e-16
Operating Income,-3.792,0,-18.442,-34.068,-34.494,2.238,-42.951,-34.233,-22.899,-8.809,-14.466,-22.419,-26.433000000000003,		,0,0,0,0,0,0,0,0,-8.046,-7.955,-7.362,-11.132,-10.057,44.003,-13.639,-18.068,-9.57,-19.11,-10.451,-3.819,-6.486,-5.568,-5.927,-6.511,-6.169,-4.292,-3.894,-2.017,-1.992,-0.906,-3.1,-3.659,-3.721,-3.986,-5.206,-5.122,-5.41,-6.681,-6.847,-7.495
Interest Income,0,0,0.172,0.722,0,0,0,3.38,0.402,0.012,0.005,0.028,0.025,		,0,0,0,0,0,0,0,0,0,1.747,1.64,0,0,1.487,1.336,0,0,0,0,0,0.171,0.2,0.098,0.089,0.058,0.157,0.007,0.004,0.002,-0.001,0,0,0.001,0.002,0.009,0.006,0.004,0.009,0.007,0.005
Interest Expense,0,0,-0.5,-0.323,-0.014,0,0,-2.35,-1.435,-1.417,-1.356,-1.345,-1.474,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.971,-0.519,-0.371,-0.363,-0.341,-0.36,-0.365,-0.338,-0.319,-0.295,-0.759,-0.476,-0.364,-0.368,-0.37,-0.345,-0.327,-0.302,-0.281,-0.564
Other Income (Minority Interest),0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre-Tax Income,0,0,-19.239,-33.669,0,0,0,0,0,-11.125,-16.79,-24.037,-29.009999999999998,		,0,0,0,0,0,0,0,0,-7.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.135,-4.191,-4.605,-5.21,-5.767,-6.219,-6.841,-7.292,-8.658
Tax Provision,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income (Continuing Operations),-3.762,-13.95,-19.239,-33.669,-29.249,7.692,-41.125,-31.895,-23.904,-11.125,-16.79,-24.037,-29.009999999999998,		,-4.81,-4.81,-4.809,-4.81,-8.417,-8.418,-8.417,-8.417,-7.702,-6.208,-5.722,-9.617,-8.552,45.49,-12.303,-16.943,-8.958,-18.73,-9.914,-3.522,-3.829,-5.637,-6.2,-6.785,-6.518,-4.401,-4.268,-1.99,-2.384,-2.483,-3.859,-4.135,-4.191,-4.605,-5.21,-5.767,-6.219,-6.841,-7.292,-8.658
Net Income (Discontinued Operations),0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income,-3.762,-13.95,-19.239,-33.669,-29.249,7.692,-41.125,-31.895,-23.904,-11.125,-16.79,-24.037,-29.009999999999998,		,-4.81,-4.81,-4.809,-4.81,-8.417,-8.418,-8.417,-8.417,-7.702,-6.208,-5.722,-9.617,-8.552,45.49,-12.303,-16.943,-8.958,-18.73,-9.914,-3.522,-3.829,-5.637,-6.2,-6.785,-6.518,-4.401,-4.268,-1.99,-2.384,-2.483,-3.859,-4.135,-4.191,-4.605,-5.21,-5.767,-6.219,-6.841,-7.292,-8.658
Preferred dividends,0.915,0,3.56,7.191,5.391,0,0,-22.781,0,0,0,0,0,		,0,0,0,0,0,0,0,0,2.653,2.654,0.085,0,0,0,0,0,0,0,0,0,-25.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPS (Basic),-65.9,-208.2,-305.5,-392,-24.9,2.9,-15.2,-1.13,-1.62,-0.7,-0.93,-1.11,-1.183,		,-305.5,-101.833,-61.095,-53.371,-392,-130.672,-78.398,-69.773,-72.1,-57.9,-2.3,-3.608,-3.2,17.1,-4.6,-6.314,-3.3,-6.9,-3.7,-1.3,2.63,-0.403,-0.43,-0.46,-0.44,-0.294,-0.28,-0.13,-0.15,-0.152,-0.22,-0.23,-0.23,-0.244,-0.26,-0.28,-0.29,-0.283,-0.29,-0.32
EPS (Diluted),-65.9,-208.2,-305.5,-392,-24.9,2.8,-15.2,-1.13,-1.62,-0.7,-0.93,-1.11,-1.183,		,-305.5,-101.833,-61.095,-53.371,-392,-130.672,-78.398,-69.773,-72.1,-57.9,-2.3,-3.608,-3.2,16.5,-4.6,-6.314,-3.3,-6.9,-3.7,-1.3,-0.32,-0.403,-0.43,-0.46,-0.44,-0.294,-0.28,-0.13,-0.15,-0.152,-0.22,-0.23,-0.23,-0.244,-0.26,-0.28,-0.29,-0.283,-0.29,-0.32
Shares Outstanding (Diluted),0.071,0.067,0.075,0.104,1.391,2.767,2.706,8.069,14.748,15.916,18.036,21.686,27.178,		,0.016,0.047,0.079,0.157,0.021,0.064,0.107,0.224,0.144,0.153,2.575,2.666,2.662,2.765,2.678,2.767,2.702,2.703,2.708,2.71,12.049,13.985,14.517,14.652,14.879,14.95,15.369,15.827,16.147,16.328,17.487,17.781,17.978,18.903,20.397,20.699,21.489,24.172,24.751,27.178
  Cash And Cash Equivalents,0,0,4.64,4.353,24.091,43.969,33.738,33.411,23.717,21.159,35.529,67.897,146.664,		,0,0,0,4.64,0,0,0,4.353,32.385,10.981,25.193,24.091,89.049,56.841,39.875,43.969,51.825,40.746,32.059,33.738,37.844,33.411,30.754,23.594,23.552,23.717,22.006,22.54,18.618,21.159,22.676,24.558,22.455,35.529,32.213,29.223,69.932,67.897,63.227,146.664
  Marketable Securities,0,0,22.378,55.067,101.476,46.297,11.75,0,0,0,0,0,0,		,0,0,0,22.378,0,0,0,55.067,77.515,84.395,109.139,101.476,29.959,55.257,61.856,46.297,26.311,23.97,18.532,11.75,0,0,19.9,19.75,16.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cash, Cash Equivalents, Marketable Securities",0,0,27.018,59.42,125.567,90.266,45.488,33.411,23.717,21.159,35.529,67.897,146.664,		,0,0,0,27.018,0,0,0,59.42,109.9,95.376,134.332,125.567,119.008,112.098,101.731,90.266,78.136,64.716,50.591,45.488,37.844,33.411,50.654,43.344,39.927,23.717,22.006,22.54,18.618,21.159,22.676,24.558,22.455,35.529,32.213,29.223,69.932,67.897,63.227,146.664
Accounts Receivable,0,0,0,0.375,4.634,0,0,8.474,9.394,13.254,13.644,14.73,15.918,		,0,0,0,0,0,0,0,0.375,2.14,2.933,2.568,4.634,2.205,0,0,0,0,0,0,0,8.092,8.474,8.181,8.876,9.801,9.394,10.579,10.739,13.342,13.254,11.762,12.46,12.99,13.644,13.467,13.02,15.187,14.73,15.271,15.918
"  Inventories, Raw Materials & Components",0,0,0,0,0,0,0,1.536,1.256,2.705,2.558,2.477,4.158,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.168,1.536,1.41,1.11,1.501,1.256,1.268,1.254,1.849,2.705,2.825,3.539,3.906,2.558,2.185,2.822,2.651,2.477,3.146,4.158
"  Inventories, Work In Process",0,0,0,0,0,0,0,0.348,0.282,0.64,1.022,0.688,0.904,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0.348,0.301,0.091,0.246,0.282,0.194,0.321,0.807,0.64,0.497,0.622,0.571,1.022,0.91,0.392,0.612,0.688,0.739,0.904
