ATHLETE FIRST,ATHLETE LAST,NATIONALITY,TEAM,LEG,SWIM,T1,BIKE,T2,RUN,TOTAL TIME
Andriy,Glushchenko,UKR,Team I Ukraine,,00:03:52,00:00:48,00:10:30,00:00:22,00:04:28,00:20:00
Olesya,Prystayko,UKR,Team I Ukraine,,00:04:42,00:00:53,00:11:47,00:00:20,00:04:57,00:22:39
Danylo,Sapunov,UKR,Team I Ukraine,,00:04:04,00:00:49,00:10:19,00:00:20,00:04:43,00:20:15
Laura,Bennett,USA,Team I United States,,00:03:21,00:00:53,00:11:08,00:00:19,00:05:02,00:20:41
Jarrod,Shoemaker,USA,Team I United States,,00:03:52,00:00:50,00:10:32,00:00:17,00:04:27,00:19:58
Sarah,Haskins,USA,Team I United States,,00:04:18,00:00:56,00:10:57,00:00:22,00:05:01,00:21:34
Matthew,Reed,USA,Team I United States,,00:03:57,00:00:46,00:10:08,00:00:19,00:04:39,00:19:49
Mary Beth,Ellis,USA,Team II United States,,00:03:37,00:00:56,00:11:02,00:00:26,00:05:22,00:21:21
Kevin,Collington,USA,Team II United States,,00:04:11,00:00:54,00:10:34,00:00:20,00:04:36,00:20:35
Kathryn,Ross,USA,Team II United States,,00:04:42,00:01:00,00:11:49,00:00:21,00:05:31,00:23:23
Gregory,Billington,USA,Team II United States,,00:04:18,00:00:55,00:10:57,00:00:20,00:04:49,00:21:19
Jennifer,Howland,USA,Team Iii Usa,,00:03:50,00:00:55,00:12:25,00:00:19,00:05:33,00:23:01
Ben,Kanute,USA,Team Iii Usa,,00:03:57,00:00:53,00:10:33,00:00:21,00:05:01,00:20:45
Jessica,Clay,USA,Team Iii Usa,,00:04:47,00:01:04,00:13:00,00:00:19,00:06:11,00:25:21
Lukas,Verzbicas,USA,Team Iii Usa,,00:04:22,00:00:52,00:11:08,00:00:19,00:04:46,00:21:27
