U.S. Energy Information Administration,,,,,,,,,,,
November 2014 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: November 25, 2014",,,,,,,,,,,
"Next Update: December 23, 2014",,,,,,,,,,,
,,,,,,,,,,,
Table 3.3d Petroleum Trade:  Imports From Non-OPEC Countries,,,,,,,,,,,
,,,,,,,,,,,
Month,Petroleum Imports From Brazil,Petroleum Imports From Canada,Petroleum Imports From Colombia,Petroleum Imports From Mexico,Petroleum Imports From Netherlands,Petroleum Imports From Norway,Petroleum Imports From Russia,Petroleum Imports From United Kingdom,Petroleum Imports From U.S. Virgin Islands,Petroleum Imports From Other Non-OPEC,Petroleum Imports From Total Non-OPEC Countries
1973-11-01 00:00:00,2.3,1278.3,0,0,86.7,3,37.533,21.967,409.8,1767,3606.6
1973-12-01 00:00:00,2.161,1117,26.097,0,81.613,2.839,35.323,20.677,385.677,1663.258,3334.645
1974-01-01 00:00:00,0,1198.097,3.194,16.839,75.935,0,25.839,1.613,368.226,1372.903,3062.645
1974-02-01 00:00:00,0,1133.571,3.286,17.321,78.107,0,26.571,1.643,378.75,1396.75,3036
1974-03-01 00:00:00,0,1131.677,2.774,14.645,66.065,0,22.484,1.387,320.387,1131.645,2691.065
1974-04-01 00:00:00,5.367,1205.167,10.667,1.833,50.067,0,7.767,14.133,333.1,1481.2,3109.3
1974-05-01 00:00:00,5.258,1242.387,10.452,1.806,49.065,0,7.613,13.839,326.452,1461.161,3118.032
1974-06-01 00:00:00,4.733,941.767,9.433,1.633,44.333,10.733,6.867,12.5,294.9,1362.267,2689.167
1974-07-01 00:00:00,0,939.387,6.161,6.032,21.484,0,4.935,1.677,426.065,1338.161,2743.903
1974-08-01 00:00:00,0,985.839,6.129,6.032,21.452,0,4.935,1.677,425.258,1348.484,2799.806
1974-09-01 00:00:00,0,998.333,5.333,5.233,18.667,0,4.3,1.467,370.133,1150.233,2553.7
1974-10-01 00:00:00,2.516,981.29,0.387,0,26.613,0,30.806,11.387,404.355,1066.129,2523.484
1974-11-01 00:00:00,3.267,964.033,0.5,23.033,34.467,0,39.9,14.733,523.6,1344.2,2947.733
1974-12-01 00:00:00,3.29,1091.323,0.516,7.161,34.613,0,40.065,14.806,526.097,1333.839,3051.71
1975-01-01 00:00:00,13.194,959.323,13.645,16.806,12.032,0,17.71,9.677,636.742,1428.968,3108.097
1975-02-01 00:00:00,10.893,882.857,11.25,48,9.964,0,14.607,8,525.857,1152.393,2663.821
1975-03-01 00:00:00,8.29,711.161,8.581,39.355,7.581,14.645,11.161,6.097,400.968,895.129,2102.968
1975-04-01 00:00:00,5.833,704.267,4.867,37.167,22.033,9.7,0,7.6,348.433,850.4,1990.3
1975-05-01 00:00:00,11.097,574.161,6.613,85.839,0.419,22.968,7.387,6.871,413.419,881.484,2010.258
1975-06-01 00:00:00,0,872.733,12,72.367,0,0,17.033,0.033,352.633,798.533,2125.333
1975-07-01 00:00:00,1.194,889.129,8.323,85.355,18.097,0,22.968,5.806,320.774,1127.548,2479.194
1975-08-01 00:00:00,0,887.903,0.387,71.355,8.613,13.677,0.968,11.839,399.065,1128.419,2522.226
27638,6.7,918,9.1,98.033,18.8,40.233,20.433,10.2,389.7,1268.033,2779.233
27668,6.968,946.323,16.065,104.935,59.484,47.419,36.548,13.323,336.258,1128.032,2695.355
27699,0,893.1,14.033,107.033,48.8,30.633,24.633,37.3,353,1007.8,2516.333
27729,0,907.29,3,84.968,15.516,18.161,16.806,10.548,405.871,1094.774,2556.935
27760,0,681.71,12.839,58.71,1.032,13.29,0,34.516,468.419,1134.968,2405.484
27791,0,644.862,15.138,70.034,10.138,7.414,0,18.034,462.448,1120.448,2348.517
27820,0,590.226,7.903,107.968,18.581,54.484,15.194,30.194,424.516,1098.581,2347.645
27851,0,578.367,15.033,112.033,20.267,23.133,8.433,49.633,341.233,1055.2,2203.333
27881,0,614.935,24.677,89.323,0.935,30.29,7.806,43,388.548,847.065,2046.581
27912,0,653.267,13.867,79.533,7.1,28.467,13.533,24.5,427.5,943.233,2191
27942,0,581.71,52.484,79.387,11.161,38.774,13.742,7.968,386.452,1032.194,2203.871
27973,0,580.871,25.032,88.097,8.161,82.903,17.065,27.968,437.29,879.903,2147.29
28004,0,564.833,28.367,84.767,8.467,66.233,11.233,12.9,408.467,1040.433,2225.7
28034,0,562.032,10.968,79.194,1.968,46.871,18,23.097,460.548,985.065,2187.742
28065,0,561.833,18.667,132.1,0,26.5,13.533,39.233,454.367,1001.767,2248
28095,0,578.323,24.484,65.516,3.032,11.935,7.258,54.968,408.419,1320.065,2474
28126,0,514.548,17.548,97.935,29.774,4.968,0,89.097,619.645,1297.581,2671.097
28157,0,607.393,13.714,168.036,108.607,105.5,26.286,145.607,549,1767.679,3491.821
28185,0,564.774,0,171.548,80.032,72.516,15.871,169.355,505.452,1395.387,2974.935
28216,0,507.067,15.033,155.267,33.6,35,21.2,103.7,409.033,1021.833,2301.733
28246,0,438.323,14.548,173.645,14.839,59.323,13.71,58.806,376.161,1192.226,2341.581
28277,0,494,14,180.733,8.133,26.967,6,97.733,321.967,1157.6,2307.133
28307,0,483.161,19.258,158.677,22.516,42.871,6.581,102.194,477.71,1175.903,2488.871
28338,0,502.484,17.097,215.194,41,22.935,17.29,109.871,431.161,1177.484,2534.516
28369,0,528.567,26.733,167.633,23.067,53.167,12,158.033,433.933,1227.233,2630.367
28399,0,481.258,6.097,246.645,4.742,46.29,7.839,156.097,451.935,1121.645,2522.548
28430,0,509.267,24.933,230.667,0.567,81.6,6.467,141.8,462.767,1013.2,2471.267
28460,0,580.161,32.161,186.581,6.419,51.032,6.452,177.613,555.645,1098.581,2694.645
28491,0,474.355,25.613,236.355,0.548,108.645,6.516,210,465.968,1047.323,2575.323
28522,0,498.714,13.929,211.214,0,75,8.036,200.571,490.571,1122.036,2620.071
28550,0,434.645,33.387,230.935,0.194,83.226,0,149,505.548,1088.774,2525.71
28581,0,394.533,33.8,231.367,0.367,139.133,0,182.667,371.867,1240.667,2594.4
28611,0,389.581,25.516,257.581,0,85.065,13.71,154.226,303.968,1178.29,2407.935
28642,0,469.167,19.867,287.1,0.267,162.3,0,175.5,324.467,1017.9,2456.567
28672,0,532.484,19.742,309.323,0,83.968,6.387,132.484,402.226,1131.355,2617.968
28703,0,418.129,3.935,392.581,12.871,84.71,7.161,235.387,431.032,1082.581,2668.387
28734,0,427.267,13.367,460.6,0,134.367,23,231.1,431.633,1131.8,2853.133
28764,0,425.935,28.871,392.129,21.645,178.484,7.581,225.645,476.29,819.032,2575.613
28795,0,481.4,22.933,401.833,5,74.4,17.733,101,489.1,1018.467,2611.867
28825,0,651.387,11.968,395.968,0,40.323,7.935,158.29,448.29,1127.806,2841.968
28856,0,564.29,14.323,595.484,13.452,42.097,0,300.355,477,1075,3082
28887,0,561.107,0,415.429,77.964,66.107,0,155.929,421.071,1084.036,2781.643
28915,0,616.29,28.968,397.452,28,72.871,0,162.935,561.613,1138.419,3006.548
28946,0,577.567,33.7,301.567,1.033,25.933,0,175.133,474.7,900.767,2490.4
28976,0,557.452,15.065,402.935,0.968,33.774,0,202.677,381.968,1049,2643.839
29007,0,468.633,16.567,457.667,16.8,117.3,0.633,264,413.733,1064.4,2819.733
29037,0,490.452,22.581,407,32.29,48.452,0,300.774,451.161,1123.839,2876.548
29068,0,464.161,27.516,439.387,10.161,68.226,0,76.032,357.097,1050.774,2493.355
29099,0,463.567,8.933,431.3,2.767,111.1,0,196.6,285.7,1080.033,2580
29129,0,487.161,28.806,531.097,13.548,103.097,0,152.581,403,1230.806,2950.097
29160,0,582.9,6.633,428.667,26.967,121.267,6.967,181.4,438.367,1036,2829.167
29190,7.774,618.774,14.516,453.903,29.871,96.677,7.484,256.419,507.548,1256,3248.968
29221,0,569.258,0,545.161,0.548,141.677,0,295.774,467.194,1111.065,3130.677
29252,0,539.828,0,476.655,0.172,167.793,0.172,105.138,536.138,1087.828,2913.724
29281,7.548,459.806,0,459.613,0.032,178.774,0.194,231.806,449,1013.323,2800.097
29312,0,459.3,0,545.5,0,135.6,0,181.767,425,989.333,2736.5
29342,0,419.484,0,576.194,0,132.774,0,124.355,303.419,924.581,2480.806
29373,0,409,0,627,0,131.833,0,145.533,314.367,858.667,2486.4
29403,9.452,378.645,0,460.194,0,144.935,0,115.226,378,775.355,2261.806
29434,0,318.968,0,646.29,0,87.774,0,195.806,263.871,936.452,2449.161
29465,9.7,458.167,23.967,549.6,11.467,121.267,7.333,217.6,343.2,826.933,2569.233
29495,11.903,474.903,16.065,604.806,7.258,208.968,0,134.323,372,727.226,2557.452
29526,0,470.267,6.6,458.6,1.467,182.567,0,156.6,391.433,796.2,2463.733
29556,0,501.903,0,445.129,0,101.194,0,198.742,423.419,800.774,2471.161
29587,14.268,543.309,12.693,401.143,11.927,136.758,6.476,233.48,494.197,846.589,2700.84
29618,25.611,546.401,0,437.142,14.275,102.434,33.821,270.565,480.983,969.789,2881.021
29646,12.882,472.22,2.834,487.863,43.686,185.431,0,262.909,369.918,765.076,2602.819
29677,11.918,412.497,0,418.302,53.459,45.259,0,402.049,365.276,714.514,2423.273
29707,12.809,365.378,0,522.113,36.957,71.627,6.95,367.997,344.217,844.493,2572.541
29738,1.296,352.989,0.409,537.601,75.584,84.565,0,396.642,261.813,802.449,2513.349
29768,46.398,382.454,0,384.053,46.355,144.501,6.301,553.357,205.665,813.856,2582.939
29799,20.222,378.2,0,488.862,12.048,163.002,6.612,592.194,184.235,852.181,2697.555
29830,22.981,422.986,0,708.126,21.736,147.61,0,528.41,264.838,983.49,3100.176
29860,23.217,449.413,0,668.543,0.018,93.516,0,351.024,303.443,850.096,2739.268
29891,14.412,546.556,0,627.575,14.857,115.875,0,253.01,293.606,691.065,2556.956
29921,74.314,501.132,0,586.862,27.341,128.437,0,280.26,367.084,748.971,2714.401
29952,11.256,512.507,0,425.326,16.345,88.453,0,345.806,333.978,739.961,2473.631
29983,60.949,536.53,0,476.441,11.636,20.453,0,181.076,362.376,860.199,2509.661
30011,25.105,436.983,0,502.954,37.581,80.408,0,293.931,307.291,748.882,2433.136
30042,41.567,359.769,11.75,476.017,31.185,59.319,0,246.717,265.817,1014.403,2506.546
30072,30.798,418.676,11.216,766.486,26.046,131.096,8.775,515.822,302.326,770.175,2981.414
30103,44.703,480.755,0,797.228,18.39,169.871,0,556.622,321.582,841.822,3230.973
30133,38.09,536.279,0,782.849,32.458,144.554,0,432.638,376.45,861.128,3204.447
30164,56.778,442.664,8.718,853.201,55.449,110.983,0,519.549,316.786,772.921,3137.05
30195,47.61,493.258,0,896.678,30.871,116.034,0,630.848,278.332,977.885,3471.515
30225,83.782,459.069,11.208,681.535,57.848,194.137,0,665.695,261.73,807.342,3222.346
30256,93.21,552.876,21.661,859.729,48.714,58.892,0,622.843,333.792,917.147,3508.865
30286,32.301,561.272,0,689.018,49.407,44.019,0,437.651,335.853,766.007,2915.528
30317,42.703,534.364,0.069,848.897,66.755,58.304,0,314.47,299.027,861.118,3025.707
30348,27.663,586.469,0,721.58,17.69,29.16,0,193.469,192.425,889.129,2657.584
30376,47.025,487.898,0,774.875,39.285,28.005,0.071,240.449,162.22,843.768,2623.596
30407,30.768,454.199,8.793,980.78,76.893,188.689,0.15,421.416,183.004,949.913,3294.605
30437,66.918,517.626,1.275,943.674,52.019,71.584,0,484.015,234.657,946.417,3318.186
30468,28.725,585.819,11.272,830.254,75.975,69.907,0,440.317,261.986,1049.169,3353.423
30498,43.343,633.728,30.123,848.543,71.145,103.062,0,368.72,363.826,1027.591,3490.08
30529,53.853,542.423,1.353,905.93,94.232,55.901,15.25,461.191,312.511,988.649,3431.294
30560,68.875,532.912,21.375,848.838,97.101,77.118,0,475.022,307.336,1105.77,3534.347
30590,8.498,532.015,11.203,770.845,107.774,32.231,0,414.134,356.681,917.187,3150.568
30621,24.436,555.922,21.193,725.693,44.469,54.666,0.15,333.644,426.85,1113.123,3300.145
30651,45.266,604.32,17.502,710.161,38.079,19.251,0.025,428.718,277.729,922.294,3063.344
30682,41.126,635.339,1.325,709.784,22.445,87.899,6.098,381.874,389.766,1189.417,3465.073
30713,27.581,619.907,26.315,747.5,240.768,63.059,16.162,344.39,418.103,1293.271,3797.057
30742,61.01,693.603,11.335,716.1,79.394,126.502,0.061,434.351,247.511,1120.565,3490.433
30773,59.559,704.735,0,868.734,54.221,118.666,0,281.624,256.516,1066.335,3410.389
30803,45.606,722.263,10.836,676.302,38.842,111.991,8.053,429.235,335.913,922.542,3301.583
30834,92.795,506.143,5.345,753.683,44.47,150.542,0,345.078,267.81,1089.444,3255.308
30864,61.569,577.346,31.956,740.162,67.184,179.477,17.871,361.778,292.255,836.387,3165.985
30895,53.194,547.288,0,639.568,20.456,85.568,16.257,387.962,236.075,1048.424,3034.791
30926,55.916,550.049,0,779.863,18.486,156.655,32.831,490.043,249.785,915.505,3249.133
30956,61.676,682.198,0.012,826.61,71.423,101.034,38.72,486.232,321.208,1127.734,3716.846
30987,75.648,640.062,0,841.226,75.494,118.296,17.205,543.81,283.361,1037.785,3632.887
31017,86.055,674.746,6.348,686.446,52.325,68.509,7.332,336.952,235.197,1013.803,3167.713
31048,65.031,615.931,8.349,766.634,26.049,33.938,14.012,345.147,235.013,900.016,3010.119
31079,56.343,730.059,8.306,652.189,47.33,53.929,0.11,151.008,213.328,780.054,2692.655
31107,36.079,909.118,9.082,922.784,110.822,32.15,0.92,132.605,235.124,779.219,3167.903
31138,68.481,889.756,15.9,950.262,93.175,74.894,20.961,213.006,204.982,856.888,3388.306
31168,51.011,823.373,45.231,928.805,52.461,17.824,30.426,418.674,252.369,1180.051,3800.224
31199,68.343,719.573,36.993,725.571,69.543,17.616,8.724,481.315,271.425,840.581,3239.684
31229,44.288,610.367,8.316,814.345,53.984,33.508,0.03,323.862,236.465,999.291,3124.458
31260,105.315,664.352,20.772,858.882,30.542,17.774,1.266,336.181,241.052,701.924,2978.06
31291,59.915,783.331,43.259,852.022,40.213,0,9.468,302.856,173.107,904.553,3168.724
31321,62.262,824.728,11.899,745.035,50.501,35.302,7.258,352.394,260.294,813.169,3162.842
31352,77.677,766.167,27.031,886.856,39.649,54.4,0.01,376.12,325.095,1123.271,3676.277
31382,37.341,901.926,35.729,676.391,82.337,18.181,0,272.943,313.687,1061.757,3400.291
31413,22.806,822.723,10,680.547,43.667,87.488,0,333.135,326.387,948.069,3274.823
31444,35.357,690.082,22.893,557.119,67.941,110.179,0.071,218.142,308.893,859.088,2869.764
31472,48.935,749.697,16.258,616.337,28.051,34.903,0,178.206,186.29,708.114,2566.793
31503,50.433,798.441,43.167,693.8,17.674,37.633,0,188.362,208.767,824.908,2863.185
31533,32.774,880.969,121.839,743.004,106.473,0.806,16.065,365.075,236.903,1147.228,3651.136
31564,56.167,752.891,126.4,883.854,81.994,64.3,47.833,568.506,232.767,1023.024,3837.735
31594,39.935,763.355,113.871,849.805,59.565,40.29,19.806,353.119,237.129,1157.596,3634.473
31625,51.742,801.415,119.484,737.678,35.98,69.181,87.774,583.914,214.097,1120.461,3821.726
31656,74.6,801.156,102.4,615.332,49.439,80.449,8.467,437.017,290.867,1246.723,3706.449
31686,74.226,841.511,99.387,679.903,54.986,22.906,19.226,173.258,215.258,970.314,3150.976
31717,70.4,959.525,125.1,565.255,33.867,88.933,10.367,448.378,178.8,1023.531,3504.155
31747,43,809.052,140.71,745.744,66.752,84.963,9.419,350.862,290.677,1182.825,3724.004
31778,53.71,798.995,175.548,688.784,94.808,75.211,14.258,384.033,326.581,977.394,3589.322
31809,75.714,783.187,119.357,691.509,34.334,91.285,10.357,260.048,295.536,837.843,3199.17
31837,66.742,737.959,130.516,721.003,69.094,127.22,4.419,321.821,247.097,1063.547,3489.419
31868,92.033,817.985,156.4,678.628,71.8,82.61,4.567,485.302,259.467,832.354,3481.145
31898,77.194,883.995,101.839,541.239,8.742,116.679,0,391.584,214.452,1061.839,3397.563
31929,62.133,912.173,143.6,663.74,48.57,112.233,29.867,376.908,281.233,1015.988,3646.446
31959,92.871,901.184,137.419,680.033,81.258,80.839,8.516,353.507,288.452,1430.701,4054.78
31990,104.226,841.26,178.871,577.474,19.87,63.097,0,288.882,274.419,1357.676,3705.775
32021,113.282,845.58,157.467,704.697,42.533,24.8,0,258.853,270.833,1199.97,3618.015
32051,72.065,938.413,140.097,696.773,42.313,35.935,22.258,321.163,249.71,972.993,3491.72
32082,106.33,827.186,194.2,626.6,136.869,63.967,14.967,455.61,234.667,1238.729,3899.123
32112,92.484,883.174,142.452,591.34,74.6,90.355,19.097,324.004,327.452,1255.064,3800.022
32143,108.25,958.561,168.419,807.567,96.065,40.871,30.419,313.032,340.903,1183.267,4047.355
32174,105.655,1033.333,67.207,709.976,82.491,62.828,45.138,334.413,199.793,1153.551,3794.385
32203,77.218,1001.9,202.935,745.283,65.614,1.806,40.065,461.039,180.065,1095.428,3871.354
32234,114.051,984.952,155.067,677.71,5.382,65.367,0,593.813,193.2,1067.405,3856.946
32264,88.203,1001.28,134.871,721.618,49.301,97.065,26.032,388.935,256.774,1203.579,3967.657
32295,107.194,1031.921,36.767,766.073,52.503,0.533,15.133,232.209,211.667,1152.72,3606.72
32325,108.851,972.219,105.355,723.093,105.3,69,23.129,214.332,214.871,1171.416,3707.566
32356,105.172,1008.967,79.032,703.956,57.548,82.484,23.129,110.904,171.871,1339.731,3682.794
32387,93.7,935.851,150.833,843.144,10.798,100.933,22.033,149.124,236.2,1277.699,3820.315
32417,126.613,996.297,160.161,743.403,39.59,142.774,19.419,447.387,234.194,1058.827,3968.665
32448,69.733,1080.12,144.833,811.439,76.5,48.1,76.833,245.719,285.533,1365.289,4204.1
32478,74.161,990.398,200.935,710.862,86.82,90.226,24.806,294.045,371.935,1209.087,4053.276
32509,93.032,1064.806,261.323,809.258,57.419,33.323,19.452,214.548,414.516,1075.548,4043.226
32540,130.786,1007.214,146.357,755.964,152.679,233.214,11.536,220.714,369.25,1158.571,4186.286
32568,118.677,961.355,184.645,666.774,29.677,167.484,57.774,174,323.677,1078.806,3762.871
32599,75.833,876.633,168.333,1002.333,47.6,185.567,48.733,148.1,407.333,1190.4,4150.867
32629,64.516,901.129,122.258,808.484,31.161,184.194,27.355,201.71,379.097,1032.839,3752.742
32660,91.9,920.533,138.867,687.6,45.767,179.1,79.367,181.033,363.433,1183.433,3871.033
32690,79.806,848.71,108.065,758.194,34.355,47.581,100.29,327.774,331.258,1295.71,3931.742
32721,67.29,911.484,191.097,805.71,31.516,117.484,42.71,369.968,238.516,1253.226,4029
32752,73.133,948.867,162.867,720.667,54.433,146.267,68.4,190.967,189.933,1210.833,3766.367
32782,66.323,857.452,146.548,837.29,42.774,165.516,66.258,308.581,179.839,1453.516,4124.097
32813,86.2,910.733,227.433,743.4,33.067,155.433,47.6,164.567,278.6,1341.2,3988.233
32843,39,972.613,199.29,610.452,36.613,56.935,0,78.194,377.065,1098.226,3468.387
32874,48.065,982.065,187.516,776.097,129.129,75.355,62.194,218.839,408.71,1444.032,4332
32905,45.393,946.25,202.714,725.393,79.964,43.429,39.679,74.107,323.036,1325.143,3805.107
32933,8.387,850.258,177.129,815.161,21.419,50.097,0,256.935,263.677,1092.71,3535.774
32964,40.2,924.667,197.733,465.667,46.633,134.333,20.3,304.233,282.867,1243.4,3660.033
32994,114.29,981.032,219.742,787.806,63.032,165.613,0,368.903,285.29,1274.323,4260.032
33025,82.467,941.6,179.9,911.633,92.3,209.167,18.667,249.433,299.2,1302.433,4286.8
33055,93.226,898.645,169.097,706.29,53.677,128.839,92.129,223.935,252.226,1438.581,4056.645
33086,44.806,951.516,202.645,773.226,39.097,158.968,72.613,183.097,230.258,1066.226,3722.452
33117,8.467,924.267,96.667,870.5,20.3,125.267,48.9,154.733,239.833,927.933,3416.867
33147,12.129,916.806,182.742,827.774,37.129,67.194,86.581,81.097,203.645,784.29,3199.387
33178,74.233,902.467,209.133,761.333,49,17.167,63.1,112,311.733,873.6,3373.767
33208,15.935,986.548,161.29,636.516,28.258,42.581,33.935,32.806,291.355,781.742,3010.968
33239,31.355,977.677,194.065,798.097,6.194,44.548,28.161,31.613,260.871,832.387,3204.968
33270,12.607,1135.214,150.607,741.75,16.929,36.786,16.679,33.5,221.536,685.036,3050.643
33298,0,1057.516,157.129,795.097,33.226,25.452,13.419,48.032,214.129,678.774,3022.774
33329,17.267,1102.5,162.9,890.7,34.533,50.667,39.3,60.633,244.567,1070.7,3673.767
33359,31.097,1026.677,162.871,757.129,44.516,165.194,41.935,222.097,263.516,1079.258,3794.29
33390,40.667,986.333,168.833,919.4,49.233,98.9,0,105.467,233.9,1143.767,3746.5
33420,20.774,848.355,163.226,835.161,46.645,69.097,58.032,228.032,190.71,1063.516,3523.548
33451,26.935,1011.194,219.258,877.645,30.194,142.258,79.968,254.419,207.968,1217.548,4067.387
33482,19.433,1137.167,168.167,804.6,44.433,78.967,22.567,217.8,269.033,1108.6,3870.767
33512,15.645,935.774,127.548,811.484,16.032,97.903,13.452,201.323,262.065,963.032,3444.258
33543,44.533,1106.867,145.067,715.767,23.767,72.5,16.067,83.733,263.633,971.867,3443.8
33573,8.323,1083.323,137.71,732.29,4.097,94.258,15.581,153.806,286.129,1030.677,3546.194
33604,17.645,1045.484,157.581,763.742,31.452,24.613,16.968,128.516,250.032,1051.548,3487.581
33635,12.103,1147.448,113.862,838.034,8.724,10.517,3.241,63.103,222.207,858.276,3277.517
33664,0.355,1099.677,101.097,846,34.065,11.452,0,78.935,202.419,1088.161,3462.161
33695,16.733,1121.133,150.233,857.433,8,154.7,0,157.2,233.633,1307.833,4006.9
33725,17.613,1013.226,56.903,788.452,27.452,209.645,0,198.419,246.226,1147.29,3705.226
33756,27.767,970.167,134.833,904.867,24.7,233.5,0,247.933,266.133,1106.8,3916.7
33786,24.871,1044.323,102.71,829.903,21.387,186.387,71.548,353.645,279.806,1225.29,4139.871
33817,10.323,1038.419,156.032,856.839,44.742,142.161,62.032,295.194,263.065,1247.065,4115.871
33848,20.9,1131.433,189.6,755.233,38.833,102.8,52.833,341.167,217.133,1053.767,3903.7
33878,10.194,1062.645,153.032,828.645,18.161,189.516,9.484,411.161,254.323,1061.226,3998.387
33909,32.4,1037.367,127.333,762,25.5,111.333,0,336.067,274,1079.733,3785.733
33939,50.161,1122.355,65.839,929.871,33.419,139.613,0,147.613,272.613,972.29,3733.774
33970,2.806,1051.516,188.226,858.29,11.032,70.355,0,229.129,252.161,1102.29,3765.806
34001,22.179,1095.393,147.857,807.286,18.143,61.571,0,173.25,244.036,882.214,3451.929
34029,27.387,1033.226,160.839,843.742,10.097,121.71,0,331.968,244.452,1229.387,4002.806
34060,55.733,1052.133,178.3,831.967,0,170,32.333,413.067,245.033,1182.333,4160.9
34090,41.129,1127.903,147.226,917.323,9.968,222.097,31.935,522.387,279.355,1054,4353.323
34121,19.333,1116.633,175.6,986.833,10.033,160.367,76.733,457.667,289.967,1158.733,4451.9
34151,47.968,1264.452,203.968,942.871,21.355,215,157.387,292.419,201.774,1454.258,4801.452
34182,31.645,1247.065,130.548,862,17.323,179.581,26.484,343.032,255.677,1285.097,4378.452
34213,59.067,1318.667,224.2,928.933,21.833,112.7,56.6,286.433,183.967,1324.767,4517.167
34243,15.323,1369.774,192.226,1013.452,0,114.613,176.323,352.935,235.871,1513.71,4984.226
34274,61.133,1236.133,163.933,1116.267,0.233,162.467,55.633,350.733,330.333,1261.767,4738.633
34304,9.677,1254.581,134.258,909.387,5.581,108,38.323,431.839,288.226,1305.935,4485.806
34335,10.71,1241.548,181.935,971.161,36.935,100.613,10.645,205.484,276.258,1297.226,4332.516
34366,11.964,1374.464,184.286,967.464,42.5,198.929,13.536,290.179,351.357,1270.107,4704.786
34394,10.29,1326.355,187.774,1067.387,43.419,108,34.355,458.677,324.581,1223.161,4784
34425,41.633,1193.7,240.967,987.167,23.567,205.233,0,376.6,324.8,1167.067,4560.733
34455,95.677,1159.645,105.452,974.516,78.71,158.806,31.645,404.419,312.194,1483.484,4804.548
34486,61.633,1205.767,111.6,1040.233,38.033,175.7,133.367,537.4,361.433,1122.033,4787.2
34516,53.355,1236.742,126.968,926.323,35.097,276.097,81.516,677.935,294.484,1564.548,5273.065
34547,37.581,1356.742,181.065,894.032,32.516,206.161,20.516,514.355,355.774,1408.516,5007.258
34578,21.3,1299.767,143.567,1043,33.7,347.067,5.833,736.067,359.867,1317.233,5307.4
34608,18,1237.581,214.71,939.677,17.516,309.71,30.129,370.29,312.903,1033,4483.516
34639,0,1250.633,134.067,1037.233,0.9,214.067,0,617.8,291.6,989.933,4536.233
34669,8.258,1387.71,124.419,962.903,3.516,124.645,0,305.452,369.032,1125.516,4411.452
34700,0.968,1344.871,222.806,924.71,0,195.452,0,240.355,282.742,1084.677,4296.581
34731,0,1311.214,139.321,921.893,16.75,194.143,0,381.821,321.607,1129.321,4416.071
34759,0,1207.774,239.419,1006.065,21.194,241.161,0,663.387,298.161,1109.581,4786.742
34790,0,1243.133,175.2,993.2,3.133,314.867,0,490.867,284.133,1236.467,4741
34820,0,1406.129,171.29,1118.065,24,292.161,11.839,405.258,203.258,1275.323,4907.323
34851,0,1420.3,225.267,1138.1,36.5,370.333,14.667,519.667,268,1459.733,5452.567
34881,8.065,1278.935,223.226,1187.677,9.129,262.903,40.548,136.774,240.194,1424.097,4811.548
34912,8.742,1345.419,330.419,1200.71,21.355,279.258,135.774,287.806,264.194,1294.774,5168.452
