U.S. Energy Information Administration,,,,,,,,
July 2014 Monthly Energy Review,,,,,,,,
,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,
,,,,,,,,
"Release Date: July 28, 2014",,,,,,,,
"Next Update: August 26, 2014",,,,,,,,
,,,,,,,,
Table 4.4 Natural Gas in Underground Storage,,,,,,,,
,,,,,,,,
Annual Total,"Natural Gas in Underground Storage, End of Period, Base Gas","Natural Gas in Underground Storage, End of Period, Working Gas","Natural Gas in Underground Storage, End of Period, Total","Change in Working Gas From Same Period Previous Year, Volume","Change in Working Gas From Same Period Previous Year, Percent","Natural Gas Storage Activity, Withdrawals","Natural Gas Storage Activity, Injections","Natural Gas Storage Activity, Net"
1979,3553,2753,6306,207,8.1,2047,2295,-248
1980,3642,2655,6297,-99,-3.6,1910,1896,14
1981,3752,2817,6569,162,6.1,1887,2180,-293
1982,3808,3071,6879,255,9,2094,2399,-305
1983,3847,2595,6442,-476,-15.5,2142.027,1700.426,441.601
1984,3830,2876,6706,281,10.8,2064.292,2252.347,-188.055
1985,3842,2607,6448,-270,-9.4,2359.405,2127.932,231.473
1986,3819,2749,6567,142,5.5,1811.697,1952.103,-140.406
1987,3792,2756,6548,7,0.3,1880.951,1887.11,-6.159
1988,3800,2850,6650,94,3.4,2243.621,2174.328,69.293
1989,3812,2513,6325,-337,-11.8,2803.787,2491.283,312.505
1990,3868,3068,6936,555,22.1,1934,2433,-499
1991,3954.138,2823.542,6777.679,-244.458,-8,2688.728,2608.373,80.355
1992,4043.744,2596.797,6640.542,-226.744,-8,2723.774,2555.393,168.381
1993,4327.306,2321.78,6649.086,-275.017,-10.6,2717.064,2759.738,-42.674
1994,4360.092,2606.056,6966.148,284.276,12.2,2508.151,2796.279,-288.127
1995,4349.234,2153.273,6502.507,-452.783,-17.4,2974.102,2565.882,408.22
1996,4340.71,2172.551,6513.261,19.278,0.9,2911.327,2905.592,5.735
1997,4350.083,2174.52,6524.603,1.968,0.1,2824.245,2800.294,23.95
1998,4325.86,2729.704,7055.564,554.218,25.5,2378.656,2904.755,-526.099
1999,4383.036,2523.186,6906.222,-206.518,-7.6,2771.535,2597.509,174.025
2000,4352.091,1718.926,6071.016,-806.397,-31.9,3498.205,2684.285,813.92
2001,4300.737,2903.514,7204.251,1184.588,68.9,2308.687,3464.262,-1155.575
2002,4340.234,2375.233,6715.467,-528.281,-18.2,3137.666,2669.844,467.822
2003,4303.153,2562.619,6865.772,187.386,7.9,3098.734,3291.714,-192.981
2004,4201.124,2696.075,6897.2,133.456,5.2,3036.566,3150.003,-113.437
2005,4200.014,2635.36,6835.374,-60.716,-2.3,3056.598,3001.582,55.016
2006,4210.95,3069.956,7280.906,434.596,16.5,2492.862,2924.249,-431.387
2007,4234.216,2879.259,7113.475,-190.697,-6.2,3325.013,3132.92,192.093
2008,4232.293,2840.363,7072.657,-38.896,-1.4,3374.338,3340.365,33.973
2009,4276.666,3130.076,7406.742,289.712,10.2,2966.18,3314.99,-348.81
2010,4301.362,3111.085,7412.447,-18.991,-0.6,3274.385,3291.395,-17.009
2011,4301.752,3462.021,7763.772,350.936,11.3,3074.251,3421.813,-347.562
2012,4372.412,3412.91,7785.322,-49.111,-1.4,2818.148,2825.427,-7.279
2013,4365.135,2889.591,7254.726,-523.319,-15.3,3699.51,3150.619,548.891
