U.S. Energy Information Administration,,,,,,,,,,,
October 2014 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: October 28, 2014",,,,,,,,,,,
"Next Update: November 25, 2014",,,,,,,,,,,
,,,,,,,,,,,
Table 9.10 Natural Gas Prices,,,,,,,,,,,
,,,,,,,,,,,
Annual Average,"Natural Gas Price, Wellhead","Natural Gas Price, City Gate","Natural Gas Price, Delivered to Consumers, Residential",Percentage of Residential Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Commercial",Percentage of Commercial Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Industrial",Percentage of Industrial Sector Consumption for Which Price Data Are Available,Natural Gas Transportation Sector Price,"Natural Gas Price, Electric Power Sector",Percentage of Electric Power Sector Consumption for Which Price Data Are Available
1959,0.13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1960,0.14,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1961,0.15,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1962,0.16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1963,0.16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1964,0.15,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1965,0.16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1966,0.16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1967,0.16,Not Available,1.04,Not Available,0.74,Not Available,0.34,Not Available,Not Available,0.28,Not Available
1968,0.16,Not Available,1.04,Not Available,0.73,Not Available,0.34,Not Available,Not Available,0.22,Not Available
1969,0.17,Not Available,1.05,Not Available,0.74,Not Available,0.35,Not Available,Not Available,0.27,Not Available
1970,0.17,Not Available,1.09,Not Available,0.77,Not Available,0.37,Not Available,Not Available,0.29,Not Available
1971,0.18,Not Available,1.15,Not Available,0.82,Not Available,0.41,Not Available,Not Available,0.32,Not Available
1972,0.19,Not Available,1.21,Not Available,0.88,Not Available,0.45,Not Available,Not Available,0.34,Not Available
1973,0.22,Not Available,1.29,Not Available,0.94,Not Available,0.5,Not Available,Not Available,0.38,92.1
1974,0.3,Not Available,1.43,Not Available,1.07,Not Available,0.67,Not Available,Not Available,0.51,92.7
1975,0.44,Not Available,1.71,Not Available,1.35,Not Available,0.96,Not Available,Not Available,0.77,96.1
1976,0.58,Not Available,1.98,Not Available,1.64,Not Available,1.24,Not Available,Not Available,1.06,96.2
1977,0.79,Not Available,2.35,Not Available,2.04,Not Available,1.5,Not Available,Not Available,1.32,97.1
1978,0.91,Not Available,2.56,Not Available,2.23,Not Available,1.7,Not Available,Not Available,1.48,98
1979,1.18,Not Available,2.98,Not Available,2.73,Not Available,1.99,Not Available,Not Available,1.81,96.1
1980,1.59,Not Available,3.68,Not Available,3.39,Not Available,2.56,Not Available,Not Available,2.27,96.9
1981,1.98,Not Available,4.29,Not Available,4,Not Available,3.14,Not Available,Not Available,2.89,97.6
1982,2.46,Not Available,5.17,Not Available,4.82,Not Available,3.87,85.1,Not Available,3.48,92.6
1983,2.59,Not Available,6.06,Not Available,5.59,Not Available,4.18,80.7,Not Available,3.58,93.9
1984,2.66,3.95,6.12,Not Available,5.55,Not Available,4.22,74.7,Not Available,3.7,94.4
1985,2.51,3.75,6.12,Not Available,5.5,Not Available,3.95,68.8,Not Available,3.55,94
1986,1.94,3.22,5.83,Not Available,5.08,Not Available,3.23,59.8,Not Available,2.43,91.7
1987,1.67,2.87,5.54,Not Available,4.77,93.1,2.94,47.4,Not Available,2.32,91.6
1988,1.69,2.92,5.47,Not Available,4.63,90.7,2.95,42.6,Not Available,2.33,89.6
1989,1.69,3.01,5.64,99.9,4.74,89.1,2.96,36.9,4.17,2.43,79.6
1990,1.71,3.03,5.8,99.2,4.83,86.6,2.93,35.2,3.39,2.38,76.8
1991,1.64,2.9,5.82,99.2,4.81,85.1,2.69,32.7,3.96,2.18,79.3
1992,1.74,3.01,5.89,99.1,4.88,83.2,2.84,30.3,4.05,2.36,76.5
1993,2.04,3.21,6.16,99.1,5.22,83.9,3.07,29.7,4.27,2.61,74.1
1994,1.85,3.07,6.41,99.1,5.44,79.3,3.05,25.5,4.11,2.28,73.4
1995,1.55,2.78,6.06,99,5.05,76.7,2.71,24.5,3.98,2.02,71.4
1996,2.17,3.27,6.34,99,5.4,77.6,3.42,19.4,4.34,2.69,68.4
1997,2.32,3.66,6.94,98.8,5.8,70.8,3.59,18.1,4.44,2.78,68
1998,1.96,3.07,6.82,97.7,5.48,67,3.14,16.1,4.59,2.4,63.7
1999,2.19,3.1,6.69,95.2,5.33,66.1,3.12,18.8,4.34,2.62,58.3
2000,3.68,4.62,7.76,92.6,6.59,63.9,4.45,19.8,5.54,4.38,50.5
2001,4,5.72,9.63,92.4,8.43,66,5.24,20.8,6.6,4.61,40.2
2002,2.95,4.12,7.89,97.9,6.63,77.4,4.02,22.7,5.1,3.68,83.9
2003,4.88,5.85,9.63,97.5,8.4,78.2,5.89,22.1,6.19,5.57,91.2
2004,5.46,6.65,10.75,97.7,9.43,78,6.53,23.6,7.16,6.11,89.8
2005,7.33,8.67,12.7,98.1,11.34,82.1,8.56,24,9.14,8.47,91.3
2006,6.39,8.61,13.73,98.1,12,80.8,7.87,23.4,8.72,7.11,93.4
2007,6.25,8.16,13.08,98,11.34,80.4,7.68,22.2,8.5,7.31,92.2
2008,7.97,9.18,13.89,97.5,12.23,79.7,9.65,20.4,11.75,9.26,101.1
2009,3.67,6.48,12.14,97.4,10.06,77.8,5.33,18.8,8.13,4.93,101.1
2010,4.48,6.18,11.39,97.4,9.47,77.5,5.49,18,6.25,5.27,100.8
2011,3.95,5.63,11.03,96.3,8.91,67.3,5.13,16.3,7.48,4.89,101.2
2012,2.66,4.73,10.71,95.3,8.1,65.2,3.89,16.2,8.04,3.54,95.5
2013,Not Available,4.88,10.33,95.5,8.13,66.4,4.66,16.8,Not Available,4.49,94.9
