U.S. Energy Information Administration,,,,,,,,,,
September 2014 Monthly Energy Review,,,,,,,,,,
,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,
,,,,,,,,,,
"Release Date: September 25, 2014",,,,,,,,,,
"Next Update: October 28, 2014",,,,,,,,,,
,,,,,,,,,,
Table 3.7b Petroleum Consumption:  Industrial Sector,,,,,,,,,,
,,,,,,,,,,
Annual Average,Asphalt and Road Oil Consumed by the Industrial Sector,Distillate Fuel Oil Consumed by the Industrial Sector,Kerosene Consumed by the Industrial Sector,Liquefied Petroleum Gases Consumed by the Industrial Sector,Lubricants Consumed by the Industrial Sector,Motor Gasoline Consumed by the Industrial Sector,Petroleum Coke Consumed by the Industrial Sector,Residual Fuel Oil Consumed by the Industrial Sector,Other Petroleum Products Consumed by the Industrial Sector,Total Petroleum Consumed by the Industrial Sector
1995,486.42,531.954,7.462,1527.086,80.308,105.13,328.046,146.739,1380.862,4594.005
1996,484.167,556.71,8.819,1579.689,77.725,104.72,343.271,145.688,1518.227,4819.015
1997,505.158,565.843,9.09,1616.961,82.333,111.338,330.827,126.654,1605.212,4953.416
1998,521.254,569.798,10.665,1552.776,86.191,104.841,390.44,100.159,1508.27,4844.394
1999,546.794,558.364,6.204,1709.039,87.092,79.747,425.587,90.412,1531.655,5034.895
2000,525.236,563.027,7.536,1720.022,85.552,78.785,361.064,104.578,1457.678,4903.477
2001,518.907,611.376,11.221,1557.164,78.599,155.14,390.026,88.573,1480.884,4891.89
2002,511.926,566.438,6.672,1668.174,77.668,162.533,382.98,82.844,1474.371,4933.607
2003,503.496,550.61,11.651,1560.446,71.805,170.502,375.07,96.062,1578.681,4918.324
2004,536.833,569.629,13.598,1646.134,72.548,195.05,423.428,108.084,1656.932,5222.235
2005,546.309,594.302,18.881,1549.414,72.366,187,404.36,122.622,1605.004,5100.257
2006,520.682,593.969,14.291,1626.613,70.504,197.625,424.812,104.266,1639.78,5192.543
2007,494.207,594.927,6.485,1637.138,72.808,160.702,411.985,84.209,1593.454,5055.916
2008,416.659,637.255,1.846,1419.08,67.41,130.913,393.579,84.461,1407.757,4558.959
2009,360.459,508.663,2.125,1541.396,60.772,127.895,363.259,56.712,1251.049,4272.33
2010,362.394,546.871,3.536,1673.321,67.522,140.325,310.121,52.381,1343.33,4499.8
2011,354.847,586.274,1.747,1713.871,64.064,137.599,294.858,58.797,1272.093,4484.15
2012,340.376,601.661,0.968,1840.523,58.781,129.125,319.433,30.371,1214.864,4536.102
2013,323.411,611.755,0.953,1994.664,62.364,131.516,294.416,25.77,1282.424,4727.275
