"HAS - Hasbro, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Return on Capital  - Joel Greenblatt %,48.199999999999996,-14.099999999999998,32.6,54,121.8,74.4,164.6,130.1,92.80000000000001,98.3,71.1,57.49999999999999,55.60000000000001,47.9,42.199999999999996,66.4,		,14.399999999999999,16.8,37.2,80,30.4,14.799999999999999,20.8,-128.8,-10.8,0,40.400000000000006,75.2,-4.3999999999999995,7.6,44.4,113.19999999999999,15.2,18,75.2,230.79999999999998,29.599999999999998,23.200000000000003,76,135.60000000000002,2.4,29.599999999999998,95.19999999999999,325.59999999999997,-4.8,26.400000000000002,125.6,266.40000000000003,52,33.6,98.4,143.2,48.8,36,93.60000000000001,120.39999999999999,30,35.199999999999996,87.2,117.6,44,40.8,80.80000000000001,78.8,24.8,32,75.6,81.2,8,35.6,78,69.6,5.2,32.4,64.4,66.4
Debt to Equity,0.604,1.052,0.888,0.907,0.506,0.393,0.315,0.329,0.617,0.516,0.719,0.874,1.116,1.075,0.83,0.83,		,0.37,0.683,0.696,0.604,0.825,1.02,1.145,1.052,0.989,1.067,1.143,0.888,0.906,1.045,1.031,0.907,0.694,0.671,0.757,0.506,0.501,0.491,0.433,0.393,0.395,0.383,0.368,0.315,0.311,0.346,0.357,0.329,0.328,0.377,0.632,0.617,0.802,0.793,0.695,0.516,0.547,0.825,0.785,0.719,0.923,0.886,1.014,0.874,0.937,0.964,1.027,1.116,1.125,1.158,1.09,1.075,1.064,1.089,1.052,0.83
Gross Margin %,62.3,55.800000000000004,57.199999999999996,61,59,58.199999999999996,58.3,58.599999999999994,58.9,57.9,50.7,51.6,49.2,51.7,50.7,50.7,		,64.7,63.800000000000004,62.1,60.699999999999996,64.1,65.10000000000001,59.9,40.2,59,60.099999999999994,55.00000000000001,56.8,63.2,64.1,58.199999999999996,60.5,62.7,60.3,56.8,58.599999999999994,60.6,59.8,55.300000000000004,59,63.5,60.699999999999996,55.00000000000001,57.99999999999999,60.3,60.099999999999994,55.60000000000001,60.099999999999994,61.1,60.5,57.4,58.5,61.5,60.699999999999996,55.900000000000006,56.2,51.800000000000004,50.4,49.2,51.7,54.400000000000006,59.3,49.2,51.9,53.800000000000004,49.3,48.5,47.599999999999994,52.300000000000004,61.6,49.8,52.800000000000004,52.2,60.8,48,50.7
Operating Margin %,9.3,-2.8000000000000003,7.3999999999999995,7.8,11,9.8,10.100000000000001,11.899999999999999,13.5,12.3,14.499999999999998,14.7,13.900000000000002,13.5,11.4,14.299999999999999,		,4.3999999999999995,6.7,12.9,10.2,5.2,4.7,5.3,-20.5,-3,0,11.600000000000001,12.3,-1.4000000000000001,2.6,11.799999999999999,11.5,3.5000000000000004,4.9,14.099999999999998,14.499999999999998,3.1,4.3999999999999995,12.9,12.6,0.3,4.7,13,14.299999999999999,-0.5,3.9,15.9,17.299999999999997,8.6,8.1,17.1,15.4,8.7,8.4,16.6,12.3,6.6000000000000005,9.2,18,17.7,10.299999999999999,10.8,18.099999999999998,15.7,7.3,8.9,18,16.3,2.4,10.6,18.6,15.6,1.6,9.700000000000001,14.499999999999998,14.299999999999999
Net Margin %,4.5,-3.8,2.1,-6.1,5,6.5,6.9,7.3,8.7,7.6,9.2,9.9,9,8.200000000000001,7.000000000000001,10.100000000000001,		,2.1,3.6999999999999997,7.8,3.5999999999999996,2,0.8,1.3,-15.5,-5.4,-3.5999999999999996,5.7,5.3,-3.8,-4.7,6.800000000000001,6.2,0.3,2,7.1,6.800000000000001,1.4000000000000001,3.5999999999999996,9.4,7.7,-0.8,5.1,9.3,8.799999999999999,-1,5.1,9.6,9.700000000000001,5.3,0.7000000000000001,13.200000000000001,10.299999999999999,5.3,4.8,10.6,7.6,3.2,5,11.799999999999999,12,8.799999999999999,5.8999999999999995,11.799999999999999,10.9,2.6,6.4,12.4,10.5,-0.4,5.4,12.3,10.2,-1,4.8,9.2,10.100000000000001
Total Equity to Total Asset,0.421,0.347,0.402,0.379,0.444,0.506,0.522,0.497,0.428,0.439,0.409,0.395,0.343,0.348,0.382,0.382,		,0.56,0.462,0.445,0.421,0.378,0.374,0.341,0.347,0.379,0.377,0.358,0.402,0.423,0.379,0.365,0.379,0.45,0.451,0.391,0.444,0.483,0.493,0.481,0.506,0.535,0.536,0.511,0.522,0.56,0.533,0.479,0.497,0.53,0.532,0.412,0.428,0.405,0.408,0.398,0.439,0.472,0.4,0.385,0.409,0.409,0.4,0.353,0.395,0.389,0.373,0.338,0.343,0.359,0.349,0.343,0.348,0.36,0.348,0.332,0.382
LT Debt to Total Asset,0.094,0.305,0.346,0.273,0.217,0.093,0.15,0.16,0.219,0.224,0.29,0.341,0.339,0.323,0.218,0.218,		,0.12,0.105,0.097,0.094,0.292,0.291,0.267,0.305,0.347,0.35,0.325,0.346,0.268,0.293,0.274,0.273,0.306,0.297,0.264,0.217,0.236,0.226,0.203,0.093,0.088,0.083,0.075,0.15,0.171,0.181,0.167,0.16,0.171,0.17,0.216,0.219,0.227,0.221,0.208,0.224,0.242,0.326,0.294,0.29,0.341,0.352,0.333,0.341,0.354,0.356,0.344,0.339,0.359,0.349,0.315,0.323,0.343,0.23,0.209,0.218
Asset Turnover,0.948,0.989,0.848,0.896,0.992,0.925,0.935,1.018,1.186,1.269,1.044,0.978,1.037,0.945,0.927,0.291,		,0.196,0.224,0.262,0.356,0.193,0.194,0.245,0.304,0.138,0.153,0.249,0.293,0.144,0.189,0.263,0.317,0.165,0.2,0.299,0.355,0.163,0.179,0.303,0.327,0.15,0.191,0.302,0.325,0.162,0.193,0.351,0.36,0.216,0.238,0.372,0.401,0.225,0.245,0.382,0.388,0.212,0.228,0.331,0.353,0.165,0.186,0.312,0.312,0.171,0.231,0.337,0.322,0.166,0.202,0.303,0.297,0.163,0.183,0.299,0.291
Dividend Payout Ratio,0.251,0,0.347,0,0.133,0.19,0.278,0.311,0.257,0.345,0.293,0.328,0.384,0.668,0.544,0.4,		,0.752,0.364,0.14,0.205,0.755,1.591,0.747,0,0,0,0.102,0.099,0,0,0.093,0.084,4.367,0.456,0.076,0.068,0.808,0.563,0.12,0.13,0,0.547,0.174,0.17,0,0.725,0.191,0.176,0.587,5.372,0.146,0.171,0.592,0.753,0.201,0.297,1.412,0.712,0.185,0.166,0.476,0.809,0.22,0.245,1.989,0.697,0.227,0.277,0,1.08,0.285,0.356,0,1.425,0.41,0.4
Days Sales Outstanding,93.49,66.11,73.16,71.95,70.65,70.47,61.85,64.43,62.28,55.52,93.21,87.67,88.11,91.94,97.78,,		,70.55,87.77,96.76,62,53.57,67.09,75.43,53.69,50.18,71.13,80.04,52.69,57.82,79.91,88.63,50.65,56.48,75.92,82.43,49.17,39.57,54.1,67,49.7,39.92,55.36,62.76,44.41,43.12,50.09,59.49,45.34,47.61,54.97,66.42,45.91,50.23,65.27,66.19,45.22,53.46,74.96,79.39,68.74,71.19,81.83,83.87,68.41,75.7,83.94,83.37,70.82,64.03,73.05,80.88,73.02,69.83,76.06,80.7,77.64
Days Inventory,93.54,73.15,64.88,63.14,47.89,56.8,50.91,56.92,59.98,64.79,37.81,68.57,56.04,58.44,63.28,50.26,		,136.31,124.52,95.99,59.45,144.8,170.42,114.36,43.94,147.01,150.16,78.22,46.29,126.96,129.83,74.87,43.95,117.45,107.95,62.73,33.07,91.75,104.07,68.15,40.83,127.56,106.27,67.68,36.22,104.25,111.82,61.53,41.5,99.2,117.39,69.07,43.75,97.72,110.73,73.2,50.68,89.8,80.25,56.01,28.46,67.34,103.66,63.82,53.93,117.62,84.42,66.62,43.67,116.73,121.6,62.41,47.46,92.95,108.98,57.1,50.26
Inventory Turnover,3.9,4.99,5.63,5.78,7.62,6.43,7.17,6.41,6.09,5.63,9.65,5.32,6.51,6.25,5.77,1.81,		,0.67,0.73,0.95,1.53,0.63,0.53,0.8,2.07,0.62,0.61,1.16,1.97,0.72,0.7,1.22,2.07,0.77,0.84,1.45,2.75,0.99,0.87,1.34,2.23,0.71,0.86,1.34,2.51,0.87,0.81,1.48,2.19,0.92,0.78,1.32,2.08,0.93,0.82,1.24,1.8,1.01,1.13,1.62,3.2,1.35,0.88,1.43,1.69,0.77,1.08,1.37,2.08,0.78,0.75,1.46,1.92,0.98,0.83,1.59,1.81
COGS to Revenue,0.38,0.44,0.43,0.39,0.41,0.42,0.42,0.41,0.41,0.42,0.49,0.48,0.51,0.48,0.49,0.49,		,0.35,0.36,0.38,0.39,0.36,0.35,0.4,0.6,0.41,0.4,0.45,0.43,0.37,0.36,0.42,0.39,0.37,0.4,0.43,0.41,0.39,0.4,0.45,0.41,0.36,0.39,0.45,0.42,0.4,0.4,0.44,0.4,0.39,0.4,0.43,0.42,0.39,0.39,0.44,0.44,0.48,0.5,0.51,0.48,0.46,0.41,0.51,0.48,0.46,0.51,0.52,0.52,0.48,0.38,0.5,0.47,0.48,0.39,0.52,0.49
Inventory to Revenue,0.097,0.089,0.076,0.068,0.054,0.065,0.058,0.065,0.068,0.075,0.051,0.091,0.078,0.077,0.085,0.272,		,0.529,0.496,0.399,0.257,0.572,0.653,0.504,0.289,0.662,0.659,0.387,0.22,0.513,0.513,0.344,0.191,0.481,0.471,0.298,0.15,0.397,0.459,0.335,0.184,0.511,0.459,0.335,0.167,0.455,0.49,0.3,0.182,0.424,0.51,0.323,0.2,0.414,0.478,0.355,0.244,0.475,0.438,0.313,0.151,0.337,0.464,0.356,0.285,0.597,0.47,0.377,0.251,0.612,0.514,0.345,0.246,0.488,0.47,0.326,0.272
Revenue,4232.3,3787.215,2856.339,2816.23,3138.657,2997.51,3087.627,3151.481,3837.557,4021.52,4067.947,4002.161,4285.589,4088.983,4082.157,4082.157,		,668.398,874.6,1098.2,1591.1,773.481,778.373,1072.617,1162.744,463.286,510.971,893.353,988.729,452.267,545.99,820.532,997.441,461.768,581.469,971.071,1124.349,474.247,516.433,947.312,1059.518,454.944,572.388,988.052,1072.243,468.181,527.764,1039.138,1116.398,625.267,691.408,1223.038,1297.844,704.22,784.286,1301.961,1231.053,621.34,792.202,1279.221,1375.184,672.371,737.791,1313.302,1278.697,671.986,908.454,1375.811,1329.338,648.85,811.467,1345.137,1283.529,663.694,766.342,1370.348,1281.773
Cost of Goods Sold,1594.4,1673.973,1223.483,1099.162,1287.962,1251.657,1286.271,1303.885,1576.621,1692.728,2006.987,1938.627,2175.48,1974.046,2011.82,1961.5910000000001,		,236.2,316.8,415.9,625.4,277.876,271.34,429.94,694.817,189.805,204.008,402.155,427.515,166.414,196.165,342.918,393.665,172.237,230.807,419.869,465.049,186.723,207.35,423.458,434.126,165.975,224.766,444.775,450.755,186.092,210.369,461.511,445.913,243.452,273.212,521.022,538.935,271.161,308.222,573.835,539.51,299.206,393.278,649.751,664.752,306.461,300.322,667.22,614.572,310.472,460.207,708.781,696.02,309.47,311.984,675.74,605.959,316.964,300.57,712.529,631.528
Gross Profit,2637.9,2113.242,1632.856,1717.068,1850.695,1745.853,1801.356,1847.596,2260.936,2328.792,2060.96,2063.534,2110.109,2114.937,2070.337,2120.566,		,432.198,557.8,682.3,965.7,495.605,507.033,642.677,467.927,273.481,306.963,491.198,561.214,285.853,349.825,477.614,603.776,289.531,350.662,551.202,659.3,287.524,309.083,523.854,625.392,288.969,347.622,543.277,621.488,282.089,317.395,577.627,670.485,381.815,418.196,702.016,758.909,433.059,476.064,728.126,691.543,322.134,398.924,629.47,710.432,365.91,437.469,646.082,664.125,361.514,448.247,667.03,633.318,339.38,499.483,669.397,677.57,346.73,465.772,657.819,650.245
"Selling, General,  &Admin. Expense",1256.9,1743.355,1176.036,1249.426,1286.843,1001.924,990.931,1051.21,1189.869,1564.807,1206.138,1201.843,1236.045,1269.586,1269.777,1320.0059999999999,		,244.4,259.7,311.1,441.7,274.095,276.706,357.374,835.18,201.432,208.274,260.481,505.849,186.08,210.576,236.732,616.038,193.077,218.106,273.544,602.116,193.289,198.885,280.582,329.168,190.761,206.263,280.906,313.001,201.809,207.85,296.131,345.42,224.56,306.058,430.823,178.168,253.176,276.312,442.468,466.262,223.899,263.53,333.936,384.773,244.875,298.962,336.062,371.996,252.96,295.156,350.526,337.403,264.935,341.569,345.873,388.102,271.779,321.434,367.532,359.261
Advertising,0,452.978,290.829,296.549,363.876,387.523,366.371,368.996,0,0,412.58,0,413.951,422.239,398.098,398.098,		,0,0,0,0,0,0,0,0,47.613,51.065,90.655,101.496,46.889,58.507,82.911,108.242,53.178,67.686,105.039,137.973,55.33,59.018,129.403,143.772,54.19,64.974,118.845,128.362,54.854,60.466,126.829,126.847,67.635,78.995,138.653,0,76.983,86.234,0,0,0,0,0,0,0,0,0,0,66.537,81.77,130.396,0,65.045,79.297,134.997,142.9,67.134,73.657,136.487,120.82
Research &Development,711.8,208.485,125.633,153.775,143.183,157.162,150.586,171.358,167.194,191.424,181.195,201.358,197.638,201.197,207.591,207.59099999999998,		,111.9,179.8,170.8,249.3,126.039,135.15,164.912,-217.616,56.735,69.868,97.182,-98.152,84.669,36.77,36.687,47.105,30.5,33.105,38.811,40.767,31.683,37.696,39.257,48.526,31.041,36.514,39.387,43.644,38.164,39.606,44.445,49.143,35.31,38.787,43.466,49.631,41.77,45.432,49.993,54.229,37.131,43.529,43.87,56.665,40.324,47.466,51.618,61.95,45.818,54.965,49.504,47.351,44.926,50.113,48.472,57.686,47.185,47.904,59.366,53.136
EBITDA,669.2,159.94400000000002,437.22900000000004,403.129,508.739,439.192,490.653,523.0699999999999,675.87,660.434,769.5609999999999,734.1890000000001,754.449,702.072,648.078,648.078,		,75.898,118.30000000000001,200.39999999999998,274.7,95.471,95.17699999999999,120.391,-151.09500000000003,34.427,51.330000000000005,161.291,190.18099999999998,32.054,60.074999999999996,146.091,164.909,46.703,67.598,176.57299999999998,217.865,43.652,55.681,164.199,175.66,39.656,72.637,182.022,196.338,29.721,58.08,207.736,227.53300000000002,88.54499999999999,95.11500000000001,255.877,236.333,95.00399999999999,106.612,264.45300000000003,194.365,76.332,117.14699999999999,282.158,293.924,98.627,118.616,280.871,236.07500000000002,79.941,119.332,313.628,241.548,45.689,122.214,293.632,240.537,41.394,109.95499999999998,245.27499999999998,251.454
"Depreciation, Depletion and Amortization",277.3,264.221,225.899,183.838,164.123,146.18,180.132,146.707,156.52,166.138,180.963,146.33,160.468,150.287,180.985,180.985,		,46.2,60.1,59.2,111.8,55.281,58.631,63.456,86.853,48.534,51.371,57.517,68.477,38.399,46.074,49.374,49.991,30.747,39.207,39.58,54.589,28.98,32.952,42.159,42.089,38.116,45.517,53.744,42.755,31.847,37.481,42.539,34.84,34.818,39.338,46.14,36.224,33.751,41.103,48.528,42.756,35.115,44.074,51.449,50.325,29.3,38.89,43.114,35.026,31.018,38.925,65.556,24.969,29.963,35.932,44.01,40.382,30.767,35.867,46.569,67.782
Other Operating Charges,-277.30000000000007,-265.67900000000003,-119.85699999999989,-94.57599999999996,-76.05299999999988,-293.75500000000005,-349.3179999999999,-248.66500000000002,-384.52300000000025,-78.26499999999993,-85.02900000000022,-72.47400000000005,-82.44499999999994,-92.3689999999998,-125.87600000000003,-125.876,		,-46.199999999999996,-60.09999999999995,-59.19999999999993,-111.8000000000001,-55.281000000000006,-58.63100000000002,-63.45599999999996,-88.31100000000006,-29.420999999999992,-28.862000000000027,-29.760999999999967,-31.813000000000116,-21.449000000000012,-88.47800000000001,-107.47799999999997,174.28500000000008,-49.998000000000005,-71.05999999999997,-101.85399999999998,146.8590000000001,-47.880000000000024,-49.77300000000007,-81.97500000000004,-114.1270000000001,-65.627,-77.725,-94.70600000000005,-111.26000000000008,-44.24200000000001,-49.33999999999999,-71.85399999999993,-83.22899999999996,-68.21799999999999,-17.574000000000055,-17.98999999999998,-331.001,-76.86000000000006,-88.81099999999999,-19.739999999999895,-19.442999999999955,-19.887000000000043,-18.792000000000016,-20.95500000000004,-25.39500000000004,-11.384000000000015,-11.314999999999998,-20.644999999999925,-29.129999999999967,-13.813000000000017,-17.719000000000037,-18.92799999999994,-31.984999999999957,-13.793000000000005,-21.51899999999999,-25.430000000000064,-31.627000000000038,-17.139000000000017,-22.345999999999975,-32.215,-54.176000000000016
Operating Income,391.9,-104.277,211.33,219.291,344.616,293.012,310.521,376.363,519.35,494.296,588.598,587.859,593.981,551.785,467.093,467.09299999999996,		,29.698,58.2,141.2,162.9,40.19,36.546,56.935,-237.948,-14.107,-0.041,103.774,121.704,-6.345,14.001,96.717,114.918,15.956,28.391,136.993,163.276,14.672,22.729,122.04,133.571,1.54,27.12,128.278,153.583,-2.126,20.599,165.197,192.693,53.727,55.777,209.737,200.109,61.253,65.509,215.925,151.609,41.217,73.073,230.709,243.599,69.327,79.726,237.757,201.049,48.923,80.407,248.072,216.579,15.726,86.282,249.622,200.155,10.627,74.088,198.706,183.672
Interest Income,0,0,0,0,0,0,0,27.609,29.973,17.654,2.858,5.649,6.834,6.333,4.925,4.925000000000001,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.669,5.744,0,0,7.334,6.244,4.316,9.716,8.939,10.01,4.844,6.181,7.706,4.432,3.428,2.088,1.265,0.739,0.444,0.41,0.83,2.106,0.839,1.874,1.412,1.464,3.017,0.941,2.475,1.689,1.27,0.899,1.481,1.432,1.326,0.686
Interest Expense,-69.3,-114.421,-103.688,-77.499,-52.462,-31.698,-30.537,-27.521,-34.618,-47.143,-61.603,-82.112,-89.022,-91.141,-105.585,-105.585,		,-12,-13.6,-19.2,-24.5,-21.443,-28.198,-30.565,-34.215,-25.89,-25.321,-26.116,-26.361,-19.542,-18.317,-17.897,-21.743,-15.022,-11.974,-12.57,-12.896,-8.307,-7.924,-8.257,-7.21,-7.731,-7.649,-7.816,-7.341,-7.126,-6.812,-6.158,-7.425,-6.184,-6.661,-9.272,-12.501,-11.428,-12.95,-11.729,-11.036,-9.715,-17.503,-17.609,-16.776,-16.792,-21.922,-21.657,-21.741,-21.375,-22.848,-22.479,-22.32,-23.112,-22.413,-23.043,-22.573,-22.979,-22.225,-41.194,-19.187
Other Income (Minority Interest),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.27,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731,1.539
