District IRN,District Name,County,Region,District Improvement Level,Support Level,SI Building Count,# District Level boxes not met,District Level boxes evaluated,# of Building not met boxes,Building boxes evaluated,Total # of boxes not met,Total boxes evaluated,% boxes not met,Missed for SWD Only,2009-10 Support Level,2010-11 Support Level,2011-12 Support Level,For FY13 YEARS IN DA,F12 Letter Code,FY13 Letter Code
046318,Bethel-Tate Local,Clermont,13,OK,Low,2,0,8,1,8,1,16,0.0625,,Low,Low,Low,4,L3Y,L4Y
046748,Big Walnut Local,Delaware,11,OK,Low,1,0,12,0,8,0,20,0,,Low,Low,Medium,4,M3Y,M3YL4
048462,Black River Local,Medina,7,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,,Low,2,L1Y,M2Y
048306,Boardman Local,Mahoning,5,OK,Low,1,0,18,0,10,0,28,0,,,,Low,2,L1Y,L2Y
045237,Bridgeport Exempted Village,Belmont,12,At Risk,Low,1,2,10,1,8,3,18,0.1666666666666667,Y,,,,1,,L1Y
050120,Brookfield Local ,Trumbull,5,At Risk,Low,2,2,8,2,14,4,22,0.1818181818181818,Y,Medium,Low,Low,4,L3Y,L4Y
043653,Brooklyn City,Cuyahoga,3,At Risk,Medium,1,4,16,2,10,6,26,0.2307692307692308,,,Low,Low,3,L2Y,M3Y
043661,Brunswick City,Medina,8,At Risk,Low,1,1,16,2,8,3,24,0.125,,Low,Low,Low,4,L3Y,L4Y
043687,Bucyrus City,Crawford,7,At Risk,Low,2,2,10,3,16,5,26,0.1923076923076923,Y,Medium,Low,Low,4,L3Y,L4Y
043695,Cambridge City,Guernsey,12,DI Year 7,High,3,4,12,8,24,12,36,0.3333333333333333,,Medium,Low,Low,4,L3Y,L3YH4
043703,Campbell City,Mahoning,5,DI Year 5,Low,2,1,14,3,26,4,40,0.1,Y,Low,Low,Low,4,L3Y,L4Y
046946,Canal Winchester Local,Franklin,11,DI Year 5,Low,4,2,18,6,36,8,54,0.1481481481481481,Y,Low,Low,Low,4,L3Y,L4Y
043711,Canton City,Stark,9,DI Year 9,High,16,4,16,61,148,65,164,0.3963414634146341,,High,High,High,4,H3Y,H4Y
049833,Canton Local,Stark,9,DI Year 3,Medium,2,2,12,4,14,6,26,0.2307692307692308,Y,Low,Low,Medium,4,M3Y,M4Y
047175,Cardinal Local,Geauga,4,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,,Low,2,L1Y,M2Y
050419,Carlisle Local,Warren,13,At Risk,Low,2,1,8,0,8,1,16,0.0625,Y,Medium,Low,Low,4,L3Y,L4Y
043729,Celina City,Mercer,6,DI Year 2,High,1,2,12,4,8,6,20,0.3,Y,Low,Low,Low,4,L3Y,L3YH4
043737,Centerville City,Montgomery,10,At Risk,Low,2,0,18,2,18,2,36,0.0555555555555556,,,,Low,2,L1Y,L2Y
046714,Central Local ,Defiance,1,OK,Low,1,0,8,0,8,0,16,0,,,,Low,2,L1Y,L2Y
045294,Chesapeake Union Exempted Village,Lawrence,15,At Risk,Low,2,2,8,2,16,4,24,0.1666666666666667,Y,,,,1,,L1Y
043745,Chillicothe City,Ross,15,DI Year 3,Low,1,2,14,2,12,4,26,0.1538461538461538,Y,Low,Low,Low,4,L3Y,L4Y
043752,Cincinnati City,Hamilton,13,DI Year 8,High,39,5,18,154,334,159,352,0.4517045454545455,,High,High,Medium,4,M3Y,M3YH4
043760,Circleville City,Pickaway,11,DI Year 4,Low,5,1,10,2,22,3,32,0.09375,Y,Low,Low,Low,4,L3Y,L4Y
046284,Clark-Shawnee Local,Clark,10,OK,Low,1,0,12,1,6,1,18,0.0555555555555556,,,Low,Low,3,L2Y,L3Y
043778,Claymont City,Tuscarawas,12,OK,Low,1,0,10,3,8,3,18,0.1666666666666667,,Low,Low,Low,4,L3Y,L4Y
043794,Cleveland Heights-University Heights City,Cuyahoga,3,DI Year 5,High,10,3,16,37,80,40,96,0.4166666666666667,,High,Low,High,4,H3Y,H4Y
043786,Cleveland Municipal,Cuyahoga,3,DI Year 8,High,78,15,20,515,698,530,718,0.7381615598885795,,High,High,High,4,H3Y,H4Y
048488,Cloverleaf Local,Medina,8,DI Year 1,Low,2,2,8,1,14,3,22,0.1363636363636364,Y,Low,Low,Medium,4,M3Y,M3YL4
045302,Clyde-Green Springs Exempted Village,Sandusky,1,At Risk,High,1,2,12,4,6,6,18,0.3333333333333333,Y,,,,1,,H1Y
046516,Colonel Crawford Local,Crawford,7,OK,Low,2,0,8,0,8,0,16,0,,,,Low,2,L1Y,L2Y
043802,Columbus City School District,Franklin,11,DI Year 8,High,89,11,20,501,736,512,756,0.6772486772486772,,High,High,High,4,H3Y,H4Y
043810,Conneaut Area City,Ashtabula,5,At Risk,Low,1,2,10,0,8,2,18,0.1111111111111111,Y,Low,Low,Medium,4,M3Y,M3YL4
049981,Copley-Fairlawn City,Summit,8,DI Year 1,Medium,1,2,16,4,10,6,26,0.2307692307692308,Y,,,,1,,M1Y
043828,Coshocton City,Coshocton,12,OK,Low,2,0,10,5,16,5,26,0.1923076923076923,,,,Medium,2,M1Y,L2Y
049999,Coventry Local,Summit,8,At Risk,Low,2,1,10,1,8,2,18,0.1111111111111111,Y,Low,Low,Low,4,L3Y,L4Y
045344,Crestline Exempted Village,Crawford,7,At Risk,High,1,2,8,3,6,5,14,0.3571428571428571,Y,Low,,Low,2,L1Y,H2Y
049189,Crestwood Local,Portage,8,At Risk,Medium,2,2,8,2,8,4,16,0.25,Y,Low,Low,Medium,4,M3Y,M4Y
045351,Crooksville Exempted Village,Perry,16,At Risk,Low,2,2,8,1,12,3,20,0.15,Y,Low,Medium,Low,4,L3Y,L4Y
043836,Cuyahoga Falls City,Summit,8,DI Year 1,Low,1,2,18,2,8,4,26,0.1538461538461538,,Low,Low,Low,4,L3Y,L4Y
047837,Danville Local ,Knox,7,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,Low,Low,Low,4,L3Y,L3YM4
047928,Dawson-Bryant Local,Lawrence,15,At Risk,Low,1,2,8,1,8,3,16,0.1875,Y,,Medium,Low,3,L2Y,L3Y
043844,Dayton City,Montgomery,10,DI Year 9,High,27,14,16,173,228,187,244,0.7663934426229508,,High,High,High,4,H3Y,H4Y
043851,Deer Park Community City,Hamilton,13,OK,Low,1,0,12,0,8,0,20,0,,Low,Medium,Medium,4,M3Y,M3YL4
043869,Defiance City,Defiance,1,DI Year 2,Low,1,2,14,2,14,4,28,0.1428571428571429,Y,Low,Low,Low,4,L3Y,L4Y
043877,Delaware City,Delaware,11,DI Year 2,Low,2,2,16,4,18,6,34,0.1764705882352941,Y,Medium,Low,Low,4,L3Y,L4Y
043885,Delphos City,Allen,6,OK,Low,2,0,8,2,16,2,24,0.0833333333333333,,Medium,Medium,Low,4,L3Y,L4Y
043893,Dover City,Tuscarawas,12,At Risk,Low,1,1,14,1,8,2,22,0.0909090909090909,Y,,,,1,,L1Y
047027,Dublin City,Franklin,11,OK,Low,4,0,18,4,42,4,60,0.0666666666666667,,Low,Low,Low,4,L3Y,L4Y
043901,East Cleveland City School District,Cuyahoga,3,DI Year 7,High,6,8,8,33,48,41,56,0.7321428571428571,,High,High,High,4,H3Y,H4Y
046409,East Clinton Local,Clinton,14,At Risk,Low,1,2,8,1,8,3,16,0.1875,Y,,Low,Low,3,L2Y,L3Y
069682,East Guernsey Local,Guernsey,12,At Risk,High,1,2,8,3,8,5,16,0.3125,Y,Medium,Medium,Low,4,L3Y,L3YH4
047845,East Knox Local,Knox,7,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,Medium,Low,Low,4,L3Y,L3YM4
043919,East Liverpool City,Columbiana,5,DI Year 7,High,4,3,12,18,32,21,44,0.4772727272727273,,High,High,High,4,H3Y,H4Y
048835,East Muskingum Local,Muskingum,12,OK,Low,5,0,8,0,16,0,24,0,,,,Low,2,L1Y,L2Y
043927,East Palestine City,Columbiana,5,At Risk,Low,1,2,8,0,8,2,16,0.125,Y,Medium,Low,Low,4,L3Y,L4Y
048512,Eastern Local,Meigs,16,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,,,1,,M1Y
043935,Eaton Community City,Preble,10,At Risk,Low,3,1,8,0,16,1,24,0.0416666666666667,Y,Medium,Low,Low,4,L3Y,L4Y
046094,Edgewood City,Butler,13,DI Year 2,Low,2,2,10,2,14,4,24,0.1666666666666667,Y,Low,Low,High,4,H3Y,H3YL4
047795,Edison Local,Jefferson,12,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,,,1,,M1Y
048413,Elgin Local,Marion,7,OK,Low,1,0,8,1,8,1,16,0.0625,,,Low,Low,3,L2Y,L3Y
045773,Elida Local,Allen,6,DI Year 7 (Delay),Low,2,0,14,1,12,1,26,0.0384615384615385,,Low,Low,Low,4,L3Y,L4Y
050682,Elmwood Local,Wood,1,OK,Low,1,0,8,1,8,1,16,0.0625,,,,Medium,2,M1Y,L2Y
043943,Elyria City Schools,Lorain,2,DI Year 7,Low,11,3,16,14,88,17,104,0.1634615384615385,,Medium,Medium,Low,4,L3Y,L4Y
043950,Euclid City,Cuyahoga,3,DI Year 8,High,7,8,12,36,66,44,78,0.5641025641025641,,High,High,High,4,H3Y,H4Y
043968,Fairborn City ,Greene,10,DI Year 9,Medium,4,3,14,10,42,13,56,0.2321428571428571,,Medium,Low,Low,4,L3Y,L3YM4
046102,Fairfield City,Butler,13,DI Year 3,Low,7,2,18,13,72,15,90,0.1666666666666667,Y,Low,Low,Medium,4,M3Y,M3YL4
047936,Fairland Local ,Lawrence,15,OK,Low,1,0,8,0,8,0,16,0,,,Low,Low,3,L2Y,L3Y
043976,Fairview Park City,Cuyahoga,3,At Risk,Low,2,2,12,2,10,4,22,0.1818181818181818,Y,,,,1,,L1Y
045914,Federal Hocking Local,Athens,16,At Risk,Medium,3,2,8,6,22,8,30,0.2666666666666667,Y,Medium,Medium,Medium,4,M3Y,M4Y
046334,Felicity-Franklin Local,Clermont,13,At Risk,Low,1,2,8,1,8,3,16,0.1875,Y,Low,Low,Low,4,L3Y,L4Y
049197,Field Local,Portage,8,At Risk,Low,1,1,10,2,6,3,16,0.1875,Y,Medium,Low,Low,4,L3Y,L4Y
043984,Findlay City,Hancock,1,DI Year 4,Low,7,2,18,6,32,8,50,0.16,Y,Low,Low,Low,4,L3Y,L4Y
047332,Finneytown Local,Hamilton,13,DI Year 2 (Delay),Low,1,0,12,0,10,0,22,0,,Low,Low,Low,4,L3Y,L4Y
047340,Forest Hills Local,Hamilton,13,OK,Low,1,0,18,1,8,1,26,0.0384615384615385,,,,,1,,L1Y
043992,Fostoria City,Seneca,1,DI Year 8,High,4,7,14,12,24,19,38,0.5,,Low,Medium,Medium,4,M3Y,M3YH4
044008,Franklin City,Warren,13,DI Year 3,Low,1,1,8,2,8,3,16,0.1875,Y,Low,Low,High,4,H3Y,H3YL4
048843,Franklin Local ,Muskingum,12,DI Year 4,Medium,1,2,8,1,6,3,14,0.2142857142857143,Y,Low,High,Low,4,L3Y,L3YM4
044016,Fremont City,Sandusky,1,DI Year 5,Low,3,2,16,6,30,8,46,0.1739130434782609,Y,Low,Low,Low,4,L3Y,L4Y
050492,Frontier Local,Washington,16,At Risk,Medium,2,2,8,2,12,4,20,0.2,Y,,,High,2,H1Y,M2Y
046961,Gahanna-Jefferson City,Franklin,11,OK,Low,2,0,18,2,18,2,36,0.0555555555555556,,Low,Low,Low,4,L3Y,L4Y
044024,Galion City,Crawford,7,DI Year 5,Medium,2,2,8,2,8,4,16,0.25,Y,Medium,Low,Low,4,L3Y,L3YM4
065680,Gallia County Local,Gallia,16,DI Year 4,High,1,1,8,4,6,5,14,0.3571428571428571,Y,Low,Medium,Low,4,L3Y,L3YH4
044032,Gallipolis City ,Gallia,16,DI Year 3 (Delay),Low,2,0,12,0,14,0,26,0,,Low,Low,Low,4,L3Y,L4Y
044040,Garfield Heights City Schools,Cuyahoga,3,DI Year 6,High,5,8,16,16,46,24,62,0.3870967741935484,,Low,High,High,4,H3Y,H4Y
044057,Geneva Area City,Ashtabula,5,DI Year 4,Low,1,1,14,2,8,3,22,0.1363636363636364,,Low,Medium,Medium,4,M3Y,M3YL4
048942,Genoa Area Local,Ottawa,1,At Risk,Medium,1,2,10,2,8,4,18,0.2222222222222222,Y,,Low,Medium,3,M2Y,M3Y
046342,Goshen Local,Clermont,13,OK,Low,1,0,12,2,8,2,20,0.1,,,,,1,,L1Y
046193,Graham Local,Champaign,6,DI Year 4,Medium,1,2,8,2,8,4,16,0.25,Y,Low,Low,Low,4,L3Y,L3YM4
050013,Green Local,Summit,8,OK,Low,1,0,16,2,16,2,32,0.0625,,,,Low,2,L1Y,L2Y
050559,Green Local,Wayne,9,At Risk,Low,1,2,8,2,16,4,24,0.1666666666666667,Y,Low,Low,Medium,4,M3Y,M3YL4
045401,Greenfield Exempted Village,Highland,14,DI Year 5,Low,2,2,10,1,14,3,24,0.125,Y,Medium,Low,Low,4,L3Y,L4Y
046235,Greenon Local,Clark,10,At Risk,Low,2,1,10,2,14,3,24,0.125,Y,Low,Low,Low,4,L3Y,L4Y
044099,Greenville City ,Darke,10,DI Year 5,Medium,5,2,10,9,32,11,42,0.2619047619047619,Y,High,Low,Medium,4,M3Y,M4Y
046979,Groveport Madison Local,Franklin,11,DI Year 8,Low,9,3,16,15,86,18,102,0.1764705882352941,,Medium,Low,Low,4,L3Y,L4Y
044107,Hamilton City,Butler,13,DI Year 5,Low,9,2,18,18,90,20,108,0.1851851851851852,Y,Low,Low,Low,4,L3Y,L4Y
046953,Hamilton Local,Franklin,11,DI Year 7,Low,3,1,14,1,28,2,42,0.0476190476190476,Y,Low,Low,Low,4,L3Y,L4Y
045245,Harrison Hills City,Harrison,12,At Risk,Medium,3,2,10,5,24,7,34,0.2058823529411765,Y,,,,1,,M1Y
047019,Hilliard City,Franklin,11,OK,Low,4,0,18,6,38,6,56,0.1071428571428571,,Low,Low,Low,4,L3Y,L4Y
044123,Hillsboro City,Highland,14,DI Year 4,Medium,4,2,10,6,20,8,30,0.2666666666666667,Y,Medium,Low,Low,4,L3Y,L3YM4
048751,Huber Heights City,Montgomery,10,DI Year 6,Low,7,2,18,17,82,19,100,0.19,Y,Low,Low,Low,4,L3Y,L4Y
050021,Hudson City,Summit,8,OK,Low,3,0,14,1,6,1,20,0.05,,Low,Low,Low,4,L3Y,L4Y
049502,Huntington Local,Ross,15,At Risk,Medium,2,2,8,3,14,5,22,0.2272727272727273,Y,Medium,Low,Medium,4,M3Y,M4Y
047803,Indian Creek Local,Jefferson,12,OK,Low,2,0,10,1,8,1,18,0.0555555555555556,,Low,Low,Low,4,L3Y,L4Y
048082,Indian Lake Local,Logan,6,DI Year 2 (Delay),Low,,0,8,,,0,8,0,,Low,Low,Low,4,L3Y,L4Y
044149,Ironton City,Lawrence,15,At Risk,Low,2,2,12,1,14,3,26,0.1153846153846154,Y,Low,Low,Medium,4,M3Y,M3YL4
044156,Jackson City,Jackson,16,At Risk,Low,2,2,8,2,14,4,22,0.1818181818181818,Y,Medium,Low,Low,4,L3Y,L4Y
045872,Jefferson Area Local,Ashtabula,5,At Risk,Low,2,2,8,2,16,4,24,0.1666666666666667,Y,Medium,Low,Low,4,L3Y,L4Y
048256,Jefferson Local,Madison,11,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,Medium,Medium,Low,4,L3Y,L3YM4
048686,Jefferson Township Local,Montgomery,10,DI Year 5,High,2,5,8,6,12,11,20,0.55,,High,High,High,4,H3Y,H4Y
044164,Kent City,Portage,8,DI Year 4 (Delay),Low,3,1,16,1,28,2,44,0.0454545454545455,Y,Low,Low,Low,4,L3Y,L4Y
044172,Kenton City,Hardin,6,DI Year 4,Medium,,2,8,,,2,8,0.25,Y,Medium,Low,Low,4,L3Y,L3YM4
044180,Kettering City,Montgomery,10,OK,Low,3,0,18,3,24,3,42,0.0714285714285714,,Low,Low,Low,4,L3Y,L4Y
050435,Kings Local,Warren,13,OK,Low,1,0,18,1,8,1,26,0.0384615384615385,,,,,1,,L1Y
049866,Lake Local,Stark,9,OK,Low,1,0,14,4,18,4,32,0.125,,,,,1,,L1Y
050690,Lake Local,Wood,1,At Risk,Low,2,1,10,4,18,5,28,0.1785714285714286,Y,,,,1,,L1Y
044198,Lakewood City,Cuyahoga,3,DI Year 8,Low,6,3,18,8,62,11,80,0.1375,,Low,Low,Medium,4,M3Y,M3YL4
047993,Lakewood Local,Licking,11,DI Year 1,Medium,3,2,8,3,16,5,24,0.2083333333333333,Y,Medium,Low,Medium,4,M3Y,M4Y
046110,Lakota Local,Butler,13,OK,Low,5,0,18,5,64,5,82,0.0609756097560976,,Low,Low,Low,4,L3Y,L4Y
049569,Lakota Local,Sandusky,1,At Risk,Low,2,1,8,5,64,6,72,0.0833333333333333,Y,,,High,2,H1Y,L2Y
044206,Lancaster City,Fairfield,11,DI Year 5,Low,2,2,12,2,16,4,28,0.1428571428571429,Y,Low,Low,Low,4,L3Y,L4Y
045443,Leetonia Exempted Village,Columbiana,5,At Risk,High,3,1,8,10,20,11,28,0.3928571428571429,Y,,Medium,Medium,3,M2Y,H3Y
050195,Liberty Local,Trumbull,5,At Risk,Low,2,2,12,3,16,5,28,0.1785714285714286,Y,Low,Low,Low,4,L3Y,L4Y
047449,Liberty-Benton Local,Hancock,1,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,,,1,,M1Y
048009,Licking Heights Local,Licking,11,At Risk,Low,3,2,16,6,28,8,44,0.1818181818181818,Y,Low,Low,Low,4,L3Y,L4Y
044222,Lima City,Allen,6,DI Year 9,High,11,10,14,47,84,57,98,0.5816326530612245,,High,High,High,4,H3Y,H4Y
045450,Lisbon Exempted Village,Columbiana,5,At Risk,Low,1,1,8,1,8,2,16,0.125,Y,Low,Medium,Low,4,L3Y,L4Y
049080,Logan Elm Local,Pickaway,11,At Risk,Low,1,1,8,2,8,3,16,0.1875,Y,Low,Low,Low,4,L3Y,L4Y
044255,London City,Madison,11,At Risk,Medium,2,2,12,6,16,8,28,0.2857142857142857,Y,Medium,Medium,Medium,4,M3Y,M4Y
044263,Lorain City,Lorain,2,DI Year 9,High,14,13,16,89,148,102,164,0.6219512195121951,,High,High,High,4,H3Y,H4Y
048702,Mad River Local,Montgomery,10,DI Year 1,Medium,3,2,14,8,26,10,40,0.25,Y,Low,Low,Medium,4,M3Y,M4Y
049452,Madison Local,Richland,7,DI Year 3,Low,1,2,14,1,8,3,22,0.1363636363636364,Y,Low,Low,Low,4,L3Y,L4Y
047886,Madison Local ,Lake,4,At Risk,Medium,1,2,12,2,8,4,20,0.2,Y,,,Low,2,L1Y,M2Y
044297,Mansfield City,Richland,7,DI Year 9,High,7,6,12,20,48,26,60,0.4333333333333333,,High,High,Medium,4,M3Y,M3YH4
044305,Maple Heights City,Cuyahoga,3,DI Year 7,High,5,3,12,14,30,17,42,0.4047619047619048,,High,High,Medium,4,M3Y,M3YH4
044321,Marietta City,Washington,16,DI Year 4,Low,3,2,10,4,24,6,34,0.1764705882352941,Y,High,Low,Low,4,L3Y,L4Y
044339,Marion City,Marion,7,DI Year 9,High,5,4,14,15,42,19,56,0.3392857142857143,,High,Medium,Medium,4,M3Y,M3YH4
044347,Martins Ferry City,Belmont,12,OK,Low,1,0,12,1,6,1,18,0.0555555555555556,,,,Low,2,L1Y,L2Y
045476,Marysville Exempted Village,Union,11,DI Year 4,Low,1,1,14,2,8,3,22,0.1363636363636364,Y,Low,Low,Low,4,L3Y,L4Y
044354,Massillon City,Stark,9,DI Year 8,Medium,3,2,14,10,28,12,42,0.2857142857142857,Y,Medium,Medium,Medium,4,M3Y,M4Y
044362,Maumee City,Lucas,1,OK,Low,1,0,14,2,8,2,22,0.0909090909090909,,Low,Low,Low,4,L3Y,L4Y
044370,Mayfield City,Cuyahoga,3,At Risk,Low,1,1,18,2,10,3,28,0.1071428571428571,Y,,,,1,,L1Y
048850,Maysville Local,Muskingum,12,OK,Low,1,0,8,1,6,1,14,0.0714285714285714,,,,,1,,L1Y
044388,Medina City SD,Medina,8,At Risk,Medium,1,2,16,4,8,6,24,0.25,,,,Low,2,L1Y,M2Y
048520,Meigs Local,Meigs,16,DI Year 9,Medium,4,1,8,5,22,6,30,0.2,Y,Low,Medium,Medium,4,M3Y,M4Y
045492,Mentor Exempted Village,Lake,4,OK,Low,1,0,18,2,8,2,26,0.0769230769230769,,Low,Low,Low,4,L3Y,L4Y
046920,Miami Trace Local,Fayette,14,DI Year 2,Low,1,1,10,1,8,2,18,0.1111111111111111,Y,Medium,Low,Low,4,L3Y,L4Y
044396,Miamisburg City,Montgomery,10,DI Year 4,Medium,1,3,18,4,8,7,26,0.2692307692307692,,Low,Low,Low,4,L3Y,L3YM4
044404,Middletown City,Butler,13,DI Year 9,Medium,8,4,16,23,82,27,98,0.2755102040816327,,High,High,Medium,4,M3Y,M4Y
048173,Midview Local,Lorain,2,DI Year 5,Low,1,2,14,1,8,3,22,0.1363636363636364,Y,Medium,Low,Low,4,L3Y,L4Y
045518,Milton-Union Exempted Village,Miami,10,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,,,1,,M1Y
049890,Minerva Local,Stark,9,DI Year 3,Low,1,1,8,2,8,3,16,0.1875,Y,Low,Low,Low,4,L3Y,L4Y
050740,Mohawk Local,Wyandot,7,At Risk,Low,1,1,8,0,6,1,14,0.0714285714285714,Y,Medium,Medium,Low,4,L3Y,L4Y
139303,Monroe Local School District,Butler,13,At Risk,Low,2,1,16,3,14,4,30,0.1333333333333333,Y,,,Low,2,L1Y,L2Y
048777,Morgan Local,Morgan,12,At Risk,Low,1,1,12,0,10,1,22,0.0454545454545455,Y,Medium,Low,Low,4,L3Y,L4Y
045534,Mount Gilead Exempted Village,Morrow,7,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,High,Low,3,L2Y,M3Y
044420,Mount Vernon City,Knox,7,DI Year 5 (Delay),Low,4,1,12,5,30,6,42,0.1428571428571429,Y,Medium,Medium,Medium,4,M3Y,M3YL4
044412,Mt Healthy City,Hamilton,13,DI Year 6,Medium,4,2,14,12,42,14,56,0.25,Y,High,High,High,4,H3Y,H3YM4
044446,Nelsonville-York City,Athens,16,OK,Low,1,0,8,2,6,2,14,0.1428571428571429,,Medium,High,Low,4,L3Y,L4Y
046995,New Albany-Plain Local,Franklin,11,OK,Low,2,0,18,0,8,0,26,0,,,,Low,2,L1Y,L2Y
044461,New Boston Local,Scioto,15,OK,Low,2,0,8,0,6,0,14,0,,,,Low,2,L1Y,L2Y
044479,New Lexington City,Perry,16,DI Year 6,High,2,2,8,9,14,11,22,0.5,Y,Medium,Low,Low,4,L3Y,L3YH4
047720,New London Local,Huron,2,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,,,1,,M1Y
044487,New Philadelphia City,Tuscarawas,12,DI Year 1,Medium,,3,14,,,3,14,0.2142857142857143,,,,,1,,M1Y
044453,Newark City,Licking,11,DI Year 7,Medium,3,2,14,6,26,8,40,0.2,Y,Medium,Low,Low,4,L3Y,L3YM4
047217,Newbury Local ,Geauga,4,OK,Low,1,0,8,0,6,0,14,0,,,,Low,2,L1Y,L2Y
045542,Newcomerstown Exempted Village,Tuscarawas,12,At Risk,Low,2,1,8,0,8,1,16,0.0625,Y,,,Low,2,L1Y,L2Y
044495,Niles City,Trumbull,5,DI Year 6 (Delay),Low,3,1,12,2,10,3,22,0.1363636363636364,Y,Low,Medium,Low,4,L3Y,L4Y
048900,Noble Local,Noble,12,At Risk,Low,1,1,8,1,8,2,16,0.125,Y,,,,1,,L1Y
050708,North Baltimore Local,Wood,1,At Risk,Medium,1,2,8,2,8,4,16,0.25,Y,,,Low,2,L1Y,M2Y
044503,North Canton City,Stark,9,OK,Low,1,0,16,2,8,2,24,0.0833333333333333,,,,,1,,L1Y
044511,North College Hill City,Hamilton,13,At Risk,High,2,2,12,8,16,10,28,0.3571428571428571,Y,Low,Low,High,4,H3Y,H4Y
048025,North Fork Local,Licking,11,DI Year 2 (Delay),Low,1,0,8,2,8,2,16,0.125,,Low,Low,Medium,4,M3Y,M3YL4
