ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Gabriel,Zumbado,CRC,20,00:17:35   ,00:01:16   ,01:02:03   ,00:01:02   ,00:33:59   ,24,01:55:55,Elite Men
Anthony,Mcsweeney,AUS,5,00:15:26   ,00:01:06   ,01:01:08   ,00:01:05   ,00:37:22   ,26,01:56:07,Elite Men
Rodrigo,Sepulveda,CHI,39,00:19:32   ,00:01:25   ,01:02:50   ,00:01:10   ,00:34:45   ,27,01:56:52,Elite Men
Yamil,Amuch,ARG,31,00:17:34   ,00:01:18   ,01:02:03   ,00:01:01   ,00:37:30   ,28,01:59:26,Elite Men
Luiggi,Landivar,ECU,23,00:16:36   ,00:01:19   ,01:07:28   ,00:01:27   ,00:35:06   ,29,02:01:56,Elite Men
Rachid ,Abdolcadir,ARG,28,00:19:32   ,00:01:25   ,01:07:44   ,00:01:02   ,00:37:40   ,30,02:04:33,Elite Men
Jose,Salazar,CHI,24,00:16:32   ,00:01:34   ,01:07:47   ,00:01:02   ,00:39:03   ,31,02:05:58,Elite Men
Luis Alberto,Aguilar Delgado,VEN,25,00:17:47   ,00:01:17   ,01:01:12   ,00:01:09   ,00:34:37,25,01:56:02,Elite Men
Tomas,Olavarria,CHI,19,00:16:35   ,00:01:18   ,01:00:49   ,00:01:09   ,00:35:43,23,01:55:04,Elite Men
Chris,Regis,GRN,29,00:19:06   ,00:01:48   ,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Diego,Moreno,CHI,32,00:19:55   ,00:01:31   ,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Jason,Britton,CAN,35,00:18:16   ,00:01:31   ,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Joscar Jesus,Duque Mu&#241;oz,VEN,34,00:17:32   ,00:01:22   ,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Gaspar,Riveros,CHI,7,00:15:42   ,00:01:10   ,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Michelle,Flipo,MEX,56,00:16:58   ,00:01:12   ,01:05:23   ,00:01:03   ,00:36:13   ,1,02:00:49,Elite Women
Lydia,Waldmüller,AUT,54,00:17:00   ,00:01:09   ,01:05:22   ,00:01:02   ,00:37:13   ,2,02:01:46,Elite Women
Elizabeth,Bravo,ECU,52,00:17:07   ,00:01:14   ,01:07:50   ,00:01:02   ,00:36:38   ,3,02:03:51,Elite Women
Daria,Pletikapa,CRO,55,00:16:58   ,00:01:12   ,01:05:22   ,00:01:03   ,00:39:29   ,4,02:04:04,Elite Women
Paola,Diaz,MEX,51,00:17:04   ,00:01:18   ,01:07:50   ,00:01:02   ,00:36:51   ,5,02:04:05,Elite Women
Maria Eugenia,Barrera,MEX,57,00:17:29   ,00:01:27   ,01:07:15   ,00:01:01   ,00:37:09   ,6,02:04:21,Elite Women
Anahi,Leon,MEX,53,00:17:01   ,00:01:20   ,01:07:51   ,00:01:03   ,00:37:30   ,7,02:04:45,Elite Women
Valentina ,Carvallo,CHI,60,00:18:15   ,00:01:14   ,01:06:44   ,00:01:01   ,00:38:19   ,8,02:05:33,Elite Women
Valeria,Piedra,ECU,67,00:18:00   ,00:01:21   ,01:10:21   ,00:01:06   ,00:39:52   ,9,02:10:40,Elite Women
Florencia,Giavelli,CHI,62,00:17:41   ,00:01:22   ,01:10:39   ,00:01:12   ,00:41:51   ,10,02:12:45,Elite Women
Carolina,Galvao,BRA,64,00:17:51   ,00:01:22   ,01:10:27   ,00:01:07   ,00:42:30   ,11,02:13:17,Elite Women
Maira Alejandra,Vargas,COL,58,00:18:15   ,00:01:18   ,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
Maria Paz,Contador,CHI,66,00:20:05   ,00:01:23   ,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
Karina,Navarrete,ECU,68,00:18:30   ,00:01:27   ,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
