District Name,District NCES/CCD ID Code,School Name,School NCES/CCD ID Code,School Received Title I Funds for SY 2006-2007?,Area(s) in Which School Did Not Meet AYP,,,,,,Made AYP for SY 2006- 2007?,School Improvement Status for SY 2007-2008
Ansonia Local SD,3904662,Ansonia Elementary School,390466202610,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Apex Academy,3900309,Apex Academy,390030904846,Yes,No,Yes,No,Yes,Yes,,No,SI-2
"Arts Academy, The",3900312,"Arts Academy, The",390031204849,Yes,No,Yes,No,No,Yes,,No,SI-1
Ashland City SD,3904350,Ashland Middle School,390435000076,No,No,Yes,No,Yes,Yes,,No,CA
Ashtabula Area City SD,3904351,Lakeside High School,390435100084,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Ashtabula Area City SD,3904351,Lakeside Junior High School,390435100087,No,No,Yes,No,Yes,Yes,,No,SI-2
Ashtabula Area City SD,3904351,Saybrook Elementary School,390435100090,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Ashtabula Area City SD,3904351,Thurgood Marshall Elementary School,390435100092,Yes,No,Yes,No,Yes,Yes,,No,R-I
Aurora Academy,3900023,Aurora Academy,390002301525,Yes,No,Yes,No,Yes,Yes,,No,CA
Barberton City SD,3904353,Highland Middle School,390435300107,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Barberton City SD,3904353,Johnson Elementary School,390435300108,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Barberton City SD,3904353,Light Middle School,390435300109,Yes,No,Yes,No,Yes,Yes,,No,CA
Barberton City SD,3904353,Memorial Elementary School,390435300110,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1 (Delay)
Barberton City SD,3904353,Woodford Elementary School,390435300114,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Barnesville Exempted Village SD,3904520,Barnesville Elementary School,390452002120,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Barnesville Exempted Village SD,3904520,Barnesville Middle School,390452000822,No,No,Yes,No,Yes,Yes,,No,SI-2
Bay Village City SD,3904354,Bay Middle School,390435400116,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Beaver Local SD,3904642,Beaver Local Middle School,390464202546,No,No,Yes,No,Yes,Yes,,No,SI-1
Bedford City SD,3910017,Central Primary Elementary School,391001700129,Yes,Yes,Yes,No,Yes,Yes,,No,SI-2
Bedford City SD,3910017,Columbus Intermediate Elementary School,391001700323,Yes,Yes,Yes,No,Yes,Yes,,No,SI-2
Bedford City SD,3910017,Heskett Middle School,391001700133,No,No,Yes,Yes,Yes,Yes,,No,CA
Bellaire Local SD,3904357,Bellaire Middle School,390435704193,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Bellefontaine City SD,3904358,Bellefontaine High School,390435800144,No,No,Yes,No,Yes,,Yes,No,SI-1
Bellefontaine City SD,3904358,Bellefontaine Middle School,390435800145,No,No,Yes,No,Yes,Yes,,No,SI-1
Bellevue City SD,3904359,Bellevue Junior High School,390435900151,No,No,Yes,No,Yes,Yes,,No,SI-1
Belpre City SD,3904361,Belpre Middle School,390436100160,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Benjamin Logan Local SD,3904807,Benjamin Logan Middle School,390480703103,No,No,Yes,No,Yes,Yes,,No,SI-1
Bennett Venture Academy,3900457,Bennett Venture Academy,390045705016,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Berea City SD,3904360,Berea High School,390436000162,No,No,Yes,Yes,Yes,,Yes,No,SI-1
Berea City SD,3904360,Ford Middle School,390436000169,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Big Walnut Local SD,3904674,Hylen Souders Elementary School,390467402642,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Bloomfield-Mespo Local SD,3905009,Mesopotamia Elementary School,390500903836,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Bowling Green City SD,3904363,Bowling Green Junior High School,390436300186,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Brookfield Local SD,3905012,Brookfield Middle School,390501203841,No,No,Yes,No,Yes,Yes,,No,SI-2
Brooklyn City SD,3904365,Brooklyn Middle School,390436500538,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Brooklyn City SD,3904365,Brookridge Elementary School,390436500201,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Brooklyn City SD,3904365,Roadoan Elementary School,390436500156,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Brown Local SD,3904617,Malvern Elementary School,390461702461,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Brunswick City SD,3904366,Edwards Middle School,390436600206,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Buckeye Local SD,3904778,Buckeye Southwest Middle School,390477802972,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Buckeye On-Line School for Success,3900530,Buckeye On-Line School for Success,390053005240,Yes,Yes,No,No,No,,Yes,No,SI-2
Buckeye Valley Local SD,3904675,Buckeye Valley Local Middle School,390467500827,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Bucyrus City SD,3904368,Bucyrus Middle School,390436800217,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cambridge City SD,3904369,Cambridge Middle School,390436900224,No,No,Yes,No,Yes,Yes,,No,SI-2
Cambridge City SD,3904369,Central Elementary School,390436904197,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Campbell City SD,3904370,Campbell Elementary School,390437000234,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Campbell City SD,3904370,Campbell Middle School,390437000235,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Canal Winchester Local SD,3904694,Canal Winchester Middle School,390469400307,No,No,Yes,No,Yes,Yes,,No,SI-1
Canal Winchester Local SD,3904694,Indian Trail Elementary School,390469402680,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Canal Winchester Local SD,3904694,Winchester Trail Elementary School,390469404606,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Canton City SD,3904371,Allen Elementary School,390437100236,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Canton City SD,3904371,Barbara F. Schreiber Elementary School,390437100259,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Canton City SD,3904371,Belden Elementary School,390437100238,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Canton City SD,3904371,Belle Stone Elementary School,390437100239,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Canton City SD,3904371,Canton City Schools Digital Academy,390437104759,Yes,No,Yes,No,Yes,,Yes,No,SI-2
Canton City SD,3904371,Cedar Elementary School,390437100240,No,Yes,Yes,No,Yes,Yes,,No,SI-1
Canton City SD,3904371,Choices Alternative High School,390437104202,No,Not Rated,Not Rated,Not Rated,Not Rated,,No,No,SI-1
Canton City SD,3904371,Crenshaw Middle School,390437100242,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Canton City SD,3904371,Dueber Elementary School,390437100243,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1 (Delay)
Canton City SD,3904371,Early Childhood Kindergarten Elementary School,390437105268,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Canton City SD,3904371,Gibbs Elementary School,390437100245,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,R-I (Delay)
Canton City SD,3904371,Harter Elementary School,390437100246,No,No,Yes,Yes,Yes,Yes,,No,SI-2
Canton City SD,3904371,Hartford Middle School,390437100247,Yes,No,Yes,No,Yes,Yes,,No,R-I
Canton City SD,3904371,Lehman Middle School,390437100249,No,No,Yes,No,Yes,Yes,,No,R-I
Canton City SD,3904371,McKinley High School,390437100253,No,Yes,Yes,Yes,Yes,,Yes,Yes,CA (Delay)
Canton City SD,3904371,Souers Middle School,390437100254,Yes,No,Yes,No,Yes,Yes,,No,R-I
Canton City SD,3904371,Timken High School,390437100256,No,No,Yes,No,Yes,,No,No,CA
Canton City SD,3904371,Youtz Elementary School,390437100261,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Celina City SD,3910030,Celina Intermediate Elementary School,391003001318,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Celina City SD,3910030,Celina Middle School,391003000262,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Chillicothe City SD,3904374,Chillicothe Middle School,390437400286,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Chillicothe City SD,3904374,Mount Logan Elementary School,390437400285,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cincinnati City SD,3904375,Academy for Multilingual Immersion Studies Elementary School,390437504258,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cincinnati City SD,3904375,Aiken College and Career High School,390437504417,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cincinnati City SD,3904375,Aiken University High School,390437504418,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Cincinnati City SD,3904375,Bond Hill Academy Elementary School,390437500293,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cincinnati City SD,3904375,Carson Elementary School,390437503703,Yes,No,Yes,No,Yes,Yes,,No,R-P
Cincinnati City SD,3904375,Central Fairmount Elementary School,390437500302,Yes,No,Yes,No,Yes,Yes,,No,R-I
Cincinnati City SD,3904375,Chase Elementary School,390437500303,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cincinnati City SD,3904375,Cheviot Elementary School,390437500304,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Cincinnati City SD,3904375,Dater Montessori Elementary School,390437500300,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cincinnati City SD,3904375,Frederick Douglass Elementary School,390437500320,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cincinnati City SD,3904375,Gamble Elementary School,390437500326,Yes,No,Yes,No,Yes,Yes,,No,R-P
Cincinnati City SD,3904375,George W. Hays Elementary School,390437500385,Yes,No,Yes,Yes,Yes,Yes,,No,R-P
Cincinnati City SD,3904375,Hartwell Elementary School,390437500330,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cincinnati City SD,3904375,Hughes Center High School,390437500336,No,No,Yes,No,Yes,,Yes,No,SI-1
Cincinnati City SD,3904375,John P. Parker Elementary School,390437500344,Yes,No,Yes,No,Yes,Yes,,No,R-I
Cincinnati City SD,3904375,Lafayette Bloom Back on Track Middle School,390437500292,Yes,No,No,No,No,Yes,,No,R-P
Cincinnati City SD,3904375,Midway Elementary School,390437500349,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2 (Delay)
Cincinnati City SD,3904375,Mount Airy Elementary School,390437500351,Yes,No,Yes,No,Yes,Yes,,No,R-P
Cincinnati City SD,3904375,Oyler Elementary School,390437500357,Yes,No,Yes,No,Yes,No,,No,R-I
Cincinnati City SD,3904375,Parham Elementary School,390437500358,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cincinnati City SD,3904375,Pleasant Hill Elementary School,390437500361,Yes,No,Yes,Yes,Yes,Yes,,No,R-I
Cincinnati City SD,3904375,Pleasant Ridge Elementary School,390437500362,Yes,No,Yes,Yes,Yes,Yes,,No,R-I (Delay)
Cincinnati City SD,3904375,Quebec Heights Elementary School,390437500364,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,R-P (Delay)
Cincinnati City SD,3904375,Riverview East Elementary School,390437504274,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cincinnati City SD,3904375,Roberts Paideia Elementary School,390437500366,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cincinnati City SD,3904375,Rockdale Academy Elementary School,390437500367,Yes,No,Yes,Yes,Yes,Yes,,No,R-P
Cincinnati City SD,3904375,Roll Hill Elementary School,390437505098,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cincinnati City SD,3904375,Roselawn Condon Elementary School,390437500370,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cincinnati City SD,3904375,Rothenberg Preparatory Academy Elementary School,390437500371,Yes,No,Yes,Yes,Yes,Yes,,No,R-I
Cincinnati City SD,3904375,Sands Montessori Elementary School,390437500372,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Cincinnati City SD,3904375,Sayler Park Elementary School,390437500374,Yes,No,Yes,No,Yes,No,,No,SI-1
Cincinnati City SD,3904375,Schiel Primary School for Arts Enrichment,390437500375,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Cincinnati City SD,3904375,Schwab Elementary School,390437500376,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,CA (Delay)
Cincinnati City SD,3904375,Shroder High School,390437500377,No,No,Yes,No,Yes,,Yes,No,SI-1
Cincinnati City SD,3904375,Silverton Paideia Elementary School,390437500378,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cincinnati City SD,3904375,South Avondale Elementary School,390437500379,Yes,No,Yes,Yes,Yes,Yes,,No,R-I
Cincinnati City SD,3904375,Taylor Elementary School,390437500350,Yes,No,Yes,No,No,Yes,,No,SI-1
Cincinnati City SD,3904375,Virtual High School,390437504213,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-1 (Delay)
Cincinnati City SD,3904375,Washington Park Elementary School,390437500387,Yes,No,Yes,No,Yes,Yes,,No,CA
Cincinnati City SD,3904375,Western Hills Design Technology High School,390437504241,No,Yes,Yes,Yes,Yes,,No,No,CA (Delay)
Cincinnati City SD,3904375,Whittier Elementary School,390437500390,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,R-I (Delay)
Cincinnati City SD,3904375,William H. Taft Elementary School,390437500381,Yes,No,Yes,No,Yes,Yes,,No,R-I
Cincinnati City SD,3904375,Winton Montessori Elementary School,390437500393,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cincinnati City SD,3904375,Woodford Paideia Elementary School,390437500395,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cincinnati City SD,3904375,Woodward Career Technical High School,390437504416,No,Yes,Yes,No,Yes,,Yes,No,SI-1 (Delay)
Cincinnati Speech and Reading Intervention Center,3900436,Cincinnati Speech and Reading Intervention Center,390043604995,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Circleville City SD,3904376,Court Elementary School,390437600400,No,No,Yes,No,Yes,Yes,,No,SI-1
Circleville City SD,3904376,Everts Middle School,390437600399,No,No,Yes,No,Yes,Yes,,No,SI-2
City Day Community School,3900029,City Day Community School,390002901578,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Clay Local SD,3910026,Rosemount Elementary School,391002603645,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Claymont City SD,3904377,Claymont Junior High School,390437700404,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Clear Fork Valley Local SD,3904941,Clear Fork Middle School,390494102764,No,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland Arts and Social Sciences Academy,3900584,Cleveland Arts and Social Sciences Academy,390058405076,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Adlai Stevenson Elementary School,390437800413,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Albert B. Hart Elementary School,390437800411,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,R-I (Delay)
Cleveland City SD,3904378,Alexander Graham Bell Elementary School,390437800414,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Almira Elementary School,390437800417,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cleveland City SD,3904378,Andrew J. Rickoff Elementary School,390437800418,Yes,No,Yes,No,Yes,Yes,,No,R-I
Cleveland City SD,3904378,Anton Grdina Elementary School,390437800420,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,Audubon Elementary School,390437800422,Yes,No,Yes,No,No,Yes,,No,R-P
Cleveland City SD,3904378,Benjamin Franklin Elementary School,390437800424,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Brooklawn Elementary School,390437800428,Yes,No,Yes,No,Yes,No,,No,SI-2
Cleveland City SD,3904378,Buckeye-Woodland Elementary School,390437800429,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,Buhrer Elementary School,390437800430,Yes,No,Yes,No,Yes,Yes,,No,R-P
Cleveland City SD,3904378,Carl F. Shuler High School,390437800432,Yes,No,Yes,Yes,Yes,Yes,,No,CA (Delay)
Cleveland City SD,3904378,Case Elementary School,390437800433,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Charles A. Mooney Elementary School,390437800435,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,CA (Delay)
Cleveland City SD,3904378,Charles Dickens Elementary School,390437800436,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,CA (Delay)
Cleveland City SD,3904378,Charles H. Lake Elementary School,390437800437,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cleveland City SD,3904378,Charles W. Eliot Elementary School,390437800440,Yes,No,Yes,No,Yes,Yes,,No,CA
Cleveland City SD,3904378,Clara E. Westropp Elementary School,390437800442,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Clark Elementary School,390437800443,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Collinwood High School,390437800444,Yes,Yes,Yes,No,Yes,,Yes,No,R-P
Cleveland City SD,3904378,Daniel E. Morgan Elementary School,390437800447,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,Denison Elementary School,390437800448,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Early Childhood Development Elementary School,390437805269,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,East Clark Elementary School,390437800453,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,East High School,390437800452,Yes,No,Yes,No,Yes,,Yes,No,R-P
Cleveland City SD,3904378,East Technical High School,390437800456,Yes,No,Yes,No,Yes,,No,No,R-P
Cleveland City SD,3904378,Empire Computech Elementary School,390437800458,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Franklin D. Roosevelt Elementary School,390437800500,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,Fullerton Elementary School,390437800462,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cleveland City SD,3904378,George Washington Carver Elementary School,390437800464,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Giddings Elementary School,390437800466,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Glenville High School,390437800468,Yes,Yes,Yes,No,Yes,,Yes,No,R-P
Cleveland City SD,3904378,Gracemount Elementary School,390437800470,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,H. Barbara Booker Elementary School,390437800469,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Hannah Gibbons Elementary School,390437800729,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Harvey Rice Elementary School,390437800474,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,Henry W. Longfellow Elementary School,390437800476,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Iowa-Maple Elementary School,390437800479,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,James Ford Rhodes High School,390437800480,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,CA (Delay)
Cleveland City SD,3904378,John D. Rockefeller Elementary School,390437804209,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,John F. Kennedy High School,390437800484,Yes,No,Yes,No,Yes,,No,No,R-P
Cleveland City SD,3904378,John Marshall High School,390437800487,Yes,Yes,Yes,No,Yes,,Yes,No,R-P
Cleveland City SD,3904378,Joseph F. Landis Elementary School,390437800489,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Joseph M. Gallagher Elementary School,390437800551,Yes,No,Yes,No,Yes,Yes,,No,R-I
Cleveland City SD,3904378,Lincoln-West High School,390437800496,Yes,Yes,Yes,No,Yes,,No,No,CA
Cleveland City SD,3904378,Louis Agassiz Elementary School,390437800499,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Luis Munoz Marin Elementary School,390437800495,Yes,No,Yes,No,Yes,Yes,,No,R-I
Cleveland City SD,3904378,Marion C. Seltzer Elementary School,390437800504,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,Marion-Sterling Elementary School,390437800505,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,"Martin Luther King, Jr. High School",390437804259,Yes,Yes,Yes,No,Yes,,Yes,No,CA
Cleveland City SD,3904378,Mary M. Bethune Elementary School,390437800508,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Max S. Hayes High School,390437800509,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Cleveland City SD,3904378,McKinley Elementary School,390437800510,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Memorial Year Round Elementary School,390437800451,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Miles Elementary School,390437800513,Yes,Yes,Yes,No,Yes,Yes,,No,SI-2
Cleveland City SD,3904378,Mound Elementary School,390437800518,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Cleveland City SD,3904378,Nathan Hale Elementary School,390437800522,Yes,No,Yes,No,Yes,No,,No,R-I
Cleveland City SD,3904378,Option Complex High School,390437804443,Yes,No,Yes,No,Yes,,No,No,R-P
Cleveland City SD,3904378,Orchard School of Science Elementary School,390437800526,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Patrick Henry Elementary School,390437800527,Yes,No,Yes,Yes,Yes,Yes,,No,R-P (Delay)
Cleveland City SD,3904378,Paul Revere Elementary School,390437800529,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Cleveland City SD,3904378,Robert Fulton Elementary School,390437800532,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Cleveland City SD,3904378,Robert H. Jamison Elementary School,390437800533,Yes,No,Yes,Yes,Yes,Yes,,No,CA (Delay)
Cleveland City SD,3904378,Scranton Elementary School,390437800536,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,South High School,390437800537,Yes,Yes,Yes,No,Yes,,No,No,R-P
Cleveland City SD,3904378,Stokes Academy Elementary School,390437800434,Yes,No,Yes,No,Yes,Yes,,No,R-P
Cleveland City SD,3904378,Sunbeam Elementary School,390437800540,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Cleveland City SD,3904378,Union Elementary School,390437800543,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Cleveland City SD,3904378,Wade Park Elementary School,390437800546,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
