ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Pauline,Purro,SUI,31,00:20:03,00:01:33,00:59:59,00:00:48,00:40:39,22,02:03:01,Elite Women
Anastasiya,Chernenko,UKR,28,00:20:18,00:01:30,00:59:43,00:00:50,00:40:52,23,02:03:13,Elite Women
Alessia,Orla,ITA,33,00:21:04,00:01:37,01:08:24,00:00:45,00:39:50,24,02:11:41,Elite Women
Greta,Horvath,HUN,35,00:20:43,00:01:35,01:08:49,00:00:46,00:40:26,25,02:12:18,Elite Women
Miriam,Casillas García,ESP,29,00:22:07,00:01:30,01:07:28,00:00:48,00:43:09,26,02:15:02,Elite Women
Vanessa,Raw,GBR,17,00:19:37,00:01:35,01:00:22,00:00:54,00:00:00,DNF,00:00:00,Elite Women
Veronica,Signorini,ITA,32,00:20:29,00:01:34,01:09:04,00:00:52,00:00:00,DNF,00:00:00,Elite Women
Lois,Rosindale,GBR,7,00:19:55,00:01:24,01:00:15,00:00:44,00:00:00,DNF,00:00:00,Elite Women
Gaia,Peron,ITA,16,00:19:30,00:01:29,01:00:34,00:00:42,00:00:00,DNF,00:00:00,Elite Women
Sophie,Margue,LUX,39,00:23:50,00:01:43,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
Arina,Shulgina,RUS,8,00:20:26,00:01:37,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
Caroline,Lopez,FRA,34,00:20:40,00:01:37,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
Sara,Bonilla Bernardez,ESP,38,00:22:54,00:01:36,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
Olga,Agapova,RUS,41,00:20:42,00:01:35,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
Ana,Mariblanca Juanas,ESP,37,00:21:05,00:01:34,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
Anna-Lena,Pohl,GER,36,00:20:30,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
