property_name_text,address_line1_text,address_line2_text,city_name_text,state_code,zip_code,county_name_text,property_on_site_phone_number,fha_number,contract_number,soa_description_text,property_category_name,client_group_name,client_group_type,total_assisted_unit_count,total_unit_count,owner_contact_indv_full_name,owner_organization_name,owner_address_line1,owner_address_line2,owner_city_name,owner_state_code,owner_zip_code,owner_zip4_code,owner_main_phone_number_text,owner_main_fax_number_text,owner_email_text,mgmt_contact_full_name,mgmt_agent_org_name,mgmt_agent_address_line1,mgmt_agent_address_line2,mgmt_agent_city_name,mgmt_agent_state_code,mgmt_agent_zip_code,mgmt_agent_zip4_code,mgmt_agent_main_phone_number,mgmt_agent_main_fax_number,mgmt_agent_email_text,project_manager_name_text,hub_name_text,servicing_site_name_text
CHENANA APARTMENTS,5190 Amherst Drive (office),,FAIRBANKS,AK,99709,Fairbanks North Star,907-479-4690,17635049,AK020002001,223(a)(7) Refi of 221d4 NC/SR,Insured-Subsidized,Indv. families - not eld/ handicap,Family,51,52,Robert C Hull,"Chenana Apartments, a Limited Partnership",1630 Washington Drive,,Fairbanks,AK,99709,,907-479-3644,907-747-0465,need_email@hud.gov,Robert C Hull,"Ben Lomond, Inc.",1630 Washington Dr.,,Fairbanks,AK,99709,,907-378-7223,,benlomond@gci.net,KATHY CLAIBORNE,Seattle,Anchorage
Chester Creek Estates,5814 E NORTHERN LIGHTS,,ANCHORAGE,AK,99504,Anchorage,(907)337-1911,,AK02M000023,,Subsidized - Previously Insured,Indv. families - not eld/ handicap,Family,56,100,R. Stephen Mattoon,"Chester Creek Estates Associates, L.P.",Pier 9 Suite 114,,San Francisco,CA,95411,1451,415 433-2000,415 433-1111,smatton@cabouchonproperties.com,DENNIS T. TREADAWAY,"FPI Management, Inc.",800 Iron Point Road,,Folsom,CA,95630,,9163575300,,annalee.tenbrink@fpimgt.com,KATHY CLAIBORNE,Seattle,Anchorage
Chester Park Estates,1019 E 20TH AVE,,ANCHORAGE,AK,99501,Anchorage,(907)277-9564,,AK02M000012,,Subsidized - Previously Insured,Indv. families - not eld/ handicap,Family,114,180,R. Stephen Mattoon,"Chester Park Estates Associates, L.P.",Pier 9 Suite 114,,San Francisco,CA,95411,1451,415 433-2000,415 433-1111,smattoon@cabouchonproperties.com,Jim Collins,"FPI Management, Inc.",800 Iron Point Road,,Folsom,CA,95630,,9163575300,,annalee.tenbrink@fpimgt.com,KATHY CLAIBORNE,Seattle,Anchorage
CHINOOK APARTMENTS,9160 CINEMA DR,,JUNEAU,AK,99801,Juneau,(907)789-1921,17611045,AK06L000017,223(a)(7) Refi of 223(f) Apts,Insured-Subsidized,Indv. families - not eld/ handicap,Family,64,64,Henry D. Tiffany,"Chinook Apartments, A General Partnership",9160 Cinema Drive,,Juneau,AK,99801,,9077891921,,wendyinjuneau@yahoo.com,Donald Madsen,MAD/TIFF DEVELOPMENT,9340 GLACIER HWY,,JUNEAU,AK,99801,,907-789-7206,907-789-2171,wendyinjuneau@yahoo.com,KATHY CLAIBORNE,Seattle,Anchorage
CHUGACH VIEW,1280 E. 17th Avenue,,ANCHORAGE,AK,99501,Anchorage,907-272-9617,,AK020102002,,"Subsidized, No HUD Financing",Elderly,Elderly,120,120,Daniel R Fauske,Alaska Housing Finance Corporation,4300 Boniface Parkway,P.O. Box 101020,Anchorage,AK,99510,1020,907-338-6100,907-338-1683,need_email@hud.gov,Daniel R Fauske,Alaska Housing Finance Corporation,4300 Boniface Parkway,P.O. Box 101020,Anchorage,AK,99510,1020,907-338-6100,907-338-1683,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
Cliffwood Apartments,1311 Selief Lane,,KODIAK,AK,99615,Kodiak Island,907-486-8111,,,,Use Restriction,Indv. families - not eld/ handicap,Family,0,40,Marty Shuravloff,Kodiak Island Housing Authority,3137 Mill Bay Rd,,Kodiak,AK,99615,7032,(907)486-8111,(907)486-4432,need_email@hud.gov,Susan Russell,Kodiak Island Housing Authority,3137 Mill Bay Rd,,Kodiak,AK,99615,7032,(907)486-8111,(907)486-4432,need_email@hud.gov,LEONA L BLANKENSHIP,Seattle,Anchorage
COHO PARK,3601 AMALGA ST,,JUNEAU,AK,99801,Juneau,(907)789-1921,17611044,AK020007002,223(a)(7) Refi of 223(f) Apts,Insured-Subsidized,Indv. families - not eld/ handicap,Family,52,52,,"Coho Park, a general partnership",Post Office Box 33679,,JUNEAU,AK,99803,0000,(907) 789-7206,(907) 789-7304,htiffany@gsinet.net,Donald Madsen,MAD/TIFF DEVELOPMENT,9340 GLACIER HWY,,JUNEAU,AK,99801,,907-789-7206,907-789-2171,wendyinjuneau@yahoo.com,KATHY CLAIBORNE,Seattle,Anchorage
COMMODORE PARK PLAZA,10415 Jamestown Drive,,ANCHORAGE,AK,99507,Anchorage,907-522-8000,176EE010,AK06S961001,202 Capital Advance for Elderly,202/811,Wholly elderly congregate,Elderly,24,25,Spencer Biegel,"Anchorage Senior Living, Inc.",10415 Jamestown Drive,,Anchorage,AK,99507,,907-522-8000,907-522-8014,patrick@manormanagement.com,Patrick O'Toole,"MANOR MANAGEMENT OF ALASKA, INC.",1625 SE Lafayette Street,,PORTLAND,OR,97202,0000,(503) 231-4922,(503) 235-5915,patrick@manormanagement.com,KATHY CLAIBORNE,Seattle,Anchorage
Connolly Square,1540 Charter Circle,,Anchorage,AK,99508,Anchorage,(907) 677-8411,176EE044,,202 Capital Advance for Elderly,202/811,,,0,0,Michael Courtney,"Connolly Square, Inc.",1540 Charter Circle,,Anchorage,AK,99504,,907-677-8490,907-677-8450,psanden@nwanchorage.org,Michaela Sisson,NeighborWorks Anchorage,480 West Tudor Road,,ANCHORAGE,AK,99503,0000,(907) 677-8490,(907) 677-8450,dmahoney@nwanchorage.org,KATHY CLAIBORNE,Seattle,Anchorage
Cranberry Ridge,11881 West Mid-Valley Way,,HOUSTON,AK,99694,Matanuska Susitna,907-892-6114,176EE016,AK06S991002,202 Capital Advance for Elderly,202/811,Elderly,Elderly,5,5,Kimberly Sinnett,HOUSTON SENIOR HOUSING INCORPORATED,11975 W. MID-VALLEY WAY,SUITE B,WASILLA,AK,99654,,907-892-6110,907-892-6190,housing@matonline.net,Mary Anderson,HOUSTON SENIOR HOUSING INCORPORATED,11975 W. MID-VALLEY WAY,SUITE B,WASILLA,AK,99654,,907-892-6110,907-892-6190,housing@matonline.net,KATHY CLAIBORNE,Seattle,Anchorage
Cupluaq House,P.O. Box 101,Lot 13/Bk 2 Stebbins Blueberry S/D,STEBBINS,AK,99761,Northwest Arctic,907-934-2482,176EE012,AK06S971002,202 Capital Advance for Elderly,202/811,Wholly Elderly Housekeeping,Elderly,5,5,Cornelius Dan,"Stebbins Elder Housing Center, Inc.",P. O. Box 101,,Stebbins,AK,99671,,907-934-2482,,sha@gci.net,Cornelius Dan,Stebbins Housing Authority,P.O. Box 101,,Stebbins,AK,99671,,907-934-3074,,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
DAYBREAK APARTMENTS (CMI),2080 HEMMER RD,,PALMER,AK,99645,Matanuska Susitna,907-745-6019,,AK02T851001,,Subsidized - Previously 202/811,Chronically Mentally Ill,Disabled,19,20,John Weaver,Valley Residential Services,1075 Check St Ste 102,,Wasilla,AK,99654,8067,(907) 357-0322,(907) 357-0368,j.weaver@valleyres.org,John Weaver,Valley Residential Services,1075 Check St Ste 102,,Wasilla,AK,99654,8067,(907) 357-0322,(907) 357-0368,j.weaver@valleyres.org,KATHY CLAIBORNE,Seattle,Anchorage
Denali View Senior Housing,22402 Birchwood Loop Rd,,Chugiak,AK,99567,Anchorage,907/688-2677,176EE019,AK06S011002,202 Capital Advance for Elderly,202/811,Elderly,Elderly,20,20,Linda Hendrickson,"Chugiak Senior Housing, Inc.",22402 Birchwood Loop Rd,,Chugiak,AK,99567,6464,907-688-2668,907-688-2669,need_email@hud.gov,Linda Hendrickson,"Chugiak Senior Housing, Inc.",22424 N Birchwood Loop,,Chugiak,AK,99657,,907-688-2679,907-688-1319,execdir@mtaonline.net,KATHY CLAIBORNE,Seattle,Anchorage
Deneki House,222 E Danna Ave,,Wasilla,AK,99654,Matanuska Susitna,(907)357-0256,176HD028,AK06Q061001,811 Capital Advance for Disabled,202/811,,,7,8,John Weaver,"Deneki House, Inc.","1075 Check St., Ste. 102",,Wasilla,AK,99654,,907-357-0233,907-357-0368,m.norton@valleyres.org,,Valley Residential Services,1075 Check St Ste 102,,Wasilla,AK,99654,8067,(907) 357-0322,(907) 357-0368,j.weaver@valleyres.org,KATHY CLAIBORNE,Seattle,Anchorage
DOUGLAS TERRACE APARTMENTS,2460 DOUGLAS HWY,,JUNEAU,AK,99801,Juneau,(907)463-6856,176HD009,AK06Q951003,811 Capital Advance for Disabled,202/811,Chronically Mentally Ill,Disabled,15,15,Pam Watts,"Jami-Douglas Housing, Inc.",3406 Glacier Hwy.,,Juneau,AK,99801,,(907) 463-6826,,michelle@jamhi.org,Terri Ganthner,"Juneau Alliance for the Mentally Ill, Inc.",3406 Glacier Hwy Ste A,,Juneau,AK,99801,7251,(907) 463-3303,,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
EXECUTIVE ESTATES,1620 Washington Dr,,Fairbanks,AK,99709,Fairbanks North Star,907-479-3655,17635040,AK020004001,223(a)(7) Refi of 221d4 NC/SR,Insured-Subsidized,Indv. families - not eld/ handicap,Family,108,108,Robert C Hull,"Executive Estates Apartments, LP",1630 Washington Dr,,Fairbanks,AK,99709,,907-378-7223,,benlomond@gci.net,Robert C Hull,"Ben Lomond, Inc.",1630 Washington Dr.,,Fairbanks,AK,99709,,907-378-7223,,benlomond@gci.net,KATHY CLAIBORNE,Seattle,Anchorage
FIREWEED HOUSING DEVELOPMENT,1075 Check St Ste 202,,Wasilla,AK,99654,Matanuska Susitna,907-357-0322,176HD020,AK06Q941001,811 Capital Advance for Disabled,202/811,Chronically Mentally Ill,Disabled,24,25,John Weaver,"Fireweed Housing Development, Inc.",1075 Check St Ste 102,,Wasilla,AK,99654,8067,(907) 357-0322,(907) 357-0376,j.weaver@valleyres.org,John Weaver,Valley Residential Services,1075 Check St Ste 102,,Wasilla,AK,99654,8067,(907) 357-0322,(907) 357-0368,j.weaver@valleyres.org,KATHY CLAIBORNE,Seattle,Anchorage
FIREWEED HOUSING DEVELOPMENT,1075 Check St Ste 202,,Wasilla,AK,99654,Matanuska Susitna,907-357-0322,176HD020,AK06Q011002,811 Capital Advance for Disabled,202/811,Chronically Mentally Ill,Disabled,24,25,John Weaver,"Fireweed Housing Development, Inc.",1075 Check St Ste 102,,Wasilla,AK,99654,8067,(907) 357-0322,(907) 357-0376,j.weaver@valleyres.org,John Weaver,Valley Residential Services,1075 Check St Ste 102,,Wasilla,AK,99654,8067,(907) 357-0322,(907) 357-0368,j.weaver@valleyres.org,KATHY CLAIBORNE,Seattle,Anchorage
FIREWEED HOUSING DEVELOPMENT,1075 Check St Ste 202,,Wasilla,AK,99654,Matanuska Susitna,907-357-0322,176HD020,AK06Q921001,811 Capital Advance for Disabled,202/811,Chronically Mentally Ill,Disabled,24,25,John Weaver,"Fireweed Housing Development, Inc.",1075 Check St Ste 102,,Wasilla,AK,99654,8067,(907) 357-0322,(907) 357-0376,j.weaver@valleyres.org,John Weaver,Valley Residential Services,1075 Check St Ste 102,,Wasilla,AK,99654,8067,(907) 357-0322,(907) 357-0368,j.weaver@valleyres.org,KATHY CLAIBORNE,Seattle,Anchorage
George Sullivan Manor,420 E 3rd Ave,,Anchorage,AK,99501,Anchorage,,176EE027,AK06S021002,202 Capital Advance for Elderly,202/811,Elderly,Elderly,19,20,Spencer Biegel,"Sullivan Senior Housing, Inc.",1625 SE Lafayette St,,Portland,OR,97202,3862,503-231-4922,,need_email@hud.gov,,"MANOR MANAGEMENT OF ALASKA, INC.",1625 SE Lafayette Street,,PORTLAND,OR,97202,0000,(503) 231-4922,(503) 235-5915,patrick@manormanagement.com,KATHY CLAIBORNE,Seattle,Anchorage
GLACIER VIEW APARTMENTS,200 Lowell Canyon Road,,SEWARD,AK,99664,Kenai Peninsula,907-224-3737,,AK020102010,,"Subsidized, No HUD Financing",Elderly,Elderly,30,30,Daniel R Fauske,Alaska Housing Finance Corporation,4300 Boniface Parkway,P.O. Box 101020,Anchorage,AK,99510,1020,907-338-6100,907-338-1683,need_email@hud.gov,Daniel R Fauske,Alaska Housing Finance Corporation,4300 Boniface Parkway,P.O. Box 101020,Anchorage,AK,99510,1020,907-338-6100,907-338-1683,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
"Glen, The",1200 Columbine Ct,,Anchorage,AK,99508,Anchorage,907-274-0797,,AK020003001,,Subsidized - Previously Insured,Indv. families - not eld/ handicap,Family,76,76,Ben Katon,Debarr Road Apartments LLC,9757 Juanita Drive N.E.,Suite 300,Kirkland,WA,98034,,425-821-3844,425-821-5936,ben@dweidner.com,Don Castor,Weidner Investment Services,9757 Juanita Dr NE,Ste 300,Kirkland,WA,98034,,(907) 561-5211,(907) 561-8013,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
GOLDEN TOWERS APARTMENTS,330 Third Avenue,,FAIRBANKS,AK,99701,Fairbanks North Star,907-456-1852,,AK020102005,,"Subsidized, No HUD Financing",Elderly,Elderly,96,96,Daniel R Fauske,Alaska Housing Finance Corporation,4300 Boniface Parkway,P.O. Box 101020,Anchorage,AK,99510,1020,907-338-6100,907-338-1683,need_email@hud.gov,Maria DeBaun,Alaska Housing Finance Corporation,4300 Boniface Parkway,P.O. Box 101020,Anchorage,AK,99510,1020,907-338-6100,907-338-1683,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
GRUENING PARK,1800 Northwood Dr # A,,"JUNEAU, CITY BORO",AK,99801,Juneau,907-780-6666,17644019,AK06L000001,236(j)(1)/ Lower Income Families,Insured-Subsidized,Indv. families - not eld/ handicap,Family,56,96,Tamara  Rowcroft,ALASKA HOUSING DEVELOPMENT CORP.,1800   NORTHWOOD  DR,,JUNEAU,AK,99801,0000,(907) 780-6666,(907) 780-4533,need_email@hud.gov,Tamara  Rowcroft,ALASKA HOUSING DEVELOPMENT CORP.,1800   NORTHWOOD  DR,,JUNEAU,AK,99801,0000,(907) 780-6666,(907) 780-4533,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
GRUENING PARK,1800 Northwood Dr # A,,"JUNEAU, CITY BORO",AK,99801,Juneau,907-780-6666,17644019,AK02M000016,236(j)(1)/ Lower Income Families,Insured-Subsidized,Indv. families - not eld/ handicap,Family,56,96,Tamara  Rowcroft,ALASKA HOUSING DEVELOPMENT CORP.,1800   NORTHWOOD  DR,,JUNEAU,AK,99801,0000,(907) 780-6666,(907) 780-4533,need_email@hud.gov,Tamara  Rowcroft,ALASKA HOUSING DEVELOPMENT CORP.,1800   NORTHWOOD  DR,,JUNEAU,AK,99801,0000,(907) 780-6666,(907) 780-4533,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
Harding House,1508 25th Ave,,FAIRBANKS,AK,99701,Fairbanks North Star,(907) 452-3000,176HD021,AK06Q021001,811 Capital Advance for Disabled,202/811,Chronically Mentally Ill,Disabled,6,6,Kelly Shanklin,Fairbanks Community Homes,3830 S. Cushman,,Fairbanks,AK,99701,7530,(907) 452-1575,,gaila@fcmhc.org,Kelly Seekatz,"Fairbanks Community Mental Health Center, Inc.",3830 S Cushman St,,Fairbanks,AK,99701,7530,907/452-1575,,need_email@hud.gov,LEONA L BLANKENSHIP,Seattle,Anchorage
HOPE COMMUNITY HOMES I,9130 Seal Point Circle,,ANCHORAGE,AK,99518,Anchorage,907-272-0643,176HD011,AK06Q961002,811 Capital Advance for Disabled,202/811,Wholly developmentally disabled,Disabled,4,5,Stephen P. Lesko,"Hope Community Homes I, Inc.",540 W. International Airport Rd.,,Anchorage,AK,99518,,907-564-7411,907-564-7429,need_email@hud.gov,Michaela Sisson,NeighborWorks Anchorage,480 West Tudor Road,,ANCHORAGE,AK,99503,0000,(907) 677-8490,(907) 677-8450,dmahoney@nwanchorage.org,KATHY CLAIBORNE,Seattle,Anchorage
Independence Park Manor,2401 Sentry Dr,,Anchorage,AK,99507,Anchorage,,176EE034,AK06S031001,202 Capital Advance for Elderly,202/811,Elderly,Elderly,19,20,Spencer Biegel,"Independence Park Senior Housing, Inc.",1625 SE Lafayette St,,Portland,OR,97202,3862,503-231-4922,,need_email@hud.gov,Patrick C O'Toole,"MANOR MANAGEMENT OF ALASKA, INC.",1625 SE Lafayette Street,,PORTLAND,OR,97202,0000,(503) 231-4922,(503) 235-5915,patrick@manormanagement.com,KATHY CLAIBORNE,Seattle,Anchorage
Independence Park Manor II,2301 Sentry Dr,,Anchorage,AK,99507,Anchorage,,176EE037,AK19S041004,202 Capital Advance for Elderly,202/811,,,19,20,Spencer Biegel,"Independence Park II Senior Housing, Inc.",1625 SE Lafayette St,,Portland,OR,97202,3862,503-231-4922,,need_email@hud.gov,Patrick C O'Toole,"MANOR MANAGEMENT OF ALASKA, INC.",1625 SE Lafayette Street,,PORTLAND,OR,97202,0000,(503) 231-4922,(503) 235-5915,patrick@manormanagement.com,KATHY CLAIBORNE,Seattle,Anchorage
Ivan V. Fosheim House,4455 Condor Court,,FAIRBANKS,AK,99709,Fairbanks North Star,(907)456-8901,176HD015,AK06Q981001,811 Capital Advance for Disabled,202/811,Wholly developmentally disabled,Disabled,5,5,Emily F. Ennis,Ivan V. Fosheim House Foundation,805 Airport Road,,Fairbanks,AK,99701,7530,(907) 456-8901,(907) 452-5171,noel@fra-alaska.net,Thomas Schneider,Fairbanks Resource Agency Inc,805 Airport Road,,Fairbanks,AK,99701,7530,(907) 456-8901,(907) 452-5171,noel@fra-alaska.net,LEONA L BLANKENSHIP,Seattle,Anchorage
Jack & Virginia Wright House,721 East Eighth,,NORTH POLE,AK,99705,Fairbanks North Star,907-456-8901,176HD018,AK06Q991002,811 Capital Advance for Disabled,202/811,Wholly developmentally disabled,Disabled,5,6,Emily Ennis,Jack and Virgina Wright Apartments Foundation,805 Airport Road,,Fairbanks,AK,99701,,(907) 456-8901,,need_email@hud.gov,Emily  Ennis,Fairbanks Resource Agency Inc,805 Airport Road,,Fairbanks,AK,99701,7530,(907) 456-8901,(907) 452-5171,noel@fra-alaska.net,LEONA L BLANKENSHIP,Seattle,Anchorage
Jewel Lake Plaza,8300 Jewel Lake Road,,ANCHORAGE,AK,99502,Anchorage,(907)248-8377,176EE014,AK06S981001,202 Capital Advance for Elderly,202/811,Elderly,Elderly,19,20,Spencer Biegel,"Jewel Lake Senior Housing, Inc.",8300 Jewel Lake Road,,Anchorage,AK,99502,,(907)277-7041,(907)277-7042,dbrangan@ak.net,Patrick C. O'Toole,"MANOR MANAGEMENT OF ALASKA, INC.",1625 SE Lafayette Street,,PORTLAND,OR,97202,0000,(503) 231-4922,(503) 235-5915,patrick@manormanagement.com,KATHY CLAIBORNE,Seattle,Anchorage
Jewel Lake Villa Apartments,3640 W 88TH AVE,,ANCHORAGE,AK,99502,Anchorage,(907)243-0718,,AK06L000007,,Subsidized - Previously Insured,Indv. families - not eld/ handicap,Family,123,129,"Douglas F. (Rick) Johnston, Jr.",Blackberry Street Limited Partnership,860 W. Blackhawk St. Suite 305,"C/O Douglas F. Johnston, Jr",Chicago,IL,60642,2541,312-266-6455,312-266-6457,johnston_douglas@msn.com,Jeff Smodey,"Pacific Rim Properties, Inc.",405 W. 27th Avenue,,Anchorage,AK,99503,,(907) 762-5419,(907) 762-5497,jkuntz@pacificrimproperties.com,KATHY CLAIBORNE,Seattle,Anchorage
JOHN L. NOYES HOUSE FOUNDATION,3747 ERICKSON AVENUE,,FAIRBANKS,AK,99701,Fairbanks North Star,907-456-8901,176HD014,AK06Q971002,811 Capital Advance for Disabled,202/811,Wholly developmentally disabled,Disabled,4,4,Walter Carlo,John L. Noyes House Foundation,805 Airport Road,,Fairbanks,AK,99701,,907-456-8901,907-452-5171,noel@fra.alaska.net,Noel Murray,Fairbanks Resource Agency Inc,805 Airport Road,,Fairbanks,AK,99701,7530,(907) 456-8901,(907) 452-5171,noel@fra-alaska.net,LEONA L BLANKENSHIP,Seattle,Anchorage
John L. Turner House,11 Steelhead Rd,,Fairbanks,AK,99709,Fairbanks North Star,,176HD022,AK06Q021002,811 Capital Advance for Disabled,202/811,Wholly physically disabled,Disabled,4,4,Walter Carlo,John L. Turner House Foundation,805 Airport Road,,Fairbanks,AK,99701,,907 456 8901,907 452 5171,noel@fralalska.net,Joanne Trefethen,Fairbanks Resource Agency Inc,805 Airport Road,,Fairbanks,AK,99701,7530,(907) 456-8901,(907) 452-5171,noel@fra-alaska.net,LEONA L BLANKENSHIP,Seattle,Anchorage
Kaktovik Senior Housing,901 9th Street,,KAKTOVIK,AK,99747,North Slope,907-640-2042,176EE032,AK06S021007,202 Capital Advance for Elderly,202/811,,,5,5,"Edward Rexford, Sr.","Salligutchit, Inc.",PO Box 130,,Kaktovik,AK,99747,0130,907-640-6025,,need_email@hud.gov,Daryl Kooley,Tagiugmiullu Nunamiullu Housing Authority,PO Box 409,,Barrow,AK,99723,0409,907-852-7150,907-852-2038,wendy.knight@tnha.net,KATHY CLAIBORNE,Seattle,Anchorage
KASHEVAROFF VILLA,113 Mission,,KODIAK,AK,99615,Kodiak Island,907-486-5432,17644023,,236(j)(1)/ Lower Income Families,Insured-Subsidized,Indv. families - not eld/ handicap,Family,0,36,Brad Cherrier,"Kashevaroff Associates, an Alaska Partnership",124 E 3rd Ave,,Anchorage,AK,99501,2533,907-222-1800,907-222-1802,need_email@hud.gov,Brad Cherrier,"Kashevaroff Associates, an Alaska Partnership",124 E 3rd Ave,,Anchorage,AK,99501,2533,907-222-1800,907-222-1802,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
