U.S. Energy Information Administration,,,,,,,,,,,,
February 2014 Monthly Energy Review,,,,,,,,,,,,
,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,
,,,,,,,,,,,,
"Release Date: February 26, 2014",,,,,,,,,,,,
"Next Update: March 26, 2014",,,,,,,,,,,,
,,,,,,,,,,,,
Table 10.1 Renewable Energy Production and Consumption by Source,,,,,,,,,,,,
,,,,,,,,,,,,
Month,Biofuels Production,Total Biomass Energy Production,Total Renewable Energy Production,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar/PV Energy Consumption,Wind Energy Consumption,Wood Energy Consumption,Waste Energy Consumption,Biofuels Consumption,Total Biomass Energy Consumption,Total Renewable Energy Consumption
1975-07-01 00:00:00,Not Available,127.288,398.459,268.081,3.091,Not Available,Not Available,127.125,0.163,Not Available,127.288,398.459
1975-08-01 00:00:00,Not Available,127.321,368.23,237.557,3.351,Not Available,Not Available,127.136,0.185,Not Available,127.321,368.23
27638,Not Available,123.21,341.957,215.793,2.954,Not Available,Not Available,123.052,0.158,Not Available,123.21,341.957
27668,Not Available,127.312,368.786,238.068,3.406,Not Available,Not Available,127.151,0.161,Not Available,127.312,368.786
27699,Not Available,123.18,383.196,256.706,3.31,Not Available,Not Available,123.039,0.141,Not Available,123.18,383.196
27729,Not Available,127.277,403.696,272.99,3.429,Not Available,Not Available,127.138,0.138,Not Available,127.277,403.696
27760,Not Available,145.049,421.775,273.323,3.403,Not Available,Not Available,144.91,0.14,Not Available,145.049,421.775
27791,Not Available,135.695,396.173,257.277,3.2,Not Available,Not Available,135.559,0.136,Not Available,135.695,396.173
27820,Not Available,145.051,427.044,278.567,3.426,Not Available,Not Available,144.914,0.137,Not Available,145.051,427.044
27851,Not Available,140.363,396.931,253.482,3.086,Not Available,Not Available,140.237,0.126,Not Available,140.363,396.931
27881,Not Available,145.047,415.728,267.732,2.949,Not Available,Not Available,144.913,0.134,Not Available,145.047,415.728
27912,Not Available,140.405,411.555,268.088,3.063,Not Available,Not Available,140.244,0.161,Not Available,140.405,411.555
27942,Not Available,145.088,421.425,273.026,3.311,Not Available,Not Available,144.898,0.19,Not Available,145.088,421.425
27973,Not Available,145.11,398.129,249.759,3.26,Not Available,Not Available,144.918,0.192,Not Available,145.11,398.129
28004,Not Available,140.436,356.984,213.376,3.173,Not Available,Not Available,140.271,0.165,Not Available,140.436,356.984
28034,Not Available,145.114,369.186,220.99,3.082,Not Available,Not Available,144.94,0.174,Not Available,145.114,369.186
28065,Not Available,140.651,351.386,208.138,2.597,Not Available,Not Available,140.481,0.171,Not Available,140.651,351.386
28095,Not Available,145.364,360.834,212.507,2.963,Not Available,Not Available,145.201,0.163,Not Available,145.364,360.834
28126,Not Available,156.22,378.521,219.069,3.232,Not Available,Not Available,156.074,0.146,Not Available,156.22,378.521
28157,Not Available,141.176,304.328,160.329,2.823,Not Available,Not Available,141.046,0.13,Not Available,141.176,304.328
28185,Not Available,156.217,368.966,209.549,3.2,Not Available,Not Available,156.072,0.146,Not Available,156.217,368.966
28216,Not Available,151.161,351.301,197.287,2.854,Not Available,Not Available,151.013,0.148,Not Available,151.161,351.301
28246,Not Available,156.186,356.923,197.656,3.081,Not Available,Not Available,156.032,0.155,Not Available,156.186,356.923
28277,Not Available,151.153,336.485,182.303,3.029,Not Available,Not Available,150.997,0.156,Not Available,151.153,336.485
28307,Not Available,155.92,336.903,177.779,3.204,Not Available,Not Available,155.742,0.178,Not Available,155.92,336.903
28338,Not Available,156.081,335.881,176.863,2.937,Not Available,Not Available,155.909,0.172,Not Available,156.081,335.881
28369,Not Available,151.11,328.075,173.821,3.144,Not Available,Not Available,150.938,0.172,Not Available,151.11,328.075
28399,Not Available,156.172,341.368,181.908,3.288,Not Available,Not Available,155.998,0.174,Not Available,156.172,341.368
28430,Not Available,151,370.168,215.864,3.303,Not Available,Not Available,150.888,0.112,Not Available,151,370.168
28460,Not Available,155.935,400.048,240.826,3.288,Not Available,Not Available,155.816,0.119,Not Available,155.935,400.048
28491,Not Available,173.128,438.983,262.529,3.326,Not Available,Not Available,173.005,0.123,Not Available,173.128,438.983
28522,Not Available,156.387,391.866,232.625,2.854,Not Available,Not Available,156.277,0.11,Not Available,156.387,391.866
28550,Not Available,173.136,433.459,257.965,2.359,Not Available,Not Available,173.026,0.11,Not Available,173.136,433.459
28581,Not Available,167.349,434.379,265.041,1.989,Not Available,Not Available,167.244,0.105,Not Available,167.349,434.379
28611,Not Available,172.923,475.883,301.188,1.772,Not Available,Not Available,172.806,0.117,Not Available,172.923,475.883
28642,Not Available,167.34,432.628,263.109,2.179,Not Available,Not Available,167.239,0.101,Not Available,167.34,432.628
28672,Not Available,172.912,431.461,256.107,2.441,Not Available,Not Available,172.825,0.087,Not Available,172.912,431.461
28703,Not Available,173.189,408.417,232.357,2.871,Not Available,Not Available,173.009,0.18,Not Available,173.189,408.417
28734,Not Available,167.455,392.287,221.801,3.031,Not Available,Not Available,167.32,0.134,Not Available,167.455,392.287
28764,Not Available,173.169,379.436,204.012,2.254,Not Available,Not Available,173.027,0.142,Not Available,173.169,379.436
28795,Not Available,167.557,379.078,208.974,2.547,Not Available,Not Available,167.438,0.12,Not Available,167.557,379.078
28825,Not Available,173.06,407.564,231.275,3.228,Not Available,Not Available,172.935,0.126,Not Available,173.06,407.564
28856,Not Available,182.6,447.796,262.096,3.099,Not Available,Not Available,182.453,0.147,Not Available,182.6,447.796
28887,Not Available,165.096,390.487,222.855,2.535,Not Available,Not Available,164.927,0.169,Not Available,165.096,390.487
28915,Not Available,182.881,457.799,271.516,3.402,Not Available,Not Available,182.64,0.241,Not Available,182.881,457.799
28946,Not Available,176.844,445.932,265.941,3.146,Not Available,Not Available,176.707,0.138,Not Available,176.844,445.932
28976,Not Available,182.782,489.08,303.134,3.164,Not Available,Not Available,182.561,0.221,Not Available,182.782,489.08
29007,Not Available,176.833,441.683,261.646,3.204,Not Available,Not Available,176.662,0.17,Not Available,176.833,441.683
29037,Not Available,182.7,424.513,238.414,3.398,Not Available,Not Available,182.536,0.165,Not Available,182.7,424.513
29068,Not Available,182.808,409.21,222.695,3.707,Not Available,Not Available,182.638,0.17,Not Available,182.808,409.21
29099,Not Available,176.891,378.903,198.794,3.217,Not Available,Not Available,176.766,0.125,Not Available,176.891,378.903
29129,Not Available,182.752,397.602,211.243,3.607,Not Available,Not Available,182.63,0.121,Not Available,182.752,397.602
29160,Not Available,176.949,414.74,234.286,3.505,Not Available,Not Available,176.767,0.182,Not Available,176.949,414.74
29190,Not Available,182.77,425.109,238.063,4.275,Not Available,Not Available,182.568,0.202,Not Available,182.77,425.109
29221,Not Available,209.829,478.943,265.618,3.495,Not Available,Not Available,209.613,0.216,Not Available,209.829,478.943
29252,Not Available,196.31,424.298,224.631,3.357,Not Available,Not Available,196.117,0.193,Not Available,196.31,424.298
29281,Not Available,209.727,469.134,255.676,3.731,Not Available,Not Available,209.598,0.129,Not Available,209.727,469.134
29312,Not Available,202.894,477.356,270.552,3.909,Not Available,Not Available,202.768,0.127,Not Available,202.894,477.356
29342,Not Available,209.548,517.456,303.305,4.603,Not Available,Not Available,209.394,0.154,Not Available,209.548,517.456
29373,Not Available,202.723,497.768,290.604,4.441,Not Available,Not Available,202.609,0.114,Not Available,202.723,497.768
29403,Not Available,209.554,471.331,257.106,4.67,Not Available,Not Available,209.449,0.106,Not Available,209.554,471.331
29434,Not Available,209.675,429.358,214.693,4.991,Not Available,Not Available,209.544,0.131,Not Available,209.675,429.358
29465,Not Available,202.905,401.712,194.301,4.506,Not Available,Not Available,202.79,0.115,Not Available,202.905,401.712
29495,Not Available,209.717,402.564,187.73,5.117,Not Available,Not Available,209.602,0.115,Not Available,209.717,402.564
29526,Not Available,202.945,409.876,201.929,5.002,Not Available,Not Available,202.831,0.114,Not Available,202.945,409.876
29556,Not Available,209.671,448.546,233.998,4.877,Not Available,Not Available,209.546,0.125,Not Available,209.671,448.546
29587,1.08,220.544,462.381,236.553,5.284,Not Available,Not Available,211.988,7.476,1.08,220.544,462.381
29618,0.976,199.248,427.043,223.123,4.671,Not Available,Not Available,191.528,6.744,0.976,199.248,427.043
29646,1.08,220.595,443.808,217.976,5.237,Not Available,Not Available,212.042,7.472,1.08,220.595,443.808
29677,1.045,213.467,438.02,219.717,4.836,Not Available,Not Available,205.195,7.226,1.045,213.467,438.02
29707,1.08,220.433,480.423,255.2,4.791,Not Available,Not Available,211.883,7.469,1.08,220.433,480.423
29738,1.045,213.237,496.995,278.976,4.782,Not Available,Not Available,204.976,7.216,1.045,213.237,496.995
29768,1.08,220.392,491.304,265.656,5.256,Not Available,Not Available,211.838,7.473,1.08,220.392,491.304
29799,1.08,220.428,454.028,228.409,5.191,Not Available,Not Available,211.846,7.501,1.08,220.428,454.028
29830,1.045,213.48,407.22,188.516,5.224,Not Available,Not Available,205.148,7.287,1.045,213.48,407.22
29860,1.08,220.581,416.966,191.231,5.153,Not Available,Not Available,212.004,7.497,1.08,220.581,416.966
29891,1.045,213.437,418.476,200.541,4.498,Not Available,Not Available,205.166,7.226,1.045,213.437,418.476
29921,1.08,220.44,477.024,252.071,4.513,Not Available,Not Available,211.948,7.412,1.08,220.44,477.024
29952,2.922,226.251,514.44,284.215,3.975,Not Available,Not Available,213.205,10.124,2.922,226.251,514.44
29983,2.639,204.375,489.624,281.593,3.656,Not Available,Not Available,192.598,9.137,2.639,204.375,489.624
30011,2.922,226.157,544.724,315.347,3.22,Not Available,Not Available,213.132,10.103,2.922,226.157,544.724
30042,2.828,218.821,517.128,295.061,3.247,Not Available,Not Available,206.24,9.753,2.828,218.821,517.128
30072,2.922,226.135,525.795,295.887,3.773,Not Available,Not Available,213.101,10.112,2.922,226.135,525.795
30103,2.828,218.866,518.974,295.552,4.556,Not Available,Not Available,206.255,9.784,2.828,218.866,518.974
30133,2.922,226.202,519.267,288.273,4.792,Not Available,Not Available,213.146,10.135,2.922,226.202,519.267
30164,2.922,226.168,483.203,252.259,4.776,Not Available,Not Available,213.158,10.087,2.922,226.168,483.203
30195,2.828,218.947,433.748,210.219,4.581,Not Available,Not Available,206.364,9.755,2.828,218.947,433.748
30225,2.922,226.373,439.874,208.623,4.877,Not Available,Not Available,213.332,10.119,2.922,226.373,439.874
30256,2.828,218.948,469.93,245.861,5.122,Not Available,Not Available,206.347,9.772,2.828,218.948,469.93
30286,2.922,226.21,522.93,292.668,4.053,Not Available,Not Available,213.17,10.118,2.922,226.21,522.93
30317,5.363,246.575,562.279,310.615,5.087,Not Available,0.002,227.926,13.286,5.363,246.575,562.279
30348,4.844,222.738,523.276,296.625,3.913,Not Available,0,205.87,12.023,4.844,222.738,523.276
30376,5.363,246.61,572.853,321.73,4.51,Not Available,0.003,227.938,13.309,5.363,246.61,572.853
30407,5.19,238.625,561.458,318.603,4.227,Not Available,0.002,220.561,12.875,5.19,238.625,561.458
30437,5.363,246.647,581.741,331.656,3.434,Not Available,0.003,227.897,13.387,5.363,246.647,581.741
30468,5.19,238.736,569.493,326.237,4.518,Not Available,0.002,220.582,12.964,5.19,238.736,569.493
30498,5.363,246.651,550.993,298.715,5.627,Not Available,0.001,227.933,13.354,5.363,246.651,550.993
30529,5.363,246.695,528.288,274.189,7.404,Not Available,0,227.978,13.354,5.363,246.695,528.288
30560,5.19,238.755,476.173,230.65,6.764,Not Available,0.004,220.641,12.924,5.19,238.755,476.173
30590,5.363,246.732,474.251,220.423,7.091,Not Available,0.005,228.031,13.338,5.363,246.732,474.251
30621,5.19,238.78,507.035,261.94,6.311,Not Available,0.004,220.719,12.872,5.19,238.78,507.035
30651,5.363,246.871,587.773,335.876,5.025,Not Available,0.001,228.194,13.314,5.363,246.871,587.773
30682,6.547,251.483,570.081,313.504,5.094,-0.001,0,227.551,17.385,6.547,251.483,570.081
30713,6.125,235.169,535.239,293.845,6.222,0.001,0.002,212.673,16.371,6.125,235.169,535.239
30742,6.547,251.529,579.04,320.67,6.838,0.002,0.002,227.378,17.603,6.547,251.529,579.04
30773,6.336,243.277,566.019,315.985,6.748,0.003,0.006,219.904,17.037,6.336,243.277,566.019
30803,6.547,251.408,593.504,335.607,6.473,0.007,0.008,227.242,17.619,6.547,251.408,593.504
30834,6.336,243.303,553.321,303.719,6.283,0.01,0.006,219.914,17.053,6.336,243.303,553.321
30864,6.547,251.632,547.618,289.982,5.997,0.003,0.005,227.458,17.627,6.547,251.632,547.618
30895,6.547,251.638,524.053,264.894,7.509,0.009,0.003,227.481,17.61,6.547,251.638,524.053
30926,6.336,243.596,470.91,220.536,6.763,0.01,0.005,220.21,17.049,6.336,243.596,470.91
30956,6.547,251.974,479.62,220.205,7.424,0.007,0.009,227.64,17.786,6.547,251.974,479.62
30987,6.336,244.068,486.11,234.699,7.331,0.004,0.009,220.555,17.177,6.336,244.068,486.11
31017,6.547,252.042,532.347,272.166,8.127,0,0.013,227.811,17.684,6.547,252.042,532.347
31048,7.911,256.315,555.205,290.793,8.086,0.005,0.007,228.394,20.009,7.911,256.315,555.205
31079,7.146,231.512,511.838,273.175,7.141,-0.001,0.011,206.294,18.072,7.146,231.512,511.838
31107,7.911,256.336,525.002,260.344,8.314,0.001,0.007,228.374,20.05,7.911,256.336,525.002
31138,7.656,247.599,512.937,258.039,7.281,0.013,0.006,220.463,19.48,7.656,247.599,512.937
31168,7.911,255.881,542.968,279.498,7.571,0.015,0.004,227.858,20.111,7.911,255.881,542.968
31199,7.656,247.643,507.33,252.373,7.294,0.016,0.004,220.471,19.517,7.656,247.643,507.33
31229,7.911,256.159,489.577,225.387,8.019,0.011,0.001,228.091,20.156,7.911,256.159,489.577
31260,7.911,256.301,475.912,211.206,8.381,0.021,0.004,228.276,20.113,7.911,256.301,475.912
31291,7.656,247.997,454.274,198.288,7.966,0.014,0.009,221.006,19.334,7.656,247.997,454.274
31321,7.911,256.175,475.406,211.589,7.626,0.01,0.005,228.287,19.977,7.911,256.175,475.406
31352,7.656,248.07,499.606,242.115,9.416,0.003,0.002,220.962,19.452,7.656,248.07,499.606
31382,7.911,256.246,533.96,267.386,10.325,0.002,0.001,228.29,20.044,7.911,256.246,533.96
31413,9.096,249.178,486.064,226.352,10.526,0.007,0.002,217.84,22.242,9.096,249.178,486.064
31444,8.216,224.922,479.122,245.152,9.04,0.006,0.002,196.536,20.171,8.216,224.922,479.122
31472,9.096,248.837,558.538,300.28,9.403,0.011,0.007,217.379,22.362,9.096,248.837,558.538
31503,8.803,240.788,539.897,290.609,8.479,0.014,0.006,210.372,21.613,8.803,240.788,539.897
31533,9.096,248.822,545.072,287.656,8.568,0.019,0.008,217.424,22.302,9.096,248.822,545.072
31564,8.803,240.837,527.412,277.26,9.295,0.015,0.005,210.444,21.591,8.803,240.837,527.412
31594,9.096,249.011,513.292,254.396,9.862,0.017,0.005,217.598,22.317,9.096,249.011,513.292
31625,9.096,249.176,482.847,223.81,9.839,0.017,0.005,217.76,22.32,9.096,249.176,482.847
31656,8.803,241.074,472.114,222.779,8.245,0.015,0.001,210.699,21.572,8.803,241.074,472.114
31686,9.096,248.974,482.113,225.018,8.105,0.013,0.002,217.574,22.304,9.096,248.974,482.113
31717,8.803,241.122,492.321,244.175,7.015,0.009,0,210.647,21.673,8.803,241.122,492.321
31747,9.096,249.352,532.346,273.692,9.299,0.003,0,217.863,22.393,9.096,249.352,532.346
31778,10.423,244.137,521.265,267.809,9.317,0.001,0.001,209.176,24.537,10.423,244.137,521.265
31809,9.415,220.511,452.878,223.722,8.64,0.006,0,188.924,22.172,9.415,220.511,452.878
31837,10.423,244.157,498.782,245.143,9.473,0.009,0,209.117,24.616,10.423,244.157,498.782
31868,10.087,236.139,477.656,232.573,8.929,0.013,0.002,202.254,23.798,10.087,236.139,477.656
31898,10.423,244.007,509.032,255.627,9.382,0.013,0.003,208.99,24.593,10.423,244.007,509.032
31929,10.087,236.522,466.873,220.689,9.635,0.017,0.01,202.596,23.839,10.087,236.522,466.873
31959,10.423,244.359,467.691,213.34,9.961,0.019,0.013,209.335,24.601,10.423,244.359,467.691
31990,10.423,244.396,448.986,194.652,9.923,0.012,0.002,209.365,24.608,10.423,244.396,448.986
32021,10.087,236.298,437.201,191.635,9.257,0.008,0.002,202.52,23.691,10.087,236.298,437.201
32051,10.423,244.059,442.655,189.215,9.375,0.006,0.001,209.112,24.523,10.423,244.059,442.655
32082,10.087,236.197,423.208,177.943,9.064,0.003,0.001,202.462,23.648,10.087,236.197,423.208
32112,10.423,244.104,475.58,222.161,9.312,0.002,0.002,209.308,24.373,10.423,244.104,475.58
32143,10.508,255.331,495.132,230.477,9.312,0.005,0.007,218.368,26.455,10.508,255.331,495.132
32174,9.83,238.853,446.663,199.789,8.013,0.008,0,204.246,24.778,9.83,238.853,446.663
32203,10.508,255.385,469.098,204.359,9.341,0.013,0,218.351,26.526,10.508,255.385,469.098
32234,10.169,247.241,455.993,200.293,8.454,0.005,0,211.122,25.95,10.169,247.241,455.993
32264,10.508,255.188,486.212,222.701,8.31,0.013,0,217.825,26.855,10.508,255.188,486.212
32295,10.169,247.34,453.891,197.723,8.815,0.014,0,211.242,25.929,10.169,247.34,453.891
32325,10.508,255.582,442.602,177.42,9.589,0.012,0,218.272,26.802,10.508,255.582,442.602
32356,10.508,255.815,437.214,172.238,9.149,0.012,0,218.415,26.893,10.508,255.815,437.214
32387,10.169,247.357,426.312,170.174,8.772,0.01,0,211.218,25.97,10.169,247.357,426.312
32417,10.508,255.517,422.602,158.144,8.939,0.001,0,218.198,26.811,10.508,255.517,422.602
32448,10.169,247.096,448.903,192.932,8.874,0.001,0,211.191,25.737,10.169,247.096,448.903
32478,10.508,255.345,472.132,208.016,8.77,0.001,0.001,218.215,26.623,10.508,255.345,472.132
32509,10.649,266.572,510.79,224.04,14.134,4.525,1.521,231.17,24.753,10.649,266.572,510.79
32540,9.618,243.927,462.428,199.31,12.761,4.099,2.331,211.272,23.037,9.618,243.927,462.428
32568,10.649,268.315,532.996,242.358,15.001,4.652,2.671,236.6,21.067,10.649,268.315,532.996
32599,10.305,251.946,529.808,257.728,13.095,4.556,2.484,218.29,23.351,10.305,251.946,529.808
32629,10.649,241.235,562.077,300.24,13.857,4.615,2.131,200.711,29.876,10.649,241.235,562.077
32660,10.305,248.447,545.324,277.046,13.664,4.535,1.631,208.439,29.704,10.305,248.447,545.324
32690,10.649,261.318,524.173,242.678,13.872,4.824,1.482,217.404,33.265,10.649,261.318,524.173
32721,10.649,276.985,512.286,216.086,13.414,4.726,1.075,234.088,32.249,10.649,276.985,512.286
32752,10.305,264.811,487.405,202.515,12.52,4.637,2.923,220.479,34.027,10.305,264.811,487.405
32782,10.649,276.462,511.089,214.892,13.157,4.746,1.832,230.492,35.321,10.649,276.462,511.089
32813,10.305,276.819,522.005,226.777,12.562,4.566,1.281,231.613,34.901,10.305,276.819,522.005
32843,10.649,282.52,534.85,233.595,13.504,4.56,0.671,239.066,32.806,10.649,282.52,534.85
32874,9.416,236.692,513.017,253.277,15.036,4.878,3.134,193.411,33.865,9.416,236.692,513.017
32905,8.505,226.266,509.417,262.555,13.739,4.452,2.405,186.722,31.039,8.505,226.266,509.417
32933,9.416,244.248,568.236,301.333,15.116,4.987,2.551,199.565,35.267,9.416,244.248,568.236
32964,9.112,232.64,530.127,276.175,12.08,4.859,4.373,190.159,33.369,9.112,232.64,530.127
32994,9.416,210.108,525.016,291.917,14.14,5.207,3.644,166.803,33.889,9.416,210.108,525.016
33025,9.112,178.544,502.505,300.121,14.647,4.965,4.227,134.939,34.493,9.112,178.544,502.505
33055,9.416,219.713,498.519,257.581,14.779,5.207,1.239,176.618,33.679,9.416,219.713,498.519
33086,9.416,245.632,496.538,230.354,14.592,5.231,0.729,201.445,34.771,9.416,245.632,496.538
33117,9.112,239.932,446.776,187.254,13.746,4.896,0.947,196.099,34.72,9.112,239.932,446.776
33147,9.416,235.437,460.234,203.213,14.398,5.073,2.114,190.414,35.607,9.416,235.437,460.234
33178,9.112,220.256,460.29,219.084,13.805,4.74,2.405,177.629,33.515,9.112,220.256,460.29
33208,9.416,245.644,530,263.525,14.668,4.924,1.239,202.362,33.866,9.416,245.644,530
33239,10.871,269.531,571.283,280.572,15.446,5.086,0.648,221.773,36.887,10.871,269.531,571.283
33270,9.819,204.535,466.211,240.524,13.497,4.63,3.026,161.586,33.129,9.819,204.535,466.211
33298,10.871,214.374,519.424,282.566,15.382,4.941,2.161,165.815,37.688,10.871,214.374,519.424
33329,10.521,190.452,492.604,281.008,13.871,4.788,2.485,142.348,37.583,10.521,190.452,492.604
33359,10.871,206.579,539.915,309.826,14.196,5.533,3.782,156.299,39.409,10.871,206.579,539.915
33390,10.521,209.721,512.757,280.947,15.048,5.421,1.621,161.835,37.366,10.521,209.721,512.757
33420,10.871,210.055,498.533,266.05,15.07,5.738,1.621,163.21,35.974,10.871,210.055,498.533
33451,10.871,250.834,511.288,237.525,14.928,5.624,2.377,201.887,38.076,10.871,250.834,511.288
33482,10.521,267.735,491.136,201.861,14.03,5.349,2.161,220.843,36.371,10.521,267.735,491.136
33512,10.871,249.408,467.176,193.296,14.793,5.249,4.43,204.17,34.366,10.871,249.408,467.176
33543,10.521,241.541,468.495,202.13,15.411,4.983,4.43,194.094,36.927,10.521,241.541,468.495
33573,10.871,267.033,529.692,239.639,15.954,5.013,2.053,220.221,35.94,10.871,267.033,529.692
33604,12.282,279.197,537.466,235.95,15.635,5.133,1.551,225.223,41.692,12.282,279.197,537.466
33635,11.489,230.468,450.481,196.021,13.827,4.833,5.333,179.107,39.871,11.489,230.468,450.481
33664,12.282,221.177,483.099,237.66,15.679,5.189,3.393,169.584,39.312,12.282,221.177,483.099
33695,11.886,210.172,445.625,212.719,14.254,5.183,3.297,162.501,35.785,11.886,210.172,445.625
33725,12.282,190.537,454.53,242.426,15.069,5.528,0.97,136.512,41.743,12.282,190.537,454.53
33756,11.886,230.985,496.958,244.966,14.876,5.355,0.776,178.938,40.161,11.886,230.985,496.958
33786,12.282,250.15,485.928,214.207,15.109,5.686,0.776,196.218,41.651,12.282,250.15,485.928
33817,12.282,269.662,490.455,198.457,15.214,5.668,1.454,216.248,41.132,12.282,269.662,490.455
33848,11.886,251.511,457.644,183.3,14.18,5.357,3.297,199.5,40.125,11.886,251.511,457.644
33878,12.282,269.545,472.711,180.27,14.943,5.432,2.521,219.054,38.209,12.282,269.545,472.711
33909,11.886,264.383,499.401,212.065,14.869,5.174,2.909,220.592,31.905,11.886,264.383,499.401
33939,12.282,263.891,547.053,259.394,15.043,5.137,3.587,209.993,41.616,12.282,263.891,547.053
33970,14.701,274.257,566.576,268.521,15.945,5.302,2.55,212.917,46.639,13.931,273.487,565.806
34001,12.587,240.964,478.51,216.725,15.426,4.885,0.51,190.799,37.578,12.979,241.356,478.902
34029,14.83,263.204,543.657,253.399,16.137,5.562,5.356,202.466,45.908,15.052,263.426,543.879
