U.S. Energy Information Administration,,,,,,,,,,,,,
September 2014 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: September 25, 2014",,,,,,,,,,,,,
"Next Update: October 28, 2014",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 7.2a Electricity Net Generation: Total (All Sectors),,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,"Electricity Net Generation From Coal, All Sectors","Electricity Net Generation From Petroleum, All Sectors","Electricity Net Generation From Natural Gas, All Sectors","Electricity Net Generation From Other Gases, All Sectors","Electricity Net Generation From Nuclear Electric Power, All Sectors","Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors","Electricity Net Generation From Conventional Hydroelectric Power, All Sectors","Electricity Net Generation From Wood, All Sectors","Electricity Net Generation From Waste, All Sectors","Electricity Net Generation From Geothermal, All Sectors","Electricity Net Generation From Solar/PV, All Sectors","Electricity Net Generation From Wind, All Sectors","Electricity Net Generation Total, All Sectors"
1975-01-01 00:00:00,74836.043,30632.234,19689.283,Not Available,13938.354,Not Available,25309.513,0.738,13.481,203.434,Not Available,Not Available,164623.08
1975-02-01 00:00:00,67285.094,24923.842,18049.671,Not Available,12733.338,Not Available,24151.196,1.018,10.864,193.978,Not Available,Not Available,147349
1975-03-01 00:00:00,69176.492,23122.664,20098.711,Not Available,14881.784,Not Available,28249.231,0.588,11.925,218.817,Not Available,Not Available,155760.211
1975-04-01 00:00:00,64453.298,21257.994,20323.206,Not Available,13327.245,Not Available,26902.482,0.195,11.265,219.194,Not Available,Not Available,146494.879
1975-05-01 00:00:00,64741.073,21050.282,25707.482,Not Available,13763.765,Not Available,28013.097,0.897,16.63,237.853,Not Available,Not Available,153531.08
1975-06-01 00:00:00,70346.207,23062.398,28830.399,Not Available,12743.82,Not Available,27417.825,2.721,18.527,295.063,Not Available,Not Available,162716.96
1975-07-01 00:00:00,76294.723,25132.477,34181.9,Not Available,15372.216,Not Available,25762.144,0.366,15.674,297.005,Not Available,Not Available,177056.505
1975-08-01 00:00:00,78882.011,27957.786,34041.236,Not Available,15879.687,Not Available,22828.868,1.506,17.748,322.05,Not Available,Not Available,179930.892
27638,68558.859,21426.066,30020.384,Not Available,14396.011,Not Available,20737.409,3.089,15.14,283.868,Not Available,Not Available,155440.826
27668,69042.72,21994.709,26300.474,Not Available,14626.168,Not Available,22877.953,2.9,15.509,327.31,Not Available,Not Available,155187.742
27699,70424.195,21614.561,21829.846,Not Available,14164.018,Not Available,24669.065,1.844,13.517,318.052,Not Available,Not Available,153035.097
27729,78745.507,26919.888,20705.816,Not Available,16678.669,Not Available,26233.89,1.689,13.289,329.548,Not Available,Not Available,169628.296
27760,83690.963,32230.754,19894.883,Not Available,16098.884,Not Available,26349.467,2.121,13.472,328.068,Not Available,Not Available,178608.612
27791,73516.196,24782.98,19163.451,Not Available,14377.127,Not Available,24802.606,1.858,13.099,308.483,Not Available,Not Available,156965.799
27820,76553.69,25436.579,21282.392,Not Available,13992.977,Not Available,26855.021,2.54,13.176,330.3,Not Available,Not Available,164466.676
27851,72559.403,23310.448,21867.164,Not Available,10981.808,Not Available,24436.734,2.203,12.176,297.457,Not Available,Not Available,153467.392
27881,72499.188,21806.959,25318.846,Not Available,11929.39,Not Available,25810.439,2.403,12.95,284.292,Not Available,Not Available,157664.467
27912,76925.845,25116.695,29715.292,Not Available,15757.435,Not Available,25844.753,2.887,15.519,295.294,Not Available,Not Available,173673.719
27942,83279.641,27011.425,32031.884,Not Available,17708.727,Not Available,26320.866,0.955,18.353,319.188,Not Available,Not Available,186691.04
27973,84206.526,28262.962,31393.084,Not Available,18362.58,Not Available,24077.807,2.946,18.515,314.275,Not Available,Not Available,186638.696
28004,75369.701,23621.906,28057.948,Not Available,17290.311,Not Available,20570.354,5.491,15.879,305.847,Not Available,Not Available,165237.437
28034,76932.19,24189.65,23909.086,Not Available,17355.218,Not Available,21304.322,5.042,16.784,297.154,Not Available,Not Available,164009.445
28065,81668.738,30074.971,21110.511,Not Available,16134.204,Not Available,20065.329,25.731,16.437,250.369,Not Available,Not Available,169346.291
28095,87188.912,34142.807,20879.37,Not Available,21114.871,Not Available,20486.54,30.209,15.717,285.681,Not Available,Not Available,184144.107
28126,89829.161,43378.623,19952.66,Not Available,22152.064,Not Available,20993.663,35.268,14.005,309.738,Not Available,Not Available,196665.182
28157,78734.95,29446.474,19480.517,Not Available,19600.518,Not Available,15364.523,39.087,12.481,270.536,Not Available,Not Available,162949.088
28185,77492.179,28368.708,22467.119,Not Available,20672.203,Not Available,20081.349,35.02,13.95,306.644,Not Available,Not Available,169437.171
28216,70866.254,25862.144,21296.921,Not Available,19866.564,Not Available,18906.23,31.562,14.222,273.459,Not Available,Not Available,157117.355
28246,77049.033,27963.903,24701.328,Not Available,20599.284,Not Available,18941.591,31.192,14.84,295.233,Not Available,Not Available,169596.403
28277,83116.515,28970.658,29621.145,Not Available,21517.301,Not Available,17470.321,30.069,14.904,290.299,Not Available,Not Available,181031.212
28307,92372.785,34893.219,32712.543,Not Available,21824.835,Not Available,17036.785,3.421,17.073,307.065,Not Available,Not Available,199167.726
28338,90730.454,32326.169,33290.504,Not Available,22749.668,Not Available,16949.001,19.466,16.463,281.44,Not Available,Not Available,196363.166
28369,82564.552,26365.748,30937.59,Not Available,19629.992,Not Available,16657.479,24.439,16.492,301.267,Not Available,Not Available,176497.56
28399,79382.484,23073.922,27355.603,Not Available,19041.045,Not Available,17432.504,27.979,16.679,315.065,Not Available,Not Available,166645.282
28430,79467.834,24862.747,22565.612,Not Available,19458.412,Not Available,20686.579,19.617,10.76,316.511,Not Available,Not Available,167388.072
28460,83612.396,32666.506,21123.315,Not Available,23771.398,Not Available,23078.66,10.515,11.401,315.079,Not Available,Not Available,184589.27
28491,85005.951,39264.223,22309.743,Not Available,25832.949,Not Available,25338.235,23.622,11.907,321.005,Not Available,Not Available,198107.635
28522,70569.646,38212.55,20370.197,Not Available,21832.5,Not Available,22452.024,22.747,10.607,275.46,Not Available,Not Available,173745.731
28550,66623.494,36958.018,22269.092,Not Available,22448.665,Not Available,24897.659,25.683,10.618,227.657,Not Available,Not Available,173460.887
28581,70327.333,24978.413,21339.11,Not Available,17579.902,Not Available,25580.617,5.501,10.156,191.95,Not Available,Not Available,160012.982
28611,76431.711,24368.349,25076.268,Not Available,20416.17,Not Available,29069.355,4.506,11.268,171.002,Not Available,Not Available,175548.628
28642,84033.019,26129.595,30618.31,Not Available,22185.187,Not Available,25394.161,5.058,9.748,210.307,Not Available,Not Available,188585.386
28672,89606.31,29117.394,34247.75,Not Available,25007.094,Not Available,24718.41,6.308,8.43,235.597,Not Available,Not Available,202947.293
28703,93429.682,32302.004,32583.162,Not Available,25599.306,Not Available,22426.121,24.018,17.365,277.092,Not Available,Not Available,206658.749
28734,87041.271,26640.067,28206.109,Not Available,22188.917,Not Available,21407.275,12.896,12.938,292.585,Not Available,Not Available,185802.058
28764,82082.993,25753.492,25232.611,Not Available,22996.549,Not Available,19690.414,25.758,13.709,217.591,Not Available,Not Available,176013.116
28795,81727.362,27309.782,22000.457,Not Available,24900.669,Not Available,20169.267,24.228,11.542,245.785,Not Available,Not Available,176389.093
28825,88863.313,34026.554,21138.026,Not Available,25415.16,Not Available,22321.687,16.868,12.145,311.599,Not Available,Not Available,192105.353
28856,94985.712,39474.311,22092.806,Not Available,27792.163,Not Available,25315.97,12.201,14.205,299.38,Not Available,Not Available,209986.749
28887,84747.823,32274.117,21844.013,Not Available,25910.788,Not Available,21525.673,23.648,16.35,244.898,Not Available,Not Available,186587.309
28915,85219.537,22075.574,24916.06,Not Available,24334.822,Not Available,26225.876,30.272,23.239,328.623,Not Available,Not Available,183154.004
28946,80450.173,20599.379,24763.199,Not Available,18417.942,Not Available,25687.338,25.243,13.283,303.915,Not Available,Not Available,170260.472
28976,86149.298,21470.44,26135.375,Not Available,15024.851,Not Available,29279.822,22.626,21.34,305.604,Not Available,Not Available,178409.356
29007,90817.26,24367.27,30106.952,Not Available,16065.455,Not Available,25272.522,20.957,16.46,309.504,Not Available,Not Available,186976.379
29037,97879.473,25749.925,34675.501,Not Available,20824.729,Not Available,23028.538,20.175,15.9,328.236,Not Available,Not Available,202522.477
29068,97910.027,26122.976,34948.735,Not Available,24204.083,Not Available,21510.17,30.048,16.457,358.096,Not Available,Not Available,205100.592
29099,85664.344,22509.343,31441.588,Not Available,21803.87,Not Available,19201.628,31.004,12.094,310.775,Not Available,Not Available,180974.646
29129,87527.612,20278.861,30418.982,Not Available,20934.359,Not Available,20404.071,29.302,11.732,348.445,Not Available,Not Available,179953.363
29160,87455.783,23380.251,24661.307,Not Available,19255.175,Not Available,22629.801,31.079,17.576,338.536,Not Available,Not Available,177769.508
29190,96230.048,25222.763,23480.589,Not Available,20586.386,Not Available,22994.567,23.304,19.556,412.956,Not Available,Not Available,188970.171
29221,103257.677,24985.981,26348.819,Not Available,19745.966,Not Available,25569.718,30.867,20.829,336.471,Not Available,Not Available,200296.33
29252,98150.804,24780.801,24755.111,Not Available,19277.338,Not Available,21624.05,31.482,18.624,323.169,Not Available,Not Available,188961.379
29281,95386.178,20415.059,26891.062,Not Available,20038.872,Not Available,24612.658,29.39,12.461,359.122,Not Available,Not Available,187744.8
29312,83561.813,16024.88,24181.362,Not Available,18793.503,Not Available,26044.704,21.841,12.188,376.294,Not Available,Not Available,169016.585
29342,84884.262,16545.279,26586.804,Not Available,18384.807,Not Available,29197.647,9.782,14.817,443.088,Not Available,Not Available,176066.486
29373,93691.765,18019.504,31294.973,Not Available,18322.206,Not Available,27974.97,6.572,10.997,427.499,Not Available,Not Available,189748.486
29403,108456.913,23288.774,39063.083,Not Available,21023.937,Not Available,24750.32,15.032,10.197,449.596,Not Available,Not Available,217057.853
29434,107579.936,24884.835,37647.074,Not Available,24332.931,Not Available,20667.363,24.25,12.567,480.427,Not Available,Not Available,215629.382
29465,97556.952,17815.305,33579.978,Not Available,23572.294,Not Available,18704.361,23.997,11.046,433.806,Not Available,Not Available,191697.74
29495,91196.02,15858.229,28591.879,Not Available,24509.631,Not Available,18071.812,29.809,11.031,492.623,Not Available,Not Available,178761.034
29526,93500.667,19989.308,24338.395,Not Available,20983.909,Not Available,19438.646,27.882,11.012,481.542,Not Available,Not Available,178771.361
29556,104339.38,23386.234,22961.361,Not Available,22130.182,Not Available,22525.84,24.462,12.026,469.442,Not Available,Not Available,195848.927
29587,111764.813,25963.088,22080.996,Not Available,23778.769,Not Available,22630.121,24.316,10.563,505.539,Not Available,Not Available,206758.205
29618,97653.289,17443.999,21339.106,Not Available,21595.261,Not Available,21345.388,27.208,8.81,446.85,Not Available,Not Available,179859.91
29646,99482.128,16956.746,25996.919,Not Available,22004.399,Not Available,20852.96,29.436,10.261,501.033,Not Available,Not Available,185833.882
29677,88109.349,15106.252,27460.284,Not Available,20646.019,Not Available,21019.475,27.823,9.454,462.686,Not Available,Not Available,172841.342
29707,88940.698,14507.881,30070.319,Not Available,19723.09,Not Available,24414.025,14.228,9.978,458.335,Not Available,Not Available,178138.553
29738,99837.068,18971.565,35885.106,Not Available,21165.626,Not Available,26688.579,6.86,8.486,457.46,Not Available,Not Available,203020.751
29768,112853.683,20071.683,38712.255,Not Available,23079.647,Not Available,25414.375,9.957,10.344,502.803,Not Available,Not Available,220654.747
29799,108402.855,16001.049,36917.716,Not Available,26946.387,Not Available,21851.021,10.736,13.02,496.632,Not Available,Not Available,210639.415
29830,97663.878,15565.877,30850.324,Not Available,24398.455,Not Available,18034.677,23.321,15.24,499.717,Not Available,Not Available,187051.489
29860,97046.239,16213.139,28916.564,Not Available,20555.822,Not Available,18294.401,25.808,12.621,492.996,Not Available,Not Available,181557.59
29891,94841.001,13847.211,24670.378,Not Available,22783.424,Not Available,19184.975,25.044,9.378,430.344,Not Available,Not Available,175791.753
29921,106608.232,15772.285,22877.206,Not Available,25996.603,Not Available,24114.668,20.464,4.474,431.768,Not Available,Not Available,195825.699
29952,113123.631,20673.949,22620.535,Not Available,25677.834,Not Available,27187.167,18.831,12.217,380.21,Not Available,Not Available,209694.373
29983,96905.528,15216.865,20919.528,Not Available,20187.619,Not Available,26936.434,19.505,10.388,349.706,Not Available,Not Available,180545.573
30011,97625.094,13494.516,23597.611,Not Available,22755.478,Not Available,30165.194,11.849,10.215,308.008,Not Available,Not Available,187967.965
30042,88115.664,11192.216,23231.222,Not Available,21784.661,Not Available,28224.687,9.816,7.661,310.575,Not Available,Not Available,172876.502
30072,92997.402,9867.698,24291.498,Not Available,21638.768,Not Available,28303.672,8.875,11.157,360.911,Not Available,Not Available,177479.981
30103,95313.637,10419.113,27959.064,Not Available,24026.011,Not Available,28271.627,11.244,10.598,435.826,Not Available,Not Available,186447.119
30133,110617.225,13380.25,33340.356,Not Available,25467.06,Not Available,27575.369,13.15,13.278,458.391,Not Available,Not Available,210865.079
30164,110124.075,11753.038,34418.117,Not Available,24986.071,Not Available,24130.424,14.372,8.747,456.832,Not Available,Not Available,205891.676
30195,96895.697,10363.144,27649.118,Not Available,25390.532,Not Available,20108.998,21.737,7.799,438.243,Not Available,Not Available,180875.268
30225,93769.09,9885.352,25804.497,Not Available,23247.7,Not Available,19956.331,30.99,11.775,466.512,Not Available,Not Available,173172.248
30256,95547.275,9312.965,21465.602,Not Available,23235.022,Not Available,23518.327,20.135,9.463,489.97,Not Available,Not Available,173598.759
30286,100969.888,11238.383,19962.6,Not Available,24376.491,Not Available,27995.783,15.435,11.681,387.681,Not Available,Not Available,184957.943
30317,108164.265,12879.838,19721.254,Not Available,25073.059,Not Available,29526.18,13.293,9.254,483.529,Not Available,0.172,195870.844
30348,92691.602,12585.943,16658.895,Not Available,22197.767,Not Available,28196.337,12.152,10.536,371.94,Not Available,0.018,172725.19
30376,95598.248,12556.444,19686.264,Not Available,23890.193,Not Available,30582.685,14.433,11.446,428.696,Not Available,0.313,182768.722
30407,88113.755,10336.746,19173.85,Not Available,22334.793,Not Available,30285.458,11.618,10.612,401.83,Not Available,0.214,170668.876
30437,91296.386,9050.351,20444.768,Not Available,22050.937,Not Available,31526.278,10.56,18.831,326.45,Not Available,0.251,174724.813
30468,101512.015,11138.627,23091.183,Not Available,24151.858,Not Available,31011.159,13.661,19.028,429.464,Not Available,0.212,191367.206
30498,121560.33,14709.748,29615.086,Not Available,25602.084,Not Available,28394.927,13.99,15.732,534.843,Not Available,0.097,220446.836
30529,129312.743,14730.919,33147.159,Not Available,26201.317,Not Available,26063.618,18.181,15.72,703.792,Not Available,0.01,230193.46
30560,108867.586,11298.792,28040.45,Not Available,25007.372,Not Available,21924.869,19.309,15.275,642.982,Not Available,0.378,195817.014
30590,101951.282,9941.041,23782.891,Not Available,25796.805,Not Available,20952.741,23.245,14.16,674.082,Not Available,0.464,183136.711
30621,103225.255,9229.464,20169.388,Not Available,25010.113,Not Available,24899.225,26.657,10.282,599.874,Not Available,0.423,183170.681
30651,117130.811,16040.679,20567.27,Not Available,26360.821,Not Available,31927.379,38.767,11.87,477.619,Not Available,0.117,212555.333
30682,120850.261,15938.933,20245.336,Not Available,29313.313,Not Available,30029.114,45.15,13.697,487.953,-0.069,0.041,216923.729
30713,104706.39,10052.549,17826.724,Not Available,28435.519,Not Available,28146.08,23.417,23.078,596.024,0.061,0.199,189810.043
30742,111157.719,10806.168,19644.833,Not Available,27344.704,Not Available,30715.484,28.649,34.591,654.973,0.17,0.184,200387.475
30773,97541.501,7449.51,21197.053,Not Available,24231.118,Not Available,30266.727,14.401,33.607,646.337,0.323,0.562,181381.139
30803,100138.89,8421.629,25303.732,Not Available,25866.506,Not Available,32146.29,15.569,36.125,619.995,0.703,0.758,192550.198
30834,115425.514,11151.74,28345.033,Not Available,25299.389,Not Available,29091.841,15.275,35.155,601.822,0.945,0.599,209967.314
30864,121094.329,10396.601,33326.633,Not Available,28284.305,Not Available,27776.009,36.274,36.829,574.462,0.253,0.468,221526.162
30895,127743.902,12835.775,33291.869,Not Available,29493.032,Not Available,25372.988,38.495,35.205,719.249,0.883,0.266,229531.666
30926,108861.54,7713.431,27838.782,Not Available,29145.7,Not Available,21124.151,43.654,34.823,647.833,0.976,0.499,195411.388
30956,110800.527,7874.495,25782.724,Not Available,24773.645,Not Available,21092.477,53.737,52.117,711.156,0.683,0.87,191142.43
30987,109759.28,9232.298,23727.895,Not Available,24574.563,Not Available,22480.711,76.675,47.012,702.248,0.337,0.847,190601.865
31017,113600.9,7934.784,20862.981,Not Available,30871.754,Not Available,26069.492,70.113,42.301,778.452,-0.016,1.197,200231.958
31048,129092.471,12077.118,22050.835,Not Available,36186.298,Not Available,27835.054,82.597,48.412,774.003,0.465,0.635,228147.888
31079,112036.83,9270.117,19417.44,Not Available,30812.422,Not Available,26148.617,74.844,43.696,683.523,-0.085,1.093,198488.497
31107,111390.703,7120.015,19848.321,Not Available,31041.225,Not Available,24920.45,80.633,52.38,795.867,0.104,0.69,195250.388
31138,104790.423,6017.18,22425.012,Not Available,26458.274,Not Available,24699.772,25.963,57.977,696.907,1.222,0.581,185173.312
31168,111514.668,6859.495,22481.467,Not Available,28697.365,Not Available,26753.91,31.256,58.191,724.684,1.471,0.337,197122.843
31199,115583.004,7576.498,26739.747,Not Available,30836.969,Not Available,24157.483,26.683,61.497,698.184,1.568,0.337,205681.971
31229,128880.144,8289.434,32190.85,Not Available,35184.214,Not Available,21574.316,53.538,62.516,767.624,1.055,0.071,227003.762
31260,126549.659,9858.348,33915.168,Not Available,34812.142,Not Available,20216.874,71.265,58.384,802.236,2.007,0.363,226286.447
31291,114630.253,7434.642,26272.697,Not Available,34507.709,Not Available,18980.41,77.939,44.056,762.515,1.369,0.832,202712.422
31321,111053.345,7514.42,24119.576,Not Available,31205.154,Not Available,20253.598,72.286,45.375,729.992,0.947,0.524,194995.217
31352,108814.643,7008.016,22453.425,Not Available,30166.489,Not Available,23175.559,73.695,55.303,901.352,0.276,0.194,192648.952
31382,127791.979,11176.988,20031.428,Not Available,33782.468,Not Available,25594.494,72.595,51.791,988.343,0.231,0.105,219490.423
31413,130189.924,11088.338,17472.41,Not Available,36218.874,Not Available,21668.778,64.133,50.205,1007.682,0.638,0.155,217761.136
31444,110982.428,9529.298,14924.854,Not Available,32721.017,Not Available,23468.502,36.611,53.139,865.407,0.592,0.169,192582.016
31472,110389.796,10072.925,16149.202,Not Available,30773.127,Not Available,28745.94,20.004,61.743,900.114,1.014,0.69,197114.555
31503,98995.106,9226.796,18961.06,Not Available,30476.66,Not Available,27820.143,19.908,57.126,811.665,1.377,0.613,186370.454
31533,104900.302,10435.353,21947.302,Not Available,31924.086,Not Available,27537.396,24.295,56.019,820.177,1.828,0.74,197647.498
31564,120153.987,11563.482,24767.149,Not Available,31333.867,Not Available,26542.197,26.723,54.981,889.86,1.409,0.502,215334.156
31594,136653.936,16296.267,28711.652,Not Available,35893.532,Not Available,24353.454,40.96,57.454,944.107,1.669,0.522,242953.552
31625,123617.62,15465.909,26352.173,Not Available,37483.147,Not Available,21425.424,56.503,57.707,941.909,1.629,0.46,225402.481
31656,113957.353,10676.506,23456.719,Not Available,36592.616,Not Available,21326.72,51.188,53.156,789.335,1.438,0.069,206905.101
31686,108583.774,9872.701,20876.382,Not Available,36213.556,Not Available,21541.058,38.668,56.205,775.916,1.289,0.227,197959.776
31717,109045.451,10463.699,18044.042,Not Available,34944.105,Not Available,23374.963,46.194,62.783,671.542,0.895,0.012,196653.686
31747,118361.775,11893.594,16845.488,Not Available,39463.476,Not Available,26200.643,66.323,64.715,890.243,0.254,0.03,213786.542
31778,126630.512,11926.743,17788.153,Not Available,39974.825,Not Available,25703.928,64.23,58.189,894.259,0.062,0.075,223040.975
31809,109647.934,10501.85,15119.732,Not Available,36598.257,Not Available,21472.457,57.114,53.476,829.269,0.532,0.004,194280.625
31837,111920.394,10007.168,18349.449,Not Available,37290.006,Not Available,23528.449,58.599,65.749,909.237,0.902,-0.009,202129.944
31868,105474.356,7911.58,19601.569,Not Available,33517.74,Not Available,22322.015,45.401,61.34,856.992,1.278,0.146,189792.417
31898,115155.284,8145.79,23238.723,Not Available,34320.408,Not Available,24534.684,46.379,63.545,900.486,1.251,0.328,206406.878
31929,129350.599,10654.604,27090.362,Not Available,36560.089,Not Available,21181.422,78.229,65.213,924.767,1.665,0.965,225907.915
31959,143502.911,12547.339,30511.554,Not Available,40055.583,Not Available,20476.008,79.441,64.291,956.08,1.785,1.226,248196.221
31990,143194.312,11288.95,32261.639,Not Available,41352.353,Not Available,18682.389,82.344,64.953,952.397,1.19,0.232,247880.76
32021,120777.103,7696.435,25677.538,Not Available,39665.826,Not Available,18392.849,70.933,51.074,888.492,0.774,0.226,213221.249
32051,117742.848,6819.448,22985.178,Not Available,36491.544,Not Available,18160.564,58.104,56.823,899.778,0.576,0.062,203214.924
32082,114171.65,9803.399,21005.294,Not Available,37437.67,Not Available,17078.681,65.425,46.893,869.989,0.322,0.063,200479.386
32112,126213.387,11189.264,18991.611,Not Available,42006.081,Not Available,21322.647,76.889,42.394,893.714,0.159,0.224,220736.372
32143,137845.293,16090.408,16237.245,Not Available,44658.45,Not Available,22324.412,91.493,38.041,901.993,0.458,0.642,238188.434
32174,126267.376,11889.894,16530.273,Not Available,42246.023,Not Available,19351.882,82.293,38.403,776.173,0.767,-0.001,217183.084
32203,120033.644,9768.817,19743.729,Not Available,43912.016,Not Available,19794.568,89.832,44.923,904.768,1.288,0.03,214293.615
32234,109135.472,7493.961,19241.49,Not Available,40066.609,Not Available,19400.713,68.986,70.548,818.823,0.478,0.031,196297.111
32264,115195.008,7210.616,23154.533,Not Available,40650.384,Not Available,21571.177,38.89,76.751,804.966,1.263,0.016,208703.604
32295,132267.995,9754.321,26808.398,Not Available,44079.082,Not Available,19151.775,80.642,68.454,853.815,1.358,0.013,233065.853
32325,144301.353,14059.314,31284.129,Not Available,49828.437,Not Available,17185.157,82.193,71.663,928.768,1.115,-0.004,257742.125
32356,152376.525,16068.103,32701.666,Not Available,49035.279,Not Available,16683.235,96.023,80.401,886.209,1.131,0.022,267928.593
32387,124409.811,10013.751,22213.483,Not Available,46270.481,Not Available,16483.325,78.313,72.431,849.671,0.971,0.005,220392.242
32417,121339.387,13235.78,17315.929,Not Available,42591.127,Not Available,15318.091,75.019,72.517,865.865,0.137,0.033,210813.885
32448,121053.811,14962.382,14542.603,Not Available,39583.296,Not Available,18687.708,75.64,49.857,859.595,0.068,0.031,209814.992
32478,136427.1,18352.213,13027.227,Not Available,44051.863,Not Available,20148.761,76.661,54.267,849.434,0.059,0.053,232987.639
32509,137733.369,15917.492,19959.529,667.767,46327.876,Not Available,21476.179,2408.295,518.574,1279.108,6.957,145.754,246766.176
