U.S. Energy Information Administration,,,,,,,,,,,,,,
July 2014 Monthly Energy Review,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Release Date: July 28, 2014",,,,,,,,,,,,,,
"Next Update: August 27, 2014",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table 10.4 Biodiesel Overview,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Month,Biodiesel Feedstock,Losses and Co-products from Biodiesel Production,Biodiesel Production,Biodiesel Production,Biodiesel Production,Biodiesel Imports,Biodiesel Exports,Biodiesel Net Imports,Biodiesel Stocks,Biodiesel Stock Change,Biodiesel Balancing Item,Biodiesel Consumption,Biodiesel Consumption,Biodiesel Consumption
2003-08-01 00:00:00,0.156,0.002,28.734,1.207,0.154,9.746,8.217,1.529,Not Available,Not Available,Not Available,30.263,1.271,0.162
37865,0.151,0.002,27.807,1.168,0.149,14.551,6.481,8.07,Not Available,Not Available,Not Available,35.877,1.507,0.192
37895,0.156,0.002,28.734,1.207,0.154,2.962,8.645,-5.682,Not Available,Not Available,Not Available,23.052,0.968,0.124
37926,0.151,0.002,27.807,1.168,0.149,29.379,9.75,19.629,Not Available,Not Available,Not Available,47.437,1.992,0.254
37956,0.156,0.002,28.734,1.207,0.154,3.428,10.179,-6.751,Not Available,Not Available,Not Available,21.983,0.923,0.118
37987,0.307,0.004,56.43,2.37,0.302,10.584,5.157,5.427,Not Available,Not Available,Not Available,61.857,2.598,0.331
38018,0.287,0.004,52.789,2.217,0.283,18.845,8.233,10.612,Not Available,Not Available,Not Available,63.401,2.663,0.34
38047,0.307,0.004,56.43,2.37,0.302,4.235,7.835,-3.6,Not Available,Not Available,Not Available,52.83,2.219,0.283
38078,0.297,0.004,54.61,2.294,0.293,15.971,10.7,5.272,Not Available,Not Available,Not Available,59.881,2.515,0.321
38108,0.307,0.004,56.43,2.37,0.302,3.356,12.789,-9.433,Not Available,Not Available,Not Available,46.997,1.974,0.252
38139,0.297,0.004,54.61,2.294,0.293,5.948,15.977,-10.029,Not Available,Not Available,Not Available,44.58,1.872,0.239
38169,0.307,0.004,56.43,2.37,0.302,7.06,14.767,-7.707,Not Available,Not Available,Not Available,48.723,2.046,0.261
38200,0.307,0.004,56.43,2.37,0.302,3.751,15.801,-12.05,Not Available,Not Available,Not Available,44.38,1.864,0.238
38231,0.297,0.004,54.61,2.294,0.293,9.392,11.771,-2.38,Not Available,Not Available,Not Available,52.23,2.194,0.28
38261,0.307,0.004,56.43,2.37,0.302,10.036,9.357,0.678,Not Available,Not Available,Not Available,57.108,2.399,0.306
38292,0.297,0.004,54.61,2.294,0.293,6.742,8.578,-1.836,Not Available,Not Available,Not Available,52.774,2.217,0.283
38322,0.307,0.004,56.43,2.37,0.302,4.623,6.752,-2.129,Not Available,Not Available,Not Available,54.3,2.281,0.291
38353,0.997,0.014,183.587,7.711,0.984,14.89,7.86,7.029,Not Available,Not Available,Not Available,190.616,8.006,1.022
38384,0.901,0.012,165.82,6.964,0.889,33.766,7.996,25.77,Not Available,Not Available,Not Available,191.59,8.047,1.027
38412,0.997,0.014,183.587,7.711,0.984,12.91,25.098,-12.188,Not Available,Not Available,Not Available,171.398,7.199,0.919
38443,0.965,0.013,177.665,7.462,0.952,17.762,17.555,0.207,Not Available,Not Available,Not Available,177.872,7.471,0.953
38473,0.997,0.014,183.587,7.711,0.984,7.625,10.018,-2.393,Not Available,Not Available,Not Available,181.194,7.61,0.971
38504,0.965,0.013,177.665,7.462,0.952,21.987,10.641,11.346,Not Available,Not Available,Not Available,189.01,7.938,1.013
38534,0.997,0.014,183.587,7.711,0.984,10.252,25.403,-15.151,Not Available,Not Available,Not Available,168.435,7.074,0.903
38565,0.997,0.014,183.587,7.711,0.984,39.515,19.986,19.529,Not Available,Not Available,Not Available,203.116,8.531,1.088
38596,0.965,0.013,177.665,7.462,0.952,11.631,12.526,-0.895,Not Available,Not Available,Not Available,176.769,7.424,0.947
38626,0.997,0.014,183.587,7.711,0.984,8.247,40.996,-32.749,Not Available,Not Available,Not Available,150.838,6.335,0.808
38657,0.965,0.013,177.665,7.462,0.952,24.017,11.29,12.728,Not Available,Not Available,Not Available,190.392,7.996,1.02
38687,0.997,0.014,183.587,7.711,0.984,11.088,23.338,-12.25,Not Available,Not Available,Not Available,171.337,7.196,0.918
38718,1.694,0.023,311.731,13.093,1.671,22.65,27.376,-4.726,Not Available,Not Available,Not Available,307.004,12.894,1.645
38749,1.464,0.02,269.462,11.317,1.444,19.806,74.212,-54.406,Not Available,Not Available,Not Available,215.056,9.032,1.152
38777,1.997,0.027,367.538,15.437,1.97,40.828,12.005,28.823,Not Available,Not Available,Not Available,396.361,16.647,2.124
38808,2.094,0.029,385.37,16.186,2.065,17.393,16.59,0.803,Not Available,Not Available,Not Available,386.173,16.219,2.07
38838,2.885,0.039,530.999,22.302,2.846,77.76,55.568,22.193,Not Available,Not Available,Not Available,553.192,23.234,2.965
38869,3.324,0.045,611.903,25.7,3.279,151.697,55.235,96.463,Not Available,Not Available,Not Available,708.366,29.751,3.796
38899,2.933,0.04,539.915,22.676,2.893,76.847,109.777,-32.929,Not Available,Not Available,Not Available,506.986,21.293,2.717
38930,3.741,0.051,688.515,28.918,3.69,96.124,120.542,-24.417,Not Available,Not Available,Not Available,664.098,27.892,3.559
38961,3.251,0.044,598.364,25.131,3.207,91.26,66.715,24.546,Not Available,Not Available,Not Available,622.91,26.162,3.338
38991,2.98,0.041,548.501,23.037,2.939,104.32,59.132,45.188,Not Available,Not Available,Not Available,593.688,24.935,3.182
39022,2.828,0.039,520.432,21.858,2.789,193.526,137.909,55.617,Not Available,Not Available,Not Available,576.049,24.194,3.087
39052,3.206,0.044,590.109,24.785,3.162,213.103,120.561,92.542,Not Available,Not Available,Not Available,682.651,28.671,3.658
39083,3.762,0.051,692.499,29.085,3.711,245.246,106.027,139.22,Not Available,Not Available,Not Available,831.719,34.932,4.457
39114,3.066,0.042,564.314,23.701,3.024,152.742,179.098,-26.356,Not Available,Not Available,Not Available,537.958,22.594,2.883
39142,4.21,0.057,774.855,32.544,4.152,117.41,302.613,-185.203,Not Available,Not Available,Not Available,589.652,24.765,3.16
39173,4.156,0.057,764.88,32.125,4.099,185.551,625.823,-440.272,Not Available,Not Available,Not Available,324.608,13.634,1.74
39203,5.205,0.071,958.092,40.24,5.134,113.909,560.839,-446.929,Not Available,Not Available,Not Available,511.163,21.469,2.739
39234,5.121,0.07,942.608,39.59,5.051,376.425,432.021,-55.597,Not Available,Not Available,Not Available,887.012,37.254,4.753
39264,6.722,0.092,1237.233,51.964,6.63,278.49,925.563,-647.074,Not Available,Not Available,Not Available,590.16,24.787,3.163
39295,7.051,0.096,1297.852,54.51,6.955,422.364,666.225,-243.862,Not Available,Not Available,Not Available,1053.991,44.268,5.648
39326,6.648,0.091,1223.666,51.394,6.558,309.561,532.126,-222.565,Not Available,Not Available,Not Available,1001.101,42.046,5.365
39356,6.453,0.088,1187.8,49.888,6.365,442.459,602.473,-160.014,Not Available,Not Available,Not Available,1027.786,43.167,5.508
39387,5.394,0.073,992.882,41.701,5.321,253.362,997.218,-743.856,Not Available,Not Available,Not Available,249.026,10.459,1.335
39417,5.573,0.076,1025.817,43.084,5.497,557.445,765.815,-208.371,Not Available,Not Available,Not Available,817.446,34.333,4.381
39448,6.503,0.089,1196.912,50.27,6.414,618.701,1137.142,-518.441,Not Available,Not Available,Not Available,678.47,28.496,3.636
39479,5.835,0.079,1073.928,45.105,5.755,866.454,1430.58,-564.126,Not Available,Not Available,Not Available,509.802,21.412,2.732
39508,6.453,0.088,1187.661,49.882,6.365,282.992,1211.128,-928.136,Not Available,Not Available,Not Available,259.525,10.9,1.391
39539,6.892,0.094,1268.471,53.276,6.798,711.017,1645.693,-934.677,Not Available,Not Available,Not Available,333.794,14.019,1.789
39569,7.02,0.096,1292.142,54.27,6.925,530.75,1409.72,-878.971,Not Available,Not Available,Not Available,413.171,17.353,2.214
39600,7.85,0.107,1444.783,60.681,7.743,529.019,1817.54,-1288.521,Not Available,Not Available,Not Available,156.262,6.563,0.837
39630,8.714,0.119,1603.954,67.366,8.596,544.225,1468.575,-924.35,Not Available,Not Available,Not Available,679.604,28.543,3.642
39661,8.816,0.12,1622.728,68.155,8.696,937.41,1660.539,-723.129,Not Available,Not Available,Not Available,899.599,37.783,4.821
39692,8.153,0.111,1500.561,63.024,8.042,939.177,1501.46,-562.283,Not Available,Not Available,Not Available,938.278,39.408,5.028
39722,7.957,0.108,1464.645,61.515,7.849,745.531,1377.877,-632.346,Not Available,Not Available,Not Available,832.299,34.957,4.46
39753,7.813,0.106,1437.981,60.395,7.706,632.296,1220.638,-588.342,Not Available,Not Available,Not Available,849.639,35.685,4.553
39783,5.713,0.078,1051.617,44.168,5.636,417.459,792.005,-374.547,Not Available,Not Available,Not Available,677.071,28.437,3.628
39814,5.483,0.075,1009.113,42.383,5.408,269.621,1188.915,-919.294,664,664,653.181,79,3.318,0.423
39845,4.325,0.059,795.995,33.432,4.266,162.825,1205.447,-1042.622,424,-240,79.627,73,3.066,0.391
39873,3.44,0.047,633.193,26.594,3.393,396.413,210.315,186.098,665,241,0,578.291,24.288,3.099
39904,3.644,0.05,670.732,28.171,3.594,53.252,159.112,-105.86,632,-33,0,597.872,25.111,3.204
39934,4.152,0.057,764.305,32.101,4.096,120.595,430.857,-310.262,600,-32,0,486.043,20.414,2.605
39965,4.345,0.059,799.706,33.588,4.286,142.779,378.751,-235.972,581,-19,0,582.735,24.475,3.123
39995,5.595,0.076,1029.899,43.256,5.519,59.658,600.668,-541.009,511,-70,0,558.89,23.473,2.995
40026,5.821,0.079,1071.331,44.996,5.741,129.891,410.197,-280.306,511,0,0,791.025,33.223,4.239
40057,6.302,0.086,1159.92,48.717,6.216,126.831,231.372,-104.541,527,16,0,1039.379,43.654,5.57
40087,7.431,0.101,1367.717,57.444,7.33,164.386,438.045,-273.659,553,26,0,1068.058,44.858,5.724
40118,8.238,0.112,1516.239,63.682,8.126,108.604,847.184,-738.58,531,-22,0,799.659,33.586,4.285
40148,7.948,0.108,1462.922,61.443,7.84,171.021,445.226,-274.205,711,180,0,1008.717,42.366,5.406
40179,3.442,0.047,633.499,26.607,3.395,42.014,306.21,-264.197,1049,338,0,31.302,1.315,0.168
40210,3.783,0.052,696.341,29.246,3.732,32.149,143.527,-111.378,1039,-10,0,594.964,24.988,3.188
40238,4.369,0.06,804.097,33.772,4.309,61.684,448.072,-386.388,1057,18,0,399.708,16.788,2.142
40269,4.423,0.06,814.044,34.19,4.362,46.237,234.361,-188.124,1009,-48,0,673.92,28.305,3.612
40299,4.128,0.056,759.882,31.915,4.072,82.89,259.992,-177.102,1016,7,0,575.78,24.183,3.086
40330,3.501,0.048,644.436,27.066,3.454,56.09,313.827,-257.737,968,-48,0,434.699,18.257,2.33
40360,3.57,0.049,657.083,27.597,3.521,33.345,205.915,-172.57,830,-138,0,622.513,26.146,3.336
40391,3.548,0.048,653.034,27.427,3.5,53.767,232.54,-178.773,771,-59,0,533.261,22.397,2.858
40422,3.927,0.053,722.783,30.357,3.873,70.942,135.396,-64.454,682,-89,0,747.329,31.388,4.005
40452,3.674,0.05,676.294,28.404,3.624,18.687,136.95,-118.262,650,-32,0,590.031,24.781,3.162
40483,2.868,0.039,527.803,22.168,2.828,30.98,58.568,-27.588,676,26,0,474.215,19.917,2.541
40513,3.194,0.044,587.97,24.695,3.151,35.171,112.608,-77.437,672,-4,0,514.533,21.61,2.757
40544,4.573,0.062,841.797,35.355,4.511,50.177,224.493,-174.316,1015.761,38.861,0,628.62,26.402,3.369
40575,5.219,0.071,960.532,40.342,5.147,38.563,91.214,-52.651,1216.501,200.741,0,707.14,29.7,3.79
40603,7.708,0.105,1418.813,59.59,7.603,54.943,203.908,-148.966,1380.623,164.121,0,1105.726,46.44,5.926
40634,9.191,0.125,1691.707,71.052,9.066,54.243,229.2,-174.957,1408.001,27.377,0,1489.373,62.554,7.982
40664,9.986,0.136,1838.015,77.197,9.85,49.35,198.242,-148.891,1576.299,168.297,0,1520.827,63.875,8.15
40695,10.529,0.143,1937.882,81.391,10.385,49.62,120.454,-70.834,1523.581,-52.716,0,1919.764,80.63,10.288
40725,11.859,0.162,2182.85,91.68,11.698,64.321,146.633,-82.311,1747.585,224.002,0,1876.537,78.815,10.056
40756,12.352,0.168,2273.449,95.485,12.183,66.7,73.826,-7.125,1833.596,86.011,0,2180.313,91.573,11.684
40787,12.411,0.169,2284.336,95.942,12.242,67.479,199.261,-131.782,1617.43,-216.166,0,2368.72,99.486,12.694
40817,13.627,0.186,2508.153,105.342,13.441,85.009,136.092,-51.083,1964.766,347.336,0,2109.734,88.609,11.306
40848,13.55,0.185,2493.983,104.747,13.365,68.538,135.464,-66.926,1876.65,-88.115,0,2515.172,105.637,13.479
40878,14.146,0.193,2603.746,109.357,13.953,241.43,39.832,201.597,2011.621,134.971,0,2670.372,112.156,14.311
40909,9.514,0.13,1751.085,73.546,9.384,48,258.391,-210.391,2510.406,498.784,0,1041.91,43.76,5.584
40940,10.25,0.14,1886.561,79.236,10.11,72,124.622,-52.622,2894.677,384.271,0,1449.668,60.886,7.769
40969,12.227,0.167,2250.578,94.524,12.061,25,189.28,-164.28,2893.445,-1.232,0,2087.53,87.676,11.187
41000,12.152,0.166,2236.742,93.943,11.987,32,230.388,-198.388,2782.6,-110.845,0,2149.199,90.266,11.518
41030,13.19,0.18,2427.846,101.97,13.011,75,319.56,-244.56,2709.852,-72.747,0,2256.033,94.753,12.09
41061,12.079,0.165,2223.201,93.374,11.914,132,391.861,-259.861,2347.894,-361.957,0,2325.297,97.662,12.461
41091,11.554,0.157,2126.595,89.317,11.396,166,426.255,-260.255,2261.593,-86.3,0,1952.64,82.011,10.464
41122,11.824,0.161,2176.305,91.405,11.663,55,402.751,-347.751,2011.455,-250.138,0,2078.692,87.305,11.14
41153,10.588,0.144,1948.879,81.853,10.444,108,294.856,-186.856,2058.513,47.057,0,1714.966,72.029,9.191
41183,9.738,0.133,1792.447,75.283,9.606,60,209.087,-149.087,2182.734,124.221,0,1519.139,63.804,8.141
41214,7.403,0.101,1362.584,57.229,7.302,9,65.251,-56.251,1864.769,-317.964,0,1624.297,68.22,8.705
41244,7.636,0.104,1405.532,59.032,7.532,71,143.46,-72.46,2083.355,218.586,0,1114.486,46.808,5.973
41275,8.574,0.117,1578.054,66.278,8.457,30,15.681,14.319,2110.282,-58.465,0,1650.838,69.335,8.847
41306,8.752,0.119,1610.954,67.66,8.633,52,58.878,-6.878,2108.724,-1.558,0,1605.634,67.437,8.605
41334,12.669,0.173,2331.862,97.938,12.496,406,184.881,221.119,2433.994,325.27,0,2227.711,93.564,11.938
41365,13.757,0.187,2532.079,106.347,13.569,304,370.969,-66.969,2625.469,191.475,0,2273.635,95.493,12.184
41395,14.318,0.195,2635.324,110.684,14.123,385,554.479,-169.479,2635.029,9.023,0,2456.822,103.187,13.166
41426,14.585,0.199,2684.591,112.753,14.387,682,586.597,95.403,2709.189,74.16,0,2705.834,113.645,14.501
41456,16.543,0.225,3044.92,127.887,16.318,338,426.032,-88.032,2956.125,246.935,0,2709.953,113.818,14.523
41487,16.599,0.226,3055.163,128.317,16.373,364,686.726,-322.726,3210.396,254.271,0,2478.166,104.083,13.28
41518,16.412,0.224,3020.771,126.872,16.188,683,379.602,303.398,3166.126,-44.27,0,3368.439,141.474,18.051
41548,17.037,0.232,3135.787,131.703,16.805,1101,535.533,565.467,2994.088,-172.037,0,3873.291,162.678,20.757
41579,16.519,0.225,3040.562,127.704,16.294,1387,302.811,1084.189,4058.45,1064.361,0,3060.39,128.536,16.401
41609,17.476,0.238,3216.667,135.1,17.238,1765,374.851,1390.149,4509.422,450.972,0,4155.844,174.545,22.271
41640,8.757,0.119,1611.871,67.699,8.638,233,135.361,97.639,4171.422,-338,0,2047.51,85.995,10.973
41671,11.863,0.162,2183.473,91.706,11.701,175,140.684,34.316,3928.422,-243,0,2460.789,103.353,13.187
41699,12.63,0.172,2324.67,97.636,12.458,257,91.393,165.607,4074.07,145.647,0,2344.63,98.474,12.565
41730,12.058,0.164,2219.372,93.214,11.894,146,260.672,-114.672,3764.495,-309.576,0,2414.276,101.4,12.938
