NAME,TM,w,l,pct,rs,ra,w1,l1,pct1,w2,l2,pct2,rs2,ra2,w3,l3,pct3,rs3,ra3,d1,d2,d3,opptav,opptava,hlf,ahlf
Los Angeles Angels,LAA,40,43,0.482,387,377,42.5,40.5,0.512,44.2,38.8,0.532,403.8238723284659,377.46906440666066,42.6,40.4,0.513,417.4076605878598,406.22488471067913,-2.5,-4.2,-2.6,0.26,0.264,0.51,0.53
Los Angeles Dodgers,LAN,39,43,0.476,302,340,36.6,45.4,0.447,38.3,43.7,0.467,323.18768516156763,347.64513835909423,37.8,44.2,0.462,345.4860223456931,375.6323612409648,2.4,0.7,1.2,0.257,0.257,0.463,0.443
Milwaukee Brewers,MIL,33,49,0.402,326,383,34.9,47.1,0.426,37,45,0.451,339.73252137284237,377.1803866411989,38.1,43.9,0.465,326.9763738461471,352.63940641973096,-1.9,-4,-5.1,0.258,0.255,0.436,0.416
Minnesota Twins,MIN,36,44,0.45,336,374,36,44,0.45,36.9,43.1,0.461,354.28978862206657,384.6130564613766,37.3,42.7,0.467,346.20994564293204,371.3077238143462,0,-0.9,-1.3,0.26,0.258,0.457,0.477
New York Yankees,NYA,44,39,0.53,327,333,40.8,42.2,0.492,38,45,0.457,311.3569745825812,342.1627004036447,38.7,44.3,0.466,301.69108998294473,325.17028602142324,3.2,6,5.3,0.266,0.263,0.486,0.506
New York Mets,NYN,35,45,0.438,320,360,35.7,44.3,0.446,35.5,44.5,0.444,306.5058335701305,346.76253471760606,35.4,44.6,0.442,321.31678498302654,364.70432069648376,-0.7,-0.5,-0.4,0.253,0.255,0.442,0.423
Oakland Athletics,OAK,49,35,0.583,396,340,47.9,36.1,0.571,48.2,35.8,0.574,387.36182063092974,329.50522102020216,46.8,37.2,0.557,402.26312992949204,355.14670112071775,1.1,0.8,2.2,0.261,0.264,0.571,0.591
Philadelphia Phillies,PHI,40,44,0.476,323,367,37.1,46.9,0.442,38.5,45.5,0.458,334.2555315518373,366.2197765920298,38.3,45.7,0.456,343.2483095829961,377.70998816360003,2.9,1.5,1.7,0.254,0.257,0.458,0.438
Pittsburgh Pirates,PIT,51,31,0.622,321,278,46.2,35.8,0.563,45.1,36.9,0.55,326.95316069345324,292.13564670699367,46.3,35.7,0.564,348.49489345888327,301.41901695208685,4.8,5.9,4.7,0.258,0.257,0.575,0.555
San Diego Padres,SDN,40,44,0.476,339,372,38.4,45.6,0.457,38,46,0.452,333.78537951968644,370.4793948172028,37.3,46.7,0.444,344.4070855912362,388.96611235750777,1.6,2,2.7,0.256,0.259,0.457,0.438
Seattle Mariners,SEA,36,47,0.434,306,365,34.9,48.1,0.42,38,45,0.458,318.25940196391286,348.85677430877973,38.3,44.7,0.462,366.1509726322202,398.1842599929301,1.1,-2,-2.3,0.262,0.263,0.443,0.463
San Francisco Giants,SFN,39,44,0.47,334,365,38.1,44.9,0.459,40.2,42.8,0.484,335.0766946816859,346.62855362437483,41.2,41.8,0.497,358.96853777938196,361.1689290299736,0.9,-1.2,-2.2,0.257,0.256,0.478,0.458
St. Louis Cardinals,SLN,49,33,0.598,402,294,52.5,29.5,0.641,51.4,30.6,0.627,369.5560967683727,277.21263024703654,50.1,31.9,0.611,375.89403820407466,292.83422552224465,-3.5,-2.4,-1.1,0.255,0.258,0.619,0.6
Tampa Bay Rays,TBA,45,39,0.536,398,360,46,38,0.547,49,35,0.583,393.3956728224207,328.18631204459484,49.8,34.2,0.593,424.6282179189174,346.30508529681657,-1,-4,-4.8,0.261,0.261,0.565,0.584
Texas Rangers,TEX,48,35,0.578,357,331,44.4,38.6,0.535,44.9,38.1,0.541,369.7371079912896,338.53103599026525,45.2,37.8,0.545,350.10572319266225,317.4253255990233,3.6,3.1,2.8,0.264,0.264,0.55,0.569
Toronto Blue Jays,TOR,41,42,0.494,387,383,41.9,41.1,0.505,38.7,44.3,0.466,370.7995681946924,398.31734279158644,40.5,42.5,0.488,358.71242853250976,367.5631408697147,-0.9,2.3,0.5,0.264,0.258,0.488,0.508
Washington Nationals,WAS,42,41,0.506,305,323,39.4,43.6,0.474,38.3,44.7,0.462,294.85244475454897,321.20889166062705,38.7,44.3,0.466,298.3166897140466,321.6291887824846,2.6,3.7,3.3,0.257,0.256,0.477,0.457
