2004-2005 Public School Preschool Programs by Arrangement by District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Iowa Department of Education, Bureau of Planning, Research and Evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic Educational Data Survey (BEDS), Early Childhood and Address Files",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Head Start,Head Start,Head Start,Head Start,,Child Development Coordinating Council,Child Development Coordinating Council,Child Development Coordinating Council,Child Development Coordinating Council,,Empowerment,Empowerment,Empowerment,Empowerment,,Tuition Funded,Tuition Funded,Tuition Funded,Tuition Funded,,Other,Other,Other,Other
59,15,1107,Chariton Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
34,267,1116,Charles City Comm School District,Yes,Yes,No,,0,0,0,0,,11,5,0,11,,0,0,0,0,,0,0,0,0,,0,0,0,0
24,12,1134,Charter Oak-Ute Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,21,2,0,21,,3,3,0,3
18,12,1152,Cherokee Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,16,5,16,0,,8,5,0,8
73,13,1197,Clarinda Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
99,8,1206,Clarion-Goldfield Comm School District,Yes,Yes,Yes,,0,0,0,0,,14,5,2,12,,0,0,0,0,,0,0,0,0,,96,5,96,0
20,14,1211,Clarke Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
12,267,1215,Clarksville Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,25,4,10,15,,0,0,0,0
21,8,1218,Clay Central-Everly Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,27,3,27,0,,0,0,0,0
52,10,1221,Clear Creek Amana Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,68,5,12,56,,0,0,0,0
87,14,1224,Clearfield Comm School District,Yes,Yes,Yes,,0,0,0,0,,16,4,0,16,,0,0,0,0,,0,0,0,0,,0,0,0,0
17,267,1233,Clear Lake Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,11,5,0,11,,0,0,0,0
23,09,1278,Clinton Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
50,11,1332,Colfax-Mingo Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,17,4,17,0,,3,4,3,0
57,10,1337,College Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,70,5,70,0,,60,5,0,60,,16,5,0,16
85,11,1350,Collins-Maxwell Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
85,11,1359,Colo-Nesco Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,32,3,0,32,,0,0,0,0
58,09,1368,Columbus Comm School District,Yes,Yes,Yes,,0,0,0,0,,20,4,0,20,,30,2,0,30,,22,2,0,22,,0,0,0,0
14,11,1413,Coon Rapids-Bayard Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,34,5,34,0,,0,0,0,0
02,14,1431,Corning Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
41,267,1449,Corwith-Wesley Comm School District,Yes,Yes,No,,1,5,0,1,,0,0,0,0,,12,3,12,0,,0,0,0,0,,0,0,0,0
78,13,1476,Council Bluffs Comm School District,Yes,Yes,Yes,,16,5,0,16,,152,5,108,44,,38,5,38,0,,22,5,9,13,,341,5,153,188
88,14,1503,Creston Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
25,11,1576,Dallas Center-Grimes Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,23,5,23,0
29,16,1602,Danville  Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
82,09,1611,Davenport Comm School District,Yes,Yes,Yes,,0,0,0,0,,50,4,50,0,,0,0,0,0,,0,0,0,0,,419,5,0,419
26,15,1619,Davis County Comm School District,Yes,Yes,No,,0,0,0,0,,16,4,0,16,,0,0,0,0,,0,0,0,0,,0,0,0,0
96,01,1638,Decorah Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
48,10,1647,Deep River-Millersburg Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,8,5,0,8,,27,5,0,27,,0,0,0,0
23,09,1675,Delwood Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
24,12,1701,Denison Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,6,5,0,6
09,267,1719,Denver Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
77,11,1737,Des Moines Independent Comm School District,Yes,Yes,Yes,,587,4,0,587,,49,5,0,49,,62,4,0,62,,441,3,335,106,,206,5,52,154
80,14,1782,Diagonal Comm School District,Yes,Yes,No,,0,0,0,0,,14,4,0,14,,0,0,0,0,,0,0,0,0,,0,0,0,0
38,267,1791,Dike-New Hartford Comm School District,Yes,Yes,Yes,,4,4,4,0,,0,0,0,0,,0,0,0,0,,53,4,53,0,,12,4,12,0
99,267,1854,Dows Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
31,01,1863,Dubuque Comm School District,Yes,Yes,Yes,,0,0,0,0,,33,4,0,33,,0,0,0,0,,61,4,0,61,,0,0,0,0
07,267,1908,Dunkerton Comm School District,Yes,Yes,Yes,,7,5,1,6,,0,0,0,0,,0,0,0,0,,48,3,48,0,,0,0,0,0
43,13,1917,Boyer Valley Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,12,2,0,12,,0,0,0,0
16,09,1926,Durant Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
99,8,1944,Eagle Grove Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
61,11,1953,Earlham Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,14,5,0,14
10,267,1963,East Buchanan Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,4,3,4,0,,11,3,11,0,,17,4,17,0
49,09,1965,East Central Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
37,8,1967,East Greene Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,4,2,0,,25,4,25,0
64,267,1968,East Marshall Comm School District,Yes,Yes,No,,8,4,8,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
88,14,1970,East Union Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,4,0,5,,10,4,0,10
03,01,1972,Eastern Allamakee Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
97,12,1975,River Valley Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,34,2,32,2,,0,0,0,0
28,01,1989,Edgewood-Colesburg Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
42,267,2007,Eldora-New Providence Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
83,13,2016,Elk Horn-Kimballton Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,10,3,10,0,,0,0,0,0
74,8,2088,Emmetsburg Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
48,10,2097,English Valleys Comm School District,Yes,Yes,Yes,,2,4,0,2,,0,0,0,0,,6,3,0,6,,27,3,0,27,,0,0,0,0
73,13,2113,Essex Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
32,8,2124,Estherville Lincoln Central Com Sch Dist,Yes,Yes,Yes,,36,5,0,36,,0,0,0,0,,0,0,0,0,,0,0,0,0,,44,5,16,28
05,11,2151,Exira Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,17,5,17,0
51,15,2169,Fairfield Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
36,13,2205,Farragut Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,3,4,3,0,,9,4,9,0,,0,0,0,0
95,267,2295,Forest City Comm School District,Yes,Yes,No,,16,5,0,16,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
94,8,2313,Fort Dodge Comm School District,Yes,Yes,No,,16,4,0,16,,0,0,0,0,,0,0,0,0,,0,0,0,0,,27,4,1,26
56,16,2322,Fort Madison Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
19,01,2349,Fredericksburg Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
62,15,2367,Fremont Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,24,5,24,0,,0,0,0,0
36,13,2369,Fremont-Mills Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,39,3,39,0
47,12,2376,Galva-Holstein Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,14,5,14,0,,0,0,0,0
22,01,2394,Garnavillo Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
41,267,2403,Garner-Hayfield Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
60,04,2457,George-Little Rock Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
85,11,2466,Gilbert Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
46,8,2493,Gilmore City-Bradgate Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
38,267,2502,Gladbrook-Reinbeck Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
65,13,2511,Glenwood Comm School District,Yes,Yes,Yes,,0,0,0,0,,16,4,0,16,,0,0,0,0,,40,4,40,0,,20,5,0,20
14,11,2520,Glidden-Ralston Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
74,8,2556,Graettinger Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
36,13,2772,Hamburg Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,16,3,16,0
08,11,2570,Grand Comm School District,Yes,Yes,Yes,,0,0,0,0,,17,5,0,17,,0,0,0,0,,0,0,0,0,,0,0,0,0
12,267,2664,Greene Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,20,2,0,20
01,14,2673,Nodaway Valley Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
86,267,2682,GMG Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
79,267,2709,Grinnell-Newburg Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,32,3,32,0,,0,0,0,0
15,13,2718,Griswold Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
38,267,2727,Grundy Center Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
39,11,2754,Guthrie Center Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
22,01,2763,Guttenberg Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
48,10,2766,H-L-V Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,30,5,30,0,,0,0,0,0
35,267,2781,Hampton-Dumont Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
83,13,2826,Harlan Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,15,5,0,15
89,15,2834,Harmony Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,38,5,38,0,,0,0,0,0
30,8,2846,Harris-Lake Park Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,21,2,21,0,,0,0,0,0
71,04,2862,Hartley-Melvin-Sanborn Comm School District,Yes,Yes,Yes,,18,5,0,18,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
92,10,2977,Highland Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,41,5,41,0,,0,0,0,0
75,12,2988,Hinton Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,16,5,0,16
45,01,3029,Howard-Winneshiek Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,49,3,49,0,,0,0,0,0
42,267,3033,Hubbard-Radcliffe Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
07,267,3042,Hudson Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
46,8,3060,Humboldt Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
10,267,3105,Independence Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,16,5,16,0
91,11,3114,Indianola Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,51,3,51,0,,0,0,0,0
61,11,3119,Interstate 35 Comm School District,Yes,Yes,Yes,,0,0,0,0,,6,5,0,6,,1,5,0,1,,71,5,0,71,,7,5,0,7
52,10,3141,Iowa City Comm School District,Yes,Yes,Yes,,0,0,0,0,,32,5,0,32,,3,5,0,3,,26,5,4,22,,0,0,0,0
42,267,3150,Iowa Falls Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,17,2,17,0,,9,3,0,9
48,10,3154,Iowa Valley Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
24,13,3168,IKM Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,24,3,24,0,,0,0,0,0
09,267,3186,Janesville Consolidated School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,53,5,53,0,,0,0,0,0
37,8,3195,Jefferson-Scranton Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,32,5,32,0
10,267,3204,Jesup Comm School District,Yes,Yes,Yes,,6,5,1,5,,0,0,0,0,,0,0,0,0,,32,5,5,27,,0,0,0,0
77,11,3231,Johnston Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,26,3,26,0,,136,3,136,0,,0,0,0,0
56,16,3312,Keokuk Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
54,15,3330,Keota Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,28,3,0,28,,0,0,0,0
75,12,3348,Kingsley-Pierson Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
63,11,3375,Knoxville Comm School District,Yes,Yes,No,,34,4,0,34,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
95,267,3420,Lake Mills Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
27,14,3465,Lamoni Comm School District,Yes,Yes,Yes,,0,0,0,0,,16,5,0,16,,18,5,0,18,,0,0,0,0,,0,0,0,0
76,8,3537,Laurens-Marathon Comm School District,Yes,Yes,Yes,,14,5,0,14,,0,0,0,0,,0,0,0,0,,14,5,0,14,,0,0,0,0
97,12,3555,Lawton-Bronson Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,13,2,13,0,,0,0,0,0
75,12,3600,Le Mars Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
