CMTE_ID,CMTE_NM,PURPOSE,SUM(FI.TRANSACTION_AMT)
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,MEDIA CONSULTANT,2000
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,MEDIA LOGISTICS CONSULTING,34500
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,MEMBERSHIP FEES,758
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,MISC. GOODS/SERVICES,-70423.5
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,MISCELLANEOUS,567.52
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,MOTORPOOL/ FUEL,347.6
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,OFFICE EXPENSE REIMBURSEMENTS,6046.6
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,OFFICE EXPENSES,3910.59
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,OFFICE MAINTENANCE,75
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,OFFICE SUPPLIES,259.5
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,OFFICE SUPPLIES/EXP,1410.32
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,ON-LINE SERVICES,4850
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,OPERATIONS CONSULTING,371810
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PAYROLL GARNISHMENT,440
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PAYROLL TAXES,354084.63
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PER DIEM,34108
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PHOTOGRAPHY,49122
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,POLITICAL CONSULTING FEES,374598.32
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRESS OFFICE MEDIA PRODUCTION,10667.65
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRINTING SERVICES,336.94
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,"PROD: VIDEO, SOUND AUDIO & LIGHTING",40285.88
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION /TALENT LOCAL TRAVEL,7000
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION /TALENT PER DIEM,1950
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION DESIGNER CONSULTANT,8500
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION MUSIC,288561.82
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION SPECIAL PROGRAMMING,178462.37
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION: CONTROL ROOM/SATELLITE,417024.55
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION: CREATIVE,911613.28
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION: PODIUM,140560
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION: SCRIPT TELEPROMPTER,39000
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION: SPECIAL GUEST/PROGRAM,383750
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION: VIDEO,445298.48
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PRODUCTION:LIGHTING/ AUDIO,128054.52
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PROFESSIONAL FEES,265
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,PUBLICATIONS/ SUBSCRIPTIONS,10769.15
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,RECEIVABLE,293794.9
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,SALARIES,3732494.64
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,SECURITY,47917.36
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,SIGN LANGUAGE/TRANS. PROFESSIONAL SVRS,89.25
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,SUBSCRIPTIONS,473.95
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,TAX PAYMENT,1150409.29
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,TECHNOLOGY CONSULTING,18533
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,TELECOM - FACILITIES,1215
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,TELECOMMUNICATION,3853.53
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,TELEPHONE,256.97
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,TEMPORARY SERVICES,2515
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,TRANSCRIPTIONS,40333.89
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,TRAVEL - EXPENSE,955951.87
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,TRAVEL EXPENSES,454.01
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,TRAVEL MILEAGE,624.73
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,WEB COST,8947.04
