cod. ID,denominazione,utilizzo,competenza acque
34,Pontile Rio Terà del Frutariol in Rio dell'Acqua Dolce,MERCI,COMUNE DI VE
35,Pontile in Campo del Traghetto presso Santa Maria del Giglio,MERCI,COMUNE DI VE
36,Pontile in Calle dei Tredici Martiri presso Campo San Moisè,MERCI,COMUNE DI VE
37,Pontile Ca' Giustinian delle Colonne presso Calle del Ridotto,ASSESSORATO TURISMO,COMUNE DI VE
38,Pontile in Calle Larga de l'Ascension presso Rio dei Giardinetti,MERCI-GONDOLIERI,COMUNE DI VE
39,Pontile in Campo de la Fava in Rio della Fava,VESTA,COMUNE DI VE
40,Pontile in Rio Terà del Biri presso Rio de la Panada,merci,COMUNE DI VE
41,Pontile in Rio di San Francesco della Vigna,MERCI,COMUNE DI VE
42,Pontile ai Bacini (Arsenale),,COMUNE DI VE
43,Pontile in Rio de Sant'Elena in Fond. Sant'Elena (Stadio),MERCI-SPORT,Magistrato alle Acque
44,Pontile presso Darsena Sant'Elena (Stadio Comunale),varie,COMUNE DI VE
45,Pontile in Fond. delle Scuole in Rio Ponte Piccolo (Giudecca),,COMUNE DI VE
46,Pontile in Rio Ponte Longo presso il Ponte S.Angelo (Giudecca),PROGETTO,COMUNE DI VE
47,A/B - Darsena Rio Ponte Longo (Giudecca),SPAZI ACQUEI PRIVATI,COMUNE DI VE
48,48- Pontile in Calle Michelangelo Canale di San Giorgio (Giudecca),PROGETTO,COMUNE DI VE
49,A/B - Pontili delle Carceri di Santa Maria Maggiore (S. Marta),POLIZIA GIUDIZIARIA,COMUNE DI VE
50,Pontili in Campo San Marcuola,MERCI,COMUNE DI VE
51,A/B - Pontile in Rio di Sant'Alvise (passerella a fianco chiesa),SPAZI ACQUEI PRIVATI,COMUNE DI VE
52,Pontile Ramo del Luganegher presso Ponte San Polo,MERCI,COMUNE DI VE
53,Pontili in Calle del Traghetto presso San Beneto,MERCI,COMUNE DI VE
54,Pontile in Rio de la Ca' di Dio,SANDOLISTI,COMUNE DI VE
55,Pontile Carcere Femminile in Rio delle Convertite (Giudecca),POLIZIA GIUDIZIARIA,COMUNE DI VE
56,56- Pontile Calle dell' Orso presso Campo San Bartolomeo (Rio della Fava),PROGETTO,COMUNE DI VE
57,A/B- Pontile in Rio del Megio,SPAZI ACQUEI PRIVATI,COMUNE DI VE
58,Pontile in piazzale Alberoni Canale Rocchetta Lido,DARSENA,Magistrato alle Acque
59,Pontile Calle dal Mistro fond.ta Cavour Murano ,,COMUNE DI VE
60,Pontile in Fond.ta Papadopoli Rio Novo Piazzale Roma ,POLIZIA MUNICIPALE,COMUNE DI VE
61,61 - Pontile in Fond.ta Santa Lucia dietro Ferrovia,PROGETTO,COMUNE DI VE
62,Pontili in località San Mauro a Burano,Gran Turismo,Magistrato alle Acque
63,Pontili presso il Mercato Ortofrutticolo del Tronchetto,MERCI,Autorità Portuale E1/5
64,Pontili Palazzo Corner-Contarini (Corte d'Appello),CORTE D'APPELLO,COMUNE DI VE
65,Pontile in Calle del Traghetto a fianco dell'Hotel Europa e Regina,MERCI,COMUNE DI VE
66,Pontile Palazzo Diedo (Tribunale) in Rio di Santa Fosca,TRIBUNALE,COMUNE DI VE
67,Pontile merci in Rio di San Mattia a Murano (alla sinistra spalle alla fondamenta),MERCI,COMUNE DI VE
68,68 - Pontile presso Campiello del Traghetto fronte Campo San Pantalon,PROGETTO,COMUNE DI VE
69,Pontile della Polizia Municipale / Merci presso Murano loc. Colonna,,Magistrato alle Acque
70,Pontile merci in Rio di San Mattia a Murano (alla destra spalle alla fondamenta),MERCI,COMUNE DI VE
71,CANNAREGIO - loc. Sacca della Misericordia,DARSENA,Magistrato alle Acque
72,LIDO - loc. S. Maria Elisabetta stazione taxi n. 12,STAZIONE TAXI N. 12,Magistrato alle Acque
73,PELLESTRINA - loc. S. ta Maria del Mare -,ULSS 12,Magistrato alle Acque
74,S. ERASMO -  loc. Punta Vela - canale Passaora -  fermata ACTV PUNTA VELA,MERCI,Magistrato alle Acque
75,MURANO - loc. Calle del Convento,MERCI-VVFF,Magistrato alle Acque
76,LIDO - loc. Ca' Bianca - fronte galoppatoio riva est canale delle Scoasse,SPORT,Magistrato alle Acque
77,CASTELLO - loc. CELESTIA nel Canale Fond.te Nuove,DARSENA,Magistrato alle Acque
78,MURANO - loc. Fon.ta Parmense (Angeli),DARSENA,Magistrato alle Acque
79,CANALE DI QUINTAVALLE,DARSENA,Magistrato alle Acque
80,MURANO - loc. Colonna stazione taxi n. 13,STAZIONE TAXI N. 13,Magistrato alle Acque
81,S. ANDREA (PER ITINERARI TURISTICI),TURISMO,Magistrato alle Acque
82,GIUDECCA  - AREA CCMV,DARSENA,Magistrato alle Acque
83,ISOLA DI CAMPALTO - PARCO SAN GIULIANO,SPORT,Magistrato alle Acque
84,PARCO SAN GIULIANO,DARSENA,Magistrato alle Acque
85,LIDO - loc. Alberoni - riva est canale di Malamocco prospiciente piazzetta Alberoni,DARSENA,Magistrato alle Acque
86,MAZZORBO - loc. Scarpa Volo (per ITINERARI TURISTICI),TURISMO,Magistrato alle Acque
87,Tronchetto  stazione taxi n. 1,STAZIONE TAXI N. 01,Autorità Portuale F2
88,P.le Roma - Parisi stazione taxi n. 2,STAZIONE TAXI N. 02,COMUNE DI VE
89,Rio Novo pontile presso il Ponte Papadopoli  stazione taxi n. 3,STAZIONE TAXI N. 03,COMUNE DI VE
90,Ferrovia - Scalzi stazione taxi n. 4,STAZIONE TAXI N. 04,COMUNE DI VE
91,Casinò - S. Marcuola stazione taxi n. 5,STAZIONE TAXI N. 05,
92,Rialto - Cerva stazione taxi n. 6,STAZIONE TAXI N. 06,COMUNE DI VE
93,Rialto - Carbon stazione taxi n. 7,STAZIONE TAXI N. 07,COMUNE DI VE
94,S. Marco - Molo stazione taxi n. 8,STAZIONE TAXI N. 08,Autorità Portuale A1d
95,Riva degli Schiavoni - Paglia - Danieli stazione taxi n. 9,STAZIONE TAXI N. 09,Autorità Portuale A2c
96,Riva degli Schiavoni - Monumento - Londra stazione taxi n. 10,STAZIONE TAXI N. 10,Autorità Portuale A2d
97,Hotel Metropol - Pietà stazione taxi n. 11,STAZIONE TAXI N. 11,Autorità Portuale
98,pontili ERBARIA,varie,COMUNE DI VE
99,pontili RIVA DELL'OGIO,varie,COMUNE DI VE
100,pontile in fondamenta INCURABILI,Gran Turismo (ALILAGUNA),Autorità Portuale D4
101,pontile BUCINTORO,SPORT,Autorità Portuale D3
102,pontile REDENTORE,,Autorità Portuale  D2
103,pontile Calle Giustinian - Fondazione Levi,VESTA SM21,COMUNE DI VE
104,pontile Calle dei Colori,MERCI,COMUNE DI VE
105,passerella Vigili Ca' Labia,POLIZIA MUNICIPALE,COMUNE DI VE
106,pontile fondamenta SAN GIROLAMO a Cannaregio,Gran Turismo,Autorità Portuale
107,pontile in F.ta Zattere a Dorsoduro,Gran Turismo,Autorità Portuale
108,pontile in riva Ca' di Dio a Castello,Gran Turismo,Autorità Portuale
109,pontile V.le Vittorio Veneto a S. Elena,Gran Turismo,Autorità Portuale
110,pontili Tronchetto ASM Gran Turismo,Gran Turismo,Autorità Portuale F3/8
111,pontile merci MOLO San Marco (fianco TAXI n. 8),Merci - ALILAGUNA,Autorità Portuale A1c
112,pontile di riva Schiavoni (fianco Taxi n. 10),Gran Turismo - ALILAGUNA,Autorità Portuale A2e
113,pontile fisso in Riva Schiavoni - loc. Bragora,Gran Turismo ,Autorità Portuale A2g
114,pontile galleggiante in Riva Schiavoni - loc. Bragora,Gran Turismo ,Autorità Portuale A2f
115,pontile fisso in Riva Schiavoni - loc. Ca' di Dio,Gran Turismo ,Autorità Portuale A2h
116,Riva degli Schiavoni - Ca' di Dio stazione taxi n. 11 (temporanea),STAZIONE TAXI N. 11,Autorità Portuale A2h
117,pontile VESTA campiello del remer (fianco rio di Cannaregio),VESTA CN29,COMUNE DI VE
118,pontile VESTA calle de Cà Corner della Regina,VESTA SC30,COMUNE DI VE
119,pontile VESTA campo santi Apostoli,VESTA CN45,COMUNE DI VE
120,pontile VESTA campiello del remer (fronte Erbaria),VESTA CN47,COMUNE DI VE
121,pontile VESTA campo del Traghetto de la Madonetta  presso San Silvestro,VESTA SP25,COMUNE DI VE
122,pontile VESTA sottoportico de l'Aquila Nera,VESTA SM02,COMUNE DI VE
123,pontile VESTA riva Tonda (Mercerie San Salvador),VESTA SM04,COMUNE DI VE
124,pontile VESTA piscina san Zulian - Calle de la Malvasia,VESTA SM05,COMUNE DI VE
125,pontile VESTA campo de la Guerra,VESTA SM07,COMUNE DI VE
126,pontile VESTA sottoportico Minelli,VESTA SM16,COMUNE DI VE
127,pontile VESTA piscina san Moisè,VESTA SM18,COMUNE DI VE
128,pontile VESTA calle Rombiaso,VESTA SM26,COMUNE DI VE
129,pontile VESTA calle del Ridotto,VESTA SM28,COMUNE DI VE
130,pontile VESTA fondamenta del Traghetto San Maurizio,VESTA SM23,COMUNE DI VE
131,pontile VESTA calle dei Cerchieri,VESTA DD35,COMUNE DI VE
132,pontile VESTA calle dell'Arco detta Bon,VESTA CS31,COMUNE DI VE
133,pontile VESTA calle dei Fari (QUINTAVALLE-SAN PIERO DI CASTELLO),VESTA CS08,COMUNE DI VE
134,pontile VESTA calle della Malvasia,VESTA CS35,COMUNE DI VE
135,pontile RIVA DELL'OGIO,merci,COMUNE DI VE
136,pontile fondamenta San Giobbe,VIGILI,COMUNE DI VE
137,passerella fondamenta San Maria Maggiore (Carceri) lato sx ponte,POLIZIA GIUDIZIARIA,COMUNE DI VE
