Titel,Orginaltitel,År,Regissör,Ditt betyg,Datum,IMDB#
Greenberg,Greenberg,2010,Noah Baumbach,,,1234654
Whip It,Whip It,2009,Drew Barrymore,,,1172233
Street Kings,Street Kings,2008,David Ayer,,,421073
The Machine,The Machine,2013,Caradog W James,,,2317225
Katinkas kalas,Katinkas kalas,2011,Levan Akin,,,1772935
Kurt blir elak,Kurt blir grusom,2008,Rasmus A Sivertsen,,,1245891
Marley,Marley,2012,Kevin Macdonald (I),,,1183919
Bluffen,The Hoax,2006,Lasse Hallström,,,462338
Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,Edgar Wright,,,446029
Häxan,Häxan,1922,Benjamin Christensen,,,13257
Matchstick Men,Matchstick Men,2003,Ridley Scott,,,325805
Tyskungen,Tyskungen,2013,Per Hanefjord,,,2216856
Zathura - Ett rymdäventyr,Zathura: A Space Adventure,2005,Jon Favreau,,,406375
Sharknado,Sharknado,2013,Anthony C Ferrante,,,2724064
De hänsynslösa,Reservoir Dogs,1992,Quentin Tarantino,,,105236
Hobbit: Smaugs ödemark,The Hobbit: The Desolation of Smaug,2013,Peter Jackson,,,1170358
Vampire Strangler,Vampire Strangler,1999,William Hellfire,,,346099
Röd gryning,Red Dawn ,1984,John Milius,,,87985
Welcome to the Jungle,Welcome to the Jungle,2013,Rob Meltzer,,,2193265
Hotell,Hotell,2013,Lisa Langseth,,,2363178
Outsiders,The Outsiders,1983,Francis Ford Coppola,,,86066
The World's End,The World's End,2013,Edgar Wright,,,1213663
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,2013,Francis Lawrence,,,1951264
The Last Starfighter,The Last Starfighter,1984,Nick Castle,,,87597
Ender's Game,Ender's Game,2013,Gavin Hood,,,1731141
John Dies at the End,John Dies at the End,2012,Don Coscarelli,,,1783732
Warrior Queen,Boudica,2003,Bill Anderson,,,338806
Frozen Ground,The Frozen Ground,2013,Scott Walker (II),,,2005374
The Lords of Salem,The Lords of Salem,2012,Rob Zombie,,,1731697
Tjuren från Bronx,Raging Bull,1980,Martin Scorsese,,,81398
Spun,Spun,2002,Jonas Åkerlund,,,283003
Play,Play,2011,Ruben Östlund,,,1376717
Thor: The Dark World,Thor: The Dark World,2013,Alan Taylor,,,1981115
Flygplan,Planes,2013,Klay Hall,,,1691917
Mud,Mud,2012,Jeff Nichols,,,1935179
Terry Pratchett: Choosing to die,Terry Pratchett: Choosing to die,2011,Charlie Russell,,,1929387
Monsterklubben,The Monster Squad,1987,Fred Dekker,,,93560
Escape Plan,Escape Plan,2013,Mikael Håfström,,,1211956
Once Upon a Time in America,Once Upon a Time in America,1984,Sergio Leone,,,87843
Breakfast Club,The Breakfast Club,1985,John Hughes,,,88847
Rise Above - filmen om Anton Hysén ,Rise Above - filmen om Anton Hysén ,2013,Anders Berggren,,,2988932
All Is Lost,All Is Lost,2013,J C Chandor,,,2017038
Prisoners,Prisoners,2013,Denis Villeneuve,,,1392214
The Eagle,The Eagle,2010,Kevin Macdonald (I),,,1034389
Smurfarna 2,The Smurfs 2,2013,Raja Gosnell,,,2017020
The Grey,The Grey,2012,Joe Carnahan,,,1601913
Repo Men,Repo Men,2010,Miguel Sapochnik,,,1053424
Uppgörelsen,Casualties of War,1989,Brian De Palma,,,97027
Lockout,Lockout,2012,"James Mather, Stephen St Leger",,,1592525
Snitch,Snitch,2013,Ric Roman Waugh,,,882977
Sherlock - A Study in Pink,Sherlock - A Study in Pink,2010,Paul McGuigan,,,1665071
Iron Eagle,Iron Eagle,1986,Sidney J Furie,,,91278
Malibu Express,Malibu Express,1985,Andy Sidaris,,,89539
The Place Beyond the Pines,The Place Beyond the Pines,2012,Derek Cianfrance,,,1817273
The Heat,The Heat,2013,Paul Feig,,,2404463
Gravity,Gravity,2013,Alfonso Cuarón,,,1454468
Dumma mej 2,Despicable Me 2,2013,"Pierre Coffin, Chris Renaud",,,1690953
Delfinen i det stora havet,El delfín: La historia de un soñador,2009,Eduardo Schuldt,,,1206541
Company of Heroes,Company of Heroes,2013,Don Michael Paul,,,2555426
Chinatown,Chinatown,1974,Roman Polanski,,,71315
Rush,Rush,2013,Ron Howard,,,1979320
Red Tails,Red Tails,2012,Anthony Hemingway,,,485985
Wave Breakers,Drift,2013,"Ben Nott, Morgan O\'Neill",,,1714833
The Last Stand,The Last Stand,2013,Kim Ji-woon,,,1549920
En natt på stan,Adventures in Babysitting,1987,Chris Columbus,,,92513
This Is the End,This Is the End,2013,"Evan Goldberg, Seth Rogen",,,1245492
Croodarna,The Croods,2013,"Kirk De Micco, Chris Sanders",,,481499
The Guilt Trip,The Guilt Trip,2012,Anne Fletcher,,,1694020
Killing Season,Killing Season,2013,Mark Steven Johnson,,,1480295
Riddick,Riddick,2013,David Twohy,,,1411250
Andra stjärnan till vänster,Second Star to the Left,2001,Graham Ralph,,,311773
Kalenderflickorna,Calendar Girls,2003,Nigel Cole,,,337909
Röjar-Ralf,Wreck-It Ralph,2012,Rich Moore,,,1772341
The Zombie Diaries,The Zombie Diaries,2006,"Michael Bartlett, Kevin Gates",,,876294
Punisher,The Punisher,1989,Mark Goldblatt,,,98141
Get Him to the Greek,Get Him to the Greek,2010,Nicholas Stoller,,,1226229
Ombytta roller,Trading Places,1983,John Landis,,,86465
Elysium,Elysium,2013,Neill Blomkamp,,,1535108
Tower Heist,Tower Heist,2011,Brett Ratner,,,471042
Grown Ups 2,Grown Ups 2,2013,Dennis Dugan,,,2191701
Fira med Ferris,Ferris Bueller's Day Off ,1986,John Hughes,,,91042
Alien Nation,Alien Nation,1988,Graham Baker,,,94631
Vrålet från vildmarken,The Great Outdoors,1988,Howard Deutch,,,95253
SOPOR,SOPOR,1981,Tage Danielsson,,,83016
Lawrence av Arabien,Lawrence of Arabia ,1962,David Lean,,,56172
The Snapper,The Snapper,1993,Stephen Frears,,,108170
High Lane,Vertige,2009,Abel Ferry,,,1433562
L.A. konfidentiellt,L.A. Confidential,1997,Curtis Hanson,,,119488
Red Cliff,Chi bi,2008,John Woo,,,425637
Diktatorn,The Great Dictator,1940,Charles Chaplin,,,32553
Studie i brott,Vertigo,1958,Alfred Hitchcock,,,52357
Moon 44,Moon 44,1990,Roland Emmerich,,,97910
Orc Wars,Dragonfyre,2013,Kohl Glass,,,2333508
Scooby-Doo! Nu börjar mysteriet,Scooby-Doo! The Mystery Begins,2009,Brian Levant,,,1258157
Psycho,Psycho,1960,Alfred Hitchcock,,,54215
Hardcore - En brutal verklighet,Hardcore,1978,Paul Schrader,,,79271
Warrior,Warrior,2011,Gavin O\'Connor,,,1291584
Leo,Leo,2007,Josef Fares,,,1108850
Kristi sista frestelse,The Last Temptation of Christ,1988,Martin Scorsese,,,95497
R.I.P.D.,R.I.P.D.,2013,Robert Schwentke,,,790736
Porrkungens tårar,Porrkungens tårar,2013,Fredrik von Krusenstjerna,,,
Ta mig,Ta mig,2010,Crazy Pictures,,,1754567
Pixels,Pixels,2010,Patrick Jean,,,1635656
The Wolverine,The Wolverine,2013,James Mangold,,,1430132
The Colony,The Colony,2013,Jeff Renfroe,,,1160996
Death Buy Lemonade,Death Buy Lemonade,2010,Lee Kyu-bum,,,
Mannen på taket,Mannen på taket,1976,Bo Widerberg,,,74857
Salvador,Salvador,1986,Oliver Stone,,,91886
Beastly,Beastly,2011,Daniel Barnz,,,1152398
Air Bud - Slår tillbaka,Air Bud: Spikes Back ,2003,Mike Southon,,,337812
Bästa vänner,Bestevenner,2009,Christian Lo,,,1503710
Harry Brown,Harry Brown,2009,Daniel Barber,,,1289406
Ondine,Ondine,2009,Neil Jordan,,,1235796
Herbie vild och galen,Herbie Goes Bananas,1980,Vincent McEveety,,,80861
Nokas,Nokas,2010,Erik Skjoldbjærg,,,1337366
Hypnotisören,Hypnotisören,2012,Lasse Hallström,,,1556243
Westworld,Westworld,1973,Michael Crichton,,,70909
Streets of Fire,Streets of Fire,1984,Walter Hill,,,88194
Against the Dark,Against the Dark,2009,Richard Crudo,,,1194271
Lillebror på tjuvjakt,Lillebror på tjuvjakt,2003,Clas Lindberg,,,308507
Resan till Saturnus,Rejsen til Saturn ,2008,"Kresten Vestbjerg Andersen, Thorbjørn Christoffersen, Craig Frank",,,1095423
The Lone Ranger,The Lone Ranger,2013,Gore Verbinski,,,1210819
Mission: Impossible  Ghost Protocol,Mission: Impossible  Ghost Protocol,2011,Brad Bird,,,1229238
Man of Steel,Man of Steel,2013,Zack Snyder,,,770828
Epic  Skogens hemliga rike,Epic,2013,Chris Wedge,,,848537
Monster till svärmor,Monster-in-Law,2005,Robert Luketic,,,369735
Pacific Rim,Pacific Rim,2013,Guillermo del Toro,,,1663662
Searching for Sugar Man,Searching for Sugar Man,2012,Malik Bendjelloul,,,2125608
Scary Movie 5,Scary MoVie,2013,Malcolm D Lee,,,795461
Baksmällan del III,The Hangover Part III,2013,Todd Phillips,,,1951261
Bloodsucking Redneck Vampires,Bloodsucking Redneck Vampires,2004,"Mike Hegg, Joe Sherlock",,,421758
Axe,"Lisa, Lisa ",1977,Frederick R Friedel,,,75710
Pain & Gain,Pain & Gain,2013,Michael Bay,,,1980209
G.I. Joe: Retaliation,G.I. Joe: Retaliation,2013,Jon Chu,,,1583421
Stadens ljus,City Lights,1931,Charles Chaplin,,,21749
Run Fatboy Run,Run Fatboy Run,2007,David Schwimmer,,,425413
Call Girl,Call Girl,2012,Mikael Marcimain,,,1977739
Yoko,Yoko ,2012,Franziska Buch,,,1919207
Gränsen 1918,Raja 1918,2007,Lauri Törhönen,,,847759
A Life Less Ordinary,A Life Less Ordinary,1997,Danny Boyle,,,119535
Salt,Salt,2010,Phillip Noyce,,,944835
Octopussy,Octopussy,1983,John Glen,,,86034
After Earth,After Earth,2013,M Night Shyamalan,,,1815862
The Host,The Host,2013,Andrew Niccol,,,1517260
Jesus Henry Christ,Jesus Henry Christ,2011,Dennis Lee,,,1393742
Niceville,The Help,2011,Tate Taylor,,,1454029
Monsters University,Monsters University,2013,Dan Scanlon,,,1453405
Det blå paraplyet,The Blue Umbrella,2013,Saschka Unseld,,,2616880
The Phantom of the Opera,Il Fantasma Dell'Opera,1998,Dario Argento,,,119889
Bog,A Deusa,2004,Konstantin Bronzit,,,396036
Hard Candy,Hard Candy,2005,David Slade,,,424136
Jättehajen - vindsurfarnas skräck,L' Ultimo squalo,1981,Enzo G Castellari,,,81677
Kung-Fu Soccer,Siu lam juk kau,2001,"Stephen Chow, Lee Lik-chi",,,286112
Hanna,Hanna,2011,Joe Wright,,,993842
Odjuret,The Beast,1996,Jeff Bleckner,,,115109
Prinsessan Lillifee 2 - Den lilla enhörningen 	,Prinzessin Lillifee und das kleine Einhorn,2011,"Ansgar Niebuhr, Hubert Weiland",,,1986935
Rated X,Rated X,2000,Emilio Estevez,,,201776
Ice,Ice,1994,Brook Yeaton,,,107182
Plague Town,Plague Town,2008,David Gregory,,,1118687
World War Z,World War Z,2013,Marc Forster,,,816711
Shrooms,Shrooms,2006,Paddy Breathnach,,,492486
Cottage Country,Cottage Country,2013,Peter Wellington,,,2072933
Star Trek: Into Darkness,Star Trek Into Darkness,2013,JJ Abrams,,,1408101
Jack Brooks: Monster Slayer,Jack Brooks: Monster Slayer,2007,Jon Knautz,,,816539
Iron Man 3 ,Iron Man 3 ,2013,Shane Black,,,1300854
T is for Turbo,T is for Turbo,2013,"François Simard, Anouk Whissell",,,2622504
Oblivion,Oblivion,2013,Joseph Kosinski,,,1483013
Änglavakt,Änglavakt,2010,Johan Brisinger,,,1391142
Flight,Flight,2012,Robert Zemeckis,,,1907668
The Day of the Triffids,The Day of the Triffids,2009,Nick Copus,,,1332653
Machete,Machete,2010,"Robert Rodriguez, Ethan Maniquis",,,985694
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,2012,Timur Bekmambetov,,,1611224
Smother,Smother,2007,Vince Di Meglio,,,867591
Fighting,Fighting,2009,Dito Montiel,,,1082601
Borta med kvinnan,Tatt av kvinnen,2007,Petter Næss,,,780621
I Am Sam,I Am Sam,2001,Jessie Nelson,,,277027
LEGO Batman: The Movie - DC Super Heroes Unite ,LEGO Batman: The Movie - DC Super Heroes Unite ,2013,Jon Burton,,,2465238
Solisten,The Soloist,2009,Joe Wright,,,821642
Nick och Norahs oändliga låtlista,Nick and Norah's Infinite Playlist,2008,Peter Sollett,,,981227
Lejonkungen 3 - Hakuna Matata,The Lion King 1½ ,2003,Bradley Raymond,,,318403
Green Lantern: Emerald Knights,Green Lantern: Emerald Knights,2011,"Chris Berkeley, Lauren Montgomery, Jay Oliva",,,1683043
Evil Dead,Evil Dead,2013,Fede Alvarez,,,1288558
Tom & Jerry på väg mot planeten Mars,Tom and Jerry Blast Off to Mars ,2005,Bill Kopp,,,433696
Worst. Babysitter. Ever.,The Sitter,2011,David Gordon Green,,,1366344
Lill-Gruffalon,The Gruffalo's Child,2011,"Uwe Heidschötter, Johannes Weiland",,,2132486
Dark Skies,Dark Skies,2013,Scott Charles Stewart,,,2387433
Warm Bodies,Warm Bodies,2013,Jonathan Levine,,,1588173
Till det som är vackert,Till det som är vackert,2010,Lisa Langseth,,,1483753
Funny Games U.S.,Funny Games U.S.,2007,Michael Haneke,,,808279
Dr. Easy,Dr. Easy,2013,"Jason Groves, Richard Kenworthy, Christopher Harding",,,
Ovo,OVO,2013,Mihai Wilson,,,2195932
Excision,Excision,2012,Richard Bates Jr,,,1984153
Black Death,Black Death,2010,Christopher Smith,,,1181791
Jack the Giant Slayer,Jack the Giant Slayer,2013,Bryan Singer,,,1351685
The Warrior's Way,The Warrior's Way,2010,Lee Sng-moo,,,1032751
Invasion,The Invasion,2007,Oliver Hirschbiegel,,,427392
Oz: The Great and Powerful,Oz: The Great and Powerful,2013,Sam Raimi,,,1623205
Underworld: Awakening,Underworld: Awakening,2012,"Måns Mårlind, Björn Stein",,,1496025
Cargo,Cargo,2009,"Ivan Engler, Ralph Etter",,,381940
Supernova,Supernova,2000,Walter Hill,,,134983
Lawless,Lawless,2012,John Hillcoat,,,1212450
Dredd,Dredd,2012,Pete Travis,,,1343727
City of Ember,City of Ember,2008,Gil Kenan,,,970411
Skyfall,Skyfall,2012,Sam Mendes,,,1074638
Pandorum,Pandorum,2009,Christian Alvart,,,1188729
Du gör mig galen!,Silver Linings Playbook,2012,David O Russell,,,1045658
Universal Soldier: Regeneration,Universal Soldier: Regeneration,2010,John Hyams,,,1288403
Humpday,Humpday,2009,Lynn Shelton,,,1334537
Ted,Ted,2012,Seth MacFarlane,,,1637725
Gangster Squad,Gangster Squad,2013,Ruben Fleischer,,,1321870
The Baytown Outlaws,The Baytown Outlaws,2012,Barry Battles,,,1836944
"God Jul, Madagaskar",Merry Madagascar,2009,David Soren,,,1526300
Cloud Atlas,Cloud Atlas,2012,"Andy Wachowski, Tom Tykwer, Lana Wachowski",,,1371111
Ice Age: A Mammoth Christmas,Ice Age: A Mammoth Christmas,2011,Karen Disher,,,2100546
Åsnans Shrektakulära jul,Donkey's Christmas Shrektacular,2010,Walt Dohrn,,,1830577
Sune i Grekland  All Inclusive,Sune i Grekland  All Inclusive,2012,Hannes Holm,,,2192888
Tingeling - Vingarnas hemlighet,Tinker Bell: Secret of the Wings,2012,"Peggy Holmes, Bobs Gannaway",,,1217213
The Impossible,Lo imposible,2012,Juan Antonio Bayona,,,1649419
Mammas pojkar,Mammas pojkar,2012,Ulf Malmros,,,2256749
Medaljens pris,Medaljens Pris,2012,Folke Rydén,,,
Pumpkinhead: Blood Feud,Pumpkinhead: Blood Feud,2007,Michael Hurst,,,790816
5m80,5m80,2013,Nicolas Devaux,,,
Norwegian Ninja,Kommandør Treholt & ninjatroppen,2010,Thomas Cappelen Malling,,,1528769
Lost Boys: The Thirst,Lost Boys: The Thirst,2010,Dario Piana,,,1400526
Cargo,Cargo,2013,"Ben Howling, Yolanda Ramke",,,2842128
Terror på Elm Street,A Nightmare on Elm Street,2010,Samuel Bayer,,,1179056
Diamantfeber,Diamonds are Forever,1971,Guy Hamilton,,,66995
Ironclad,Ironclad,2011,Jonathan English,,,1233301
Django Unchained,Django Unchained,2012,Quentin Tarantino,,,1853728
TPB AFK: The Pirate Bay Away from Keyboard,TPB AFK: The Pirate Bay Away from Keyboard,2013,Simon Klose,,,2608732
Berättelsen om Pi,Life of Pi,2012,Ang Lee,,,454876
The Social Network,The Social Network,2010,David Fincher,,,1285016
Systrar i jeans,The Sisterhood of the Traveling Pants,2005,Ken Kwapis,,,403508
Rosa Pantern 2,Pink Panther 2,2009,Harald Zwart,,,838232
Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,2012,Bill Condon,,,1673434
De fem legenderna,Rise of the Guardians,2012,Peter Ramsey,,,1446192
Skönheten och Monstret i Paris,Un monstre à Paris,2011,Bibo Bergeron,,,961097
Pappersmannen,Paperman,2012,John Kahrs,,,2388725
Kon-Tiki,Kon-Tiki,2012,"Joachim Rønning, Espen Sandberg",,,1613750
The Bourne Legacy,The Bourne Legacy,2012,Tony Gilroy,,,1194173
Supernatural Activity,Supernatural Activity,2012,Derek Lee Nixon,,,1832516
Taken 2,Taken 2,2012,Olivier Megaton,,,1397280
Snabba cash II,Snabba cash II,2012,Babak Najafi,,,1588342
Huvudjägarna,Hodejegerne,2011,Morten Tyldum,,,1614989
"Tad, the Lost Explorer",Las aventuras de Tadeo Jones,2012,Enrique Gato,,,1764625
Hotell Transylvanien,Hotel Transylvania,2012,Genndy Tartakovsky,,,837562
ParaNorman,ParaNorman,2012,"Chris Butler, Sam Fell",,,1623288
That's My Boy,That's My Boy,2012,Sean Anders,,,1232200
De tre musketörerna,"Mickey, Donald, Goofy: The Three Musketeers",2004,Donovan Cook,,,371823
Född igår,Born Yesterday,1950,George Cukor,,,42276
Mamá,Mamá,2008,Andres Muschietti,,,1315885
MacGruber,MacGruber,2010,Jorma Taccone,,,1470023
Looney Tunes: Back in Action,Looney Tunes: Back in Action,2003,Joe Dante,,,318155
Looper,Looper,2012,Rian Johnson,,,1276104
The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,2011,David Fincher,,,1568346
På rymmen med Felix och hans vänner,El lince perdido,2008,"Raul Garcia, Manuel Sicilia",,,951333
Our Idiot Brother,Our Idiot Brother,2011,Jesse Peretz,,,1637706
Madagaskar 3,Madagascar 3: Europe's Most Wanted,2012,"Eric Darnell, Tom McGrath, Conrad Vernon",,,1277953
The Stig-Helmer Story,The Stig-Helmer Story,2011,Lasse Åberg,,,1808587
Johnny English Reborn,Johnny English Reborn,2011,Oliver Parker,,,1634122
Nu fångar vi Tomtefar,Gotta Catch Santa Claus ,2008,"Jin Choi II, Peter Lepeniotis, Jamie Waese",,,1312972
Duplex - Drömhus med förhinder,Duplex,2003,Danny DeVito,,,266489
The Band,The Band,2009,Anna Brownfield,,,1153101
Journey to the Mysterious Island,Journey 2: The Mysterious Island,2012,Brad Peyton,,,1397514
Grannpatrullen,The Watch,2012,Akiva Schaffer,,,1298649
Season of the Witch,Season of the Witch,2011,Dominic Sena,,,479997
Walk Hard: The Dewey Cox Story,Walk Hard: The Dewey Cox Story,2007,Jake Kasdan,,,841046
"Svensson, Svensson - i nöd och lust","Svensson, Svensson - i nöd och lust",2011,Leif Lindblom,,,1821624
Luft under Bärgarn,Air Mater,2011,John Lasseter,,,2317362
Lilo & Stitch 2,Lilo & Stitch 2: Stitch Has a Glitch,2005,"Michael LaBash, Anthony Leondis",,,457993
Jultomten och trolltrumman,Joulupukki ja noitarumpu,1996,Mauri Kunnas,,,444845
Doctor Strange,Doctor Strange,2007,Jay Oliva,,,910865
Arthur och julklappsrushen,Arthur Christmas,2011,"Sarah Smith (II), Barry Cook",,,1430607
Pettson & Findus - Tomtemaskinen,Pettson och Findus 3: Tomtemaskinen,2005,"Anders Sørensen, Jørgen Lerdam",,,493440
Super Troopers,Super Troopers,2001,Jay Chandrasekhar,,,247745
Thale,Thale,2012,Aleksander Nordaas,,,2112287
The Flowers of War,Jin líng shí san chai ,2011,Zhang Yimou,,,1410063
Hobbit: En oväntad resa,The Hobbit: An Unexpected Journey,2012,Peter Jackson,,,903624
Pelle Plutt,Pelle Plutt,2012,Per von Koch,,,
Seeking a Friend for the End of the World,Seeking a Friend for the End of the World,2012,Lorene Scafaria,,,1307068
Rivalerna,The Campaign,2012,Jay Roach,,,1790886
Rock of Ages,Rock of Ages,2012,Adam Shankman,,,1336608
Burlesque,Burlesque,2010,Steven Antin,,,1126591
Fem barn och ett sandtroll,Five Children and It,2004,John Stephenson,,,366450
Breaking Dawn - Part 1,The Twilight Saga: Breaking Dawn - Part 1,2011,Bill Condon,,,1324999
Cockpit,Cockpit,2012,Mårten Klingberg,,,2287675
Gustaf 2,Garfield's A Tale of Two Kitties,2006,Tim Hill,,,455499
The Dark Knight Rises,The Dark Knight Rises,2012,Christopher Nolan,,,1345836
Piraterna!,The Pirates! Band of Misfits,2012,Peter Lord,,,1430626
Holiday in Handcuffs,Holiday in Handcuffs,2007,Ron Underwood,,,938666
A Lot Like Love,A Lot Like Love,2005,Nigel Cole,,,391304
Kronjuvelerna,Kronjuvelerna,2011,Ella Lemhagen,,,1815782
Red Riding Hood,Red Riding Hood,2011,Catherine Hardwicke,,,1486185
The Art of Getting By,The Art of Getting By,2011,Gavin Wiesen,,,1645080
Bärgarn i Tokyo,Tokyo Mater,2008,John Lasseter,,,1330219
The Karate Kid,The Karate Kid,2010,Harald Zwart,,,1155076
Min vän Charlotte,Charlotte's Web,2006,Gary Winick,,,413895
Drakar - Nattfasans gåva,Dragons: Gift of the Night Fury,2011,Tom Owens,,,2065968
Ice Age 4: Jorden skakar loss,Ice Age: Continental Drift ,2012,"Steve Martino, Mike Thurmeier",,,1667889
Jul i Blåfjäll,Julenatt i Blåfjell,2009,"Katarina Launing, Roar Uthaug",,,1438462
Phineas and Ferb the Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,"Dan Povenmire, Robert F Hughes",,,1825918
Exit Through the Gift Shop,Exit Through the Gift Shop,2010,Banksy,,,1587707
Frazetta: Painting with Fire,Frazetta: Painting with Fire,2003,Lance Laspina,,,363621
Mansome,Mansome,2012,Morgan Spurlock,,,2294729
Planet Hulk,Planet Hulk,2010,Sam Liu,,,1483025
Så jävla metal,Så jävla metal!,2011,Yasin Hillborg,,,2273571
Total Recall,Total Recall,2012,Len Wiseman,,,1386703
Savannens hjältar ,Konferenz der Tiere,2010,"Reinhard Klooss, Holger Tappe",,,1620449
Farscape: The Peacekeeper Wars,Farscape: The Peacekeeper Wars,2004,Brian Henson,,,387736
Modig,Brave,2012,"Mark Andrews, Brenda Chapman, Steve Purcell",,,1217209
Marvel One-Shot: The Consultant ,Marvel One-Shot: The Consultant ,2011,Leythum,,,2011118
Mom and Dad Save the World,Mom and Dad Save the World,1992,Greg Beeman,,,104905
Upptäckarna,Explorers,1985,Joe Dante,,,89114
Nr 5 är tillbaka,Short Circuit 2,1988,Kenneth Johnson,,,96101
Bionicle 3 - Nät av skuggor,Bionicle 3: Web of Shadows,2005,"David Molina, Terry Shakespeare",,,471588
Tom & Jerry: Trollkarlen från Oz,Tom and Jerry & The Wizard of Oz,2011,Spike Brandt,,,2027255
Jimmy Neutron: Underbarnet,Jimmy Neutron: Boy Genius,2001,John A Davis,,,268397
Next Avengers: Heroes of Tomorrow ,Next Avengers: Heroes of Tomorrow ,2008,Jay Oliva,,,1259998
Push,Push,2009,Paul McGuigan,,,465580
The Amazing Spider-Man,The Amazing Spider-Man,2012,Marc Webb,,,948470
The Tunnel,The Tunnel,2011,Carlo Ledesma,,,1735485
Breaking and Entering,Breaking and Entering,2006,Anthony Minghella,,,443456
Ingen rövare finns i skogen,Ingen rövare finns i skogen,1988,Göran Carmback,,,06436y4gbvvrwe43
Prometheus,Prometheus,2012,Ridley Scott,,,1446714
Men in Black 3,Men in Black 3,2012,Barry Sonnenfeld,,,1409024
Spy Kids 4,Spy Kids: All the Time in the World in 4D,2011,Robert Rodriguez,,,1517489
Lilla Jönssonligan och cornflakeskuppen,Lilla Jönssonligan och cornflakeskuppen  ,1996,Christjan Wegner,,,116883
Tommy Boy,Tommy Boy,1995,Peter Segal,,,114694
En gång i Phuket ,En gång i Phuket ,2011,Staffan Lindberg,,,2082262
En skateboardåkares dagdröm,Divine Transitions,2009,Pelle Hybbinette,,,
Mullvadens julafton ,Krtek o vánocích,1975,Zdenek Miler,,,244615
The Fat and the Lean Wrestling Match,Nouvelles luttes extravagantes,1900,Georges Méliès,,,135571
Four Heads Are Better Than One,Un homme de têtes,1898,Georges Méliès,,,135696
Le Magicien,Le Magicien,1898,Georges Méliès,,,214902
Launch of Life Boat,Launch of Life Boat,1897,,,,218391
Leksakslandet,Spielzeugland,2008,Jochen Alexander Freydank,,,1280548
Shame,Shame,2011,Steve McQueen (III),,,1723811
Pojken i randig pyjamas,The Boy in the Striped Pyjamas,2008,Mark Herman,,,914798
Marvel One-Shot: Item 47,Marvel One-Shot: Item 47,2012,Louis D\'Esposito,,,2247732
I Am Number Four,I Am Number Four,2011,D J Caruso,,,1464540
Målvakten i Liverpool,Keeper'n til Liverpool,2010,Arild Andresen,,,1488574
När Grunken knyckte julen,How the Grinch Stole Christmas!,1966,"Chuck Jones, Ben Washam",,,60345
