NAME,TM,w,l,pct,rs,ra,w1,l1,pct1,w2,l2,pct2,rs2,ra2,w3,l3,pct3,rs3,ra3,d1,d2,d3,opptav,opptava,hlf,ahlf
Philadelphia Phillies,PHI,1,2,0.333,9,16,0.8,2.2,0.258,1.4,1.6,0.479,12.121173838574162,12.684512034937491,1.5,1.5,0.489,11.763473487152087,12.055929104741445,0.2,-0.4,-0.5,0.26,0.258,0.39,0.371
Pittsburgh Pirates,PIT,1,2,0.333,6,6,1.5,1.5,0.5,1.5,1.5,0.5,2.916571106897129,1.9664953725375507,1.7,1.3,0.578,3.97743660904124,3.0278667192025757,-0.5,-0.5,-0.7,0.248,0.249,0.478,0.458
San Diego Padres,SDN,1,2,0.333,8,20,0.4,2.6,0.149,0.4,2.6,0.137,6.539937772930708,18.098860930242108,0.5,2.5,0.167,7.478205798535724,18.14916660187284,0.6,0.6,0.5,0.266,0.253,0.197,0.184
Seattle Mariners,SEA,2,2,0.5,13,15,1.8,2.2,0.438,1.9,2.1,0.474,13.764452134197374,14.610418116262826,1.9,2.1,0.486,15.778670755943715,16.305083574065378,0.2,0.1,0.1,0.261,0.258,0.474,0.494
San Francisco Giants,SFN,2,1,0.667,8,7,1.7,1.3,0.553,0.8,2.2,0.278,3.8374671233246813,7.427737754807902,0.9,2.1,0.31,5.036180279043985,8.758779447925072,0.3,1.2,1.1,0.255,0.251,0.452,0.432
St. Louis Cardinals,SLN,1,2,0.333,17,17,1.5,1.5,0.5,1,2,0.333,15.068914018028092,21.24124596171908,1.1,1.9,0.352,14.535095459474764,19.667998079804114,-0.5,0,-0.1,0.263,0.258,0.379,0.361
Tampa Bay Rays,TBA,1,2,0.333,15,20,1.1,1.9,0.358,0.7,2.3,0.239,10.810479994122602,19.741568809926928,0.8,2.2,0.257,13.16262011897526,22.855531387390553,-0.1,0.3,0.2,0.271,0.262,0.297,0.314
Texas Rangers,TEX,2,1,0.667,13,8,2.1,0.9,0.7,2.8,0.2,0.919,13.886539916235197,2.183366730179278,2.8,0.2,0.919,13.667508440136132,3.049329553223882,-0.1,-0.8,-0.8,0.248,0.26,0.801,0.814
Toronto Blue Jays,TOR,1,2,0.333,13,15,1.3,1.7,0.432,1.1,1.9,0.353,13.102821103903983,17.93988933034737,1.1,1.9,0.364,12.23108463688713,16.334174343851352,-0.3,-0.1,-0.1,0.261,0.259,0.371,0.389
Washington Nationals,WAS,3,0,1,11,1,2.9,0.1,0.973,2.7,0.3,0.899,12.394270931092265,1.8943119768761287,2.7,0.3,0.892,11.666188629686697,2.7141332498103927,0.1,0.3,0.3,0.247,0.26,0.941,0.936
