DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation
2014-01-06,2.78,2.78,2.71,2.73,6872
2014-01-03,2.6,2.79,2.58,2.75,2095
2014-01-02,2.6,2.6,2.44,2.599,3271
2013-12-31,2.43,2.79,2.4,2.57,109308
2013-12-30,2.49,2.53,2.27,2.4,274137
2013-12-27,2.6,2.6,2.45,2.5,40557
2013-12-26,2.68,2.81,2.56,2.57,18234
2013-12-24,2.7,2.928,2.62,2.62,24941
2013-12-23,2.49,2.8,2.49,2.694,15628
2013-12-20,2.42,2.46,2.42,2.45,6198
2013-12-19,2.44,2.52,2.44,2.44,983
2013-12-18,2.53,2.53,2.41,2.48,3427
2013-12-17,2.51,2.6,2.5,2.51,2952
2013-12-16,2.58,2.58,2.38,2.5,16567
2013-12-13,2.37,2.6,2.35,2.59,59483
2013-12-12,2.46,2.46,2.43,2.43,4900
2013-12-11,2.48,2.53,2.41,2.43,5429
2013-12-10,2.53,2.61,2.37,2.53,15711
2013-12-09,2.71,2.65,2.52,2.52,6894
2013-12-06,2.53,2.75,2.51,2.63,2870
2013-12-05,2.52,2.7,2.52,2.52,6300
2013-12-04,2.51,2.53,2.47,2.5,6955
2013-12-03,2.51,2.52,2.41,2.52,4900
2013-12-02,2.57,2.75,2.43,2.49,157845
2013-11-29,2.53,2.53,2.53,2.53,100
2013-11-27,2.45,2.57,2.4,2.57,5955
2013-11-26,2.42,2.47,2.35,2.42,10855
2013-11-25,2.475,2.51,2.4,2.41,9718
2013-11-22,2.54,2.59,2.53,2.53,7900
2013-11-20,2.77,2.85,2.6,2.6,10250
2013-11-19,2.94,2.94,2.59,2.73,4000
2013-11-18,2.99,2.99,2.8,2.895,17720
2013-11-15,2.99,2.99,2.99,2.99,100
2013-11-14,2.99,2.99,2.81,2.95,3100
2013-11-12,2.99,3.1,2.95,2.95,15607
2013-11-11,2.965,3,2.954,3,3000
2013-11-08,3,3.2,2.8,2.95,12261
2013-11-06,2.97,3,2.92,2.99,5300
2013-11-05,2.95,3.03,2.95,3,2779
2013-11-04,2.99,3,2.95,3,19232
2013-11-01,2.97,3.22,2.87,3,5620
2013-10-31,2.89,3.1,2.71,2.95,25250
2013-10-30,2.87,2.89,2.84,2.89,2200
2013-10-29,3.01,3.01,3,3,5100
2013-10-28,2.84,3.08,2.84,3.01,5480
2013-10-25,2.95,2.99,2.75,2.88,5700
2013-10-24,2.84,2.99,2.83,2.99,11487
2013-10-23,2.83,2.85,2.77,2.85,10100
2013-10-22,2.9,2.93,2.72,2.85,6237
2013-10-21,2.99,3.05,2.83,2.84,15700
2013-10-18,3.11,3.112,3.063,3.112,7388
2013-10-17,3.01,3.12,2.84,3.12,9200
2013-10-16,3.18,3.18,3.05,3.05,8804
2013-10-15,3.2,3.239,3.05,3.23,18015
2013-10-14,3.24,3.25,3.21,3.25,17244
2013-10-11,3.14,3.25,3.14,3.25,35168
2013-10-10,3.11,3.2,3.11,3.199,19069
2013-10-09,3.05,3.151,3.05,3.151,4200
2013-10-08,3.054,3.054,3.05,3.054,3249
2013-10-07,3.15,3.15,3.15,3.15,101
2013-10-04,3.077,3.077,3.06,3.06,500
2013-10-03,3.17,3.17,3.094,3.094,1410
2013-10-02,3.17,3.17,3.146,3.16,1000
2013-10-01,3.08,3.18,3.08,3.17,1500
2013-09-30,2.95,3.05,2.95,3.05,8495
2013-09-27,3.12,3.12,2.95,2.95,16144
2013-09-26,3.14,3.14,3.029,3.06,7085
2013-09-25,2.98,3.16,2.97,3.1,21670
2013-09-24,2.98,2.98,2.9,2.95,21782
2013-09-23,2.98,3.24,2.83,2.98,89306
2013-09-20,2.64,2.98,2.64,2.98,274989
2013-09-19,2.51,2.51,2.51,2.51,300
2013-09-18,2.55,2.66,2.514,2.52,7095
2013-09-17,2.561,2.561,2.56,2.56,200
2013-09-16,2.67,2.67,2.643,2.65,1700
2013-09-13,2.67,2.676,2.661,2.661,2100
2013-09-12,2.61,2.72,2.6,2.6,4600
2013-09-11,2.69,2.72,2.55,2.72,2991
2013-09-10,2.53,2.558,2.47,2.5,29800
2013-09-09,2.5,2.55,2.45,2.54,27606
2013-09-06,2.4,2.4,2.4,2.4,1
2013-09-05,2.43,2.494,2.42,2.42,5462
2013-09-04,2.45,2.45,2.41,2.41,2368
2013-09-03,2.53,2.53,2.411,2.479,4780
2013-08-30,2.44,2.5,2.37,2.5,13050
2013-08-29,2.34,2.5,2.34,2.44,400
2013-08-28,2.33,2.35,2.32,2.321,2026
2013-08-27,2.35,2.35,2.32,2.33,6400
2013-08-26,2.32,2.35,2.32,2.33,9497
2013-08-23,2.27,2.545,2.26,2.28,12065
2013-08-22,2.26,2.3,2.26,2.26,2400
2013-08-21,2.26,2.26,2.26,2.26,8200
2013-08-20,2.34,2.35,2.24,2.26,8800
2013-08-16,2.37,2.45,2.35,2.35,21800
2013-08-14,2.37,2.38,2.37,2.38,1535
2013-08-12,2.36,2.37,2.35,2.37,1820
2013-08-09,2.4,2.42,2.35,2.39,5300
2013-08-08,2.4,2.41,2.351,2.4,12725
2013-08-07,2.405,2.42,2.405,2.417,2700
2013-08-06,2.4,2.41,2.35,2.39,11923
2013-08-05,2.39,2.426,2.38,2.41,22482
2013-08-02,2.3,2.37,2.3,2.36,14500
2013-08-01,2.31,2.38,2.3,2.38,29750
2013-07-31,2.23,2.339,2.18,2.32,17053
2013-07-30,2.2,2.218,2.07,2.218,16900
2013-07-29,2.03,2.15,2.03,2.1,25800
2013-07-26,2.1,2.1,2.08,2.08,1300
2013-07-25,2.15,2.2,2.139,2.14,7876
2013-07-24,2.15,2.16,2.02,2.15,8100
2013-07-23,2.22,2.23,2.151,2.2,4550
2013-07-19,2.2,2.2,2.06,2.2,7050
2013-07-18,2.23,2.25,2.23,2.23,13600
2013-07-17,2.24,2.25,2.23,2.25,14623
2013-07-16,2.21,2.25,2.2,2.24,35750
2013-07-15,2.17,2.25,2.11,2.214,12677
2013-07-12,2.11,2.11,2.11,2.11,220
2013-07-11,2.1,2.22,2.092,2.22,7490
2013-07-10,2.057,2.09,2.057,2.08,1000
2013-07-09,2.1,2.1,2.061,2.061,1400
2013-07-08,2.1,2.1,2.1,2.1,900
2013-07-05,2.1,2.13,2.1,2.1,5528
2013-07-02,2.14,2.15,2.14,2.15,1000
2013-07-01,2.12,2.15,2.11,2.15,2074
2013-06-28,2.24,2.25,2.15,2.24,15552
2013-06-27,2.14,2.15,2.14,2.15,300
2013-06-26,2.21,2.21,2.15,2.15,6548
2013-06-25,2.15,2.15,2.15,2.15,200
2013-06-24,2.19,2.19,2.02,2.15,10090
2013-06-21,2.09,2.25,2.02,2.24,10922
2013-06-20,2.01,2.1,2.01,2.07,2784
2013-06-19,1.99,2.03,1.76,2.01,1800
2013-06-18,2.01,2.03,1.99,2.02,9733
2013-06-17,2.01,2.01,2,2,4503
2013-06-14,2,2.01,2,2,15038
2013-06-13,1.98,2.005,1.73,1.98,9170
2013-06-12,2,2.002,1.945,2,20538
2013-06-11,2.05,2.05,2.01,2.05,1500
2013-06-10,2.03,2.04,2.02,2.03,11877
2013-06-07,2.03,2.06,1.994,2.03,8374
2013-06-05,2.01,2.04,2,2,7606
2013-06-04,2.09,2.09,2.09,2.09,1
2013-06-03,2.03,2.041,2.01,2.03,15788
2013-05-31,2,2.04,2,2.01,11161
2013-05-30,1.99,2,1.98,2,10497
2013-05-29,1.91,2,1.91,1.98,11450
2013-05-28,2.05,2.06,1.93,1.93,14201
2013-05-24,2.05,2.08,2.05,2.06,28256
2013-05-23,2.04,2.05,2.02,2.05,24575
2013-05-22,2.05,2.05,2.05,2.05,6250
2013-05-21,2.09,2.1,2.09,2.1,3793
2013-05-20,2.02,2.13,2.02,2.106,19525
2013-05-17,1.99,2.1,1.99,2.06,14035
2013-05-16,1.93,1.96,1.93,1.95,12950
2013-05-15,1.99,1.99,1.9,1.93,44242
2013-05-14,1.91,1.97,1.9,1.97,36859
2013-05-13,1.96,1.96,1.85,1.9,13400
2013-05-10,1.77,1.94,1.78,1.94,17754
2013-05-09,1.7,1.79,1.7,1.79,2301
2013-05-08,1.7,1.7,1.7,1.7,60
2013-05-07,1.76,1.78,1.7,1.7,7600
2013-05-06,1.7,1.77,1.7,1.73,6700
2013-05-03,1.7,1.72,1.7,1.7,8000
2013-05-02,1.7,1.78,1.67,1.7,33872
2013-05-01,1.67,1.7,1.67,1.69,13230
2013-04-30,1.65,1.71,1.65,1.67,49226
2013-04-29,1.65,1.65,1.63,1.63,8912
2013-04-26,1.67,1.67,1.65,1.65,23837
2013-04-25,1.7,1.7,1.65,1.68,25427
2013-04-24,1.49,1.68,1.49,1.68,23784
2013-04-23,1.48,1.54,1.44,1.54,23964
2013-04-22,1.48,1.5,1.48,1.5,12215
2013-04-19,1.48,1.48,1.48,1.48,425
2013-04-18,1.5,1.57,1.42,1.48,15549
2013-04-17,1.45,1.51,1.45,1.5,100833
2013-04-16,1.43,1.43,1.43,1.43,100
2013-04-15,1.46,1.46,1.44,1.44,3678
2013-04-12,1.46,1.46,1.46,1.46,1000
2013-04-11,1.42,1.42,1.42,1.42,7000
2013-04-10,1.412,1.423,1.41,1.42,9200
2013-04-09,1.48,1.48,1.48,1.48,100
2013-04-08,1.49,1.5,1.44,1.47,9790
2013-04-05,1.423,1.423,1.423,1.423,413
2013-04-04,1.45,1.45,1.44,1.44,2787
2013-04-03,1.47,1.48,1.46,1.46,14185
2013-04-02,1.46,1.48,1.46,1.46,5300
2013-04-01,1.48,1.48,1.48,1.48,725
2013-03-28,1.6,1.6,1.47,1.47,2867
2013-03-27,1.5,1.51,1.48,1.5,19648
2013-03-26,1.44,1.504,1.42,1.5,16969
2013-03-25,1.5,1.5,1.46,1.47,10310
2013-03-22,1.5,1.53,1.5,1.5,4500
2013-03-21,1.48,1.59,1.48,1.55,650
2013-03-20,1.49,1.6,1.48,1.5,5300
2013-03-19,1.483,1.483,1.48,1.48,6100
2013-03-18,1.5,1.5,1.48,1.48,4463
2013-03-15,1.5,1.5,1.48,1.48,11796
2013-03-14,1.5,1.58,1.46,1.58,6409
2013-03-13,1.48,1.49,1.49,1.49,1299
2013-03-12,1.5,1.5,1.48,1.481,11209
2013-03-11,1.5,1.5,1.48,1.48,38330
2013-03-08,1.48,1.482,1.48,1.48,2078
2013-03-07,1.51,1.51,1.47,1.49,13899
2013-03-06,1.41,1.49,1.41,1.49,8325
2013-03-05,1.5,1.55,1.45,1.47,42820
2013-03-04,1.57,1.59,1.49,1.49,27060
2013-03-01,1.5,1.55,1.5,1.55,11147
2013-02-28,1.6,1.6,1.5,1.5,11790
2013-02-27,1.5,1.56,1.5,1.56,5270
2013-02-26,1.52,1.61,1.49,1.588,24823
2013-02-25,1.61,1.61,1.58,1.58,3774
2013-02-22,1.6,1.63,1.6,1.61,7797
2013-02-21,1.59,1.59,1.58,1.59,2500
2013-02-20,1.65,1.65,1.59,1.6,24212
2013-02-19,1.71,1.71,1.7,1.7,1995
2013-02-15,1.62,1.62,1.62,1.62,8
2013-02-14,1.65,1.65,1.65,1.65,1
2013-02-13,1.72,1.74,1.61,1.63,4430
2013-02-12,1.69,1.7,1.69,1.69,1527
2013-02-11,1.73,1.73,1.652,1.67,26365
2013-02-08,1.74,1.75,1.6,1.6,25893
2013-02-07,1.75,1.75,1.68,1.74,4218
2013-02-06,1.68,1.75,1.58,1.68,6192
2013-02-05,1.74,1.748,1.68,1.68,3582
2013-02-04,1.78,1.78,1.74,1.742,4098
2013-02-01,1.7,1.8,1.71,1.76,1347
2013-01-31,1.72,1.748,1.68,1.71,6881
2013-01-30,1.71,1.8,1.69,1.69,1200
2013-01-29,1.66,1.814,1.66,1.66,847
2013-01-28,1.69,1.7,1.65,1.65,6000
2013-01-25,1.72,1.77,1.66,1.686,6117
2013-01-24,1.72,1.72,1.72,1.72,100
2013-01-23,1.73,1.78,1.7,1.71,9363
2013-01-22,1.7,1.835,1.7,1.835,1500
2013-01-18,1.71,1.71,1.71,1.71,200
2013-01-16,1.82,1.82,1.75,1.75,300
2013-01-15,1.69,1.85,1.69,1.83,11990
2013-01-14,1.83,1.88,1.83,1.84,6400
2013-01-11,1.75,1.92,1.75,1.88,6427
2013-01-10,1.68,1.8,1.65,1.71,6076
2013-01-09,1.65,1.68,1.65,1.68,3143
2013-01-08,1.67,1.68,1.57,1.68,2294
2013-01-07,1.65,1.68,1.65,1.68,6600
2013-01-04,1.6,1.65,1.57,1.65,11231
2013-01-03,1.51,1.61,1.45,1.52,10350
2013-01-02,1.55,1.55,1.55,1.55,2
2012-12-31,1.55,1.65,1.5,1.65,35918
2012-12-28,1.57,1.572,1.56,1.57,3277
2012-12-27,1.59,1.68,1.59,1.6,34043
2012-12-26,1.56,1.59,1.55,1.55,2500
2012-12-24,1.55,1.56,1.55,1.552,3000
2012-12-21,1.59,1.64,1.54,1.55,4633
2012-12-20,1.54,1.7,1.54,1.65,40778
2012-12-19,1.56,1.648,1.51,1.52,4630
2012-12-18,1.55,1.602,1.55,1.6,2266
2012-12-17,1.54,1.61,1.51,1.55,9570
2012-12-14,1.54,1.7,1.53,1.54,12027
2012-12-13,1.54,1.7,1.5,1.52,91525
2012-12-12,1.64,1.64,1.5,1.5,18307
2012-12-11,1.5,1.51,1.5,1.5,9176
2012-12-10,1.52,1.52,1.46,1.46,4750
2012-12-07,1.49,1.49,1.48,1.49,2382
2012-12-06,1.47,1.47,1.46,1.46,2900
2012-12-05,1.51,1.52,1.5,1.5,4413
2012-12-04,1.56,1.6,1.47,1.47,2976
2012-12-03,1.59,1.59,1.5,1.58,17149
2012-11-30,1.66,1.66,1.65,1.65,1092
2012-11-29,1.65,1.65,1.52,1.65,1100
2012-11-28,1.58,1.58,1.58,1.58,108
2012-11-27,1.61,1.61,1.6,1.6,2903
2012-11-26,1.6,1.69,1.6,1.69,1300
2012-11-23,1.69,1.7,1.69,1.7,1200
2012-11-21,1.58,1.64,1.5,1.6,16579
2012-11-20,1.39,1.6,1.39,1.6,13371
2012-11-19,1.45,1.46,1.4,1.4,8831
2012-11-16,1.63,1.63,1.48,1.48,5800
2012-11-15,1.56,1.67,1.45,1.6,44160
2012-11-14,1.56,1.57,1.52,1.52,13324
2012-11-13,1.64,1.652,1.6,1.6,6815
2012-11-12,1.69,1.75,1.69,1.75,14846
2012-11-09,1.65,1.72,1.55,1.72,23498
2012-11-08,1.7,1.75,1.7,1.73,3100
2012-11-07,1.67,1.724,1.67,1.67,428
2012-11-06,1.78,1.78,1.64,1.74,57929
2012-11-05,1.88,1.9,1.85,1.89,2100
2012-11-02,1.82,1.82,1.77,1.77,1355
2012-11-01,1.86,1.94,1.803,1.86,770
2012-10-31,1.89,1.9,1.81,1.9,3377
2012-10-26,1.79,1.95,1.79,1.94,25283
2012-10-25,1.87,1.95,1.79,1.8,33280
2012-10-24,1.91,1.97,1.91,1.97,1676
2012-10-23,1.93,1.97,1.93,1.97,2100
2012-10-22,1.93,1.93,1.93,1.93,1
2012-10-19,1.92,1.921,1.92,1.921,200
2012-10-18,1.92,1.92,1.92,1.92,100
2012-10-17,1.92,2,1.92,2,875
2012-10-16,1.92,1.92,1.92,1.92,6
2012-10-15,1.99,2,1.99,2,1175
2012-10-12,2.05,2.06,1.999,2,21100
2012-10-11,2.18,2.18,2.06,2.06,13400
2012-10-10,2.31,2.32,2.2,2.208,9700
2012-10-09,2.35,2.35,2.35,2.35,100
2012-10-08,2.48,2.5,2.42,2.48,6736
2012-10-05,2.31,2.4,2.31,2.37,4300
2012-10-04,2.349,2.41,2.349,2.349,400
2012-10-03,2.35,2.35,2.35,2.35,6
2012-10-02,2.38,2.39,2.38,2.38,300
2012-10-01,2.31,2.4,2.3,2.38,4337
2012-09-28,2.23,2.255,2.15,2.25,4270
2012-09-27,2.35,2.5,2.19,2.23,14909
2012-09-26,2.35,2.35,2.35,2.35,359
2012-09-25,2.31,2.31,2.31,2.31,100
2012-09-24,2.49,2.49,2.35,2.35,200
2012-09-21,2.29,2.48,2.29,2.48,2323
2012-09-20,2.14,2.33,2.11,2.33,581185
2012-09-19,2.17,2.24,2.15,2.205,1448
2012-09-18,2.17,2.17,2.12,2.17,500
2012-09-17,2.18,2.218,2.03,2.11,2401
2012-09-14,2.22,2.25,2.15,2.16,3112
2012-09-13,2.47,2.47,2.15,2.26,20024
2012-09-12,2.52,2.52,2.381,2.412,7722
2012-09-11,2.57,2.57,2.57,2.57,5200
2012-09-10,2.57,2.721,2.57,2.605,24723
2012-09-07,2.59,2.59,2.57,2.57,2800
2012-09-06,2.58,2.7,2.51,2.52,3075
2012-09-05,2.39,2.586,2.38,2.53,221262
2012-09-04,2.63,2.63,2.5,2.5,100275
2012-08-30,2.56,2.69,2.56,2.69,500
2012-08-29,2.68,2.69,2.52,2.52,700
2012-08-28,2.63,2.63,2.63,2.63,1100
2012-08-24,2.53,2.55,2.53,2.55,1500
2012-08-23,2.46,2.46,2.46,2.46,8
2012-08-22,2.45,2.47,2.45,2.46,2581
2012-08-21,2.52,2.54,2.5,2.52,2750
2012-08-20,2.505,2.54,2.505,2.54,200
2012-08-17,2.45,2.55,2.45,2.55,5467
2012-08-16,2.48,2.48,2.45,2.48,3500
2012-08-15,2.5,2.55,2.42,2.52,24756
2012-08-14,2.58,2.599,2.5,2.55,11656
2012-08-13,2.52,2.652,2.5,2.652,11821
2012-08-10,2.51,2.69,2.5,2.51,2400
2012-08-09,2.56,2.56,2.5,2.55,12800
2012-08-08,2.58,2.67,2.55,2.56,4100
2012-08-07,2.54,2.69,2.37,2.67,6375
2012-08-06,2.59,2.59,2.44,2.5,2100
2012-08-03,2.8,2.8,2.58,2.58,20501
2012-08-02,2.8,2.8,2.76,2.76,2184
2012-08-01,2.88,2.93,2.8,2.801,4978
2012-07-27,2.81,2.94,2.81,2.94,1300
2012-07-26,2.82,2.82,2.8,2.8,7850
2012-07-23,2.83,2.88,2.83,2.88,5000
2012-07-20,2.89,2.89,2.88,2.88,3633
2012-07-19,2.8,2.81,2.8,2.81,200
2012-07-18,2.8,2.91,2.8,2.91,4872
2012-07-17,2.8,2.8,2.67,2.79,1800
2012-07-16,2.82,2.82,2.8,2.8,2168
2012-07-13,2.8,2.8,2.8,2.8,1100
2012-07-10,2.87,2.87,2.87,2.87,200
2012-07-09,2.88,2.88,2.83,2.84,3898
2012-07-06,2.76,2.89,2.76,2.88,5291
2012-07-05,2.88,2.92,2.73,2.82,5900
2012-07-03,2.87,2.89,2.87,2.89,300
2012-07-02,2.87,2.87,2.87,2.87,100
2012-06-29,2.84,2.901,2.84,2.85,7456
2012-06-28,2.89,2.89,2.71,2.74,8198
2012-06-27,2.94,2.94,2.85,2.91,1900
2012-06-26,2.99,2.99,2.85,2.85,700
2012-06-25,2.99,3,2.95,3,1000
2012-06-22,2.99,2.99,2.89,2.89,8398
2012-06-21,2.95,2.96,2.95,2.95,11193
2012-06-20,2.95,2.95,2.95,2.95,400
2012-06-19,2.86,2.89,2.85,2.89,1199
2012-06-18,2.89,2.904,2.89,2.89,200
2012-06-15,2.9,2.94,2.84,2.93,6900
2012-06-14,2.9,3,2.79,2.79,4900
2012-06-13,2.92,2.946,2.91,2.91,1800
2012-06-12,2.91,2.91,2.9,2.9,1110
2012-06-11,2.93,2.93,2.88,2.92,700
2012-06-08,2.85,2.98,2.85,2.85,3692
2012-06-07,3,3,2.81,2.81,1805
2012-06-06,2.88,3,2.85,2.96,17274
2012-06-05,2.83,2.97,2.8,2.8,1400
2012-06-04,2.78,2.9,2.65,2.85,39664
2012-06-01,2.93,2.93,2.7,2.719,5966
2012-05-31,2.67,3.02,2.61,2.98,23798
2012-05-30,2.67,2.67,2.66,2.66,3000
2012-05-29,2.73,2.73,2.71,2.71,1500
2012-05-25,2.64,2.79,2.61,2.66,11499
2012-05-24,2.7,2.89,2.46,2.6,54300
2012-05-23,2.8,2.81,2.65,2.66,17150
2012-05-22,2.92,3,2.731,2.83,18498
2012-05-21,2.7,3.06,2.67,3.06,6750
2012-05-18,2.67,2.72,2.6,2.666,14425
2012-05-17,2.79,2.88,2.61,2.61,14898
2012-05-16,2.79,2.87,2.69,2.7,15740
2012-05-15,2.83,2.83,2.78,2.81,7682
2012-05-14,2.76,2.89,2.76,2.85,12700
2012-05-11,2.81,3,2.8,2.8,171626
2012-05-10,2.92,2.96,2.67,2.67,99601
2012-05-09,2.67,2.78,2.53,2.78,42748
2012-05-08,2.52,2.6,2.48,2.6,9198
2012-05-07,2.58,2.66,2.54,2.66,16550
2012-05-04,2.57,2.63,2.43,2.59,1483
2012-05-03,2.58,2.6,2.5,2.6,15763
2012-05-02,2.61,2.69,2.48,2.63,214154
2012-05-01,2.54,2.77,2.53,2.61,539943
2012-04-30,2.54,2.64,2.38,2.64,36439
2012-04-27,2.77,2.77,2.54,2.56,11497
2012-04-26,2.68,3.01,2.68,2.79,5450
2012-04-25,2.67,2.7,2.65,2.7,1913
2012-04-24,2.64,2.77,2.57,2.6,5079
2012-04-23,2.76,2.76,2.58,2.63,3701
2012-04-20,2.51,3.01,2.51,2.76,11351
2012-04-19,2.43,2.52,2.43,2.52,800
2012-04-18,2.42,2.45,2.42,2.42,6950
2012-04-17,2.41,2.45,2.4,2.4,17394
2012-04-16,2.58,2.54,2.41,2.45,36931
2012-04-13,2.74,2.74,2.46,2.6,32085
2012-04-12,2.77,2.77,2.66,2.72,35265
2012-04-11,2.92,2.92,2.68,2.8,23530
2012-04-10,2.99,3.06,2.52,2.88,203976
2012-04-09,3.7,3.74,3.6,3.7,1050
2012-04-04,3.67,3.76,3.67,3.73,1175
2012-04-03,3.74,3.88,3.61,3.76,6691
2012-04-02,3.89,3.92,3.71,3.8,3600
2012-03-30,3.92,3.92,3.92,3.92,100
2012-03-29,3.78,3.92,3.65,3.84,1327
2012-03-28,4.02,4.05,3.76,3.77,20823
2012-03-27,4.03,4.04,3.95,4.03,1827
2012-03-26,3.97,4.08,3.901,4.02,274601
2012-03-23,3.9,3.99,3.78,3.99,22012
2012-03-22,3.82,3.94,3.751,3.751,2000
2012-03-21,3.9,3.96,3.71,3.8,7450
2012-03-20,3.99,4,3.85,3.93,4800
2012-03-19,4,4.11,3.83,3.94,328100
2012-03-16,3.73,3.84,3.63,3.84,2010
2012-03-14,3.85,3.85,3.73,3.79,2516
2012-03-12,3.85,3.91,3.75,3.9,208847
2012-03-09,3.72,3.84,3.72,3.82,15894
2012-03-08,3.72,3.75,3.6,3.68,2700
2012-03-07,3.66,3.77,3.66,3.7,7800
2012-03-06,3.66,3.77,3.6,3.69,8900
2012-03-05,3.91,3.91,3.63,3.7,257000
2012-03-02,3.92,3.98,3.92,3.93,3582
2012-03-01,3.86,3.98,3.86,3.9,25600
2012-02-29,4.11,4.11,3.77,3.84,3370
2012-02-28,3.82,3.969,3.82,3.91,5258
2012-02-27,3.95,3.95,3.9,3.9,13638
2012-02-23,4.04,4.08,3.91,4,26300
2012-02-22,3.95,4.08,3.95,4,1203
2012-02-21,4,4.11,3.95,4.04,1997
2012-02-17,4.22,4.22,3.97,4,3300
2012-02-16,4.09,4.18,3.98,4.17,6987
2012-02-15,4.27,4.39,4.21,4.27,182710
2012-02-14,3.98,4.3,3.96,4.23,12314
2012-02-13,3.96,4.14,3.96,4.14,4600
2012-02-10,4.02,4.02,4.02,4.02,242
2012-02-09,4.01,4.16,3.96,3.96,12742
2012-02-07,4.1,4.21,4.1,4.21,50712
2012-02-06,4.12,4.12,4.12,4.12,200
2012-02-03,4.19,4.2,3.99,4.2,600
2012-02-02,4.17,4.17,4.11,4.11,7601
2012-02-01,4.08,4.19,4.08,4.14,1500
2012-01-31,4.01,4.22,3.96,4.12,1700
2012-01-30,4.28,4.28,4.13,4.23,71935
2012-01-27,4.04,4.36,4,4.29,103575
2012-01-25,4.08,4.08,3.88,4.08,1000
2012-01-24,3.93,4.08,3.93,4.04,4300
2012-01-23,4,4,3.83,3.97,2200
2012-01-20,3.97,4.09,3.84,4,1500
2012-01-19,4.08,4.09,3.81,4.09,500
2012-01-18,4.13,4.15,4.1,4.1,600
2012-01-17,4.05,4.12,3.96,4.12,1100
2012-01-12,4.13,4.13,3.95,4.07,4570
2012-01-11,4,4,3.91,3.92,3100
2012-01-10,3.98,4.19,3.95,4.03,7100
2012-01-09,3.82,4.1,3.8,3.98,4700
2012-01-06,3.64,3.88,3.64,3.88,800
2012-01-05,3.8,3.871,3.79,3.8,1700
2012-01-04,3.85,3.89,3.76,3.89,3915
2012-01-03,3.8,3.8,3.68,3.79,3706
2011-12-30,3.55,3.86,3.55,3.74,4198
2011-12-29,3.64,3.71,3.6,3.61,12526
2011-12-28,3.82,3.95,3.64,3.7,3550
2011-12-27,3.85,4.06,3.84,3.84,8276
2011-12-23,3.83,3.94,3.81,3.85,14000
2011-12-22,3.85,3.98,3.81,3.86,3627
2011-12-21,3.91,3.98,3.85,3.92,2425
2011-12-20,3.96,4.03,3.85,3.9,27047
2011-12-19,3.89,3.95,3.85,3.9,600
2011-12-16,3.87,4.038,3.85,3.85,3600
2011-12-15,3.8,3.99,3.59,3.99,28118
2011-12-14,4.07,4.1,3.83,4.07,6500
2011-12-13,4.09,4.09,4.09,4.09,36
2011-12-12,4.11,4.15,3.92,4.09,27100
